,Term,Ndeᵗᵢ,Ndeᶜᵗ,Ndᶜᵗeᵗᵢ,Eᵗ,LPM,TGM,LRM
0,revista_alergia_méxico,4,0,448,1,1.008849557522124,1.0,1.008849557522124
1,"('reactividad', 'cutánea', 'hacia')",2,0,450,1,1.0044247787610618,1.0,1.0044247787610618
2,"('cutánea', 'hacia')",2,0,450,1,1.0044247787610618,1.0,1.0044247787610618
3,"('autorreporte', 'de', 'alergia')",2,0,450,1,1.0044247787610618,1.0,1.0044247787610618
4,"('frecuencia', 'de', 'reactividad')",2,0,450,1,1.0044247787610618,1.0,1.0044247787610618
5,sociedad_argentina_de_inmunología,2,0,450,1,1.0044247787610618,1.0,1.0044247787610618
6,"('alergia', 'perioperatoria')",1,0,451,1,1.002212389380531,1.0,1.002212389380531
7,"('futuro', 'sin', 'complejo')",1,0,451,1,1.002212389380531,1.0,1.002212389380531
8,"('mosco', 'y', 'hormiga')",1,0,451,1,1.002212389380531,1.0,1.002212389380531
9,mosco,1,0,451,1,1.002212389380531,1.0,1.002212389380531
10,revalida,1,0,451,1,1.002212389380531,1.0,1.002212389380531
11,"('inmunologia', 'normal')",1,0,451,1,1.002212389380531,1.0,1.002212389380531
12,"('actual', 'en', 'inmunologia')",1,0,451,1,1.002212389380531,1.0,1.002212389380531
13,"('en', 'inmunologia', 'normal')",1,0,451,1,1.002212389380531,1.0,1.002212389380531
14,"('alérgica', 'a', 'abeja')",1,0,451,1,1.002212389380531,1.0,1.002212389380531
15,"('hormiga', 'roja')",1,0,451,1,1.002212389380531,1.0,1.002212389380531
16,"('importante', 'actuación')",1,0,451,1,1.002212389380531,1.0,1.002212389380531
17,"('desensibilización', 'a', 'darunavir')",1,0,451,1,1.002212389380531,1.0,1.002212389380531
18,"('contraste', 'no', 'iodado')",1,0,451,1,1.002212389380531,1.0,1.002212389380531
19,"('enfermedad', 'respiratoria', 'alérgica')",1,0,451,1,1.002212389380531,1.0,1.002212389380531
20,"('desensibilización', 'a', 'alopurinol')",1,0,451,1,1.002212389380531,1.0,1.002212389380531
21,"('anafilaxia', 'y', 'alergia')",1,0,451,1,1.002212389380531,1.0,1.002212389380531
22,"('año', 'de', 'anafilaxia')",1,0,451,1,1.002212389380531,1.0,1.002212389380531
23,"('alopurinol', 'en', 'paciente')",1,0,451,1,1.002212389380531,1.0,1.002212389380531
24,"('con', 'gota', 'tofácea')",1,0,451,1,1.002212389380531,1.0,1.002212389380531
25,"('19-22', 'noviembre', '2003')",1,0,451,1,1.002212389380531,1.0,1.002212389380531
26,"('sociedad_argentina_de_inmunología', 'li', 'reunión_científica')",1,0,451,1,1.002212389380531,1.0,1.002212389380531
27,"('sociedad_argentina_de_investigación_clínica', 'xlviii', 'reunión_científica')",1,0,451,1,1.002212389380531,1.0,1.002212389380531
28,"('19-22', 'noviembre')",1,0,451,1,1.002212389380531,1.0,1.002212389380531
29,"('li', 'reunión_científica')",1,0,451,1,1.002212389380531,1.0,1.002212389380531
30,"('prevalencia', 'y', 'manifestación')",1,0,451,1,1.002212389380531,1.0,1.002212389380531
31,doctor_frouchtman,1,0,451,1,1.002212389380531,1.0,1.002212389380531
32,"('xlviii', 'reunión_científica')",1,0,451,1,1.002212389380531,1.0,1.002212389380531
33,"('el', 'enfermo', 'alérgico')",1,0,451,1,1.002212389380531,1.0,1.002212389380531
34,"('evaluación', 'del', 'xvi')",1,0,451,1,1.002212389380531,1.0,1.002212389380531
35,"('xvi', 'congreso_internacional_de_alergología')",1,0,451,1,1.002212389380531,1.0,1.002212389380531
36,congreso_internacional_de_alergología,1,0,451,1,1.002212389380531,1.0,1.002212389380531
37,"('promoción', 'del', 'adiestramiento')",1,0,451,1,1.002212389380531,1.0,1.002212389380531
38,bela_schick,1,0,451,1,1.002212389380531,1.0,1.002212389380531
39,"('ayuntamiento', 'de', 'valencia')",1,0,451,1,1.002212389380531,1.0,1.002212389380531
40,"('bela_schick', 'in')",1,0,451,1,1.002212389380531,1.0,1.002212389380531
41,"('suero', 'antidiftérico')",1,0,451,1,1.002212389380531,1.0,1.002212389380531
42,"('bela_schick', 'in', 'memoriam')",1,0,451,1,1.002212389380531,1.0,1.002212389380531
43,antidiftérico,1,0,451,1,1.002212389380531,1.0,1.002212389380531
