,Term,Ndeᵗᵢ,Ndeᶜᵗ,Ndᶜᵗeᵗᵢ,Eᵗ,LPM,TGM,LRM,included_snomed
0,"('revista', 'alergia')",4,0,448,1,1.0088495575221241,1.0,1.0088495575221241,False
1,"('la', 'revista', 'alergia')",3,0,449,1,1.0066371681415929,1.0,1.0066371681415929,False
2,"('mario', 'salazar')",3,0,449,1,1.0066371681415929,1.0,1.0066371681415929,False
3,"('mario', 'salazar', 'mallén')",2,0,450,1,1.0044247787610618,1.0,1.0044247787610618,False
4,"('cutánea', 'hacia')",2,0,450,1,1.0044247787610618,1.0,1.0044247787610618,False
5,"('de', 'investigacion', 'clinica')",2,0,450,1,1.0044247787610618,1.0,1.0044247787610618,False
6,"('reactividad', 'cutánea', 'hacia')",2,0,450,1,1.0044247787610618,1.0,1.0044247787610618,False
7,"('autorreporte', 'de', 'alergia')",2,0,450,1,1.0044247787610618,1.0,1.0044247787610618,False
8,"('frecuencia', 'de', 'reactividad')",2,0,450,1,1.0044247787610618,1.0,1.0044247787610618,False
9,"('hospital', 'peninsular')",1,0,451,1,1.0022123893805308,1.0,1.0022123893805308,False
10,"('gómez', 'reig')",1,0,451,1,1.0022123893805308,1.0,1.0022123893805308,False
11,antidiftérico,1,0,451,1,1.0022123893805308,1.0,1.0022123893805308,True
12,"('fraudulenta', 'en', 'revista')",1,0,451,1,1.0022123893805308,1.0,1.0022123893805308,False
13,"('riesgo', 'para', 'mal')",1,0,451,1,1.0022123893805308,1.0,1.0022123893805308,False
14,"('sociedad', 'de', 'inmunología')",1,0,451,1,1.0022123893805308,1.0,1.0022123893805308,False
15,"('síndrome', 'urticariano', 'asociado')",1,0,451,1,1.0022123893805308,1.0,1.0022123893805308,False
16,"('oro', 'del', 'doctor')",1,0,451,1,1.0022123893805308,1.0,1.0022123893805308,False
17,actinidia,1,0,451,1,1.0022123893805308,1.0,1.0022123893805308,True
18,"('clínica', 'orofacial')",1,0,451,1,1.0022123893805308,1.0,1.0022123893805308,False
19,"('l-selectina', 'y', 'lfa-1')",1,0,451,1,1.0022123893805308,1.0,1.0022123893805308,False
20,"('su', 'polémica', 'nacional')",1,0,451,1,1.0022123893805308,1.0,1.0022123893805308,False
21,"('medicina', 'en', 'inmunología')",1,0,451,1,1.0022123893805308,1.0,1.0022123893805308,False
22,"('enfisema', 'subcutáneo', 'asociado')",1,0,451,1,1.0022123893805308,1.0,1.0022123893805308,False
23,"('dar', 'respuesta')",1,0,451,1,1.0022123893805308,1.0,1.0022123893805308,False
24,"('hipersensibilidad', 'alérgica')",1,0,451,1,1.0022123893805308,1.0,1.0022123893805308,True
25,"('sociedad', 'latinomericiana')",1,0,451,1,1.0022123893805308,1.0,1.0022123893805308,False
26,"('látex', 'y', 'factor')",1,0,451,1,1.0022123893805308,1.0,1.0022123893805308,False
27,"('lingüistico-literario', 'sobre', 'inoculación')",1,0,451,1,1.0022123893805308,1.0,1.0022123893805308,False
28,"('síndrome', 'de', 'skeeter')",1,0,451,1,1.0022123893805308,1.0,1.0022123893805308,False
29,"('pombo', 'para', 'traer')",1,0,451,1,1.0022123893805308,1.0,1.0022123893805308,False
30,"('cutánea', 'hacia', 'alérgeno')",1,0,451,1,1.0022123893805308,1.0,1.0022123893805308,False
31,"('antibioticoterapia', 'y', 'defensa')",1,0,451,1,1.0022123893805308,1.0,1.0022123893805308,False
32,"('posgrado', 'en', 'alergia')",1,0,451,1,1.0022123893805308,1.0,1.0022123893805308,False
33,"('biblioteca', 'dr')",1,0,451,1,1.0022123893805308,1.0,1.0022123893805308,False
34,"('alergólogo', 'e', 'inmunólogo')",1,0,451,1,1.0022123893805308,1.0,1.0022123893805308,False
35,"('año', 'del', 'consejo')",1,0,451,1,1.0022123893805308,1.0,1.0022123893805308,False
36,"('lo', 'exámén', 'serológico')",1,0,451,1,1.0022123893805308,1.0,1.0022123893805308,False
37,"('hormiga', 'roja')",1,0,451,1,1.0022123893805308,1.0,1.0022123893805308,True
38,"('eje', 'ifng-il', '12/il')",1,0,451,1,1.0022123893805308,1.0,1.0022123893805308,False
39,"('entretelón', 'del', 'invento')",1,0,451,1,1.0022123893805308,1.0,1.0022123893805308,False
40,"('que', 'debemo', 'dar')",1,0,451,1,1.0022123893805308,1.0,1.0022123893805308,False
41,"('del', 'eje', 'ifng-il')",1,0,451,1,1.0022123893805308,1.0,1.0022123893805308,False
42,"('déférée', 'à', ""l'eglise"")",1,0,451,1,1.0022123893805308,1.0,1.0022123893805308,False
43,"('método', 'inmunologico')",1,0,451,1,1.0022123893805308,1.0,1.0022123893805308,False
44,"('e', 'inmunologia', 'a.c')",1,0,451,1,1.0022123893805308,1.0,1.0022123893805308,False
45,"('propio', 'modificado')",1,0,451,1,1.0022123893805308,1.0,1.0022123893805308,False
46,"('electrónica', 'de', 'revista')",1,0,451,1,1.0022123893805308,1.0,1.0022123893805308,False
47,entretelón,1,0,451,1,1.0022123893805308,1.0,1.0022123893805308,False
48,"('reconocimiento', 'inmune')",1,0,451,1,1.0022123893805308,1.0,1.0022123893805308,False
49,"('apogeo', 'y', 'caída')",1,0,451,1,1.0022123893805308,1.0,1.0022123893805308,False
50,"('inmunologia', 'clinica')",1,0,451,1,1.0022123893805308,1.0,1.0022123893805308,False
51,"('funcional', 'mediante', 'prueba')",1,0,451,1,1.0022123893805308,1.0,1.0022123893805308,False
52,"('paciente', 'con', 'anafilaxia')",1,0,451,1,1.0022123893805308,1.0,1.0022123893805308,False
53,"('inmunoestimulante', 'om-bv85')",1,0,451,1,1.0022123893805308,1.0,1.0022123893805308,False
54,"('diagnóstica', 'no', 'validada')",1,0,451,1,1.0022123893805308,1.0,1.0022123893805308,False
55,"('constantino', 'gómez', 'reig')",1,0,451,1,1.0022123893805308,1.0,1.0022123893805308,False
56,"('tiburcia', 'haedo')",1,0,451,1,1.0022123893805308,1.0,1.0022123893805308,False
57,"('virrey', 'sobremonte')",1,0,451,1,1.0022123893805308,1.0,1.0022123893805308,False
58,"('mario', 'salazar', 'mallen')",1,0,451,1,1.0022123893805308,1.0,1.0022123893805308,False
59,"('do', 'método', 'inmunologico')",1,0,451,1,1.0022123893805308,1.0,1.0022123893805308,False
60,"('prevalencia', 'de', 'autorreporte')",1,0,451,1,1.0022123893805308,1.0,1.0022123893805308,False
61,"('del', 'inmunoestimulante', 'om-bv85')",1,0,451,1,1.0022123893805308,1.0,1.0022123893805308,False
62,"('feijoo', 'a', 'quintana')",1,0,451,1,1.0022123893805308,1.0,1.0022123893805308,False
63,canseco,1,0,451,1,1.0022123893805308,1.0,1.0022123893805308,False
64,"('promoción', 'del', 'adiestramiento')",1,0,451,1,1.0022123893805308,1.0,1.0022123893805308,False
65,"('sulfonamida', 'y', 'fármaco')",1,0,451,1,1.0022123893805308,1.0,1.0022123893805308,False
66,"('1er', 'congreso')",1,0,451,1,1.0022123893805308,1.0,1.0022123893805308,False
67,"('adolescente', 'tardío')",1,0,451,1,1.0022123893805308,1.0,1.0022123893805308,False
68,"('28', 'reunión')",1,0,451,1,1.0022123893805308,1.0,1.0022123893805308,False
69,"('innato', 'del', 'eje')",1,0,451,1,1.0022123893805308,1.0,1.0022123893805308,False
70,"('financiera', 'personal')",1,0,451,1,1.0022123893805308,1.0,1.0022123893805308,True
71,"('una', 'revista', 'iberoamericana')",1,0,451,1,1.0022123893805308,1.0,1.0022123893805308,False
72,"('estudio', 'en', 'busca')",1,0,451,1,1.0022123893805308,1.0,1.0022123893805308,False
73,"('reunion', 'cientifica', 'anual')",1,0,451,1,1.0022123893805308,1.0,1.0022123893805308,False
74,"('para', 'salmonella', 'typhi')",1,0,451,1,1.0022123893805308,1.0,1.0022123893805308,False
75,"('neutrófilo', 'de', 'paciente')",1,0,451,1,1.0022123893805308,1.0,1.0022123893805308,False
76,"('à', ""l'eglise"")",1,0,451,1,1.0022123893805308,1.0,1.0022123893805308,False
77,"('20', 'al', '22')",1,0,451,1,1.0022123893805308,1.0,1.0022123893805308,False
78,déférée,1,0,451,1,1.0022123893805308,1.0,1.0022123893805308,False
79,"('entidad', 'de', 'importancia')",1,0,451,1,1.0022123893805308,1.0,1.0022123893805308,False
80,"('12/il', '23')",1,0,451,1,1.0022123893805308,1.0,1.0022123893805308,False
81,"('perfil', 'del', 'alergólogo')",1,0,451,1,1.0022123893805308,1.0,1.0022123893805308,False
82,"('adolescente', 'tardío', 'difiere')",1,0,451,1,1.0022123893805308,1.0,1.0022123893805308,False
83,"('inmunología', 'iaaci')",1,0,451,1,1.0022123893805308,1.0,1.0022123893805308,False
84,"('raltegravir', 'y', 'darunavir')",1,0,451,1,1.0022123893805308,1.0,1.0022123893805308,False
85,"('sala', 'de', 'vacunación')",1,0,451,1,1.0022123893805308,1.0,1.0022123893805308,False
86,deliciosa,1,0,451,1,1.0022123893805308,1.0,1.0022123893805308,True
87,"('carlo', 'canseco', 'gonzález')",1,0,451,1,1.0022123893805308,1.0,1.0022123893805308,False
88,lingüistico-literario,1,0,451,1,1.0022123893805308,1.0,1.0022123893805308,False
89,skeeter,1,0,451,1,1.0022123893805308,1.0,1.0022123893805308,False
90,"('inmunitaria', 'a', 'fármaco')",1,0,451,1,1.0022123893805308,1.0,1.0022123893805308,False
91,"('ifng-il', '12/il', '23')",1,0,451,1,1.0022123893805308,1.0,1.0022123893805308,False
92,"('uso', 'de', 'aminofilina')",1,0,451,1,1.0022123893805308,1.0,1.0022123893805308,False
93,"('inmunologia', 'a.c')",1,0,451,1,1.0022123893805308,1.0,1.0022123893805308,False
94,"('de', ""l'inoculation"", 'déférée')",1,0,451,1,1.0022123893805308,1.0,1.0022123893805308,False
95,"('lactante', 'con', 'defecto')",1,0,451,1,1.0022123893805308,1.0,1.0022123893805308,False
96,pombo,1,0,451,1,1.0022123893805308,1.0,1.0022123893805308,False
97,"('anticuerpo', 'para', 'salmonella')",1,0,451,1,1.0022123893805308,1.0,1.0022123893805308,False
98,"('y', 'hormiga', 'roja')",1,0,451,1,1.0022123893805308,1.0,1.0022123893805308,False
99,"('question', 'de', ""l'inoculation"")",1,0,451,1,1.0022123893805308,1.0,1.0022123893805308,False
100,"('alérgica', 'y', 'cruzada')",1,0,451,1,1.0022123893805308,1.0,1.0022123893805308,False
101,"('respiratoria', 'a', 'dermatophagoide')",1,0,451,1,1.0022123893805308,1.0,1.0022123893805308,False
102,"('antígeno', 'inhalable')",1,0,451,1,1.0022123893805308,1.0,1.0022123893805308,False
103,"('inmunológica', 'de', 'gonadotropina')",1,0,451,1,1.0022123893805308,1.0,1.0022123893805308,False
104,"('difiere', 'de', 'acuerdo')",1,0,451,1,1.0022123893805308,1.0,1.0022123893805308,False
105,"('importante', 'actuación')",1,0,451,1,1.0022123893805308,1.0,1.0022123893805308,False
106,"('médico', 'francisco')",1,0,451,1,1.0022123893805308,1.0,1.0022123893805308,False
107,mallen,1,0,451,1,1.0022123893805308,1.0,1.0022123893805308,False
108,"('médico', 'francisco', 'paula')",1,0,451,1,1.0022123893805308,1.0,1.0022123893805308,False
109,"('tardío', 'difiere')",1,0,451,1,1.0022123893805308,1.0,1.0022123893805308,False
