,Term,Ndeᵗᵢ,Ndeᶜᵗ,Ndᶜᵗeᵗᵢ,Eᵗ,LPM,TGM,LRM
0,"('producción', 'científico-médica')",3,0,2133,1,1.0014044943820224,1.0,1.0014044943820224
1,"('la', 'anestesia', 'quirúrgica')",3,0,2133,1,1.0014044943820224,1.0,1.0014044943820224
2,"('doctoral', 'y', 'memoria')",3,0,2133,1,1.0014044943820224,1.0,1.0014044943820224
3,raquädea,3,0,2133,1,1.0014044943820224,1.0,1.0014044943820224
4,"('la', 'comunicación', 'libre')",3,0,2133,1,1.0014044943820224,1.0,1.0014044943820224
5,"('anestesia', 'raquädea')",3,0,2133,1,1.0014044943820224,1.0,1.0014044943820224
6,"('profesional', 'en', 'anestesiología')",3,0,2133,1,1.0014044943820224,1.0,1.0014044943820224
7,"('crítico', 'con', 'cáncer')",2,0,2134,1,1.000936329588015,1.0,1.000936329588015
8,"('para', 'paciente', 'crítico')",2,0,2134,1,1.000936329588015,1.0,1.000936329588015
9,servicio_de_anestesiología,2,0,2134,1,1.000936329588015,1.0,1.000936329588015
10,"('anestesia', 'epidural', 'lumbar')",2,0,2134,1,1.000936329588015,1.0,1.000936329588015
11,"('ii', 'para', 'paciente')",2,0,2134,1,1.000936329588015,1.0,1.000936329588015
12,"('comportamiento', 'del', 'niño')",2,0,2134,1,1.000936329588015,1.0,1.000936329588015
13,"('circunstancia', 'clínica')",2,0,2134,1,1.000936329588015,1.0,1.000936329588015
14,"('anestésico', 'del', 'síndrome')",2,0,2134,1,1.000936329588015,1.0,1.000936329588015
15,telégrafo_médico,2,0,2134,1,1.000936329588015,1.0,1.000936329588015
16,ergojet,2,0,2134,1,1.000936329588015,1.0,1.000936329588015
17,"('escala', 'apache', 'ii')",2,0,2134,1,1.000936329588015,1.0,1.000936329588015
18,cvt,2,0,2134,1,1.000936329588015,1.0,1.000936329588015
19,"('la', 'producción', 'científico-médica')",2,0,2134,1,1.000936329588015,1.0,1.000936329588015
20,"('ergojet', 'cvt')",2,0,2134,1,1.000936329588015,1.0,1.000936329588015
21,"('monitorización', 'bi', 'vista')",2,0,2134,1,1.000936329588015,1.0,1.000936329588015
22,"('lo', 'primero', 'paso')",2,0,2134,1,1.000936329588015,1.0,1.000936329588015
23,"('de', 'monitorización', 'bi')",2,0,2134,1,1.000936329588015,1.0,1.000936329588015
24,"('espectrograma', 'del', 'sistema')",2,0,2134,1,1.000936329588015,1.0,1.000936329588015
25,"('monitorización', 'con', 'espectrograma')",2,0,2134,1,1.000936329588015,1.0,1.000936329588015
26,"('anestesiología', 'como', 'especialidad')",2,0,2134,1,1.000936329588015,1.0,1.000936329588015
27,"('docencia', 'y', 'formación')",2,0,2134,1,1.000936329588015,1.0,1.000936329588015
28,"('realmente', 'consenso')",2,0,2134,1,1.000936329588015,1.0,1.000936329588015
29,"('bi', 'vista')",2,0,2134,1,1.000936329588015,1.0,1.000936329588015
30,congreso_de_la_sociedad_española_de_anestesiología,2,0,2134,1,1.000936329588015,1.0,1.000936329588015
31,"('nuevo', 'respirador')",2,0,2134,1,1.000936329588015,1.0,1.000936329588015
32,"('existe', 'realmente', 'consenso')",2,0,2134,1,1.000936329588015,1.0,1.000936329588015
33,ergotronic-3,2,0,2134,1,1.000936329588015,1.0,1.000936329588015
