,Term,Ndeᵗᵢ,Ndeᶜᵗ,Ndᶜᵗeᵗᵢ,Eᵗ,LPM,TGM,LRM,included_snomed
0,"('anestesiología', 'y', 'cuidado')",4,0,2132,1,1.00187265917603,1.0,1.00187265917603,False
1,"('doctoral', 'y', 'memoria')",3,0,2133,1,1.0014044943820224,1.0,1.0014044943820224,False
2,"('la', 'anestesia', 'quirúrgica')",3,0,2133,1,1.0014044943820224,1.0,1.0014044943820224,False
3,"('producción', 'científico-médica')",3,0,2133,1,1.0014044943820224,1.0,1.0014044943820224,False
4,"('profesional', 'en', 'anestesiología')",3,0,2133,1,1.0014044943820224,1.0,1.0014044943820224,False
5,"('diploma', 'europeo')",3,0,2133,1,1.0014044943820224,1.0,1.0014044943820224,False
6,"('anestesia', 'raquädea')",3,0,2133,1,1.0014044943820224,1.0,1.0014044943820224,False
7,raquädea,3,0,2133,1,1.0014044943820224,1.0,1.0014044943820224,False
8,"('la', 'comunicación', 'libre')",3,0,2133,1,1.0014044943820224,1.0,1.0014044943820224,False
9,"('verdad', 'incómoda')",2,0,2134,1,1.0009363295880152,1.0,1.0009363295880152,False
10,"('despierto', 'con', 'vía')",2,0,2134,1,1.0009363295880152,1.0,1.0009363295880152,False
11,"('bloqueo', 'diagnóstico')",2,0,2134,1,1.0009363295880152,1.0,1.0009363295880152,False
12,"('accidental', 'con', 'paciente')",2,0,2134,1,1.0009363295880152,1.0,1.0009363295880152,False
13,"('realmente', 'consenso')",2,0,2134,1,1.0009363295880152,1.0,1.0009363295880152,False
14,"('europeo', 'en', 'anestesiología')",2,0,2134,1,1.0009363295880152,1.0,1.0009363295880152,False
15,"('enfermería', 'de', 'anestesia')",2,0,2134,1,1.0009363295880152,1.0,1.0009363295880152,False
16,"('en', 'anestesiología', 'utilizando')",2,0,2134,1,1.0009363295880152,1.0,1.0009363295880152,False
17,brilma,2,0,2134,1,1.0009363295880152,1.0,1.0009363295880152,False
18,"('laringoscopia', 'directa')",2,0,2134,1,1.0009363295880152,1.0,1.0009363295880152,True
19,"('anestésico', 'del', 'síndrome')",2,0,2134,1,1.0009363295880152,1.0,1.0009363295880152,False
20,"('como', 'herramienta', 'docente')",2,0,2134,1,1.0009363295880152,1.0,1.0009363295880152,False
21,"('ergojet', 'cvt')",2,0,2134,1,1.0009363295880152,1.0,1.0009363295880152,False
22,"('crítico', 'con', 'cáncer')",2,0,2134,1,1.0009363295880152,1.0,1.0009363295880152,False
23,pentax-aw,2,0,2134,1,1.0009363295880152,1.0,1.0009363295880152,False
24,"('el', 'estudio', 'aquil')",2,0,2134,1,1.0009363295880152,1.0,1.0009363295880152,False
