,Term,Ndeᵗᵢ,Ndeᶜᵗ,Ndᶜᵗeᵗᵢ,Eᵗ,LPM,TGM,LRM
0,"('tubular', 'plicada')",2,2,232,2,0.5085470085470085,0.8237085656111178,0.4188945269560812
1,plicada,2,2,232,2,0.5085470085470085,0.8237085656111178,0.4188945269560812
2,"('gastroplastia', 'tubular', 'plicada')",2,2,232,2,0.5085470085470085,0.8237085656111178,0.4188945269560812
3,"('mínimamente', 'invasiva', 'emergente')",1,1,233,2,0.5042735042735043,0.8237085656111178,0.4153744048808201
4,"('elección', 'con', 'distinta')",1,1,233,2,0.5042735042735043,0.8237085656111178,0.4153744048808201
5,"('abordaje', 'de', 'elección')",1,1,233,2,0.5042735042735043,0.8237085656111178,0.4153744048808201
6,"('haciendo', 'fácil')",1,1,233,2,0.5042735042735043,0.8237085656111178,0.4153744048808201
7,"('anastomosis', 'intracorpora')",1,1,233,2,0.5042735042735043,0.8237085656111178,0.4153744048808201
8,"('fácil', 'lo', 'difícil')",1,1,233,2,0.5042735042735043,0.8237085656111178,0.4153744048808201
9,"('peso', 'preoperatoria')",1,1,233,2,0.5042735042735043,0.8237085656111178,0.4153744048808201
10,"('distinta', 'opción', 'técnica')",1,1,233,2,0.5042735042735043,0.8237085656111178,0.4153744048808201
11,"('de', 'peso', 'preoperatoria')",1,1,233,2,0.5042735042735043,0.8237085656111178,0.4153744048808201
12,"('la', 'sutura', 'continua')",1,1,233,2,0.5042735042735043,0.8237085656111178,0.4153744048808201
13,"('euro', 'posible')",1,1,233,2,0.5042735042735043,0.8237085656111178,0.4153744048808201
14,"('biliopancreática', 'de', 'larrad')",1,1,233,2,0.5042735042735043,0.8237085656111178,0.4153744048808201
15,"('la', 'gastroplastia', 'cervical')",1,1,233,2,0.5042735042735043,0.8237085656111178,0.4153744048808201
16,"('euro', 'posible', 'disminuir')",1,1,233,2,0.5042735042735043,0.8237085656111178,0.4153744048808201
17,"('con', 'distinta', 'opción')",1,1,233,2,0.5042735042735043,0.8237085656111178,0.4153744048808201
18,intracorpora,1,1,233,2,0.5042735042735043,0.8237085656111178,0.4153744048808201
19,"('gástrico', 'y', 'derivación')",1,1,233,2,0.5042735042735043,0.8237085656111178,0.4153744048808201
20,"('quirúrgico', 'y', 'nueva')",1,1,233,2,0.5042735042735043,0.8237085656111178,0.4153744048808201
21,"('obesidad', 'refractaria')",1,1,233,2,0.5042735042735043,0.8237085656111178,0.4153744048808201
22,"('estructural', 'del', 'intestino')",1,1,233,2,0.5042735042735043,0.8237085656111178,0.4153744048808201
23,"('intestino', 'delgado', 'funcionante')",1,1,233,2,0.5042735042735043,0.8237085656111178,0.4153744048808201
24,"('tratada', 'con', 'cirugía')",1,1,233,2,0.5042735042735043,0.8237085656111178,0.4153744048808201
25,"('el', 'bypas', 'yeyuno-ileal')",1,1,233,2,0.5042735042735043,0.8237085656111178,0.4153744048808201
26,"('obesidad', 'mórbida', 'tratada')",1,1,233,2,0.5042735042735043,0.8237085656111178,0.4153744048808201
27,"('reducción', 'del', 'efecto')",1,1,233,2,0.5042735042735043,0.8237085656111178,0.4153744048808201
28,"('mórbida', 'tratada')",1,1,233,2,0.5042735042735043,0.8237085656111178,0.4153744048808201
29,"('delgado', 'funcionante')",1,1,233,2,0.5042735042735043,0.8237085656111178,0.4153744048808201
30,"('un', 'desarrollo', 'coherente')",1,1,233,2,0.5042735042735043,0.8237085656111178,0.4153744048808201
31,"('desarrollo', 'coherente')",1,1,233,2,0.5042735042735043,0.8237085656111178,0.4153744048808201
32,"('curva', 'ponderal', 'tra')",1,1,233,2,0.5042735042735043,0.8237085656111178,0.4153744048808201
33,"('ponderal', 'tra', 'resección')",1,1,233,2,0.5042735042735043,0.8237085656111178,0.4153744048808201
34,"('gastroplastia', 'cervical')",1,1,233,2,0.5042735042735043,0.8237085656111178,0.4153744048808201
35,"('tra', 'resección', 'extensa')",1,1,233,2,0.5042735042735043,0.8237085656111178,0.4153744048808201
36,"('laparoscópica', 'efectuada')",1,1,233,2,0.5042735042735043,0.8237085656111178,0.4153744048808201
37,"('variación', 'inducida')",1,1,233,2,0.5042735042735043,0.8237085656111178,0.4153744048808201
38,nom-174-ssa1-1998,1,1,233,2,0.5042735042735043,0.8237085656111178,0.4153744048808201
39,"('biliopancreática', 'laparoscópica', 'efectuada')",1,1,233,2,0.5042735042735043,0.8237085656111178,0.4153744048808201
40,"('tertiary', 'referral')",1,1,233,2,0.5042735042735043,0.8237085656111178,0.4153744048808201
41,"('referral', 'hospital')",1,1,233,2,0.5042735042735043,0.8237085656111178,0.4153744048808201
42,"('metabolic', 'change', 'in')",1,1,233,2,0.5042735042735043,0.8237085656111178,0.4153744048808201
43,"('change', 'in', 'obese')",1,1,233,2,0.5042735042735043,0.8237085656111178,0.4153744048808201
44,"('in', 'obese', 'patient')",1,1,233,2,0.5042735042735043,0.8237085656111178,0.4153744048808201
45,"('patient', 'after', 'laparoscopic')",1,1,233,2,0.5042735042735043,0.8237085656111178,0.4153744048808201
46,"('after', 'laparoscopic', 'gastric')",1,1,233,2,0.5042735042735043,0.8237085656111178,0.4153744048808201
47,"('laparoscopic', 'gastric', 'bypas')",1,1,233,2,0.5042735042735043,0.8237085656111178,0.4153744048808201
48,"('five-year', 'experience', 'in')",1,1,233,2,0.5042735042735043,0.8237085656111178,0.4153744048808201
49,"('in', 'a', 'tertiary')",1,1,233,2,0.5042735042735043,0.8237085656111178,0.4153744048808201
50,"('tertiary', 'referral', 'hospital')",1,1,233,2,0.5042735042735043,0.8237085656111178,0.4153744048808201
51,"('del', 'segmento', 'aislado')",1,1,233,2,0.5042735042735043,0.8237085656111178,0.4153744048808201
52,"('conservación', 'del', 'segmento')",1,1,233,2,0.5042735042735043,0.8237085656111178,0.4153744048808201
53,"('energético', 'y', 'composición')",1,1,233,2,0.5042735042735043,0.8237085656111178,0.4153744048808201
54,"('paciente', 'obeso', 'móbido')",1,1,233,2,0.5042735042735043,0.8237085656111178,0.4153744048808201
55,"('candidato', 'de', 'cirugía')",1,1,233,2,0.5042735042735043,0.8237085656111178,0.4153744048808201
56,"('five-year', 'experience')",1,1,233,2,0.5042735042735043,0.8237085656111178,0.4153744048808201
57,"('gastric', 'bypas')",1,1,233,2,0.5042735042735043,0.8237085656111178,0.4153744048808201
58,"('nomenclatura', 'utilizada')",1,1,233,2,0.5042735042735043,0.8237085656111178,0.4153744048808201
59,"('hernia', 'gástrica', 'secundaria')",1,1,233,2,0.5042735042735043,0.8237085656111178,0.4153744048808201
60,"('secundaria', 'a', 'gastroplastia')",1,1,233,2,0.5042735042735043,0.8237085656111178,0.4153744048808201
61,larrad,1,1,233,2,0.5042735042735043,0.8237085656111178,0.4153744048808201
62,"('efectuada', 'con', 'anastomosis')",1,1,233,2,0.5042735042735043,0.8237085656111178,0.4153744048808201
63,"('con', 'anastomosis', 'manual')",1,1,233,2,0.5042735042735043,0.8237085656111178,0.4153744048808201
64,móbido,1,1,233,2,0.5042735042735043,0.8237085656111178,0.4153744048808201
65,five-year,1,1,233,2,0.5042735042735043,0.8237085656111178,0.4153744048808201
66,"('laparoscopic', 'gastric')",1,1,233,2,0.5042735042735043,0.8237085656111178,0.4153744048808201
67,"('obeso', 'móbido')",1,1,233,2,0.5042735042735043,0.8237085656111178,0.4153744048808201
68,"('la', 'anastomosis', 'intracorpora')",1,1,233,2,0.5042735042735043,0.8237085656111178,0.4153744048808201
69,"('psicológica', 'a', 'candidato')",1,1,233,2,0.5042735042735043,0.8237085656111178,0.4153744048808201
70,"('metabolic', 'change')",1,1,233,2,0.5042735042735043,0.8237085656111178,0.4153744048808201
71,"('in', 'obese')",1,1,233,2,0.5042735042735043,0.8237085656111178,0.4153744048808201
72,"('after', 'laparoscopic')",1,1,233,2,0.5042735042735043,0.8237085656111178,0.4153744048808201
73,constitucional_de_la_norma_oficial_mexicana,1,1,233,2,0.5042735042735043,0.8237085656111178,0.4153744048808201
74,"('250', 'paciente', 'obeso')",1,1,233,2,0.5042735042735043,0.8237085656111178,0.4153744048808201
75,"('análisis', 'constitucional_de_la_norma_oficial_mexicana')",1,1,233,2,0.5042735042735043,0.8237085656111178,0.4153744048808201
76,"('gastroplastia', 'o', 'gastrectomía')",1,1,233,2,0.5042735042735043,0.8237085656111178,0.4153744048808201
77,"('gástrico', 'simplificado')",1,1,233,2,0.5042735042735043,0.8237085656111178,0.4153744048808201
78,"('de', 'célula', 'd')",1,1,233,2,0.5042735042735043,0.8237085656111178,0.4153744048808201
79,"('artículo', 'de', 'coste-beneficio')",1,1,233,2,0.5042735042735043,0.8237085656111178,0.4153744048808201
80,"('coste-beneficio', 'en', 'eventración')",1,1,233,2,0.5042735042735043,0.8237085656111178,0.4153744048808201
81,"('distribución', 'de', 'célula')",1,1,233,2,0.5042735042735043,0.8237085656111178,0.4153744048808201
82,"('bariátrica', 'y', 'metabólica')",1,1,233,2,0.5042735042735043,0.8237085656111178,0.4153744048808201
83,impericia,1,1,233,2,0.5042735042735043,0.8237085656111178,0.4153744048808201
84,"('programa', 'deformación')",1,1,233,2,0.5042735042735043,0.8237085656111178,0.4153744048808201
85,"('constitucional_de_la_norma_oficial_mexicana', 'nom-174-ssa1-1998')",1,1,233,2,0.5042735042735043,0.8237085656111178,0.4153744048808201
86,"('yeyuno-ileal', 'en', '6')",1,1,233,2,0.5042735042735043,0.8237085656111178,0.4153744048808201
87,"('inducida', 'por', 'modelo')",1,1,233,2,0.5042735042735043,0.8237085656111178,0.4153744048808201
88,"('farmacológico', 'o', 'quirúrgico')",1,1,233,2,0.5042735042735043,0.8237085656111178,0.4153744048808201
