,Term,Ndeᵗᵢ,Ndeᶜᵗ,Ndᶜᵗeᵗᵢ,Eᵗ,LPM,TGM,LRM
0,"('psicosociología', 'del', 'terrorismo')",1,0,6560,1,1.000152415790276,1.0,1.000152415790276
1,psicosociología,1,0,6560,1,1.000152415790276,1.0,1.000152415790276
2,"('psicoanálisis', 'social')",1,0,6560,1,1.000152415790276,1.0,1.000152415790276
3,"('el', 'psicoanálisis', 'social')",1,0,6560,1,1.000152415790276,1.0,1.000152415790276
4,"('psicoanálisis', 'y', 'factor')",1,0,6560,1,1.000152415790276,1.0,1.000152415790276
5,"('crónico', 'indigente')",1,0,6560,1,1.000152415790276,1.0,1.000152415790276
6,"('problema', 'del', 'enfermo')",1,0,6560,1,1.000152415790276,1.0,1.000152415790276
7,"('mental', 'crónico', 'indigente')",1,0,6560,1,1.000152415790276,1.0,1.000152415790276
8,"('clínica', 'del', 'issste')",1,0,6560,1,1.000152415790276,1.0,1.000152415790276
9,"('alguno', 'aspecto', 'psiquiátrico')",1,0,6560,1,1.000152415790276,1.0,1.000152415790276
10,salud_para_todo,6,6,6555,2,0.5009144947416553,0.8237085656111178,0.4126075599574667
11,"('educación', 'sobre', 'salud')",5,5,6556,2,0.5007620789513794,0.8237085656111178,0.412482013765482
12,"('comunicación', 'de', 'masa')",4,4,6557,2,0.5006096631611034,0.8237085656111178,0.4123564675734973
13,"('la', 'salud', 'basada')",4,4,6557,2,0.5006096631611034,0.8237085656111178,0.4123564675734973
14,"('función', 'educativa')",4,4,6557,2,0.5006096631611034,0.8237085656111178,0.4123564675734973
15,"('la', 'función', 'educativa')",4,4,6557,2,0.5006096631611034,0.8237085656111178,0.4123564675734973
16,"('una', 'vida', 'saludable')",3,3,6558,2,0.5004572473708276,0.8237085656111178,0.4122309213815128
17,control_del_tabaquismo,3,3,6558,2,0.5004572473708276,0.8237085656111178,0.4122309213815128
18,"('odontológico', 'escolar')",3,3,6558,2,0.5004572473708276,0.8237085656111178,0.4122309213815128
19,"('educación', 'y', 'salud')",3,3,6558,2,0.5004572473708276,0.8237085656111178,0.4122309213815128
20,"('popular', 'en', 'salud')",3,3,6558,2,0.5004572473708276,0.8237085656111178,0.4122309213815128
21,"('del', 'aire', 'respirable')",3,3,6558,2,0.5004572473708276,0.8237085656111178,0.4122309213815128
