,Term,Ndeᵗᵢ,Ndeᶜᵗ,Ndᶜᵗeᵗᵢ,Eᵗ,LPM,TGM,LRM
0,"('carrera', 'profesional')",10,0,6583,1,1.0015167602002124,1.0,1.0015167602002124
1,"('la', 'carrera', 'profesional')",6,0,6587,1,1.0009100561201274,1.0,1.0009100561201274
2,"('congreso', 'semfyc')",6,0,6587,1,1.0009100561201274,1.0,1.0009100561201274
3,"('el', 'producto', 'enfermero')",5,0,6588,1,1.000758380100106,1.0,1.000758380100106
4,"('tutor', 'de', 'atención')",4,0,6589,1,1.000606704080085,1.0,1.000606704080085
5,"('congreso_de_la_sociedad_española_de_medicina_de_familia', 'y', 'comunitaria')",4,0,6589,1,1.000606704080085,1.0,1.000606704080085
6,congreso_de_la_sociedad_española_de_medicina_de_familia,4,0,6589,1,1.000606704080085,1.0,1.000606704080085
7,"('asesor', 'de', 'medicamento')",3,0,6590,1,1.0004550280600637,1.0,1.0004550280600637
8,"('colectivo', 'de', 'médico')",3,0,6590,1,1.0004550280600637,1.0,1.0004550280600637
9,"('hospitalización', 'por', 'ambulatory')",3,0,6590,1,1.0004550280600637,1.0,1.0004550280600637
10,"('por', 'ambulatory', 'care')",3,0,6590,1,1.0004550280600637,1.0,1.0004550280600637
11,"('técnica', 'docente')",3,0,6590,1,1.0004550280600637,1.0,1.0004550280600637
12,"('lo', 'diagnóstico', 'enfermero')",3,0,6590,1,1.0004550280600637,1.0,1.0004550280600637
13,"('docencia', 'posgrado')",3,0,6590,1,1.0004550280600637,1.0,1.0004550280600637
14,"('el', 'modelo', 'biopsicosocial')",3,0,6590,1,1.0004550280600637,1.0,1.0004550280600637
15,"('familia', 'y', 'medicina')",3,0,6590,1,1.0004550280600637,1.0,1.0004550280600637
16,"('rotación', 'en', 'centro')",3,0,6590,1,1.0004550280600637,1.0,1.0004550280600637
17,"('la', 'metodología', 'cualitativa')",3,0,6590,1,1.0004550280600637,1.0,1.0004550280600637
18,"('acreditación', 'en', 'atención')",3,0,6590,1,1.0004550280600637,1.0,1.0004550280600637
19,saap,3,0,6590,1,1.0004550280600637,1.0,1.0004550280600637
20,"('un', 'único', 'colectivo')",3,0,6590,1,1.0004550280600637,1.0,1.0004550280600637
21,"('único', 'colectivo')",3,0,6590,1,1.0004550280600637,1.0,1.0004550280600637
22,"('universidad', 'y', 'atención')",3,0,6590,1,1.0004550280600637,1.0,1.0004550280600637
23,"('investigar', 'en', 'enfermería')",3,0,6590,1,1.0004550280600637,1.0,1.0004550280600637
24,"('plan', 'individualizado')",3,0,6590,1,1.0004550280600637,1.0,1.0004550280600637
25,"('profesional', 'en', 'medicina')",3,0,6590,1,1.0004550280600637,1.0,1.0004550280600637
26,"('individualizado', 'de', 'cuidado')",3,0,6590,1,1.0004550280600637,1.0,1.0004550280600637
27,"('enfermería', 'profesional')",2,0,6591,1,1.0003033520400424,1.0,1.0003033520400424
28,"('realizar', 'la', 'burocracia')",2,0,6591,1,1.0003033520400424,1.0,1.0003033520400424
29,"('compartiendo', 'experiencia')",2,0,6591,1,1.0003033520400424,1.0,1.0003033520400424
30,compartiendo,2,0,6591,1,1.0003033520400424,1.0,1.0003033520400424
31,"('revista', 'de', 'atención')",2,0,6591,1,1.0003033520400424,1.0,1.0003033520400424
32,"('universitario', 'de', 'medicina')",2,0,6591,1,1.0003033520400424,1.0,1.0003033520400424
33,"('compromiso', 'pendiente')",2,0,6591,1,1.0003033520400424,1.0,1.0003033520400424
34,"('plan', 'preventivo')",2,0,6591,1,1.0003033520400424,1.0,1.0003033520400424
35,"('primaria', 'en', 'europa')",2,0,6591,1,1.0003033520400424,1.0,1.0003033520400424
36,"('fracaso', 'del', 'sistema')",2,0,6591,1,1.0003033520400424,1.0,1.0003033520400424
37,"('una', 'asignatura', 'universitaria')",2,0,6591,1,1.0003033520400424,1.0,1.0003033520400424
38,"('asignatura', 'universitaria')",2,0,6591,1,1.0003033520400424,1.0,1.0003033520400424
39,"('da', 'enfermagem')",2,0,6591,1,1.0003033520400424,1.0,1.0003033520400424
40,"('médico', 'y', 'técnico')",2,0,6591,1,1.0003033520400424,1.0,1.0003033520400424
41,"('ecografía', 'clínica', 'abdominal')",2,0,6591,1,1.0003033520400424,1.0,1.0003033520400424
42,"('un', 'compromiso', 'pendiente')",2,0,6591,1,1.0003033520400424,1.0,1.0003033520400424
43,"('gerencia', 'única')",2,0,6591,1,1.0003033520400424,1.0,1.0003033520400424
44,"('familia', 'como', 'área')",2,0,6591,1,1.0003033520400424,1.0,1.0003033520400424
45,"('poder', 'y', 'democracia')",2,0,6591,1,1.0003033520400424,1.0,1.0003033520400424
46,"('comunitaria', 'de', 'persona')",2,0,6591,1,1.0003033520400424,1.0,1.0003033520400424
47,"('cognitivo-conductual', 'de', 'fácil')",2,0,6591,1,1.0003033520400424,1.0,1.0003033520400424
48,"('técnica', 'cognitivo-conductual')",2,0,6591,1,1.0003033520400424,1.0,1.0003033520400424
49,"('investigación', 'sobre', 'atención')",2,0,6591,1,1.0003033520400424,1.0,1.0003033520400424
50,"('fuente', 'de', 'sostenibilidad')",2,0,6591,1,1.0003033520400424,1.0,1.0003033520400424
51,"('investigación', 'como', 'fuente')",2,0,6591,1,1.0003033520400424,1.0,1.0003033520400424
52,"('virtual', 'de', 'salud')",2,0,6591,1,1.0003033520400424,1.0,1.0003033520400424
53,"('la', 'biblioteca', 'virtual')",2,0,6591,1,1.0003033520400424,1.0,1.0003033520400424
