,Term,Ndeᵗᵢ,Ndeᶜᵗ,Ndᶜᵗeᵗᵢ,Eᵗ,LPM,TGM,LRM
0,administración_de_justicia,2,0,355,1,1.0056022408963583,1.0,1.0056022408963583
1,"('antropología', 'forense')",2,0,355,1,1.0056022408963583,1.0,1.0056022408963583
2,"('dato', 'de', 'adn')",2,0,355,1,1.0056022408963583,1.0,1.0056022408963583
3,"('internamiento', 'psiquiátrico')",2,0,355,1,1.0056022408963583,1.0,1.0056022408963583
4,cesare,2,0,355,1,1.0056022408963583,1.0,1.0056022408963583
5,lombroso,2,0,355,1,1.0056022408963583,1.0,1.0056022408963583
6,"('cesare', 'lombroso')",2,0,355,1,1.0056022408963583,1.0,1.0056022408963583
7,calliphoridae,2,0,355,1,1.0056022408963583,1.0,1.0056022408963583
8,"('congénita', 'no', 'diagnosticada')",2,0,355,1,1.0056022408963583,1.0,1.0056022408963583
9,"('delito', 'de', 'atentado')",2,0,355,1,1.0056022408963583,1.0,1.0056022408963583
10,10/1995,1,0,356,1,1.0028011204481793,1.0,1.0028011204481793
11,"('comunicación', 'del', 'error')",1,0,356,1,1.0028011204481793,1.0,1.0028011204481793
12,"('reto', 'del', 'futuro')",1,0,356,1,1.0028011204481793,1.0,1.0028011204481793
13,"('médica', 'en', 'barcelona')",1,0,356,1,1.0028011204481793,1.0,1.0028011204481793
14,"('la', 'antropología', 'forense')",1,0,356,1,1.0028011204481793,1.0,1.0028011204481793
15,"('quinina', 'en', 'bebida')",1,0,356,1,1.0028011204481793,1.0,1.0028011204481793
16,"('problemática', 'e', 'ideología')",1,0,356,1,1.0028011204481793,1.0,1.0028011204481793
17,"('la', 'demografía', 'médica')",1,0,356,1,1.0028011204481793,1.0,1.0028011204481793
18,"('valoración_médico-forense', 'del', 'agresor')",1,0,356,1,1.0028011204481793,1.0,1.0028011204481793
19,"('vario', 'marcador')",1,0,356,1,1.0028011204481793,1.0,1.0028011204481793
20,"('demografía', 'médica')",1,0,356,1,1.0028011204481793,1.0,1.0028011204481793
21,"('genético', 'clásico')",1,0,356,1,1.0028011204481793,1.0,1.0028011204481793
22,"('análisis', 'de', 'vario')",1,0,356,1,1.0028011204481793,1.0,1.0028011204481793
23,"('de', 'vario', 'marcador')",1,0,356,1,1.0028011204481793,1.0,1.0028011204481793
24,"('vario', 'marcador', 'genético')",1,0,356,1,1.0028011204481793,1.0,1.0028011204481793
25,"('marcador', 'genético', 'clásico')",1,0,356,1,1.0028011204481793,1.0,1.0028011204481793
26,"('población', 'de', 'costa_rica')",1,0,356,1,1.0028011204481793,1.0,1.0028011204481793
27,"('orina', 'en', 'medicina')",1,0,356,1,1.0028011204481793,1.0,1.0028011204481793
28,"('de', 'muestra', 'procedente')",1,0,356,1,1.0028011204481793,1.0,1.0028011204481793
29,"('del', 'error', 'médico')",1,0,356,1,1.0028011204481793,1.0,1.0028011204481793
30,"('ley_orgánica', '15/2003')",1,0,356,1,1.0028011204481793,1.0,1.0028011204481793
31,"('23', 'de', 'noviembre')",1,0,356,1,1.0028011204481793,1.0,1.0028011204481793
32,"('ley_orgánica', '10/1995')",1,0,356,1,1.0028011204481793,1.0,1.0028011204481793
33,"('25', 'de', 'noviembre')",1,0,356,1,1.0028011204481793,1.0,1.0028011204481793
34,"('hacia', 'lo', 'médico')",1,0,356,1,1.0028011204481793,1.0,1.0028011204481793
35,"('modifica', 'la', 'ley_orgánica')",1,0,356,1,1.0028011204481793,1.0,1.0028011204481793
36,15/2003,1,0,356,1,1.0028011204481793,1.0,1.0028011204481793
37,valoración_médico-forense,1,0,356,1,1.0028011204481793,1.0,1.0028011204481793
