,Term,Ndeᵗᵢ,Ndeᶜᵗ,Ndᶜᵗeᵗᵢ,Eᵗ,LPM,TGM,LRM
0,"('de', 'complicación', 'periapical')",1,0,218,1,1.004566210045662,1.0,1.004566210045662
1,"('cibrie', 'secrétaire')",1,0,218,1,1.004566210045662,1.0,1.004566210045662
2,"('enfermedad', 'neuropsi', 'quiátrica')",1,0,218,1,1.004566210045662,1.0,1.004566210045662
3,"('neuropsi', 'quiátrica', 'vista')",1,0,218,1,1.004566210045662,1.0,1.004566210045662
4,hommage,1,0,218,1,1.004566210045662,1.0,1.004566210045662
5,docteur,1,0,218,1,1.004566210045662,1.0,1.004566210045662
6,cibrie,1,0,218,1,1.004566210045662,1.0,1.004566210045662
7,secrétaire,1,0,218,1,1.004566210045662,1.0,1.004566210045662
8,général,1,0,218,1,1.004566210045662,1.0,1.004566210045662
9,confédération,1,0,218,1,1.004566210045662,1.0,1.004566210045662
10,syndicats_médicaux_françai,1,0,218,1,1.004566210045662,1.0,1.004566210045662
11,"('hommage', 'au')",1,0,218,1,1.004566210045662,1.0,1.004566210045662
12,"('au', 'docteur')",1,0,218,1,1.004566210045662,1.0,1.004566210045662
13,"('docteur', 'p.')",1,0,218,1,1.004566210045662,1.0,1.004566210045662
14,"('p.', 'cibrie')",1,0,218,1,1.004566210045662,1.0,1.004566210045662
15,"('confédération', 'd')",1,0,218,1,1.004566210045662,1.0,1.004566210045662
16,"('quiátrica', 'vista')",1,0,218,1,1.004566210045662,1.0,1.004566210045662
17,"('hommage', 'au', 'docteur')",1,0,218,1,1.004566210045662,1.0,1.004566210045662
18,"('au', 'docteur', 'p.')",1,0,218,1,1.004566210045662,1.0,1.004566210045662
19,"('docteur', 'p.', 'cibrie')",1,0,218,1,1.004566210045662,1.0,1.004566210045662
20,"('p.', 'cibrie', 'secrétaire')",1,0,218,1,1.004566210045662,1.0,1.004566210045662
21,"('cibrie', 'secrétaire', 'général')",1,0,218,1,1.004566210045662,1.0,1.004566210045662
22,"('la', 'confédération', 'd')",1,0,218,1,1.004566210045662,1.0,1.004566210045662
23,"('confédération', 'd', 'syndicats_médicaux_françai')",1,0,218,1,1.004566210045662,1.0,1.004566210045662
24,"('cervico', 'braquialgia')",1,0,218,1,1.004566210045662,1.0,1.004566210045662
25,"('orientación', 'del', 'médico')",1,0,218,1,1.004566210045662,1.0,1.004566210045662
26,doctor_diego_paroissien,1,0,218,1,1.004566210045662,1.0,1.004566210045662
27,"('general', 'doctor_diego_paroissien')",1,0,218,1,1.004566210045662,1.0,1.004566210045662
28,"('medicina', 'agrícola')",1,0,218,1,1.004566210045662,1.0,1.004566210045662
29,"('alguno', 'dilema')",1,0,218,1,1.004566210045662,1.0,1.004566210045662
30,"('la', 'enfermedad', 'neuropsi')",1,0,218,1,1.004566210045662,1.0,1.004566210045662
31,"('neuropsi', 'quiátrica')",1,0,218,1,1.004566210045662,1.0,1.004566210045662
32,dipex,1,0,218,1,1.004566210045662,1.0,1.004566210045662
33,"('declaración_de_la_sociedad_española_de_medicina_familiar', 'y', 'comunitaria')",1,0,218,1,1.004566210045662,1.0,1.004566210045662
34,"('debate', 'constante')",1,0,218,1,1.004566210045662,1.0,1.004566210045662
35,"('especialista', 'o', 'generalista')",1,0,218,1,1.004566210045662,1.0,1.004566210045662
36,"('un', 'debate', 'constante')",1,0,218,1,1.004566210045662,1.0,1.004566210045662
37,"('soledad', 'moral')",1,0,218,1,1.004566210045662,1.0,1.004566210045662
38,"('la', 'soledad', 'moral')",1,0,218,1,1.004566210045662,1.0,1.004566210045662
39,"('importante', 'salir')",1,0,218,1,1.004566210045662,1.0,1.004566210045662
40,"('salir', 'al', 'extranjero')",1,0,218,1,1.004566210045662,1.0,1.004566210045662
41,"('residencia', 'en', 'medicina')",1,0,218,1,1.004566210045662,1.0,1.004566210045662
42,"('especializada', 'por', 'población')",1,0,218,1,1.004566210045662,1.0,1.004566210045662
43,"('actualización', 'en', 'nutrición')",1,0,218,1,1.004566210045662,1.0,1.004566210045662
44,"('en', 'nutrición', 'pediátrica')",1,0,218,1,1.004566210045662,1.0,1.004566210045662
45,"('pediátrica', 'para', 'médico')",1,0,218,1,1.004566210045662,1.0,1.004566210045662
46,declaración_de_la_sociedad_española_de_medicina_familiar,1,0,218,1,1.004566210045662,1.0,1.004566210045662
47,paradigmático,1,0,218,1,1.004566210045662,1.0,1.004566210045662
48,"('enfermedad', 'neuropsi')",1,0,218,1,1.004566210045662,1.0,1.004566210045662
49,mongering,1,0,218,1,1.004566210045662,1.0,1.004566210045662
50,"('caso', 'paradigmático')",1,0,218,1,1.004566210045662,1.0,1.004566210045662
51,"('disease', 'mongering')",1,0,218,1,1.004566210045662,1.0,1.004566210045662
52,"('promoción', 'del', 'síndrome')",1,0,218,1,1.004566210045662,1.0,1.004566210045662
53,"('síndrome', 'por', 'déficit')",1,0,218,1,1.004566210045662,1.0,1.004566210045662
54,"('un', 'caso', 'paradigmático')",1,0,218,1,1.004566210045662,1.0,1.004566210045662
55,"('paradigmático', 'de', 'invención')",1,0,218,1,1.004566210045662,1.0,1.004566210045662
56,"('invención', 'de', 'enfermedad')",1,0,218,1,1.004566210045662,1.0,1.004566210045662
57,"('certificación', 'del', 'médico')",1,0,218,1,1.004566210045662,1.0,1.004566210045662
58,neuropsi,1,0,218,1,1.004566210045662,1.0,1.004566210045662
59,"('estandarización', 'ortográfica')",1,0,218,1,1.004566210045662,1.0,1.004566210045662
60,ortográfica,1,0,218,1,1.004566210045662,1.0,1.004566210045662
61,quiátrica,1,0,218,1,1.004566210045662,1.0,1.004566210045662
62,"('alguno', 'dilema', 'ético')",1,0,218,1,1.004566210045662,1.0,1.004566210045662
63,"('secrétaire', 'général')",1,0,218,1,1.004566210045662,1.0,1.004566210045662
64,"('pratica', 'general')",1,0,218,1,1.004566210045662,1.0,1.004566210045662
65,"('para', 'compartir', 'experiencia')",1,0,218,1,1.004566210045662,1.0,1.004566210045662
66,"('reposicionadora', 'o', 'guarda')",1,0,218,1,1.004566210045662,1.0,1.004566210045662
67,rompefuerza,1,0,218,1,1.004566210045662,1.0,1.004566210045662
68,"('guarda', 'oclusal')",1,0,218,1,1.004566210045662,1.0,1.004566210045662
69,"('fuerza', 'y', 'rompefuerza')",1,0,218,1,1.004566210045662,1.0,1.004566210045662
70,"('placa', 'reposicionadora')",1,0,218,1,1.004566210045662,1.0,1.004566210045662
71,guarda,1,0,218,1,1.004566210045662,1.0,1.004566210045662
72,reposicionadora,1,0,218,1,1.004566210045662,1.0,1.004566210045662
73,"('multimedia', 'para', 'compartir')",1,0,218,1,1.004566210045662,1.0,1.004566210045662
74,"('una', 'propuesta', 'multimedia')",1,0,218,1,1.004566210045662,1.0,1.004566210045662
75,"('enfermedad', 'entre', 'paciente')",1,0,218,1,1.004566210045662,1.0,1.004566210045662
76,"('calcificación', 'médica', 'nacional')",1,0,218,1,1.004566210045662,1.0,1.004566210045662
77,"('médica', 'nacional')",1,0,218,1,1.004566210045662,1.0,1.004566210045662
78,"('calcificación', 'médica')",1,0,218,1,1.004566210045662,1.0,1.004566210045662
79,"('general', 'y', 'ortodoncia')",1,0,218,1,1.004566210045662,1.0,1.004566210045662
80,"('de', 'experiencia', 'individual')",1,0,218,1,1.004566210045662,1.0,1.004566210045662
81,"('propuesta', 'multimedia')",1,0,218,1,1.004566210045662,1.0,1.004566210045662
82,"('dato', 'de', 'experiencia')",1,0,218,1,1.004566210045662,1.0,1.004566210045662
83,"('dentista', 'de', 'práctica')",1,0,218,1,1.004566210045662,1.0,1.004566210045662
84,"('displasia', 'del', 'esmalte')",1,0,218,1,1.004566210045662,1.0,1.004566210045662
85,"('prótesis', 'de', 'completa')",1,0,218,1,1.004566210045662,1.0,1.004566210045662
86,"('general', 'en', 'odontologia')",1,0,218,1,1.004566210045662,1.0,1.004566210045662
87,"('medicina', 'general', 'actual')",1,0,218,1,1.004566210045662,1.0,1.004566210045662
88,"('compartir', 'experiencia')",1,0,218,1,1.004566210045662,1.0,1.004566210045662
89,"('psicofármaco', 'y', 'medicina')",1,0,218,1,1.004566210045662,1.0,1.004566210045662
90,"('general', 'actual')",1,0,218,1,1.004566210045662,1.0,1.004566210045662
91,pratica,1,0,218,1,1.004566210045662,1.0,1.004566210045662
92,"('complicación', 'periapical')",1,0,218,1,1.004566210045662,1.0,1.004566210045662
93,"('experiencia', 'e', 'información')",1,0,218,1,1.004566210045662,1.0,1.004566210045662
94,"('la', 'práctica', 'general')",8,1,211,2,0.9254185692541856,0.9112798662942412,0.8433153100561622
95,european_general_practice_research_workshop,2,2,217,2,0.5091324200913242,0.8237085656111178,0.4193767354595417
96,"('pensamo', 'lo', 'médico')",1,1,218,2,0.504566210045662,0.8237085656111178,0.4156155091325503
97,"('estudio', 'cualitativo', 'exploratorio')",1,1,218,2,0.504566210045662,0.8237085656111178,0.4156155091325503
