,Term,Ndeᵗᵢ,Ndeᶜᵗ,Ndᶜᵗeᵗᵢ,Eᵗ,LPM,TGM,LRM
0,sociedad_de_genética_de_chile,5,0,6354,1,1.000786287152068,1.0,1.000786287152068
1,"('genetica', 'humana')",5,0,6354,1,1.000786287152068,1.0,1.000786287152068
2,"('la', 'genetica', 'humana')",4,0,6355,1,1.0006290297216542,1.0,1.0006290297216542
3,"('hiperlipemia', 'idiopática')",3,0,6356,1,1.0004717722912408,1.0,1.0004717722912408
4,gargolismo,3,0,6356,1,1.0004717722912408,1.0,1.0004717722912408
5,"('deletéreo', 'de', 'alguna')",3,0,6356,1,1.0004717722912408,1.0,1.0004717722912408
6,"('la', 'enfermedad', 'periódica')",3,0,6356,1,1.0004717722912408,1.0,1.0004717722912408
7,"('droga', 'y', 'medicamento')",3,0,6356,1,1.0004717722912408,1.0,1.0004717722912408
8,meiosis,2,0,6357,1,1.0003145148608272,1.0,1.0003145148608272
9,"('forma', 'abdominal')",2,0,6357,1,1.0003145148608272,1.0,1.0003145148608272
10,"('reforma', 'genética')",2,0,6357,1,1.0003145148608272,1.0,1.0003145148608272
11,"('metabolismo', 'y', 'enzimopatía')",2,0,6357,1,1.0003145148608272,1.0,1.0003145148608272
12,"('sexual', 'y', 'cariotipo')",2,0,6357,1,1.0003145148608272,1.0,1.0003145148608272
13,"('omision', 'al', 'citar')",2,0,6357,1,1.0003145148608272,1.0,1.0003145148608272
14,condrodistrofia,2,0,6357,1,1.0003145148608272,1.0,1.0003145148608272
15,"('simple', 'omision')",2,0,6357,1,1.0003145148608272,1.0,1.0003145148608272
16,citar,2,0,6357,1,1.0003145148608272,1.0,1.0003145148608272
17,"('la', 'genética', 'médica')",2,0,6357,1,1.0003145148608272,1.0,1.0003145148608272
18,"('reunión', 'anual', 'sociedad_de_genética_de_chile')",2,0,6357,1,1.0003145148608272,1.0,1.0003145148608272
19,"('hereditario', 'de', 'fiebre')",2,0,6357,1,1.0003145148608272,1.0,1.0003145148608272
20,"('anual', 'sociedad_de_genética_de_chile')",2,0,6357,1,1.0003145148608272,1.0,1.0003145148608272
21,"('caso', 'de', 'hemocromatosis')",2,0,6357,1,1.0003145148608272,1.0,1.0003145148608272
22,"('de', 'población', 'aborígén')",2,0,6357,1,1.0003145148608272,1.0,1.0003145148608272
23,"('13', 'q')",2,0,6357,1,1.0003145148608272,1.0,1.0003145148608272
24,"('microevolucion', 'en', 'población')",2,0,6357,1,1.0003145148608272,1.0,1.0003145148608272
25,lipoidosis,2,0,6357,1,1.0003145148608272,1.0,1.0003145148608272
26,sindrome_de_morquio,2,0,6357,1,1.0003145148608272,1.0,1.0003145148608272
27,"('ácido', 'lisérgico')",2,0,6357,1,1.0003145148608272,1.0,1.0003145148608272
28,microevolucion,2,0,6357,1,1.0003145148608272,1.0,1.0003145148608272
29,"('peritonitis', 'periódica')",2,0,6357,1,1.0003145148608272,1.0,1.0003145148608272
30,lisérgico,2,0,6357,1,1.0003145148608272,1.0,1.0003145148608272
31,"('conocimiento', 'del', 'genoma')",2,0,6357,1,1.0003145148608272,1.0,1.0003145148608272
32,"('empleo', 'de', 'desferrioxamina')",1,0,6358,1,1.0001572574304136,1.0,1.0001572574304136
33,"('patogénico', 'del', 'incremento')",1,0,6358,1,1.0001572574304136,1.0,1.0001572574304136
34,"('desferrioxamina', 'b')",1,0,6358,1,1.0001572574304136,1.0,1.0001572574304136
35,"('fierro', 'aumentado')",1,0,6358,1,1.0001572574304136,1.0,1.0001572574304136
36,"('de', 'población', 'castellana')",1,0,6358,1,1.0001572574304136,1.0,1.0001572574304136
37,"('de', 'desferrioxamina', 'b')",1,0,6358,1,1.0001572574304136,1.0,1.0001572574304136
38,"('paciente', 'con', 'depósito')",1,0,6358,1,1.0001572574304136,1.0,1.0001572574304136
39,"('depósito', 'de', 'fierro')",1,0,6358,1,1.0001572574304136,1.0,1.0001572574304136
