,Term,Ndeᵗᵢ,Ndeᶜᵗ,Ndᶜᵗeᵗᵢ,Eᵗ,LPM,TGM,LRM
0,ginatresia,5,0,7727,1,1.0006466632177962,1.0,1.0006466632177962
1,menorragia,4,0,7728,1,1.000517330574237,1.0,1.000517330574237
2,hidrometrocolpo,3,0,7729,1,1.0003879979306778,1.0,1.0003879979306778
3,"('cirugía', 'tubaria')",3,0,7729,1,1.0003879979306778,1.0,1.0003879979306778
4,"('salpingitis', 'tuberculosa')",3,0,7729,1,1.0003879979306778,1.0,1.0003879979306778
5,persuflación,3,0,7729,1,1.0003879979306778,1.0,1.0003879979306778
6,"('tricomona', 'y', 'candida')",3,0,7729,1,1.0003879979306778,1.0,1.0003879979306778
7,"('del', 'factor', 'tubario')",3,0,7729,1,1.0003879979306778,1.0,1.0003879979306778
8,"('colpitis', 'por', 'tricomona')",3,0,7729,1,1.0003879979306778,1.0,1.0003879979306778
9,"('tratamiento', 'de', 'colpitis')",3,0,7729,1,1.0003879979306778,1.0,1.0003879979306778
10,"('el', 'seudoembarazo', 'yatrogénico')",3,0,7729,1,1.0003879979306778,1.0,1.0003879979306778
11,august_mayer,3,0,7729,1,1.0003879979306778,1.0,1.0003879979306778
12,frigidez,3,0,7729,1,1.0003879979306778,1.0,1.0003879979306778
13,"('esterilidad', 'por', 'factor')",3,0,7729,1,1.0003879979306778,1.0,1.0003879979306778
14,"('de', 'esterilidad', 'matrimonial')",3,0,7729,1,1.0003879979306778,1.0,1.0003879979306778
15,"('hidrotubación', 'con', 'hialuronidasa')",3,0,7729,1,1.0003879979306778,1.0,1.0003879979306778
16,"('consulta', 'de', 'esterilidad')",3,0,7729,1,1.0003879979306778,1.0,1.0003879979306778
17,"('masculina', 'de', 'origen')",2,0,7730,1,1.0002586652871184,1.0,1.0002586652871184
18,"('pelviana', 'crónica')",2,0,7730,1,1.0002586652871184,1.0,1.0002586652871184
19,"('la', 'hiperplasia', 'glandular')",2,0,7730,1,1.0002586652871184,1.0,1.0002586652871184
20,secnidazol,2,0,7730,1,1.0002586652871184,1.0,1.0002586652871184
21,"('primera', 'catedra')",2,0,7730,1,1.0002586652871184,1.0,1.0002586652871184
22,"('exploración', 'ginecológica')",2,0,7730,1,1.0002586652871184,1.0,1.0002586652871184
23,"('dolor', 'en', 'ginecologia')",2,0,7730,1,1.0002586652871184,1.0,1.0002586652871184
24,andrógenoterapia,2,0,7730,1,1.0002586652871184,1.0,1.0002586652871184
25,"('matrimonio', 'rato')",2,0,7730,1,1.0002586652871184,1.0,1.0002586652871184
26,"('causa', 'de', 'matrimonio')",2,0,7730,1,1.0002586652871184,1.0,1.0002586652871184
27,"('inflamatorio', 'ginecológico')",2,0,7730,1,1.0002586652871184,1.0,1.0002586652871184
28,"('proceso', 'inflamatorio', 'ginecológico')",2,0,7730,1,1.0002586652871184,1.0,1.0002586652871184
29,"('la', 'infección', 'ginecológica')",2,0,7730,1,1.0002586652871184,1.0,1.0002586652871184
30,"('de', 'matrimonio', 'rato')",2,0,7730,1,1.0002586652871184,1.0,1.0002586652871184
31,"('ciclo', 'monofasico')",2,0,7730,1,1.0002586652871184,1.0,1.0002586652871184
32,monofasico,2,0,7730,1,1.0002586652871184,1.0,1.0002586652871184
33,"('peritaje', 'ginecológico')",2,0,7730,1,1.0002586652871184,1.0,1.0002586652871184
34,botella-casar,2,0,7730,1,1.0002586652871184,1.0,1.0002586652871184
35,"('la', 'infección', 'vaginal')",2,0,7730,1,1.0002586652871184,1.0,1.0002586652871184
36,"('rutina', 'diagnóstica')",2,0,7730,1,1.0002586652871184,1.0,1.0002586652871184
37,"('trichomoniasis', 'genital')",2,0,7730,1,1.0002586652871184,1.0,1.0002586652871184
38,"('la', 'endometrosis', 'genital')",2,0,7730,1,1.0002586652871184,1.0,1.0002586652871184
39,"('de', 'orígen', 'psicosomático')",2,0,7730,1,1.0002586652871184,1.0,1.0002586652871184
40,"('orígen', 'psicosomático')",2,0,7730,1,1.0002586652871184,1.0,1.0002586652871184
