,Term,Ndeᵗᵢ,Ndeᶜᵗ,Ndᶜᵗeᵗᵢ,Eᵗ,LPM,TGM,LRM
0,"('revista', 'alergia')",4,0,448,1,1.008849557522124,1.0,1.008849557522124
1,"('la', 'revista', 'alergia')",3,0,449,1,1.0066371681415929,1.0,1.0066371681415929
2,"('mario', 'salazar')",3,0,449,1,1.0066371681415929,1.0,1.0066371681415929
3,"('mario', 'salazar', 'mallén')",2,0,450,1,1.0044247787610618,1.0,1.0044247787610618
4,"('cutánea', 'hacia')",2,0,450,1,1.0044247787610618,1.0,1.0044247787610618
5,"('de', 'investigacion', 'clinica')",2,0,450,1,1.0044247787610618,1.0,1.0044247787610618
6,"('reactividad', 'cutánea', 'hacia')",2,0,450,1,1.0044247787610618,1.0,1.0044247787610618
7,"('autorreporte', 'de', 'alergia')",2,0,450,1,1.0044247787610618,1.0,1.0044247787610618
8,"('frecuencia', 'de', 'reactividad')",2,0,450,1,1.0044247787610618,1.0,1.0044247787610618
9,"('proyección', '2000')",1,0,451,1,1.0022123893805308,1.0,1.0022123893805308
10,"('medicina', '1996')",1,0,451,1,1.0022123893805308,1.0,1.0022123893805308
11,"('hospital', 'peninsular')",1,0,451,1,1.0022123893805308,1.0,1.0022123893805308
12,"('gómez', 'reig')",1,0,451,1,1.0022123893805308,1.0,1.0022123893805308
13,antidiftérico,1,0,451,1,1.0022123893805308,1.0,1.0022123893805308
14,"('fraudulenta', 'en', 'revista')",1,0,451,1,1.0022123893805308,1.0,1.0022123893805308
15,"('riesgo', 'para', 'mal')",1,0,451,1,1.0022123893805308,1.0,1.0022123893805308
16,"('sociedad', 'de', 'inmunología')",1,0,451,1,1.0022123893805308,1.0,1.0022123893805308
17,"('noviembre', '2006')",1,0,451,1,1.0022123893805308,1.0,1.0022123893805308
18,"('síndrome', 'urticariano', 'asociado')",1,0,451,1,1.0022123893805308,1.0,1.0022123893805308
19,"('oro', 'del', 'doctor')",1,0,451,1,1.0022123893805308,1.0,1.0022123893805308
20,actinidia,1,0,451,1,1.0022123893805308,1.0,1.0022123893805308
21,"('clínica', 'orofacial')",1,0,451,1,1.0022123893805308,1.0,1.0022123893805308
22,"('l-selectina', 'y', 'lfa-1')",1,0,451,1,1.0022123893805308,1.0,1.0022123893805308
23,"('su', 'polémica', 'nacional')",1,0,451,1,1.0022123893805308,1.0,1.0022123893805308
24,"('medicina', 'en', 'inmunología')",1,0,451,1,1.0022123893805308,1.0,1.0022123893805308
25,"('enfisema', 'subcutáneo', 'asociado')",1,0,451,1,1.0022123893805308,1.0,1.0022123893805308
26,"('dar', 'respuesta')",1,0,451,1,1.0022123893805308,1.0,1.0022123893805308
27,"('hipersensibilidad', 'alérgica')",1,0,451,1,1.0022123893805308,1.0,1.0022123893805308
28,"('sociedad', 'latinomericiana')",1,0,451,1,1.0022123893805308,1.0,1.0022123893805308
29,"('látex', 'y', 'factor')",1,0,451,1,1.0022123893805308,1.0,1.0022123893805308
30,"('ayuntamiento', 'de', 'valencia')",1,0,451,1,1.0022123893805308,1.0,1.0022123893805308
31,"('lingüistico-literario', 'sobre', 'inoculación')",1,0,451,1,1.0022123893805308,1.0,1.0022123893805308
32,"('síndrome', 'de', 'skeeter')",1,0,451,1,1.0022123893805308,1.0,1.0022123893805308
33,"('pombo', 'para', 'traer')",1,0,451,1,1.0022123893805308,1.0,1.0022123893805308
34,"('cutánea', 'hacia', 'alérgeno')",1,0,451,1,1.0022123893805308,1.0,1.0022123893805308
35,"('antibioticoterapia', 'y', 'defensa')",1,0,451,1,1.0022123893805308,1.0,1.0022123893805308
36,"('posgrado', 'en', 'alergia')",1,0,451,1,1.0022123893805308,1.0,1.0022123893805308
37,"('1799', '-', '1804')",1,0,451,1,1.0022123893805308,1.0,1.0022123893805308
38,"('biblioteca', 'dr')",1,0,451,1,1.0022123893805308,1.0,1.0022123893805308
39,"('alergólogo', 'e', 'inmunólogo')",1,0,451,1,1.0022123893805308,1.0,1.0022123893805308
40,"('año', 'del', 'consejo')",1,0,451,1,1.0022123893805308,1.0,1.0022123893805308
41,"('lo', 'exámén', 'serológico')",1,0,451,1,1.0022123893805308,1.0,1.0022123893805308
42,"('hormiga', 'roja')",1,0,451,1,1.0022123893805308,1.0,1.0022123893805308
43,"('eje', 'ifng-il', '12/il')",1,0,451,1,1.0022123893805308,1.0,1.0022123893805308
44,"('entretelón', 'del', 'invento')",1,0,451,1,1.0022123893805308,1.0,1.0022123893805308
45,"('que', 'debemo', 'dar')",1,0,451,1,1.0022123893805308,1.0,1.0022123893805308
46,"('del', 'eje', 'ifng-il')",1,0,451,1,1.0022123893805308,1.0,1.0022123893805308
47,"('déférée', 'à', ""l'eglise"")",1,0,451,1,1.0022123893805308,1.0,1.0022123893805308
48,"('método', 'inmunologico')",1,0,451,1,1.0022123893805308,1.0,1.0022123893805308
49,"('e', 'inmunologia', 'a.c')",1,0,451,1,1.0022123893805308,1.0,1.0022123893805308
50,"('propio', 'modificado')",1,0,451,1,1.0022123893805308,1.0,1.0022123893805308
51,"('antidiftérico', 'en', '1895')",1,0,451,1,1.0022123893805308,1.0,1.0022123893805308
52,"('electrónica', 'de', 'revista')",1,0,451,1,1.0022123893805308,1.0,1.0022123893805308
53,entretelón,1,0,451,1,1.0022123893805308,1.0,1.0022123893805308
54,"('reconocimiento', 'inmune')",1,0,451,1,1.0022123893805308,1.0,1.0022123893805308
55,"('rosario', ',', '20')",1,0,451,1,1.0022123893805308,1.0,1.0022123893805308
56,"('apogeo', 'y', 'caída')",1,0,451,1,1.0022123893805308,1.0,1.0022123893805308
57,"('inmunologia', 'clinica')",1,0,451,1,1.0022123893805308,1.0,1.0022123893805308
58,"('josé', 'ignacio')",1,0,451,1,1.0022123893805308,1.0,1.0022123893805308
59,"('funcional', 'mediante', 'prueba')",1,0,451,1,1.0022123893805308,1.0,1.0022123893805308
60,"('paciente', 'con', 'anafilaxia')",1,0,451,1,1.0022123893805308,1.0,1.0022123893805308
61,"('inmunoestimulante', 'om-bv85')",1,0,451,1,1.0022123893805308,1.0,1.0022123893805308
62,"('diagnóstica', 'no', 'validada')",1,0,451,1,1.0022123893805308,1.0,1.0022123893805308
63,"('constantino', 'gómez', 'reig')",1,0,451,1,1.0022123893805308,1.0,1.0022123893805308
64,"('tiburcia', 'haedo')",1,0,451,1,1.0022123893805308,1.0,1.0022123893805308
65,"('virrey', 'sobremonte')",1,0,451,1,1.0022123893805308,1.0,1.0022123893805308
66,"('mario', 'salazar', 'mallen')",1,0,451,1,1.0022123893805308,1.0,1.0022123893805308
67,"('do', 'método', 'inmunologico')",1,0,451,1,1.0022123893805308,1.0,1.0022123893805308
68,"('prevalencia', 'de', 'autorreporte')",1,0,451,1,1.0022123893805308,1.0,1.0022123893805308
69,"('del', 'inmunoestimulante', 'om-bv85')",1,0,451,1,1.0022123893805308,1.0,1.0022123893805308
70,"('feijoo', 'a', 'quintana')",1,0,451,1,1.0022123893805308,1.0,1.0022123893805308
71,canseco,1,0,451,1,1.0022123893805308,1.0,1.0022123893805308
72,"('promoción', 'del', 'adiestramiento')",1,0,451,1,1.0022123893805308,1.0,1.0022123893805308
73,"('sulfonamida', 'y', 'fármaco')",1,0,451,1,1.0022123893805308,1.0,1.0022123893805308
74,"('1er', 'congreso')",1,0,451,1,1.0022123893805308,1.0,1.0022123893805308
75,"('adolescente', 'tardío')",1,0,451,1,1.0022123893805308,1.0,1.0022123893805308
76,"('1983', ',', 'monterrey')",1,0,451,1,1.0022123893805308,1.0,1.0022123893805308
77,"('cordoba', ':', 'doña')",1,0,451,1,1.0022123893805308,1.0,1.0022123893805308
78,"('28', 'reunión')",1,0,451,1,1.0022123893805308,1.0,1.0022123893805308
79,"('medicina', '1984')",1,0,451,1,1.0022123893805308,1.0,1.0022123893805308
80,"('innato', 'del', 'eje')",1,0,451,1,1.0022123893805308,1.0,1.0022123893805308
81,"('financiera', 'personal')",1,0,451,1,1.0022123893805308,1.0,1.0022123893805308
82,"('una', 'revista', 'iberoamericana')",1,0,451,1,1.0022123893805308,1.0,1.0022123893805308
83,"('estudio', 'en', 'busca')",1,0,451,1,1.0022123893805308,1.0,1.0022123893805308
84,"('reunion', 'cientifica', 'anual')",1,0,451,1,1.0022123893805308,1.0,1.0022123893805308
85,"('para', 'salmonella', 'typhi')",1,0,451,1,1.0022123893805308,1.0,1.0022123893805308
86,"('neutrófilo', 'de', 'paciente')",1,0,451,1,1.0022123893805308,1.0,1.0022123893805308
87,"('à', ""l'eglise"")",1,0,451,1,1.0022123893805308,1.0,1.0022123893805308
88,"('20', 'al', '22')",1,0,451,1,1.0022123893805308,1.0,1.0022123893805308
89,déférée,1,0,451,1,1.0022123893805308,1.0,1.0022123893805308
90,"('entidad', 'de', 'importancia')",1,0,451,1,1.0022123893805308,1.0,1.0022123893805308
91,"('12/il', '23')",1,0,451,1,1.0022123893805308,1.0,1.0022123893805308
92,"('perfil', 'del', 'alergólogo')",1,0,451,1,1.0022123893805308,1.0,1.0022123893805308
93,"('adolescente', 'tardío', 'difiere')",1,0,451,1,1.0022123893805308,1.0,1.0022123893805308
94,"('inmunología', 'iaaci')",1,0,451,1,1.0022123893805308,1.0,1.0022123893805308
95,"('sancionado', 'en', '1845')",1,0,451,1,1.0022123893805308,1.0,1.0022123893805308
96,"('raltegravir', 'y', 'darunavir')",1,0,451,1,1.0022123893805308,1.0,1.0022123893805308
97,"('sala', 'de', 'vacunación')",1,0,451,1,1.0022123893805308,1.0,1.0022123893805308
98,deliciosa,1,0,451,1,1.0022123893805308,1.0,1.0022123893805308
99,"('carlo', 'canseco', 'gonzález')",1,0,451,1,1.0022123893805308,1.0,1.0022123893805308
100,lingüistico-literario,1,0,451,1,1.0022123893805308,1.0,1.0022123893805308
101,skeeter,1,0,451,1,1.0022123893805308,1.0,1.0022123893805308
102,"('inmunitaria', 'a', 'fármaco')",1,0,451,1,1.0022123893805308,1.0,1.0022123893805308
103,"('ifng-il', '12/il', '23')",1,0,451,1,1.0022123893805308,1.0,1.0022123893805308
104,"('uso', 'de', 'aminofilina')",1,0,451,1,1.0022123893805308,1.0,1.0022123893805308
105,"('inmunologia', 'a.c')",1,0,451,1,1.0022123893805308,1.0,1.0022123893805308
106,"('de', ""l'inoculation"", 'déférée')",1,0,451,1,1.0022123893805308,1.0,1.0022123893805308
107,"('lactante', 'con', 'defecto')",1,0,451,1,1.0022123893805308,1.0,1.0022123893805308
108,pombo,1,0,451,1,1.0022123893805308,1.0,1.0022123893805308
