,Term,Ndeᵗᵢ,Ndeᶜᵗ,Ndᶜᵗeᵗᵢ,Eᵗ,LPM,TGM,LRM
0,"('gastroplastia', 'tubular', 'plicada')",2,2,232,2,0.5085470085470085,0.8237085656111178,0.4188945269560813
1,plicada,2,2,232,2,0.5085470085470085,0.8237085656111178,0.4188945269560813
2,"('tubular', 'plicada')",2,2,232,2,0.5085470085470085,0.8237085656111178,0.4188945269560813
3,"('impericia', ':', 'programa')",1,1,233,2,0.5042735042735043,0.8237085656111178,0.4153744048808201
4,"('mórbido', 'en', 'tiempo')",1,1,233,2,0.5042735042735043,0.8237085656111178,0.4153744048808201
5,"('interleucina', '18')",1,1,233,2,0.5042735042735043,0.8237085656111178,0.4153744048808201
6,"('mórbida', 'tratada')",1,1,233,2,0.5042735042735043,0.8237085656111178,0.4153744048808201
7,"('intestino', 'delgado', 'funcionante')",1,1,233,2,0.5042735042735043,0.8237085656111178,0.4153744048808201
8,"('bypas', ':', 'five-year')",1,1,233,2,0.5042735042735043,0.8237085656111178,0.4153744048808201
9,"('mínimamente', 'invasiva', 'emergente')",1,1,233,2,0.5042735042735043,0.8237085656111178,0.4153744048808201
10,"('referral', 'hospital')",1,1,233,2,0.5042735042735043,0.8237085656111178,0.4153744048808201
11,"('tertiary', 'referral')",1,1,233,2,0.5042735042735043,0.8237085656111178,0.4153744048808201
12,"('mórbida', ':', 'experiencia')",1,1,233,2,0.5042735042735043,0.8237085656111178,0.4153744048808201
13,lap-band,1,1,233,2,0.5042735042735043,0.8237085656111178,0.4153744048808201
14,"('de', 'by-pas', 'yeyuno-ileal')",1,1,233,2,0.5042735042735043,0.8237085656111178,0.4153744048808201
15,"('laparoscopic', 'gastric', 'bypas')",1,1,233,2,0.5042735042735043,0.8237085656111178,0.4153744048808201
16,"('metabolic', 'change')",1,1,233,2,0.5042735042735043,0.8237085656111178,0.4153744048808201
17,"('reducción', 'del', 'efecto')",1,1,233,2,0.5042735042735043,0.8237085656111178,0.4153744048808201
18,"('variación', 'inducida')",1,1,233,2,0.5042735042735043,0.8237085656111178,0.4153744048808201
19,"('ajustable', '(', 'lap-band')",1,1,233,2,0.5042735042735043,0.8237085656111178,0.4153744048808201
20,"('y', 'nueva', 'modalidad')",1,1,233,2,0.5042735042735043,0.8237085656111178,0.4153744048808201
21,"('nomenclatura', 'utilizada')",1,1,233,2,0.5042735042735043,0.8237085656111178,0.4153744048808201
22,"('somatostatina', 'intestinal')",1,1,233,2,0.5042735042735043,0.8237085656111178,0.4153744048808201
23,"('in', 'a', 'tertiary')",1,1,233,2,0.5042735042735043,0.8237085656111178,0.4153744048808201
24,"('tra', '407', 'intervención')",1,1,233,2,0.5042735042735043,0.8237085656111178,0.4153744048808201
25,"('bariátrica', ':', 'valoración')",1,1,233,2,0.5042735042735043,0.8237085656111178,0.4153744048808201
26,"('simple', 'de', 'by-pas')",1,1,233,2,0.5042735042735043,0.8237085656111178,0.4153744048808201
27,"('gastroplastia', 'o', 'gastrectomía')",1,1,233,2,0.5042735042735043,0.8237085656111178,0.4153744048808201
28,bandeleta,1,1,233,2,0.5042735042735043,0.8237085656111178,0.4153744048808201
29,"('candidato', 'de', 'cirugía')",1,1,233,2,0.5042735042735043,0.8237085656111178,0.4153744048808201
30,"('after', 'laparoscopic', 'gastric')",1,1,233,2,0.5042735042735043,0.8237085656111178,0.4153744048808201
31,"('in', 'obese')",1,1,233,2,0.5042735042735043,0.8237085656111178,0.4153744048808201
32,"('gástrico', 'simplificado')",1,1,233,2,0.5042735042735043,0.8237085656111178,0.4153744048808201
33,"('patient', 'after', 'laparoscopic')",1,1,233,2,0.5042735042735043,0.8237085656111178,0.4153744048808201
34,"('five-year', 'experience')",1,1,233,2,0.5042735042735043,0.8237085656111178,0.4153744048808201
35,"('abordaje', 'de', 'elección')",1,1,233,2,0.5042735042735043,0.8237085656111178,0.4153744048808201
36,"('productora', 'de', 'somatostatina')",1,1,233,2,0.5042735042735043,0.8237085656111178,0.4153744048808201
37,"('la', 'anastomosis', 'intracorpora')",1,1,233,2,0.5042735042735043,0.8237085656111178,0.4153744048808201
38,"('gastroplastia', 'horizontal', 'laparoscópica')",1,1,233,2,0.5042735042735043,0.8237085656111178,0.4153744048808201
39,"('a', 'gastroplastia', 'tubular')",1,1,233,2,0.5042735042735043,0.8237085656111178,0.4153744048808201
40,"('peso', 'preoperatoria')",1,1,233,2,0.5042735042735043,0.8237085656111178,0.4153744048808201
41,"('407', 'intervención')",1,1,233,2,0.5042735042735043,0.8237085656111178,0.4153744048808201
42,"('haciendo', 'fácil')",1,1,233,2,0.5042735042735043,0.8237085656111178,0.4153744048808201
43,"('técnica', 'bariátrica', 'actual')",1,1,233,2,0.5042735042735043,0.8237085656111178,0.4153744048808201
44,"('adiponectina', ',', 'interleucina')",1,1,233,2,0.5042735042735043,0.8237085656111178,0.4153744048808201
45,"('18', 'y', 'ghrelina')",1,1,233,2,0.5042735042735043,0.8237085656111178,0.4153744048808201
46,"('quirúrgico', 'y', 'nueva')",1,1,233,2,0.5042735042735043,0.8237085656111178,0.4153744048808201
47,"('de', 'somatostatina', 'intestinal')",1,1,233,2,0.5042735042735043,0.8237085656111178,0.4153744048808201
48,"('plasmática', 'de', 'adiponectina')",1,1,233,2,0.5042735042735043,0.8237085656111178,0.4153744048808201
49,"('gástrico', 'y', 'derivación')",1,1,233,2,0.5042735042735043,0.8237085656111178,0.4153744048808201
50,"('obesidad', 'mórbida', 'tratada')",1,1,233,2,0.5042735042735043,0.8237085656111178,0.4153744048808201
51,"('curva', 'ponderal', 'tra')",1,1,233,2,0.5042735042735043,0.8237085656111178,0.4153744048808201
52,"('eficacia', 'e', 'implicación')",1,1,233,2,0.5042735042735043,0.8237085656111178,0.4153744048808201
53,five-year,1,1,233,2,0.5042735042735043,0.8237085656111178,0.4153744048808201
54,móbido,1,1,233,2,0.5042735042735043,0.8237085656111178,0.4153744048808201
55,"('rentable', 'operar')",1,1,233,2,0.5042735042735043,0.8237085656111178,0.4153744048808201
56,"('obesidad', 'refractaria')",1,1,233,2,0.5042735042735043,0.8237085656111178,0.4153744048808201
57,"('coste-beneficio', 'en', 'eventración')",1,1,233,2,0.5042735042735043,0.8237085656111178,0.4153744048808201
58,"('cervical', ':', 'euro')",1,1,233,2,0.5042735042735043,0.8237085656111178,0.4153744048808201
59,"('un', 'desarrollo', 'coherente')",1,1,233,2,0.5042735042735043,0.8237085656111178,0.4153744048808201
60,"('secundaria', 'a', 'gastroplastia')",1,1,233,2,0.5042735042735043,0.8237085656111178,0.4153744048808201
61,"('bariátrica', ':', 'resultado')",1,1,233,2,0.5042735042735043,0.8237085656111178,0.4153744048808201
62,"('estructural', 'del', 'intestino')",1,1,233,2,0.5042735042735043,0.8237085656111178,0.4153744048808201
63,"('distinta', 'opción', 'técnica')",1,1,233,2,0.5042735042735043,0.8237085656111178,0.4153744048808201
64,"('fácil', 'lo', 'difícil')",1,1,233,2,0.5042735042735043,0.8237085656111178,0.4153744048808201
65,"('del', 'segmento', 'aislado')",1,1,233,2,0.5042735042735043,0.8237085656111178,0.4153744048808201
66,"('tratada', 'con', 'cirugía')",1,1,233,2,0.5042735042735043,0.8237085656111178,0.4153744048808201
67,"('distribución', 'de', 'célula')",1,1,233,2,0.5042735042735043,0.8237085656111178,0.4153744048808201
68,"('podemo', 'luchar')",1,1,233,2,0.5042735042735043,0.8237085656111178,0.4153744048808201
69,larrad,1,1,233,2,0.5042735042735043,0.8237085656111178,0.4153744048808201
70,"('de', 'alteración', 'psicopatológica')",1,1,233,2,0.5042735042735043,0.8237085656111178,0.4153744048808201
71,"('programa', 'deformación')",1,1,233,2,0.5042735042735043,0.8237085656111178,0.4153744048808201
72,"('horizontal', 'laparoscópica')",1,1,233,2,0.5042735042735043,0.8237085656111178,0.4153744048808201
73,"('bariátrica', 'en', 'niño')",1,1,233,2,0.5042735042735043,0.8237085656111178,0.4153744048808201
74,"('la', 'sutura', 'continua')",1,1,233,2,0.5042735042735043,0.8237085656111178,0.4153744048808201
75,"('tertiary', 'referral', 'hospital')",1,1,233,2,0.5042735042735043,0.8237085656111178,0.4153744048808201
76,"('five-year', 'experience', 'in')",1,1,233,2,0.5042735042735043,0.8237085656111178,0.4153744048808201
77,"('energético', 'y', 'composición')",1,1,233,2,0.5042735042735043,0.8237085656111178,0.4153744048808201
78,"('metabolic', 'change', 'in')",1,1,233,2,0.5042735042735043,0.8237085656111178,0.4153744048808201
79,"('bypas', 'gástrico', 'simplificado')",1,1,233,2,0.5042735042735043,0.8237085656111178,0.4153744048808201
80,"('de', 'peso', 'preoperatoria')",1,1,233,2,0.5042735042735043,0.8237085656111178,0.4153744048808201
81,"('y', 'derivación', 'biliopancreática')",1,1,233,2,0.5042735042735043,0.8237085656111178,0.4153744048808201
82,"('yeyuno-ileal', 'en', '6')",1,1,233,2,0.5042735042735043,0.8237085656111178,0.4153744048808201
83,"('artículo', 'de', 'coste-beneficio')",1,1,233,2,0.5042735042735043,0.8237085656111178,0.4153744048808201
84,"('deformación', 'en', 'cirugía')",1,1,233,2,0.5042735042735043,0.8237085656111178,0.4153744048808201
85,"('anastomosis', 'intracorpora')",1,1,233,2,0.5042735042735043,0.8237085656111178,0.4153744048808201
86,"('evolución', 'de', 'alteración')",1,1,233,2,0.5042735042735043,0.8237085656111178,0.4153744048808201
