,Term,Ndeᵗᵢ,Ndeᶜᵗ,Ndᶜᵗeᵗᵢ,Eᵗ,LPM,TGM,LRM
0,"('cátedra', 'de', 'medicina')",2,0,355,1,1.0056022408963583,1.0,1.0056022408963583
1,"('antropología', 'forense')",2,0,355,1,1.0056022408963583,1.0,1.0056022408963583
2,"('internamiento', 'psiquiátrico')",2,0,355,1,1.0056022408963583,1.0,1.0056022408963583
3,cesare,2,0,355,1,1.0056022408963583,1.0,1.0056022408963583
4,"('administración', 'de', 'justicia')",2,0,355,1,1.0056022408963583,1.0,1.0056022408963583
5,"('cesare', 'lombroso')",2,0,355,1,1.0056022408963583,1.0,1.0056022408963583
6,"('congénita', 'no', 'diagnosticada')",2,0,355,1,1.0056022408963583,1.0,1.0056022408963583
7,lombroso,2,0,355,1,1.0056022408963583,1.0,1.0056022408963583
8,"('delito', 'de', 'atentado')",2,0,355,1,1.0056022408963583,1.0,1.0056022408963583
9,"('dato', 'de', 'adn')",2,0,355,1,1.0056022408963583,1.0,1.0056022408963583
10,calliphoridae,2,0,355,1,1.0056022408963583,1.0,1.0056022408963583
11,"('problema', 'estadístico')",1,0,356,1,1.0028011204481793,1.0,1.0028011204481793
12,barranca,1,0,356,1,1.0028011204481793,1.0,1.0028011204481793
13,"('comparecencia', 'en', 'caso')",1,0,356,1,1.0028011204481793,1.0,1.0028011204481793
14,"('chrysomya', 'albicep')",1,0,356,1,1.0028011204481793,1.0,1.0028011204481793
15,"('demografía', 'médica')",1,0,356,1,1.0028011204481793,1.0,1.0028011204481793
16,"('la', 'enseńanza', 'prãctica')",1,0,356,1,1.0028011204481793,1.0,1.0028011204481793
17,"('cafeína', 'y', 'quinina')",1,0,356,1,1.0028011204481793,1.0,1.0028011204481793
18,"('médica', 'del', 'crimen')",1,0,356,1,1.0028011204481793,1.0,1.0028011204481793
19,"('y', 'autopsia', 'clínica')",1,0,356,1,1.0028011204481793,1.0,1.0028011204481793
20,"('memoria', 'y', 'lección')",1,0,356,1,1.0028011204481793,1.0,1.0028011204481793
21,"('fondo', 'del', 'peritaje')",1,0,356,1,1.0028011204481793,1.0,1.0028011204481793
22,"('de', 'antropología', 'forense')",1,0,356,1,1.0028011204481793,1.0,1.0028011204481793
23,"('lección', 'del', 'tiempo')",1,0,356,1,1.0028011204481793,1.0,1.0028011204481793
24,"('paternidad', 'prenatal')",1,0,356,1,1.0028011204481793,1.0,1.0028011204481793
25,"('en', '342', 'caso')",1,0,356,1,1.0028011204481793,1.0,1.0028011204481793
26,"('un', 'proceso', 'judicial')",1,0,356,1,1.0028011204481793,1.0,1.0028011204481793
27,"('legal', 'contemporánea')",1,0,356,1,1.0028011204481793,1.0,1.0028011204481793
28,"('médico', 'como', 'inculpado')",1,0,356,1,1.0028011204481793,1.0,1.0028011204481793
29,"('acido', 'desoxirribonucleico')",1,0,356,1,1.0028011204481793,1.0,1.0028011204481793
30,"('concentración', 'de', 'alcohol')",1,0,356,1,1.0028011204481793,1.0,1.0028011204481793
31,universidao,1,0,356,1,1.0028011204481793,1.0,1.0028011204481793
32,"('problema', 'estadístico', 'relacionado')",1,0,356,1,1.0028011204481793,1.0,1.0028011204481793
33,"('hacia', 'lo', 'médico')",1,0,356,1,1.0028011204481793,1.0,1.0028011204481793
34,"('lo', 'formulario', 'escrito')",1,0,356,1,1.0028011204481793,1.0,1.0028011204481793
35,"('paleopatología', 'y', 'criminalística')",1,0,356,1,1.0028011204481793,1.0,1.0028011204481793
36,"('medica', 'de', 'bueno')",1,0,356,1,1.0028011204481793,1.0,1.0028011204481793
37,comparecencia,1,0,356,1,1.0028011204481793,1.0,1.0028011204481793
38,restableciendo,1,0,356,1,1.0028011204481793,1.0,1.0028011204481793
39,"('d.', 'bonifacio', 'piga')",1,0,356,1,1.0028011204481793,1.0,1.0028011204481793
40,"('estructuración', 'de', 'acuerdo')",1,0,356,1,1.0028011204481793,1.0,1.0028011204481793
41,"('requisito', 'y', 'garantía')",1,0,356,1,1.0028011204481793,1.0,1.0028011204481793
42,amato,1,0,356,1,1.0028011204481793,1.0,1.0028011204481793
43,"('forense', 'y', 'moral')",1,0,356,1,1.0028011204481793,1.0,1.0028011204481793
44,"('universidao', 'nacional')",1,0,356,1,1.0028011204481793,1.0,1.0028011204481793
45,"('quiroga', 'en', 'barranca')",1,0,356,1,1.0028011204481793,1.0,1.0028011204481793
46,"('judicial', 'y', 'perito')",1,0,356,1,1.0028011204481793,1.0,1.0028011204481793
47,"('problemática', 'e', 'ideología')",1,0,356,1,1.0028011204481793,1.0,1.0028011204481793
48,"('ser', 'la', 'base')",1,0,356,1,1.0028011204481793,1.0,1.0028011204481793
49,"('la', 'atención', 'toxicológica')",1,0,356,1,1.0028011204481793,1.0,1.0028011204481793
50,"('comunicación', 'del', 'error')",1,0,356,1,1.0028011204481793,1.0,1.0028011204481793
51,"('aspecto', 'del', 'alcohol')",1,0,356,1,1.0028011204481793,1.0,1.0028011204481793
52,"('del', 'tiempo', 'vivido')",1,0,356,1,1.0028011204481793,1.0,1.0028011204481793
53,"('restableciendo', 'la', 'salud')",1,0,356,1,1.0028011204481793,1.0,1.0028011204481793
54,"('real', 'del', 'volumen')",1,0,356,1,1.0028011204481793,1.0,1.0028011204481793
55,"('de', 'centro', 'privado')",1,0,356,1,1.0028011204481793,1.0,1.0028011204481793
56,"('descripción', 'y', 'clave')",1,0,356,1,1.0028011204481793,1.0,1.0028011204481793
57,microquämico,1,0,356,1,1.0028011204481793,1.0,1.0028011204481793
58,"('cadena', 'de', 'custodia')",1,0,356,1,1.0028011204481793,1.0,1.0028011204481793
59,"('forense', 'del', 'adn')",1,0,356,1,1.0028011204481793,1.0,1.0028011204481793
60,"('funcionario', 'judicial')",1,0,356,1,1.0028011204481793,1.0,1.0028011204481793
61,"('con', 'actividad', 'pública')",1,0,356,1,1.0028011204481793,1.0,1.0028011204481793
62,"('huella', 'de', 'oreja')",1,0,356,1,1.0028011204481793,1.0,1.0028011204481793
63,"('d.', 'pedro', 'mata')",1,0,356,1,1.0028011204481793,1.0,1.0028011204481793
64,yaco,1,0,356,1,1.0028011204481793,1.0,1.0028011204481793
65,villena,1,0,356,1,1.0028011204481793,1.0,1.0028011204481793
66,"('homicidio', 'y', 'robo')",1,0,356,1,1.0028011204481793,1.0,1.0028011204481793
67,"('médico-legal', 'del', 'internamiento')",1,0,356,1,1.0028011204481793,1.0,1.0028011204481793
68,lecha-marzo,1,0,356,1,1.0028011204481793,1.0,1.0028011204481793
69,"('medicamento', 'esteroide', 'anabolizante')",1,0,356,1,1.0028011204481793,1.0,1.0028011204481793
70,"('odontologia', 'forense')",1,0,356,1,1.0028011204481793,1.0,1.0028011204481793
71,"('identificación', 'general')",1,0,356,1,1.0028011204481793,1.0,1.0028011204481793
72,"('indicio', 'criminal', 'biológico')",1,0,356,1,1.0028011204481793,1.0,1.0028011204481793
73,"('por', 'anomalía', 'coronaria')",1,0,356,1,1.0028011204481793,1.0,1.0028011204481793
74,"('forma', 'y', 'fondo')",1,0,356,1,1.0028011204481793,1.0,1.0028011204481793
75,"('policial', 'sobre', 'identificador')",1,0,356,1,1.0028011204481793,1.0,1.0028011204481793
76,"('bígamo', 'y', 'pacto')",1,0,356,1,1.0028011204481793,1.0,1.0028011204481793
77,"('cual', 'debe', 'ser')",1,0,356,1,1.0028011204481793,1.0,1.0028011204481793
78,"('del', 'peritaje', 'médico')",1,0,356,1,1.0028011204481793,1.0,1.0028011204481793
79,"('inquisitorial', 'al', 'dr')",1,0,356,1,1.0028011204481793,1.0,1.0028011204481793
80,"('aspecto', 'medico', 'legal')",1,0,356,1,1.0028011204481793,1.0,1.0028011204481793
81,"('y', 'moral', 'sexual')",1,0,356,1,1.0028011204481793,1.0,1.0028011204481793
82,"('odontología', 'legal')",1,0,356,1,1.0028011204481793,1.0,1.0028011204481793
83,"('en', 'enfermedad', 'compleja')",1,0,356,1,1.0028011204481793,1.0,1.0028011204481793
84,"('crecimiento', 'del', 'saber')",1,0,356,1,1.0028011204481793,1.0,1.0028011204481793
85,bígamo,1,0,356,1,1.0028011204481793,1.0,1.0028011204481793
86,"('medicina', 'de', 'bialet')",1,0,356,1,1.0028011204481793,1.0,1.0028011204481793
87,"('proyecto', 'de', 'estructuración')",1,0,356,1,1.0028011204481793,1.0,1.0028011204481793
88,"('tribunal', 'supremo', 'acerca')",1,0,356,1,1.0028011204481793,1.0,1.0028011204481793
89,"('atentado', 'contra', 'personal')",1,0,356,1,1.0028011204481793,1.0,1.0028011204481793
90,"('necesidad', 'jurídica')",1,0,356,1,1.0028011204481793,1.0,1.0028011204481793
91,beltran,1,0,356,1,1.0028011204481793,1.0,1.0028011204481793
92,"('sobre', 'identificador', 'obtenido')",1,0,356,1,1.0028011204481793,1.0,1.0028011204481793
93,"('caso', 'de', 'mala')",1,0,356,1,1.0028011204481793,1.0,1.0028011204481793
94,"('vario', 'marcador')",1,0,356,1,1.0028011204481793,1.0,1.0028011204481793
95,"('alienación', 'parental')",1,0,356,1,1.0028011204481793,1.0,1.0028011204481793
96,"('libro', 'del', 'dr')",1,0,356,1,1.0028011204481793,1.0,1.0028011204481793
97,"('la', 'huella', 'genética')",1,0,356,1,1.0028011204481793,1.0,1.0028011204481793
98,"('procedimiento', 'de', 'actuación')",1,0,356,1,1.0028011204481793,1.0,1.0028011204481793
99,"('súbita', 'por', 'hernia')",1,0,356,1,1.0028011204481793,1.0,1.0028011204481793
100,"('académico', 'd.', 'pedro')",1,0,356,1,1.0028011204481793,1.0,1.0028011204481793
101,"('la', 'antropología', 'forense')",1,0,356,1,1.0028011204481793,1.0,1.0028011204481793
102,"('identificación', 'de', 'chrysomya')",1,0,356,1,1.0028011204481793,1.0,1.0028011204481793
103,"('saber', 'medico', 'legal')",1,0,356,1,1.0028011204481793,1.0,1.0028011204481793
104,"('escuela', 'de', 'odontologia')",1,0,356,1,1.0028011204481793,1.0,1.0028011204481793
105,"('médica', 'en', 'barcelona')",1,0,356,1,1.0028011204481793,1.0,1.0028011204481793
106,"('enseńanza', 'prãctica')",1,0,356,1,1.0028011204481793,1.0,1.0028011204481793
107,"('la', 'investigación', 'biológica')",1,0,356,1,1.0028011204481793,1.0,1.0028011204481793
108,"('de', 'dato', 'policial')",1,0,356,1,1.0028011204481793,1.0,1.0028011204481793
109,"('judicial', 'y', 'autopsia')",1,0,356,1,1.0028011204481793,1.0,1.0028011204481793
110,"('legislación', 'penal')",1,0,356,1,1.0028011204481793,1.0,1.0028011204481793
111,"('la', 'universidad', 'complutense')",1,0,356,1,1.0028011204481793,1.0,1.0028011204481793
112,"('de', 'amato', 'lusitano')",1,0,356,1,1.0028011204481793,1.0,1.0028011204481793
113,"('lo', 'funcionario', 'judicial')",1,0,356,1,1.0028011204481793,1.0,1.0028011204481793
114,"('la', 'universidao', 'nacional')",1,0,356,1,1.0028011204481793,1.0,1.0028011204481793
115,"('mala', 'práctica', 'médica')",1,0,356,1,1.0028011204481793,1.0,1.0028011204481793
116,"('la', 'centuria', 'medica')",1,0,356,1,1.0028011204481793,1.0,1.0028011204481793
117,"('médico-forense', 'y', 'nueva')",1,0,356,1,1.0028011204481793,1.0,1.0028011204481793
118,"('sustancial', 'del', 'delito')",1,0,356,1,1.0028011204481793,1.0,1.0028011204481793
119,"('dato', 'policial')",1,0,356,1,1.0028011204481793,1.0,1.0028011204481793
120,"('torre', 'por', 'blasfemo')",1,0,356,1,1.0028011204481793,1.0,1.0028011204481793
121,"('actividad', 'pública')",1,0,356,1,1.0028011204481793,1.0,1.0028011204481793
122,"('valoración', 'médico-forense')",1,0,356,1,1.0028011204481793,1.0,1.0028011204481793
123,albicep,1,0,356,1,1.0028011204481793,1.0,1.0028011204481793
124,"('del', 'error', 'médico')",1,0,356,1,1.0028011204481793,1.0,1.0028011204481793
125,"('y', 'medicina', 'forense')",1,0,356,1,1.0028011204481793,1.0,1.0028011204481793
126,"('decisión', 'en', 'investigación')",1,0,356,1,1.0028011204481793,1.0,1.0028011204481793
127,"('analizando', 'cinco', 'str')",1,0,356,1,1.0028011204481793,1.0,1.0028011204481793
128,"('el', 'cuerpo', 'médico')",1,0,356,1,1.0028011204481793,1.0,1.0028011204481793
129,"('metodo', 'angiográfico')",1,0,356,1,1.0028011204481793,1.0,1.0028011204481793
130,"('contra', 'personal', 'sanitario')",1,0,356,1,1.0028011204481793,1.0,1.0028011204481793
131,"('reto', 'del', 'futuro')",1,0,356,1,1.0028011204481793,1.0,1.0028011204481793
132,"('y', 'nueva', 'legislación')",1,0,356,1,1.0028011204481793,1.0,1.0028011204481793
133,"('genético', 'clásico')",1,0,356,1,1.0028011204481793,1.0,1.0028011204481793
134,"('la', 'última', 'jurisprudencia')",1,0,356,1,1.0028011204481793,1.0,1.0028011204481793
135,"('del', 'internamiento', 'psiquiátrico')",1,0,356,1,1.0028011204481793,1.0,1.0028011204481793
136,"('del', 'saber', 'medico')",1,0,356,1,1.0028011204481793,1.0,1.0028011204481793
137,"('cadáver', 'de', 'menor')",1,0,356,1,1.0028011204481793,1.0,1.0028011204481793
138,"('dna', 'en', 'varón')",1,0,356,1,1.0028011204481793,1.0,1.0028011204481793
139,"('c.', 'megacephala')",1,0,356,1,1.0028011204481793,1.0,1.0028011204481793
140,"('jurídico', 'del', 'proceso')",1,0,356,1,1.0028011204481793,1.0,1.0028011204481793
141,"('genética', 'del', 'dna')",1,0,356,1,1.0028011204481793,1.0,1.0028011204481793
142,"('partir', 'del', 'adn')",1,0,356,1,1.0028011204481793,1.0,1.0028011204481793
143,"('sr.', 'd.', 'bonifacio')",1,0,356,1,1.0028011204481793,1.0,1.0028011204481793
144,"('regeneración', 'nacional')",1,0,356,1,1.0028011204481793,1.0,1.0028011204481793
145,"('la', 'identificación', 'general')",1,0,356,1,1.0028011204481793,1.0,1.0028011204481793
146,"('museo', 'de', 'antropología')",1,0,356,1,1.0028011204481793,1.0,1.0028011204481793
147,"('atentado', 'a', 'partir')",1,0,356,1,1.0028011204481793,1.0,1.0028011204481793
148,"('forense', 'en', 'japon')",1,0,356,1,1.0028011204481793,1.0,1.0028011204481793
149,"('geométrica', 'alar')",1,0,356,1,1.0028011204481793,1.0,1.0028011204481793
150,"('marcador', 'genético', 'clásico')",1,0,356,1,1.0028011204481793,1.0,1.0028011204481793
151,"('ramon', 'beltran')",1,0,356,1,1.0028011204481793,1.0,1.0028011204481793
152,"('facundo', 'quiroga')",1,0,356,1,1.0028011204481793,1.0,1.0028011204481793
153,"('de', 'alienación', 'parental')",1,0,356,1,1.0028011204481793,1.0,1.0028011204481793
154,"('analizando', 'cinco')",1,0,356,1,1.0028011204481793,1.0,1.0028011204481793
155,megacephala,1,0,356,1,1.0028011204481793,1.0,1.0028011204481793
156,"('ambito', 'forense')",1,0,356,1,1.0028011204481793,1.0,1.0028011204481793
157,"('morfometría', 'geométrica', 'alar')",1,0,356,1,1.0028011204481793,1.0,1.0028011204481793
158,"('de', 'chrysomya', 'albicep')",1,0,356,1,1.0028011204481793,1.0,1.0028011204481793
159,"('de', 'medicamento', 'esteroide')",1,0,356,1,1.0028011204481793,1.0,1.0028011204481793
160,"('identificador', 'obtenido')",1,0,356,1,1.0028011204481793,1.0,1.0028011204481793
161,"('lo', 'procedimiento', 'judicial')",1,0,356,1,1.0028011204481793,1.0,1.0028011204481793
162,"('el', 'ambito', 'forense')",1,0,356,1,1.0028011204481793,1.0,1.0028011204481793
163,"('de', 'mala', 'práctica')",1,0,356,1,1.0028011204481793,1.0,1.0028011204481793
164,"('medicina', 'y', 'regeneración')",1,0,356,1,1.0028011204481793,1.0,1.0028011204481793
165,"('himen', 'dilatable')",1,0,356,1,1.0028011204481793,1.0,1.0028011204481793
166,"('la', 'demografía', 'médica')",1,0,356,1,1.0028011204481793,1.0,1.0028011204481793
167,"('intervención', 'médico-forense')",1,0,356,1,1.0028011204481793,1.0,1.0028011204481793
168,"('y', 'problema', 'ético-legal')",1,0,356,1,1.0028011204481793,1.0,1.0028011204481793
169,"('profilaxis', 'médica')",1,0,356,1,1.0028011204481793,1.0,1.0028011204481793
170,blasfemo,1,0,356,1,1.0028011204481793,1.0,1.0028011204481793
171,"('nueva', 'necesidad', 'jurídica')",1,0,356,1,1.0028011204481793,1.0,1.0028011204481793
172,"('técnica', 'para', 'reconocimiento')",1,0,356,1,1.0028011204481793,1.0,1.0028011204481793
173,"('genética', 'de', 'tre')",1,0,356,1,1.0028011204481793,1.0,1.0028011204481793
174,"('moral', 'sexual')",1,0,356,1,1.0028011204481793,1.0,1.0028011204481793
175,"('sintoma', 'de', 'intoxicacion')",1,0,356,1,1.0028011204481793,1.0,1.0028011204481793
176,"('piga', 'sánchez-morate')",1,0,356,1,1.0028011204481793,1.0,1.0028011204481793
177,"('química', 'en', 'urgencia')",1,0,356,1,1.0028011204481793,1.0,1.0028011204481793
178,"('problema', 'ético-legal')",1,0,356,1,1.0028011204481793,1.0,1.0028011204481793
179,"('105', 'determinación')",1,0,356,1,1.0028011204481793,1.0,1.0028011204481793
180,"('con', 'papel', 'reactivo')",1,0,356,1,1.0028011204481793,1.0,1.0028011204481793
181,"('de', 'muestra', 'procedente')",1,0,356,1,1.0028011204481793,1.0,1.0028011204481793
182,"('de', 'intoxicacion', 'alcoholica')",1,0,356,1,1.0028011204481793,1.0,1.0028011204481793
183,"('de', 'importancia', 'forense')",1,0,356,1,1.0028011204481793,1.0,1.0028011204481793
184,"('por', 'metodo', 'angiográfico')",1,0,356,1,1.0028011204481793,1.0,1.0028011204481793
185,"('saber', 'medico')",1,0,356,1,1.0028011204481793,1.0,1.0028011204481793
186,piga,1,0,356,1,1.0028011204481793,1.0,1.0028011204481793
187,"('proceso', 'del', 'final')",1,0,356,1,1.0028011204481793,1.0,1.0028011204481793
188,"('la', 'función', 'medico-forense')",1,0,356,1,1.0028011204481793,1.0,1.0028011204481793
189,"('obra', 'de', 'lecha-marzo')",1,0,356,1,1.0028011204481793,1.0,1.0028011204481793
190,"('la', 'profilaxis', 'médica')",1,0,356,1,1.0028011204481793,1.0,1.0028011204481793
191,facundo,1,0,356,1,1.0028011204481793,1.0,1.0028011204481793
192,"('metabolismo', 'del', 'acetato')",1,0,356,1,1.0028011204481793,1.0,1.0028011204481793
193,"('intoxicacion', 'alcoholica')",1,0,356,1,1.0028011204481793,1.0,1.0028011204481793
194,"('custodia', 'de', 'evidencia')",1,0,356,1,1.0028011204481793,1.0,1.0028011204481793
195,massé,1,0,356,1,1.0028011204481793,1.0,1.0028011204481793
196,"('barranca', 'yaco')",1,0,356,1,1.0028011204481793,1.0,1.0028011204481793
197,"('legal', 'como', 'rama')",1,0,356,1,1.0028011204481793,1.0,1.0028011204481793
198,"('histórico', 'y', 'médico')",1,0,356,1,1.0028011204481793,1.0,1.0028011204481793
199,"('ética', 'y', 'médico-legal')",1,0,356,1,1.0028011204481793,1.0,1.0028011204481793
200,"('la', 'legislación', 'penal')",1,0,356,1,1.0028011204481793,1.0,1.0028011204481793
201,"('supremo', 'acerca')",1,0,356,1,1.0028011204481793,1.0,1.0028011204481793
202,bonifacio,1,0,356,1,1.0028011204481793,1.0,1.0028011204481793
203,"('la', 'identificación', 'genética')",1,0,356,1,1.0028011204481793,1.0,1.0028011204481793
204,"('investigación', 'criminal')",1,0,356,1,1.0028011204481793,1.0,1.0028011204481793
205,"('modificación', 'sustancial')",1,0,356,1,1.0028011204481793,1.0,1.0028011204481793
206,"('determinación', 'en', '342')",1,0,356,1,1.0028011204481793,1.0,1.0028011204481793
207,"('asesinato', 'de', 'facundo')",1,0,356,1,1.0028011204481793,1.0,1.0028011204481793
208,"('10', 'a', '19')",1,0,356,1,1.0028011204481793,1.0,1.0028011204481793
209,"('de', 'facundo', 'quiroga')",1,0,356,1,1.0028011204481793,1.0,1.0028011204481793
210,"('violación', 'y', 'transgresión')",1,0,356,1,1.0028011204481793,1.0,1.0028011204481793
211,"('la', 'valoración', 'médico-forense')",1,0,356,1,1.0028011204481793,1.0,1.0028011204481793
212,"('indicio', 'criminal')",1,0,356,1,1.0028011204481793,1.0,1.0028011204481793
213,complaciente,1,0,356,1,1.0028011204481793,1.0,1.0028011204481793
214,"('universidad', 'complutense')",1,0,356,1,1.0028011204481793,1.0,1.0028011204481793
215,"('actividad', 'pública', 'concertada')",1,0,356,1,1.0028011204481793,1.0,1.0028011204481793
216,"('testigo', 'del', 'análisis')",1,0,356,1,1.0028011204481793,1.0,1.0028011204481793
217,"('de', 'paternidad', 'prenatal')",1,0,356,1,1.0028011204481793,1.0,1.0028011204481793
218,"('histórico', 'y', 'visión')",1,0,356,1,1.0028011204481793,1.0,1.0028011204481793
219,"('bialet', 'massé')",1,0,356,1,1.0028011204481793,1.0,1.0028011204481793
220,"('cuerpo', 'médico', 'forense')",1,0,356,1,1.0028011204481793,1.0,1.0028011204481793
221,"('asociación', 'en', 'enfermedad')",1,0,356,1,1.0028011204481793,1.0,1.0028011204481793
222,"('especi', 'de', 'calliphoridae')",1,0,356,1,1.0028011204481793,1.0,1.0028011204481793
223,"('y', 'regeneración', 'nacional')",1,0,356,1,1.0028011204481793,1.0,1.0028011204481793
224,"('estadístico', 'relacionado')",1,0,356,1,1.0028011204481793,1.0,1.0028011204481793
225,"('derecho', 'medico')",1,0,356,1,1.0028011204481793,1.0,1.0028011204481793
226,inculpado,1,0,356,1,1.0028011204481793,1.0,1.0028011204481793
227,bialet,1,0,356,1,1.0028011204481793,1.0,1.0028011204481793
228,"('el', 'uso', 'forense')",1,0,356,1,1.0028011204481793,1.0,1.0028011204481793
229,"('consecuencia', 'ética')",1,0,356,1,1.0028011204481793,1.0,1.0028011204481793
230,"('albicep', 'y', 'c.')",1,0,356,1,1.0028011204481793,1.0,1.0028011204481793
231,"('menor', 'o', 'adulto')",1,0,356,1,1.0028011204481793,1.0,1.0028011204481793
232,"('académico', 'd.')",1,0,356,1,1.0028011204481793,1.0,1.0028011204481793
233,"('autopsia', 'judicial')",1,0,356,1,1.0028011204481793,1.0,1.0028011204481793
234,"('de', 'vario', 'marcador')",1,0,356,1,1.0028011204481793,1.0,1.0028011204481793
235,"('función', 'medico-forense')",1,0,356,1,1.0028011204481793,1.0,1.0028011204481793
236,"('técnico', 'y', 'problema')",1,0,356,1,1.0028011204481793,1.0,1.0028011204481793
237,"('orina', 'en', 'medicina')",1,0,356,1,1.0028011204481793,1.0,1.0028011204481793
238,"('la', 'persecución', 'racial')",1,0,356,1,1.0028011204481793,1.0,1.0028011204481793
239,desfloración,1,0,356,1,1.0028011204481793,1.0,1.0028011204481793
240,"('la', 'documentación', 'clínica')",1,0,356,1,1.0028011204481793,1.0,1.0028011204481793
241,chrysomya,1,0,356,1,1.0028011204481793,1.0,1.0028011204481793
242,"('alcohol', 'en', 'sangre')",1,0,356,1,1.0028011204481793,1.0,1.0028011204481793
243,"('médico', 'como', 'testigo')",1,0,356,1,1.0028011204481793,1.0,1.0028011204481793
244,"('melchor', 'de', 'villena')",1,0,356,1,1.0028011204481793,1.0,1.0028011204481793
245,"('sanitario', 'de', 'centro')",1,0,356,1,1.0028011204481793,1.0,1.0028011204481793
246,"('médico-legal', 'y', 'social')",1,0,356,1,1.0028011204481793,1.0,1.0028011204481793
247,"('la', 'incapacidad', 'civil')",1,0,356,1,1.0028011204481793,1.0,1.0028011204481793
248,"('biografía', 'de', 'melchor')",1,0,356,1,1.0028011204481793,1.0,1.0028011204481793
249,"('en', 'bebida', 'refrescante')",1,0,356,1,1.0028011204481793,1.0,1.0028011204481793
250,pedromata,1,0,356,1,1.0028011204481793,1.0,1.0028011204481793
