,Term,Ndeᵗᵢ,Ndeᶜᵗ,Ndᶜᵗeᵗᵢ,Eᵗ,LPM,TGM,LRM
0,"('carrera', 'profesional')",10,0,6583,1,1.0015167602002124,1.0,1.0015167602002124
1,"('la', 'carrera', 'profesional')",6,0,6587,1,1.0009100561201274,1.0,1.0009100561201274
2,"('congreso', 'semfyc')",6,0,6587,1,1.0009100561201274,1.0,1.0009100561201274
3,"('el', 'producto', 'enfermero')",5,0,6588,1,1.000758380100106,1.0,1.000758380100106
4,"('tutor', 'de', 'atención')",4,0,6589,1,1.000606704080085,1.0,1.000606704080085
5,"('la', 'medicina', 'general/de')",3,0,6590,1,1.0004550280600637,1.0,1.0004550280600637
6,"('acreditación', 'en', 'atención')",3,0,6590,1,1.0004550280600637,1.0,1.0004550280600637
7,saap,3,0,6590,1,1.0004550280600637,1.0,1.0004550280600637
8,"('profesional', 'en', 'medicina')",3,0,6590,1,1.0004550280600637,1.0,1.0004550280600637
9,"('lo', 'diagnóstico', 'enfermero')",3,0,6590,1,1.0004550280600637,1.0,1.0004550280600637
10,"('rotación', 'en', 'centro')",3,0,6590,1,1.0004550280600637,1.0,1.0004550280600637
11,"('último', 'congreso')",3,0,6590,1,1.0004550280600637,1.0,1.0004550280600637
12,"('individualizado', 'de', 'cuidado')",3,0,6590,1,1.0004550280600637,1.0,1.0004550280600637
13,"('colectivo', 'de', 'médico')",3,0,6590,1,1.0004550280600637,1.0,1.0004550280600637
14,"('primaria', '(', 'saap')",3,0,6590,1,1.0004550280600637,1.0,1.0004550280600637
15,"('universidad', 'y', 'atención')",3,0,6590,1,1.0004550280600637,1.0,1.0004550280600637
16,"('familia', 'y', 'medicina')",3,0,6590,1,1.0004550280600637,1.0,1.0004550280600637
17,"('jornada', 'docente')",3,0,6590,1,1.0004550280600637,1.0,1.0004550280600637
18,"('un', 'único', 'colectivo')",3,0,6590,1,1.0004550280600637,1.0,1.0004550280600637
19,"('asesor', 'de', 'medicamento')",3,0,6590,1,1.0004550280600637,1.0,1.0004550280600637
20,"('docencia', 'posgrado')",3,0,6590,1,1.0004550280600637,1.0,1.0004550280600637
21,"('el', 'modelo', 'biopsicosocial')",3,0,6590,1,1.0004550280600637,1.0,1.0004550280600637
22,"('único', 'colectivo')",3,0,6590,1,1.0004550280600637,1.0,1.0004550280600637
23,"('investigar', 'en', 'enfermería')",3,0,6590,1,1.0004550280600637,1.0,1.0004550280600637
24,"('técnica', 'docente')",3,0,6590,1,1.0004550280600637,1.0,1.0004550280600637
25,"('la', 'metodología', 'cualitativa')",3,0,6590,1,1.0004550280600637,1.0,1.0004550280600637
26,"('congreso', 'de', 'atención')",3,0,6590,1,1.0004550280600637,1.0,1.0004550280600637
27,"('asignatura', 'universitaria')",2,0,6591,1,1.0003033520400424,1.0,1.0003033520400424
28,"('la', 'trayectoria', 'clínica')",2,0,6591,1,1.0003033520400424,1.0,1.0003033520400424
29,"('el', 'coordinador', 'médico')",2,0,6591,1,1.0003033520400424,1.0,1.0003033520400424
30,"('una', 'obra', 'honesta')",2,0,6591,1,1.0003033520400424,1.0,1.0003033520400424
31,"('investigación', 'como', 'fuente')",2,0,6591,1,1.0003033520400424,1.0,1.0003033520400424
32,"('movimiento', 'vasco', 'da')",2,0,6591,1,1.0003033520400424,1.0,1.0003033520400424
33,"('primaria', 'basada')",2,0,6591,1,1.0003033520400424,1.0,1.0003033520400424
34,"('primaria', 'en', 'europa')",2,0,6591,1,1.0003033520400424,1.0,1.0003033520400424
35,"('investigación', 'sobre', 'atención')",2,0,6591,1,1.0003033520400424,1.0,1.0003033520400424
36,familia/industria,2,0,6591,1,1.0003033520400424,1.0,1.0003033520400424
37,"('fuente', 'de', 'sostenibilidad')",2,0,6591,1,1.0003033520400424,1.0,1.0003033520400424
38,"('coordinador', 'médico')",2,0,6591,1,1.0003033520400424,1.0,1.0003033520400424
39,"('cómo', 'puede')",2,0,6591,1,1.0003033520400424,1.0,1.0003033520400424
40,capote,2,0,6591,1,1.0003033520400424,1.0,1.0003033520400424
41,"('vasco', 'da')",2,0,6591,1,1.0003033520400424,1.0,1.0003033520400424
42,"('realizar', 'la', 'burocracia')",2,0,6591,1,1.0003033520400424,1.0,1.0003033520400424
43,"('laboratorio', 'en', 'persona')",2,0,6591,1,1.0003033520400424,1.0,1.0003033520400424
44,"('la', 'rotación', 'rural')",2,0,6591,1,1.0003033520400424,1.0,1.0003033520400424
45,academización,2,0,6591,1,1.0003033520400424,1.0,1.0003033520400424
46,gatekeeping,2,0,6591,1,1.0003033520400424,1.0,1.0003033520400424
47,"('la', 'dirección', 'clínica')",2,0,6591,1,1.0003033520400424,1.0,1.0003033520400424
48,"('atenção', 'primária')",2,0,6591,1,1.0003033520400424,1.0,1.0003033520400424
49,"('personal', 'en', 'atención')",2,0,6591,1,1.0003033520400424,1.0,1.0003033520400424
50,"('sana', 'de', 'atención')",2,0,6591,1,1.0003033520400424,1.0,1.0003033520400424
51,"('una', 'asignatura', 'universitaria')",2,0,6591,1,1.0003033520400424,1.0,1.0003033520400424
52,"('relación', 'tutor-residente')",2,0,6591,1,1.0003033520400424,1.0,1.0003033520400424
53,"('41/2002', 'de', 'autonomía')",2,0,6591,1,1.0003033520400424,1.0,1.0003033520400424
54,"('profesional', 'y', 'médico')",2,0,6591,1,1.0003033520400424,1.0,1.0003033520400424
55,"('profesorado', 'de', 'enfermería')",2,0,6591,1,1.0003033520400424,1.0,1.0003033520400424
