,Term,Ndeᵗᵢ,Ndeᶜᵗ,Ndᶜᵗeᵗᵢ,Eᵗ,LPM,TGM,LRM
0,"('neuropsi', 'quiátrica', 'vista')",1,0,218,1,1.0045662100456618,1.0,1.0045662100456618
1,"('calcificación', 'médica')",1,0,218,1,1.0045662100456618,1.0,1.0045662100456618
2,"('prótesis', 'de', 'completa')",1,0,218,1,1.0045662100456618,1.0,1.0045662100456618
3,pratica,1,0,218,1,1.0045662100456618,1.0,1.0045662100456618
4,"('docteur', 'p.', 'cibrie')",1,0,218,1,1.0045662100456618,1.0,1.0045662100456618
5,"('invención', 'de', 'enfermedad')",1,0,218,1,1.0045662100456618,1.0,1.0045662100456618
6,"('propuesta', 'multimedia')",1,0,218,1,1.0045662100456618,1.0,1.0045662100456618
7,mongering,1,0,218,1,1.0045662100456618,1.0,1.0045662100456618
8,hommage,1,0,218,1,1.0045662100456618,1.0,1.0045662100456618
9,"('en', 'nutrición', 'pediátrica')",1,0,218,1,1.0045662100456618,1.0,1.0045662100456618
10,"('cibrie', 'secrétaire', 'général')",1,0,218,1,1.0045662100456618,1.0,1.0045662100456618
11,"('o', 'guarda', 'oclusal')",1,0,218,1,1.0045662100456618,1.0,1.0045662100456618
12,"('enfermedad', '(', 'disease')",1,0,218,1,1.0045662100456618,1.0,1.0045662100456618
13,"('general', 'en', 'odontologia')",1,0,218,1,1.0045662100456618,1.0,1.0045662100456618
14,"('au', 'docteur')",1,0,218,1,1.0045662100456618,1.0,1.0045662100456618
15,"('disease', 'mongering')",1,0,218,1,1.0045662100456618,1.0,1.0045662100456618
16,guarda,1,0,218,1,1.0045662100456618,1.0,1.0045662100456618
17,"('neuropsi', 'quiátrica')",1,0,218,1,1.0045662100456618,1.0,1.0045662100456618
18,"('de', 'complicación', 'periapical')",1,0,218,1,1.0045662100456618,1.0,1.0045662100456618
19,reposicionadora,1,0,218,1,1.0045662100456618,1.0,1.0045662100456618
20,cibrie,1,0,218,1,1.0045662100456618,1.0,1.0045662100456618
