,Term,Ndeᵗᵢ,Ndeᶜᵗ,Ndᶜᵗeᵗᵢ,Eᵗ,LPM,TGM,LRM
0,"('reacción', 'transfusional')",5,0,7066,1,1.000707113562438,1.0,1.000707113562438
1,"('anemia', 'hemolätica')",4,0,7067,1,1.0005656908499505,1.0,1.0005656908499505
2,"('calidad', 'en', 'hematología')",3,0,7068,1,1.0004242681374629,1.0,1.0004242681374629
3,"('sindrome', 'de', 'loeffler')",3,0,7068,1,1.0004242681374629,1.0,1.0004242681374629
4,"('eosinofilia', 'elevada')",3,0,7068,1,1.0004242681374629,1.0,1.0004242681374629
5,"('complemento', 'y', 'coagulación')",3,0,7068,1,1.0004242681374629,1.0,1.0004242681374629
6,"('neutropenia', 'idiopática')",3,0,7068,1,1.0004242681374629,1.0,1.0004242681374629
7,"('neutropenia', 'idiopática', 'crónica')",3,0,7068,1,1.0004242681374629,1.0,1.0004242681374629
8,"('la', 'anemia', 'sideroblástica')",3,0,7068,1,1.0004242681374629,1.0,1.0004242681374629
9,"('anemia', 'hipoplásica')",3,0,7068,1,1.0004242681374629,1.0,1.0004242681374629
10,"('la', 'coagulación', 'sanguäna')",3,0,7068,1,1.0004242681374629,1.0,1.0004242681374629
11,sanguäna,3,0,7068,1,1.0004242681374629,1.0,1.0004242681374629
12,"('coagulación', 'sanguäna')",3,0,7068,1,1.0004242681374629,1.0,1.0004242681374629
13,zieve,3,0,7068,1,1.0004242681374629,1.0,1.0004242681374629
14,"('eritrona', 'en', 'diferente')",2,0,7069,1,1.0002828454249753,1.0,1.0002828454249753
15,"('diferente', 'anemia', 'refractaria')",2,0,7069,1,1.0002828454249753,1.0,1.0002828454249753
16,"('litoral', 'mediterráneo')",2,0,7069,1,1.0002828454249753,1.0,1.0002828454249753
17,"('altura', 'no', 'debe')",2,0,7069,1,1.0002828454249753,1.0,1.0002828454249753
18,"('transfusional', 'hemolítica')",2,0,7069,1,1.0002828454249753,1.0,1.0002828454249753
19,"('selectiva', 'de', 'inmunoglobulina')",2,0,7069,1,1.0002828454249753,1.0,1.0002828454249753
20,"('análisis', 'de', 'ochenta')",2,0,7069,1,1.0002828454249753,1.0,1.0002828454249753
21,"('endotoxina', 'en', 'conejo')",2,0,7069,1,1.0002828454249753,1.0,1.0002828454249753
22,"('crónico', 'con', 'poliglobulia')",2,0,7069,1,1.0002828454249753,1.0,1.0002828454249753
23,"('anemia', 'macrocitaria')",2,0,7069,1,1.0002828454249753,1.0,1.0002828454249753
24,"('eosinofilia', 'sanguänea')",2,0,7069,1,1.0002828454249753,1.0,1.0002828454249753
25,"('hipogammaglobulinemia', 'idiopática')",2,0,7069,1,1.0002828454249753,1.0,1.0002828454249753
26,"('mecanismo', 'fundamentalmente')",2,0,7069,1,1.0002828454249753,1.0,1.0002828454249753
27,"('modelo', 'citodinamico')",2,0,7069,1,1.0002828454249753,1.0,1.0002828454249753
28,"('la', 'leucopenia', 'intradialítica')",2,0,7069,1,1.0002828454249753,1.0,1.0002828454249753
29,"('de', 'mecanismo', 'fundamentalmente')",2,0,7069,1,1.0002828454249753,1.0,1.0002828454249753
30,"('esplenomegalia', 'fibro-congestiva')",2,0,7069,1,1.0002828454249753,1.0,1.0002828454249753
31,"('mecanismo', 'fundamentalmente', 'hipoformativo')",2,0,7069,1,1.0002828454249753,1.0,1.0002828454249753
32,"('y', 'anemia', 'hemolitica')",2,0,7069,1,1.0002828454249753,1.0,1.0002828454249753
33,"('debe', 'ser', 'corregido')",2,0,7069,1,1.0002828454249753,1.0,1.0002828454249753
34,"('experimental', 'sobre', 'anemia')",2,0,7069,1,1.0002828454249753,1.0,1.0002828454249753
35,"('agranulocitosis', 'y', 'anemia')",2,0,7069,1,1.0002828454249753,1.0,1.0002828454249753
36,"('b', 'postransfusional')",2,0,7069,1,1.0002828454249753,1.0,1.0002828454249753
37,"('estudio', 'fisiopatogénico')",2,0,7069,1,1.0002828454249753,1.0,1.0002828454249753
38,"('reacción', 'hemolítica', 'post-transfusional')",2,0,7069,1,1.0002828454249753,1.0,1.0002828454249753
39,"('efecto', 'desfavorable')",2,0,7069,1,1.0002828454249753,1.0,1.0002828454249753
40,"('megaloblástica', 'secundaria')",2,0,7069,1,1.0002828454249753,1.0,1.0002828454249753
41,"('la', 'medula', 'osea')",2,0,7069,1,1.0002828454249753,1.0,1.0002828454249753
42,"('formación', 'de', 'hematólogo')",2,0,7069,1,1.0002828454249753,1.0,1.0002828454249753
43,"('anemia', 'aplástica', 'idiopática')",2,0,7069,1,1.0002828454249753,1.0,1.0002828454249753
44,"('la', 'cid', 'humana')",2,0,7069,1,1.0002828454249753,1.0,1.0002828454249753
45,"('definir', 'anemia', 'materna')",2,0,7069,1,1.0002828454249753,1.0,1.0002828454249753
46,"('sobre', 'anemia', 'hemolätica')",2,0,7069,1,1.0002828454249753,1.0,1.0002828454249753
47,"('hipoproteinemia', 'idiopática')",2,0,7069,1,1.0002828454249753,1.0,1.0002828454249753
48,"('hemolítica', 'autoinmune', 'secundaria')",2,0,7069,1,1.0002828454249753,1.0,1.0002828454249753
49,"('órgano', 'hematopoyético')",2,0,7069,1,1.0002828454249753,1.0,1.0002828454249753
50,"('hemolítica', 'post-transfusional')",2,0,7069,1,1.0002828454249753,1.0,1.0002828454249753
51,sideroacréstica,2,0,7069,1,1.0002828454249753,1.0,1.0002828454249753
52,"('sändromo', 'de', 'banti')",2,0,7069,1,1.0002828454249753,1.0,1.0002828454249753
53,"('la', 'eosinofilia', 'sanguänea')",2,0,7069,1,1.0002828454249753,1.0,1.0002828454249753
54,paracoagulación,2,0,7069,1,1.0002828454249753,1.0,1.0002828454249753
55,fibro-congestiva,2,0,7069,1,1.0002828454249753,1.0,1.0002828454249753
56,"('hematológico', 'del', 'alcoholismo')",2,0,7069,1,1.0002828454249753,1.0,1.0002828454249753
57,"('ser', 'corregido')",2,0,7069,1,1.0002828454249753,1.0,1.0002828454249753
58,"('el', 'litoral', 'mediterráneo')",2,0,7069,1,1.0002828454249753,1.0,1.0002828454249753
59,"('hemolätica', 'con', 'eritroblastosis')",2,0,7069,1,1.0002828454249753,1.0,1.0002828454249753
60,"('reacción', 'transfusional', 'hemolítica')",2,0,7069,1,1.0002828454249753,1.0,1.0002828454249753
61,"('con', 'neutropenia', 'idiopática')",2,0,7069,1,1.0002828454249753,1.0,1.0002828454249753
62,"('con', 'poliglobulia', 'secundaria')",2,0,7069,1,1.0002828454249753,1.0,1.0002828454249753
63,citodinamico,2,0,7069,1,1.0002828454249753,1.0,1.0002828454249753
64,"('aplástica', 'idiopática')",2,0,7069,1,1.0002828454249753,1.0,1.0002828454249753
65,"('leucopenia', 'intradialítica')",2,0,7069,1,1.0002828454249753,1.0,1.0002828454249753
66,intradialítica,2,0,7069,1,1.0002828454249753,1.0,1.0002828454249753
67,"('autoinmune', 'secundaria')",2,0,7069,1,1.0002828454249753,1.0,1.0002828454249753
68,"('definir', 'anemia')",2,0,7069,1,1.0002828454249753,1.0,1.0002828454249753
69,"('de', 'hemoglobinuria', 'paroxística')",2,0,7069,1,1.0002828454249753,1.0,1.0002828454249753
70,"('megaloblástica', 'por', 'deficiencia')",2,0,7069,1,1.0002828454249753,1.0,1.0002828454249753
71,"('reacción', 'hemolítica')",2,0,7069,1,1.0002828454249753,1.0,1.0002828454249753
72,"('para', 'definir', 'anemia')",2,0,7069,1,1.0002828454249753,1.0,1.0002828454249753
73,"('tromboelastograma', 'y', 'agregación')",2,0,7069,1,1.0002828454249753,1.0,1.0002828454249753
74,"('refractaria', 'de', 'mecanismo')",2,0,7069,1,1.0002828454249753,1.0,1.0002828454249753
75,"('estudiada', 'con', 'cromo')",2,0,7069,1,1.0002828454249753,1.0,1.0002828454249753
76,"('de', 'eosinofilia', 'elevada')",2,0,7069,1,1.0002828454249753,1.0,1.0002828454249753
77,"('en', 'diferente', 'anemia')",2,0,7069,1,1.0002828454249753,1.0,1.0002828454249753
78,"('citodinamico', 'de', 'eritrona')",2,0,7069,1,1.0002828454249753,1.0,1.0002828454249753
79,"('fundamentalmente', 'hipoformativo')",2,0,7069,1,1.0002828454249753,1.0,1.0002828454249753
80,"('anemia', 'megaloblástica', 'secundaria')",2,0,7069,1,1.0002828454249753,1.0,1.0002828454249753
81,"('diferente', 'anemia')",2,0,7069,1,1.0002828454249753,1.0,1.0002828454249753
82,"('sindrome', 'de', 'zieve')",2,0,7069,1,1.0002828454249753,1.0,1.0002828454249753
83,"('anemia', 'materna')",2,0,7069,1,1.0002828454249753,1.0,1.0002828454249753
84,"('intrauterino', 'y', 'anticonceptivo')",2,0,7069,1,1.0002828454249753,1.0,1.0002828454249753
85,hipoformativo,2,0,7069,1,1.0002828454249753,1.0,1.0002828454249753
86,"('la', 'anemia', 'macrocitaria')",2,0,7069,1,1.0002828454249753,1.0,1.0002828454249753
87,hipergammaglobulínico,2,0,7069,1,1.0002828454249753,1.0,1.0002828454249753
88,"('cid', 'humana')",2,0,7069,1,1.0002828454249753,1.0,1.0002828454249753
89,"('hemolitica', 'post-transfusional')",2,0,7069,1,1.0002828454249753,1.0,1.0002828454249753
90,eritrón,2,0,7069,1,1.0002828454249753,1.0,1.0002828454249753
91,"('relación', 'entre', 'complemento')",2,0,7069,1,1.0002828454249753,1.0,1.0002828454249753
92,"('hemoglobina', 'para', 'definir')",2,0,7069,1,1.0002828454249753,1.0,1.0002828454249753
93,"('linfocitosis', 'infecciosa')",2,0,7069,1,1.0002828454249753,1.0,1.0002828454249753
94,"('tratada', 'con', 'androstano')",1,0,7070,1,1.0001414227124876,1.0,1.0001414227124876
95,"('con', 'hipogammaglobulinemia', 'primaria')",1,0,7070,1,1.0001414227124876,1.0,1.0001414227124876
96,"('hemolítica', 'de', 'tipo')",1,0,7070,1,1.0001414227124876,1.0,1.0001414227124876
97,"('total', 'de', 'hígado')",1,0,7070,1,1.0001414227124876,1.0,1.0001414227124876
98,"('snagre', 'au')",1,0,7070,1,1.0001414227124876,1.0,1.0001414227124876
99,cosideración,1,0,7070,1,1.0001414227124876,1.0,1.0001414227124876
100,"('problema', 'de', 'hemorragia')",1,0,7070,1,1.0001414227124876,1.0,1.0001414227124876
101,"('con', 'asta-z', '7654')",1,0,7070,1,1.0001414227124876,1.0,1.0001414227124876
102,"('sanguínea', 'infraterapéutica')",1,0,7070,1,1.0001414227124876,1.0,1.0001414227124876
