,Term,Ndeᵗᵢ,Ndeᶜᵗ,Ndᶜᵗeᵗᵢ,Eᵗ,LPM,TGM,LRM
0,"('clínica', 'independiente')",4,0,7597,1,1.000526246546507,1.0,1.000526246546507
1,"('investigación', 'clínica', 'independiente')",4,0,7597,1,1.000526246546507,1.0,1.000526246546507
2,"('de', 'hipertensión', 'refractaria')",2,0,7599,1,1.0002631232732535,1.0,1.0002631232732535
3,anti-pla2r,2,0,7599,1,1.0002631232732535,1.0,1.0002631232732535
4,"('grupo', 'de', 'gestión')",2,0,7599,1,1.0002631232732535,1.0,1.0002631232732535
5,"('el', 'transporte', 'peritoneal')",2,0,7599,1,1.0002631232732535,1.0,1.0002631232732535
6,"('renal', 'retrasada')",2,0,7599,1,1.0002631232732535,1.0,1.0002631232732535
7,"('la', 'ciclofosfamida', 'intravenosa')",2,0,7599,1,1.0002631232732535,1.0,1.0002631232732535
8,"('función', 'renal', 'retrasada')",2,0,7599,1,1.0002631232732535,1.0,1.0002631232732535
9,sobrehidratación,2,0,7599,1,1.0002631232732535,1.0,1.0002631232732535
10,"('de', 'lesión', 'subclínica')",2,0,7599,1,1.0002631232732535,1.0,1.0002631232732535
11,"('parámetro', 'de', 'lesión')",2,0,7599,1,1.0002631232732535,1.0,1.0002631232732535
12,"('calidad', 'en', 'nefrología')",2,0,7599,1,1.0002631232732535,1.0,1.0002631232732535
13,"('indicador', 'del', 'grupo')",2,0,7599,1,1.0002631232732535,1.0,1.0002631232732535
14,cut-off,2,0,7599,1,1.0002631232732535,1.0,1.0002631232732535
15,"('anticuerpo', 'anti-pla2r')",2,0,7599,1,1.0002631232732535,1.0,1.0002631232732535
16,"('renal', 'agudo', 'secundario')",2,0,7599,1,1.0002631232732535,1.0,1.0002631232732535
17,"('hemodiafiltración', 'online')",2,0,7599,1,1.0002631232732535,1.0,1.0002631232732535
18,"('estructura', 'y', 'regulación')",2,0,7599,1,1.0002631232732535,1.0,1.0002631232732535
19,"('consulta', 'erca')",2,0,7599,1,1.0002631232732535,1.0,1.0002631232732535
