,Term,Ndeᵗᵢ,Ndeᶜᵗ,Ndᶜᵗeᵗᵢ,Eᵗ,LPM,TGM,LRM
0,"('consumo', 'de', 'archivo')",2,0,2084,1,1.000958772770853,1.0,1.000958772770853
1,"('posgraduada', 'en', 'neumología')",2,0,2084,1,1.000958772770853,1.0,1.000958772770853
2,delenda,2,0,2084,1,1.000958772770853,1.0,1.000958772770853
3,physiologia,2,0,2084,1,1.000958772770853,1.0,1.000958772770853
4,"('oxigenoterapia', 'por', 'catéter')",2,0,2084,1,1.000958772770853,1.0,1.000958772770853
5,"('de', 'sistema', 'respiratorio')",2,0,2084,1,1.000958772770853,1.0,1.000958772770853
6,"('delenda', 'est')",2,0,2084,1,1.000958772770853,1.0,1.000958772770853
7,"('delenda', 'est', 'physiologia')",2,0,2084,1,1.000958772770853,1.0,1.000958772770853
8,obesidad-hipoventilación,2,0,2084,1,1.000958772770853,1.0,1.000958772770853
9,"('est', 'physiologia')",2,0,2084,1,1.000958772770853,1.0,1.000958772770853
10,traqueobroncopatía,2,0,2084,1,1.000958772770853,1.0,1.000958772770853
11,"('la', 'unidad', 'especializada')",2,0,2084,1,1.000958772770853,1.0,1.000958772770853
12,"('del', 'sistema', 'respiratorio')",2,0,2084,1,1.000958772770853,1.0,1.000958772770853
13,cualitativo-cuantitativo,1,0,2085,1,1.0004793863854269,1.0,1.0004793863854269
14,"('el', 'asma', 'inicialmente')",1,0,2085,1,1.0004793863854269,1.0,1.0004793863854269
15,"('quién', 'hace')",1,0,2085,1,1.0004793863854269,1.0,1.0004793863854269
16,"('utilidad', 'del', 'copd')",1,0,2085,1,1.0004793863854269,1.0,1.0004793863854269
17,"('enfermedad', 'progresiva')",1,0,2085,1,1.0004793863854269,1.0,1.0004793863854269
18,"('bronquial', 'y', 'sistémica')",1,0,2085,1,1.0004793863854269,1.0,1.0004793863854269
19,"('alelo', 'pi*q0')",1,0,2085,1,1.0004793863854269,1.0,1.0004793863854269
20,"('multidisciplinar', 'de', 'esclerosis')",1,0,2085,1,1.0004793863854269,1.0,1.0004793863854269
21,"('causa', 'de', 'hipoxemia')",1,0,2085,1,1.0004793863854269,1.0,1.0004793863854269
22,"('siempre', 'con', 'antibioterapia')",1,0,2085,1,1.0004793863854269,1.0,1.0004793863854269
23,"('por', 'respiración', 'única')",1,0,2085,1,1.0004793863854269,1.0,1.0004793863854269
24,"('salbutamol', 'mediante')",1,0,2085,1,1.0004793863854269,1.0,1.0004793863854269
25,"('má', 'uno', 'pueden')",1,0,2085,1,1.0004793863854269,1.0,1.0004793863854269
26,"('tuberculosis', 'según')",1,0,2085,1,1.0004793863854269,1.0,1.0004793863854269
27,"('traje', 'a', 'medida')",1,0,2085,1,1.0004793863854269,1.0,1.0004793863854269
28,"('segura', 'mediante')",1,0,2085,1,1.0004793863854269,1.0,1.0004793863854269
29,"('endobronquial', 'y', 'cáncer')",1,0,2085,1,1.0004793863854269,1.0,1.0004793863854269
30,"('inducido', 'de', 'fumador')",1,0,2085,1,1.0004793863854269,1.0,1.0004793863854269
31,"('galeno', 'corrigió')",1,0,2085,1,1.0004793863854269,1.0,1.0004793863854269
32,doll,1,0,2085,1,1.0004793863854269,1.0,1.0004793863854269
33,"('paciente', 'no', 'asiático')",1,0,2085,1,1.0004793863854269,1.0,1.0004793863854269
34,"('dosis', 'de', 'protionamida')",1,0,2085,1,1.0004793863854269,1.0,1.0004793863854269
35,"('molécula', 'importante')",1,0,2085,1,1.0004793863854269,1.0,1.0004793863854269
36,"('muerte', 'y', 'bioética')",1,0,2085,1,1.0004793863854269,1.0,1.0004793863854269
37,"('especializada', 'en', 'tabaquismo')",1,0,2085,1,1.0004793863854269,1.0,1.0004793863854269
38,"('asociada', 'al', 'alelo')",1,0,2085,1,1.0004793863854269,1.0,1.0004793863854269
39,"('respiratorio', 'de', '1987')",1,0,2085,1,1.0004793863854269,1.0,1.0004793863854269
40,"('la', 'punción', 'pulmonar')",1,0,2085,1,1.0004793863854269,1.0,1.0004793863854269
41,"('actividad', 'física', 'tra')",1,0,2085,1,1.0004793863854269,1.0,1.0004793863854269
42,himalaya,1,0,2085,1,1.0004793863854269,1.0,1.0004793863854269
43,"('puede', 'causar', 'derrame')",1,0,2085,1,1.0004793863854269,1.0,1.0004793863854269
44,"('de', 'acceso', 'segura')",1,0,2085,1,1.0004793863854269,1.0,1.0004793863854269
45,"('do', ':', 'interacción')",1,0,2085,1,1.0004793863854269,1.0,1.0004793863854269
46,"('novedad', 'en', 'ultrasonografía')",1,0,2085,1,1.0004793863854269,1.0,1.0004793863854269
47,"('tuberculosa', 'en', 'linfadenopatía')",1,0,2085,1,1.0004793863854269,1.0,1.0004793863854269
48,"('linfadenopatía', 'cervical')",1,0,2085,1,1.0004793863854269,1.0,1.0004793863854269
49,"('linfoma', 'pleural')",1,0,2085,1,1.0004793863854269,1.0,1.0004793863854269
50,"('amiloidosis', 'traqueal')",1,0,2085,1,1.0004793863854269,1.0,1.0004793863854269
51,"('reacción', 'granulomatosa', 'sarcoidosis-like')",1,0,2085,1,1.0004793863854269,1.0,1.0004793863854269
52,"('líquido', 'pleural', 'tuberculoso')",1,0,2085,1,1.0004793863854269,1.0,1.0004793863854269
53,"('clínica', 'y', 'función')",1,0,2085,1,1.0004793863854269,1.0,1.0004793863854269
54,"('cardiopulmonar', 'tratado')",1,0,2085,1,1.0004793863854269,1.0,1.0004793863854269
55,"('nuevo', 'parámetro', 'clínico')",1,0,2085,1,1.0004793863854269,1.0,1.0004793863854269
56,"('a', 'nódulo', 'pulmonar')",1,0,2085,1,1.0004793863854269,1.0,1.0004793863854269
57,"('antigenuria', 'en', 'orina')",1,0,2085,1,1.0004793863854269,1.0,1.0004793863854269
58,"('archivo', ':', '2009')",1,0,2085,1,1.0004793863854269,1.0,1.0004793863854269
59,"('neuroendocrina', 'como', 'causa')",1,0,2085,1,1.0004793863854269,1.0,1.0004793863854269
60,"('control', 'oximétrico', 'mantenido')",1,0,2085,1,1.0004793863854269,1.0,1.0004793863854269
61,"('y', 'disfunción', 'muscular')",1,0,2085,1,1.0004793863854269,1.0,1.0004793863854269
62,"('con', 'ataque', 'agudo')",1,0,2085,1,1.0004793863854269,1.0,1.0004793863854269
63,"('fracaso', 'muscular', 'inspiratorio')",1,0,2085,1,1.0004793863854269,1.0,1.0004793863854269
64,"('de', 'alfa-1-antitripsina', 'asociada')",1,0,2085,1,1.0004793863854269,1.0,1.0004793863854269
65,"('pulmonar', 'y', 'obesidad')",1,0,2085,1,1.0004793863854269,1.0,1.0004793863854269
66,"('ivacaftor', 'en', 'vida')",1,0,2085,1,1.0004793863854269,1.0,1.0004793863854269
67,"('fármaco', 'maravilloso')",1,0,2085,1,1.0004793863854269,1.0,1.0004793863854269
68,"('en', 'fibrosis', 'pulmonar')",1,0,2085,1,1.0004793863854269,1.0,1.0004793863854269
69,"('ruido', 'adventicio')",1,0,2085,1,1.0004793863854269,1.0,1.0004793863854269
70,"('estamo', 'prestando')",1,0,2085,1,1.0004793863854269,1.0,1.0004793863854269
71,"('estudio', 'abanico')",1,0,2085,1,1.0004793863854269,1.0,1.0004793863854269
72,"('la', 'vacuna', 'antogripal')",1,0,2085,1,1.0004793863854269,1.0,1.0004793863854269
73,"('organización', 'y', 'desarrollo')",1,0,2085,1,1.0004793863854269,1.0,1.0004793863854269
74,"('obliterante', 'y', 'bronquiolitis')",1,0,2085,1,1.0004793863854269,1.0,1.0004793863854269
75,"('y', 'terapia', 'biológica')",1,0,2085,1,1.0004793863854269,1.0,1.0004793863854269
76,"('prueba', 'de', 'difusión')",1,0,2085,1,1.0004793863854269,1.0,1.0004793863854269
77,"('somnoscopia', '(', 'dise')",1,0,2085,1,1.0004793863854269,1.0,1.0004793863854269
78,"('de', '«', 'austeridad')",1,0,2085,1,1.0004793863854269,1.0,1.0004793863854269
79,"('broncopleural', 'iatrogénica', 'tra')",1,0,2085,1,1.0004793863854269,1.0,1.0004793863854269
80,"('validación', 'pronóstica', 'según')",1,0,2085,1,1.0004793863854269,1.0,1.0004793863854269
81,"('tesis', 'por', 'compendio')",1,0,2085,1,1.0004793863854269,1.0,1.0004793863854269
82,"('en', 'ultrasonografía', 'endobronquial')",1,0,2085,1,1.0004793863854269,1.0,1.0004793863854269
83,"('simulador', 'de', 'pulmón')",1,0,2085,1,1.0004793863854269,1.0,1.0004793863854269
84,"('molecular', 'de', '3')",1,0,2085,1,1.0004793863854269,1.0,1.0004793863854269
85,"('neumología', '(', 'siglo')",1,0,2085,1,1.0004793863854269,1.0,1.0004793863854269
86,"('poder', 'histaminopéxico')",1,0,2085,1,1.0004793863854269,1.0,1.0004793863854269
87,"('richard', 'doll')",1,0,2085,1,1.0004793863854269,1.0,1.0004793863854269
88,"('por', 'cánula', 'nasal')",1,0,2085,1,1.0004793863854269,1.0,1.0004793863854269
89,"('el', 'diferente', 'patrón')",1,0,2085,1,1.0004793863854269,1.0,1.0004793863854269
90,"('quién', 'enseña')",1,0,2085,1,1.0004793863854269,1.0,1.0004793863854269
91,"('doctor', 'donato')",1,0,2085,1,1.0004793863854269,1.0,1.0004793863854269
92,"('formación', 'en', 'neumología')",1,0,2085,1,1.0004793863854269,1.0,1.0004793863854269
93,"('en', 'vasculitis', 'pulmonar')",1,0,2085,1,1.0004793863854269,1.0,1.0004793863854269
94,"('un', 'hallazgo', 'casual')",1,0,2085,1,1.0004793863854269,1.0,1.0004793863854269
95,"('fenómeno', 'de', 'vacío')",1,0,2085,1,1.0004793863854269,1.0,1.0004793863854269
96,"('asma', 'corticodependiente')",1,0,2085,1,1.0004793863854269,1.0,1.0004793863854269
97,"('resulta', 'suficiente')",1,0,2085,1,1.0004793863854269,1.0,1.0004793863854269
98,"('alcornoque', 'divino')",1,0,2085,1,1.0004793863854269,1.0,1.0004793863854269
99,"('test', '(', 'cat')",1,0,2085,1,1.0004793863854269,1.0,1.0004793863854269
100,"('ser', 'má', 'eficiente')",1,0,2085,1,1.0004793863854269,1.0,1.0004793863854269
101,"('con', 'corticoide', 'oral')",1,0,2085,1,1.0004793863854269,1.0,1.0004793863854269
102,"('tratamiento', 'con', 'salbutamol')",1,0,2085,1,1.0004793863854269,1.0,1.0004793863854269
103,"('reto', ',', 'oportunidad')",1,0,2085,1,1.0004793863854269,1.0,1.0004793863854269
104,no-evidencia,1,0,2085,1,1.0004793863854269,1.0,1.0004793863854269
105,"('semana', 'neumológica')",1,0,2085,1,1.0004793863854269,1.0,1.0004793863854269
106,"('siete', 'pregunta', 'actual')",1,0,2085,1,1.0004793863854269,1.0,1.0004793863854269
107,"('regulación', 'respiratoria')",1,0,2085,1,1.0004793863854269,1.0,1.0004793863854269
108,"('alveolo', 'septal')",1,0,2085,1,1.0004793863854269,1.0,1.0004793863854269
109,mega,1,0,2085,1,1.0004793863854269,1.0,1.0004793863854269
110,"('otra', 'enfermedad', 'respiratoria')",1,0,2085,1,1.0004793863854269,1.0,1.0004793863854269
111,"('tra', '48', 'hora')",1,0,2085,1,1.0004793863854269,1.0,1.0004793863854269
112,"('broncoalveolar', 'y', 'tuberculosis')",1,0,2085,1,1.0004793863854269,1.0,1.0004793863854269
113,"('solicitar', 'la', 'antigenuria')",1,0,2085,1,1.0004793863854269,1.0,1.0004793863854269
114,"('quística', 'asociada')",1,0,2085,1,1.0004793863854269,1.0,1.0004793863854269
115,volumatic,1,0,2085,1,1.0004793863854269,1.0,1.0004793863854269
116,"('fiebre', ',', 'malestar')",1,0,2085,1,1.0004793863854269,1.0,1.0004793863854269
117,"('fracción', 'inspiratoria', 'elevada')",1,0,2085,1,1.0004793863854269,1.0,1.0004793863854269
118,"('mejorar', 'la', 'gestión')",1,0,2085,1,1.0004793863854269,1.0,1.0004793863854269
119,"('inapropiado', 'y', 'predicción')",1,0,2085,1,1.0004793863854269,1.0,1.0004793863854269
120,"('realiza', 'enfermería')",1,0,2085,1,1.0004793863854269,1.0,1.0004793863854269
121,alcornoque,1,0,2085,1,1.0004793863854269,1.0,1.0004793863854269
122,"('manejo', 'especializado')",1,0,2085,1,1.0004793863854269,1.0,1.0004793863854269
123,"('nueva', 'gestión', 'ambulatoria')",1,0,2085,1,1.0004793863854269,1.0,1.0004793863854269
124,"('derrame', 'maligno', 'multiseptado')",1,0,2085,1,1.0004793863854269,1.0,1.0004793863854269
125,"('2010', 'en', 'enfermedad')",1,0,2085,1,1.0004793863854269,1.0,1.0004793863854269
126,"('radiofrecuencia', 'pulmonar')",1,0,2085,1,1.0004793863854269,1.0,1.0004793863854269
127,"('revista', 'científica', 'disponer')",1,0,2085,1,1.0004793863854269,1.0,1.0004793863854269
128,"('puede', 'causar')",1,0,2085,1,1.0004793863854269,1.0,1.0004793863854269
129,"('traqueobroncopatía', 'osteocondroplásica')",1,0,2085,1,1.0004793863854269,1.0,1.0004793863854269
130,biomepoc,1,0,2085,1,1.0004793863854269,1.0,1.0004793863854269
131,"('pleural', 'que', 'simula')",1,0,2085,1,1.0004793863854269,1.0,1.0004793863854269
132,"('impacto', 'del', 'tabaco')",1,0,2085,1,1.0004793863854269,1.0,1.0004793863854269
133,"('afectación', 'laríngea')",1,0,2085,1,1.0004793863854269,1.0,1.0004793863854269
134,"('escenario', 'de', 'exposición')",1,0,2085,1,1.0004793863854269,1.0,1.0004793863854269
