,Term,Ndeᵗᵢ,Ndeᶜᵗ,Ndᶜᵗeᵗᵢ,Eᵗ,LPM,TGM,LRM
0,"('rodolfo', 'arma', 'cruz')",4,0,5449,1,1.0007335411699982,1.0,1.0007335411699982
1,"('rodolfo', 'arma')",4,0,5449,1,1.0007335411699982,1.0,1.0007335411699982
2,"('arma', 'cruz')",4,0,5449,1,1.0007335411699982,1.0,1.0007335411699982
3,"('ecocardiografía', 'clínica')",3,0,5450,1,1.0005501558774983,1.0,1.0005501558774983
4,"('congreso', 'international')",3,0,5450,1,1.0005501558774983,1.0,1.0005501558774983
5,"('medicine', 'interna')",3,0,5450,1,1.0005501558774983,1.0,1.0005501558774983
6,"('interna', 'en', 'andalucía')",3,0,5450,1,1.0005501558774983,1.0,1.0005501558774983
7,"('la', 'hiperuricemia', 'asintomática')",3,0,5450,1,1.0005501558774983,1.0,1.0005501558774983
8,"('venosa', 'idiopática')",3,0,5450,1,1.0005501558774983,1.0,1.0005501558774983
9,"('crítica', 'en', 'investigación')",3,0,5450,1,1.0005501558774983,1.0,1.0005501558774983
10,"('international', 'de', 'medicina')",3,0,5450,1,1.0005501558774983,1.0,1.0005501558774983
11,"('tromboembólica', 'venosa', 'idiopática')",3,0,5450,1,1.0005501558774983,1.0,1.0005501558774983
12,"('antibiótica', 'empírica')",2,0,5451,1,1.000366770584999,1.0,1.000366770584999
13,"('ecocardiografía', 'clínica', 'básica')",2,0,5451,1,1.000366770584999,1.0,1.000366770584999
14,"('constitución', 'del', 'cuerpo')",2,0,5451,1,1.000366770584999,1.0,1.000366770584999
15,"('recertificación', 'de', 'especialista')",2,0,5451,1,1.000366770584999,1.0,1.000366770584999
16,"('general', 'a', 'debate')",2,0,5451,1,1.000366770584999,1.0,1.000366770584999
17,"('compartida', 'en', 'medicina')",2,0,5451,1,1.000366770584999,1.0,1.000366770584999
18,"('diámetro', 'y', 'colapso')",2,0,5451,1,1.000366770584999,1.0,1.000366770584999
19,"('básica', 'en', 'medicina')",2,0,5451,1,1.000366770584999,1.0,1.000366770584999
20,"('profesor', 'dr', 'rodolfo')",2,0,5451,1,1.000366770584999,1.0,1.000366770584999
21,"('profesor', 'mariano')",2,0,5451,1,1.000366770584999,1.0,1.000366770584999
22,"('colapso', 'inspiratorio')",2,0,5451,1,1.000366770584999,1.0,1.000366770584999
23,lissen,2,0,5451,1,1.000366770584999,1.0,1.000366770584999
24,"('hacia', 'la', 'estructuración')",2,0,5451,1,1.000366770584999,1.0,1.000366770584999
25,"('ser', 'médico…')",2,0,5451,1,1.000366770584999,1.0,1.000366770584999
26,"('de', 'medicine', 'interna')",2,0,5451,1,1.000366770584999,1.0,1.000366770584999
27,"('interna', 'del', 'sistema')",2,0,5451,1,1.000366770584999,1.0,1.000366770584999
28,"('atípica', 'de', 'hipercalcemia')",2,0,5451,1,1.000366770584999,1.0,1.000366770584999
29,leptotrichia,2,0,5451,1,1.000366770584999,1.0,1.000366770584999
30,"('central', ':', 'hacia')",2,0,5451,1,1.000366770584999,1.0,1.000366770584999
31,"('y', 'colapso', 'inspiratorio')",2,0,5451,1,1.000366770584999,1.0,1.000366770584999
32,"('comparación', 'del', 'conocimiento')",2,0,5451,1,1.000366770584999,1.0,1.000366770584999
33,"('asterixis', 'como', 'forma')",2,0,5451,1,1.000366770584999,1.0,1.000366770584999
34,"('mujer', 'de', '52')",2,0,5451,1,1.000366770584999,1.0,1.000366770584999
35,"('certificación', 'de', 'profesional')",2,0,5451,1,1.000366770584999,1.0,1.000366770584999
36,"('internista', 'general')",2,0,5451,1,1.000366770584999,1.0,1.000366770584999
37,"('idiopática', 'versu', 'secundaria')",2,0,5451,1,1.000366770584999,1.0,1.000366770584999
38,"('competencia', 'básica')",2,0,5451,1,1.000366770584999,1.0,1.000366770584999
39,"('difusión', 'e', 'indicador')",2,0,5451,1,1.000366770584999,1.0,1.000366770584999
40,"('enfermedad', 'afebril')",2,0,5451,1,1.000366770584999,1.0,1.000366770584999
41,"('normalización', ',', 'difusión')",2,0,5451,1,1.000366770584999,1.0,1.000366770584999
42,"('dr', 'rodolfo')",2,0,5451,1,1.000366770584999,1.0,1.000366770584999
43,"('un', 'concepto', 'multidisciplinar')",2,0,5451,1,1.000366770584999,1.0,1.000366770584999
44,"('de', '81', 'año')",2,0,5451,1,1.000366770584999,1.0,1.000366770584999
45,"('composición', 'y', 'constitución')",2,0,5451,1,1.000366770584999,1.0,1.000366770584999
46,asterixis,2,0,5451,1,1.000366770584999,1.0,1.000366770584999
47,"('general', '``', 'experto')",2,0,5451,1,1.000366770584999,1.0,1.000366770584999
48,"('interna', ':', 'normalización')",2,0,5451,1,1.000366770584999,1.0,1.000366770584999
