,Term,Ndeᵗᵢ,Ndeᶜᵗ,Ndᶜᵗeᵗᵢ,Eᵗ,LPM,TGM,LRM
0,"('que', 'reciben', 'cuidado')",2,0,514,1,1.0038759689922478,1.0,1.0038759689922478
1,"('investigación', 'no', 'encontramo')",2,0,514,1,1.0038759689922478,1.0,1.0038759689922478
2,"('reciben', 'cuidado')",2,0,514,1,1.0038759689922478,1.0,1.0038759689922478
3,"('reciben', 'cuidado', 'paliativo')",2,0,514,1,1.0038759689922478,1.0,1.0038759689922478
4,"('metilfenidato', 'en', 'paciente')",2,0,514,1,1.0038759689922478,1.0,1.0038759689922478
5,"('el', 'paciente', 'moribundo')",1,0,515,1,1.001937984496124,1.0,1.001937984496124
6,"('y', 'hábito', 'reflexivo')",1,0,515,1,1.001937984496124,1.0,1.001937984496124
7,"('de', '``', 'muerte')",1,0,515,1,1.001937984496124,1.0,1.001937984496124
8,holístico,1,0,515,1,1.001937984496124,1.0,1.001937984496124
9,"('to', 'como', 'terapéutica')",1,0,515,1,1.001937984496124,1.0,1.001937984496124
10,"('paciente', 'y', 'deber')",1,0,515,1,1.001937984496124,1.0,1.001937984496124
11,"('paliativa', 'al', 'enfermo')",1,0,515,1,1.001937984496124,1.0,1.001937984496124
12,parar,1,0,515,1,1.001937984496124,1.0,1.001937984496124
13,"('paliativo', 'en', 'enfermedad')",1,0,515,1,1.001937984496124,1.0,1.001937984496124
14,"('ser', 'aceptable')",1,0,515,1,1.001937984496124,1.0,1.001937984496124
15,"('y', 'obstinación', 'familiar')",1,0,515,1,1.001937984496124,1.0,1.001937984496124
16,"('última', 'enfermedad')",1,0,515,1,1.001937984496124,1.0,1.001937984496124
17,"('humana', 'y', 'situación')",1,0,515,1,1.001937984496124,1.0,1.001937984496124
18,palaivo,1,0,515,1,1.001937984496124,1.0,1.001937984496124
19,"('terapéutico', ':', 'aproximación')",1,0,515,1,1.001937984496124,1.0,1.001937984496124
20,"('cuidado', 'palaivo')",1,0,515,1,1.001937984496124,1.0,1.001937984496124
21,"('soporte', 'domiciliario')",1,0,515,1,1.001937984496124,1.0,1.001937984496124
22,farmacoogía,1,0,515,1,1.001937984496124,1.0,1.001937984496124
23,"('paliativa', 'en', 'pediatría')",1,0,515,1,1.001937984496124,1.0,1.001937984496124
