,Term,Ndeᵗᵢ,Ndeᶜᵗ,Ndᶜᵗeᵗᵢ,Eᵗ,LPM,TGM,LRM
0,pediaträa,9,0,6494,1,1.0013839766261723,1.0,1.0013839766261723
1,"('pediatría', 'en', 'puerto')",5,0,6498,1,1.0007688759034292,1.0,1.0007688759034292
2,"('anuario', 'de', 'anal')",5,0,6498,1,1.0007688759034292,1.0,1.0007688759034292
3,"('sección', 'de', 'pediatría')",5,0,6498,1,1.0007688759034292,1.0,1.0007688759034292
4,"('alergia', 'pediatrica')",4,0,6499,1,1.0006151007227433,1.0,1.0006151007227433
5,"('especialidad', 'de', 'pediatría')",3,0,6500,1,1.0004613255420576,1.0,1.0004613255420576
6,"('la', 'revista', 'pediátrica')",3,0,6500,1,1.0004613255420576,1.0,1.0004613255420576
7,"('editor', ':', 'anuario')",3,0,6500,1,1.0004613255420576,1.0,1.0004613255420576
8,"('cortisona', 'en', 'clinica')",3,0,6500,1,1.0004613255420576,1.0,1.0004613255420576
9,"('clinica', 'de', 'niño')",3,0,6500,1,1.0004613255420576,1.0,1.0004613255420576
10,"('la', 'pediatría', 'social')",3,0,6500,1,1.0004613255420576,1.0,1.0004613255420576
11,"('especialista', 'en', 'pediatría')",3,0,6500,1,1.0004613255420576,1.0,1.0004613255420576
12,psicosomatismo,3,0,6500,1,1.0004613255420576,1.0,1.0004613255420576
13,"('sección', 'de', 'neumología')",3,0,6500,1,1.0004613255420576,1.0,1.0004613255420576
14,"('situación', 'de', 'catástrof')",3,0,6500,1,1.0004613255420576,1.0,1.0004613255420576
15,"('la', 'alergia', 'pediatrica')",3,0,6500,1,1.0004613255420576,1.0,1.0004613255420576
16,"('aplicación', 'y', 'meta')",2,0,6501,1,1.0003075503613716,1.0,1.0003075503613716
17,"('nanza', 'pediátrica')",2,0,6501,1,1.0003075503613716,1.0,1.0003075503613716
18,"('pediatría', '(', '2009')",2,0,6501,1,1.0003075503613716,1.0,1.0003075503613716
19,"('parenteral', 'para', 'pediatría')",2,0,6501,1,1.0003075503613716,1.0,1.0003075503613716
20,"('prado', 'vértiz')",2,0,6501,1,1.0003075503613716,1.0,1.0003075503613716
21,"('enseñanza', 'en', 'pediatría')",2,0,6501,1,1.0003075503613716,1.0,1.0003075503613716
22,"('pediatría', 'clínica')",2,0,6501,1,1.0003075503613716,1.0,1.0003075503613716
23,"('centenario', 'del', 'natalicio')",2,0,6501,1,1.0003075503613716,1.0,1.0003075503613716
24,dosulfin,2,0,6501,1,1.0003075503613716,1.0,1.0003075503613716
25,"('aragonesa', '(', 'andrea')",2,0,6501,1,1.0003075503613716,1.0,1.0003075503613716
26,"('evidencia', ':', 'estudio')",2,0,6501,1,1.0003075503613716,1.0,1.0003075503613716
27,"('editor', 'de', 'anal')",2,0,6501,1,1.0003075503613716,1.0,1.0003075503613716
28,"('asistencial', ':', 'parte')",2,0,6501,1,1.0003075503613716,1.0,1.0003075503613716
29,"('aplicación', 'del', 'examen')",2,0,6501,1,1.0003075503613716,1.0,1.0003075503613716
30,"('pediatría', 'hospitalaria')",2,0,6501,1,1.0003075503613716,1.0,1.0003075503613716
31,resistividad,2,0,6501,1,1.0003075503613716,1.0,1.0003075503613716
32,"('séptico', 'en', 'niño')",2,0,6501,1,1.0003075503613716,1.0,1.0003075503613716
33,"('la', 'enseñanza', 'pediátrica')",2,0,6501,1,1.0003075503613716,1.0,1.0003075503613716
34,"('huella', 'del', 'hospital')",2,0,6501,1,1.0003075503613716,1.0,1.0003075503613716
35,"('serie', 'longitudinal', 'aragonesa')",2,0,6501,1,1.0003075503613716,1.0,1.0003075503613716
36,"('serie', 'longitudinal')",2,0,6501,1,1.0003075503613716,1.0,1.0003075503613716
37,"('e', 'intermedio', 'pediátrico')",2,0,6501,1,1.0003075503613716,1.0,1.0003075503613716
38,"('pediatria', 'dr')",2,0,6501,1,1.0003075503613716,1.0,1.0003075503613716
39,"('longitudinal', 'aragonesa')",2,0,6501,1,1.0003075503613716,1.0,1.0003075503613716
40,"('investigación', 'en', 'urgencia')",2,0,6501,1,1.0003075503613716,1.0,1.0003075503613716
41,"('lactante', 'sibilante')",2,0,6501,1,1.0003075503613716,1.0,1.0003075503613716
42,"('enrique', 'alvarez')",2,0,6501,1,1.0003075503613716,1.0,1.0003075503613716
43,aguilar,2,0,6501,1,1.0003075503613716,1.0,1.0003075503613716
44,"('científica', 'de', 'anal')",2,0,6501,1,1.0003075503613716,1.0,1.0003075503613716
45,ciriaco,2,0,6501,1,1.0003075503613716,1.0,1.0003075503613716
46,"('pediatría', ':', 'resultado')",2,0,6501,1,1.0003075503613716,1.0,1.0003075503613716
47,"('federico', 'gómez', 'santo')",2,0,6501,1,1.0003075503613716,1.0,1.0003075503613716
48,"('de', 'investigación', 'pediátrica')",2,0,6501,1,1.0003075503613716,1.0,1.0003075503613716
49,"('pediatría', 'en', 'américa')",2,0,6501,1,1.0003075503613716,1.0,1.0003075503613716
50,"('septiembre', 'de', '1988')",2,0,6501,1,1.0003075503613716,1.0,1.0003075503613716
51,"('de', 'pediatria', 'extrahospitalaria')",2,0,6501,1,1.0003075503613716,1.0,1.0003075503613716
52,"('representación', 'femenina')",2,0,6501,1,1.0003075503613716,1.0,1.0003075503613716
53,"('ascitis', 'secundaria')",2,0,6501,1,1.0003075503613716,1.0,1.0003075503613716
54,"('intensivo', 'pediátrico', 'nivel')",2,0,6501,1,1.0003075503613716,1.0,1.0003075503613716
55,"('formación', 'del', 'pediatra')",2,0,6501,1,1.0003075503613716,1.0,1.0003075503613716
56,"('norma', 'de', 'categorización')",2,0,6501,1,1.0003075503613716,1.0,1.0003075503613716
57,"('extracto', 'polifenólico')",2,0,6501,1,1.0003075503613716,1.0,1.0003075503613716
58,"('profesional', 'del', 'pediatra')",2,0,6501,1,1.0003075503613716,1.0,1.0003075503613716
59,"('nueva', 'aep')",2,0,6501,1,1.0003075503613716,1.0,1.0003075503613716
60,"('internacional', 'pediátrica')",2,0,6501,1,1.0003075503613716,1.0,1.0003075503613716
61,"('semblanza', 'dr')",2,0,6501,1,1.0003075503613716,1.0,1.0003075503613716
62,"('personalidad', 'en', 'pediatría')",2,0,6501,1,1.0003075503613716,1.0,1.0003075503613716
63,"('mejor', 'medicamento')",2,0,6501,1,1.0003075503613716,1.0,1.0003075503613716
64,"('sección', 'de', 'inmunología')",2,0,6501,1,1.0003075503613716,1.0,1.0003075503613716
65,"('andrea', 'prader')",2,0,6501,1,1.0003075503613716,1.0,1.0003075503613716
66,"('seccion', 'de', 'pediatria')",2,0,6501,1,1.0003075503613716,1.0,1.0003075503613716
67,"('cooperación', 'internacional', 'pediátrica')",2,0,6501,1,1.0003075503613716,1.0,1.0003075503613716
68,"('el', 'lactante', 'sibilante')",2,0,6501,1,1.0003075503613716,1.0,1.0003075503613716
69,"('glúcido', 'en', 'niño')",2,0,6501,1,1.0003075503613716,1.0,1.0003075503613716
70,"('pediatría', 'institucional')",2,0,6501,1,1.0003075503613716,1.0,1.0003075503613716
71,"('pediatría', 'e', 'internet')",2,0,6501,1,1.0003075503613716,1.0,1.0003075503613716
72,"('pediátrico', 'del', 'psicosomatismo')",2,0,6501,1,1.0003075503613716,1.0,1.0003075503613716
73,"('enseñanza', 'pediátrica')",2,0,6501,1,1.0003075503613716,1.0,1.0003075503613716
74,"('anafilaxia', 'en', 'pediatría')",2,0,6501,1,1.0003075503613716,1.0,1.0003075503613716
75,"('discurso', 'del', 'prof')",2,0,6501,1,1.0003075503613716,1.0,1.0003075503613716
76,"('aplicación', 'en', 'pediatría')",2,0,6501,1,1.0003075503613716,1.0,1.0003075503613716
77,"('categorización', ',', 'organización')",2,0,6501,1,1.0003075503613716,1.0,1.0003075503613716
78,"('pediatria', 'extrahospitalaria')",2,0,6501,1,1.0003075503613716,1.0,1.0003075503613716
79,"('contribución', 'de', 'anal')",2,0,6501,1,1.0003075503613716,1.0,1.0003075503613716
80,pediatriá,2,0,6501,1,1.0003075503613716,1.0,1.0003075503613716
81,"('de', 'clinica', 'pediátrica')",2,0,6501,1,1.0003075503613716,1.0,1.0003075503613716
82,"('mario', 'alfonso', 'torroella')",2,0,6501,1,1.0003075503613716,1.0,1.0003075503613716
83,"('zaragoza', ',', '21-24')",2,0,6501,1,1.0003075503613716,1.0,1.0003075503613716
84,"('intermedio', 'pediátrico')",2,0,6501,1,1.0003075503613716,1.0,1.0003075503613716
85,"('un', 'extracto', 'polifenólico')",2,0,6501,1,1.0003075503613716,1.0,1.0003075503613716
86,"('sevilla', ',', '16')",2,0,6501,1,1.0003075503613716,1.0,1.0003075503613716
87,"('publicación', 'pediátrica')",2,0,6501,1,1.0003075503613716,1.0,1.0003075503613716
88,torremolino,2,0,6501,1,1.0003075503613716,1.0,1.0003075503613716
89,"('hueso', 'de', 'aceituna')",2,0,6501,1,1.0003075503613716,1.0,1.0003075503613716
90,"('felipe', 'de', 'elizalde')",2,0,6501,1,1.0003075503613716,1.0,1.0003075503613716
91,"('la', 'corticoterapia', 'inhalatoria')",2,0,6501,1,1.0003075503613716,1.0,1.0003075503613716
92,"('neumopatía', 'estafilocócica')",2,0,6501,1,1.0003075503613716,1.0,1.0003075503613716
93,carbacol,2,0,6501,1,1.0003075503613716,1.0,1.0003075503613716
94,polifenólico,2,0,6501,1,1.0003075503613716,1.0,1.0003075503613716
95,"('cambio', 'en', 'archivo')",2,0,6501,1,1.0003075503613716,1.0,1.0003075503613716
96,"('profesor', 'ramo')",2,0,6501,1,1.0003075503613716,1.0,1.0003075503613716
97,"('en', 'serie', 'longitudinal')",2,0,6501,1,1.0003075503613716,1.0,1.0003075503613716
98,"('terapéutica', 'pediátrica')",2,0,6501,1,1.0003075503613716,1.0,1.0003075503613716
99,"('la', 'pediatría', 'general')",2,0,6501,1,1.0003075503613716,1.0,1.0003075503613716
100,"('gómez', 'santo')",2,0,6501,1,1.0003075503613716,1.0,1.0003075503613716
101,comenzando,2,0,6501,1,1.0003075503613716,1.0,1.0003075503613716
102,"('ciriaco', 'laguna')",2,0,6501,1,1.0003075503613716,1.0,1.0003075503613716
103,"('doctor', 'federico', 'gómez')",2,0,6501,1,1.0003075503613716,1.0,1.0003075503613716
104,"('deformidad', 'craneal')",2,0,6501,1,1.0003075503613716,1.0,1.0003075503613716
105,"('pediátrico', 'nivel')",2,0,6501,1,1.0003075503613716,1.0,1.0003075503613716
106,"('de', 'enseñanza', 'médica')",2,0,6501,1,1.0003075503613716,1.0,1.0003075503613716
107,"('ense', 'nanza', 'pediátrica')",2,0,6501,1,1.0003075503613716,1.0,1.0003075503613716
108,"('la', 'ascitis', 'secundaria')",2,0,6501,1,1.0003075503613716,1.0,1.0003075503613716
109,"('alfonso', 'torroella')",2,0,6501,1,1.0003075503613716,1.0,1.0003075503613716
