,Term,Ndeᵗᵢ,Ndeᶜᵗ,Ndᶜᵗeᵗᵢ,Eᵗ,LPM,TGM,LRM
0,"('rehabilitación', 'del', 'tuberculoso')",3,0,2852,1,1.0010507880910684,1.0,1.0010507880910684
1,"('oclusal', 'por', 'desgaste')",2,0,2853,1,1.0007005253940455,1.0,1.0007005253940455
2,"('control', 'ejecutivo')",2,0,2853,1,1.0007005253940455,1.0,1.0007005253940455
3,"('regulan', 'lo', 'tratamiento')",2,0,2853,1,1.0007005253940455,1.0,1.0007005253940455
4,"('orden', 'ministerial')",2,0,2853,1,1.0007005253940455,1.0,1.0007005253940455
5,"('en', 'rehabilitación', 'oral')",2,0,2853,1,1.0007005253940455,1.0,1.0007005253940455
6,"('en', 'rehabilitación', 'oclusal')",2,0,2853,1,1.0007005253940455,1.0,1.0007005253940455
7,"('y', 'control', 'ejecutivo')",2,0,2853,1,1.0007005253940455,1.0,1.0007005253940455
8,reabilitación,2,0,2853,1,1.0007005253940455,1.0,1.0007005253940455
9,"('certificación', 'de', 'discapacidad')",2,0,2853,1,1.0007005253940455,1.0,1.0007005253940455
10,"('del', 'niño', 'lisiado')",2,0,2853,1,1.0007005253940455,1.0,1.0007005253940455
11,"('principio', 'clínico')",2,0,2853,1,1.0007005253940455,1.0,1.0007005253940455
12,"('clínico', 'en', 'rehabilitación')",2,0,2853,1,1.0007005253940455,1.0,1.0007005253940455
13,"('legislación', 'sobre', 'enfermo')",2,0,2853,1,1.0007005253940455,1.0,1.0007005253940455
14,"('función', 'y', 'control')",2,0,2853,1,1.0007005253940455,1.0,1.0007005253940455
15,"('el', 'equipo', 'interdisciplinario')",2,0,2853,1,1.0007005253940455,1.0,1.0007005253940455
16,"('equipo', 'interdisciplinario')",2,0,2853,1,1.0007005253940455,1.0,1.0007005253940455
17,"('derivado', 'opiáceo')",2,0,2853,1,1.0007005253940455,1.0,1.0007005253940455
18,"('tratamiento', 'de', 'deshabituación')",2,0,2853,1,1.0007005253940455,1.0,1.0007005253940455
19,"('correlacional', 'que', 'compara')",1,0,2854,1,1.0003502626970229,1.0,1.0003502626970229
20,"('of', 'egr-1')",1,0,2854,1,1.0003502626970229,1.0,1.0003502626970229
21,"('el', 'uso', 'prolongado')",1,0,2854,1,1.0003502626970229,1.0,1.0003502626970229
22,"('en', 'rehabilitación', 'tra')",1,0,2854,1,1.0003502626970229,1.0,1.0003502626970229
