,Term,Ndeᵗᵢ,Ndeᶜᵗ,Ndᶜᵗeᵗᵢ,Eᵗ,LPM,TGM,LRM
0,"('lo', '``', 'complejo')",2,0,280,1,1.0070921985815602,1.0,1.0070921985815602
1,osmometria,2,0,280,1,1.0070921985815602,1.0,1.0070921985815602
2,"('osmometria', 'de', 'solución')",2,0,280,1,1.0070921985815602,1.0,1.0070921985815602
3,"('complejo', 'retentivo')",2,0,280,1,1.0070921985815602,1.0,1.0070921985815602
4,retentivo,2,0,280,1,1.0070921985815602,1.0,1.0070921985815602
5,amortiguamiento,2,0,280,1,1.0070921985815602,1.0,1.0070921985815602
6,"('báscula', 'de', 'pelvi')",2,0,280,1,1.0070921985815602,1.0,1.0070921985815602
7,"('retención', 'y', 'biomecánica')",2,0,280,1,1.0070921985815602,1.0,1.0070921985815602
8,"('deshidratación', 'osmótica')",2,0,280,1,1.0070921985815602,1.0,1.0070921985815602
9,"('exploración', 'funcional', 'renal')",1,0,281,1,1.00354609929078,1.0,1.00354609929078
10,"('mecánica', 'físico-biológica')",1,0,281,1,1.00354609929078,1.0,1.00354609929078
11,ney,1,0,281,1,1.00354609929078,1.0,1.00354609929078
12,"('biomecánico', 'de', 'retención')",1,0,281,1,1.00354609929078,1.0,1.00354609929078
13,"('del', 'hueso', 'humano')",1,0,281,1,1.00354609929078,1.0,1.00354609929078
14,"('destrosa', 'y', 'ringer')",1,0,281,1,1.00354609929078,1.0,1.00354609929078
15,"('el', 'pie', 'hueco')",1,0,281,1,1.00354609929078,1.0,1.00354609929078
16,"('para', 'prótesis', 'completa')",1,0,281,1,1.00354609929078,1.0,1.00354609929078
17,"('de', 'amortiguamiento', 'arterial')",1,0,281,1,1.00354609929078,1.0,1.00354609929078
18,"('biomecánica', 'del', 'pie')",1,0,281,1,1.00354609929078,1.0,1.00354609929078
19,"('perjudican', 'o', 'benefician')",1,0,281,1,1.00354609929078,1.0,1.00354609929078
20,"('prunu', 'domestica')",1,0,281,1,1.00354609929078,1.0,1.00354609929078
21,"('bloqueo', 'farmacológico')",1,0,281,1,1.00354609929078,1.0,1.00354609929078
22,"('la', 'nueva', 'fuerza')",1,0,281,1,1.00354609929078,1.0,1.00354609929078
23,"('aparato', 'ortopédico')",1,0,281,1,1.00354609929078,1.0,1.00354609929078
24,"('apice', 'abierto')",1,0,281,1,1.00354609929078,1.0,1.00354609929078
25,"('arteria', 'sistémica')",1,0,281,1,1.00354609929078,1.0,1.00354609929078
26,"('en', 'membrana', 'epitelial')",1,0,281,1,1.00354609929078,1.0,1.00354609929078
27,"('proteico', 'de', 'membrana')",1,0,281,1,1.00354609929078,1.0,1.00354609929078
28,"('ultrasónica', 'y', 'diatermia')",1,0,281,1,1.00354609929078,1.0,1.00354609929078
29,"('ferula', 'al', 'periodonto')",1,0,281,1,1.00354609929078,1.0,1.00354609929078
30,"('en', 'plataforma', 'dinamométrica')",1,0,281,1,1.00354609929078,1.0,1.00354609929078
31,"('la', 'caracterización', 'mecánica')",1,0,281,1,1.00354609929078,1.0,1.00354609929078
32,"('modelo', 'de', 'trauma')",1,0,281,1,1.00354609929078,1.0,1.00354609929078
33,"('la', 'relación', 'densidad/osmolaridad')",1,0,281,1,1.00354609929078,1.0,1.00354609929078
34,"('hueso', 'humano')",1,0,281,1,1.00354609929078,1.0,1.00354609929078
35,"('el', 'músculo', 'liso')",1,0,281,1,1.00354609929078,1.0,1.00354609929078
36,"('mecánica', 'de', 'prótesis')",1,0,281,1,1.00354609929078,1.0,1.00354609929078
37,"('de', 'medicina', 'fisica')",1,0,281,1,1.00354609929078,1.0,1.00354609929078
38,"('hueso', 'del', 'macizo')",1,0,281,1,1.00354609929078,1.0,1.00354609929078
39,kratochvil,1,0,281,1,1.00354609929078,1.0,1.00354609929078
40,"('de', 'feedback', 'visual')",1,0,281,1,1.00354609929078,1.0,1.00354609929078
41,"('del', 'macizo', 'maxilofacial')",1,0,281,1,1.00354609929078,1.0,1.00354609929078
42,"('aspecto', 'biomecãnico')",1,0,281,1,1.00354609929078,1.0,1.00354609929078
43,"('el', 'curso', 'oficial')",1,0,281,1,1.00354609929078,1.0,1.00354609929078
44,"('retentivo', 'de', 'aker')",1,0,281,1,1.00354609929078,1.0,1.00354609929078
