,Term,Ndeᵗᵢ,Ndeᶜᵗ,Ndᶜᵗeᵗᵢ,Eᵗ,LPM,TGM,LRM
0,"('crónico', 'indigente')",1,0,6560,1,1.000152415790276,1.0,1.000152415790276
1,"('psiquiátrico', ',', 'médico')",1,0,6560,1,1.000152415790276,1.0,1.000152415790276
2,"('clínica', 'del', 'issste')",1,0,6560,1,1.000152415790276,1.0,1.000152415790276
3,"('psicoanálisis', 'social')",1,0,6560,1,1.000152415790276,1.0,1.000152415790276
4,"('el', 'psicoanálisis', 'social')",1,0,6560,1,1.000152415790276,1.0,1.000152415790276
5,"('problema', 'del', 'enfermo')",1,0,6560,1,1.000152415790276,1.0,1.000152415790276
6,"('mental', 'crónico', 'indigente')",1,0,6560,1,1.000152415790276,1.0,1.000152415790276
7,"('psicosociología', 'del', 'terrorismo')",1,0,6560,1,1.000152415790276,1.0,1.000152415790276
8,"('y', 'factor', 'socio-económico')",1,0,6560,1,1.000152415790276,1.0,1.000152415790276
9,"('psicoanálisis', 'y', 'factor')",1,0,6560,1,1.000152415790276,1.0,1.000152415790276
10,psicosociología,1,0,6560,1,1.000152415790276,1.0,1.000152415790276
11,"('alguno', 'aspecto', 'psiquiátrico')",1,0,6560,1,1.000152415790276,1.0,1.000152415790276
12,"('educación', 'sobre', 'salud')",5,5,6556,2,0.5007620789513794,0.8237085656111178,0.4124820137654821
13,"('la', 'función', 'educativa')",4,4,6557,2,0.5006096631611034,0.8237085656111178,0.41235646757349737
14,"('comunicación', 'de', 'masa')",4,4,6557,2,0.5006096631611034,0.8237085656111178,0.41235646757349737
15,"('la', 'salud', 'basada')",4,4,6557,2,0.5006096631611034,0.8237085656111178,0.41235646757349737
16,literacy,4,4,6557,2,0.5006096631611034,0.8237085656111178,0.41235646757349737
17,"('función', 'educativa')",4,4,6557,2,0.5006096631611034,0.8237085656111178,0.41235646757349737
18,"('odontológico', 'escolar')",3,3,6558,2,0.5004572473708276,0.8237085656111178,0.4122309213815128
19,"('aire', 'respirable')",3,3,6558,2,0.5004572473708276,0.8237085656111178,0.4122309213815128
20,"('entorno', 'escolar')",3,3,6558,2,0.5004572473708276,0.8237085656111178,0.4122309213815128
21,"('una', 'vida', 'saludable')",3,3,6558,2,0.5004572473708276,0.8237085656111178,0.4122309213815128
22,"('promotor', 'de', 'salud')",3,3,6558,2,0.5004572473708276,0.8237085656111178,0.4122309213815128
23,"('un', 'programa', 'escolar')",3,3,6558,2,0.5004572473708276,0.8237085656111178,0.4122309213815128
24,"('del', 'aire', 'respirable')",3,3,6558,2,0.5004572473708276,0.8237085656111178,0.4122309213815128
25,"('educación', 'en', 'alimentación')",3,3,6558,2,0.5004572473708276,0.8237085656111178,0.4122309213815128
26,"('universidad', 'promotora')",3,3,6558,2,0.5004572473708276,0.8237085656111178,0.4122309213815128
27,"('hospitalaria', 'central')",3,3,6558,2,0.5004572473708276,0.8237085656111178,0.4122309213815128
28,"('escuela', 'saludable')",3,3,6558,2,0.5004572473708276,0.8237085656111178,0.4122309213815128
29,"('de', 'psiquiatría', 'comunitaria')",3,3,6558,2,0.5004572473708276,0.8237085656111178,0.4122309213815128
30,"('popular', 'en', 'salud')",3,3,6558,2,0.5004572473708276,0.8237085656111178,0.4122309213815128
31,"('educación', 'y', 'salud')",3,3,6558,2,0.5004572473708276,0.8237085656111178,0.4122309213815128
32,"('el', 'consultorio', 'odontológico')",2,2,6559,2,0.5003048315805517,0.8237085656111178,0.41210537518952817
33,"('en', 'alimentación', 'saludable')",2,2,6559,2,0.5003048315805517,0.8237085656111178,0.41210537518952817
34,"('componente', 'educativo')",2,2,6559,2,0.5003048315805517,0.8237085656111178,0.41210537518952817
35,"('promotor', 'rural')",2,2,6559,2,0.5003048315805517,0.8237085656111178,0.41210537518952817
36,"('enfermedad', 'buco-dentaria')",2,2,6559,2,0.5003048315805517,0.8237085656111178,0.41210537518952817
37,"('pase', 'de', 'barcelona')",2,2,6559,2,0.5003048315805517,0.8237085656111178,0.41210537518952817
38,"('health', 'literacy')",2,2,6559,2,0.5003048315805517,0.8237085656111178,0.41210537518952817
39,dca,2,2,6559,2,0.5003048315805517,0.8237085656111178,0.41210537518952817
40,"('control', 'del', 'estré')",2,2,6559,2,0.5003048315805517,0.8237085656111178,0.41210537518952817
41,"('mundial', 'sin', 'tabaco')",2,2,6559,2,0.5003048315805517,0.8237085656111178,0.41210537518952817
42,"('comida', 'para', 'diabético')",2,2,6559,2,0.5003048315805517,0.8237085656111178,0.41210537518952817
43,"('mediante', 'prueba', 'genética')",2,2,6559,2,0.5003048315805517,0.8237085656111178,0.41210537518952817
44,"('ambiente', 'universitario')",2,2,6559,2,0.5003048315805517,0.8237085656111178,0.41210537518952817
45,"('entorno', 'laboral', 'libre')",2,2,6559,2,0.5003048315805517,0.8237085656111178,0.41210537518952817
46,"('de', 'persona', 'mediante')",2,2,6559,2,0.5003048315805517,0.8237085656111178,0.41210537518952817
47,"('programa', 'odontológico')",2,2,6559,2,0.5003048315805517,0.8237085656111178,0.41210537518952817
48,eheal,2,2,6559,2,0.5003048315805517,0.8237085656111178,0.41210537518952817
49,"('medio', 'educativo', 'oral')",2,2,6559,2,0.5003048315805517,0.8237085656111178,0.41210537518952817
50,"('encoprevenims', '2004')",2,2,6559,2,0.5003048315805517,0.8237085656111178,0.41210537518952817
51,"('educativo', 'de', 'prevención')",2,2,6559,2,0.5003048315805517,0.8237085656111178,0.41210537518952817
52,"('programa', 'aplicado')",2,2,6559,2,0.5003048315805517,0.8237085656111178,0.41210537518952817
53,educando,2,2,6559,2,0.5003048315805517,0.8237085656111178,0.41210537518952817
54,"('infantil', 'en', 'escuela')",2,2,6559,2,0.5003048315805517,0.8237085656111178,0.41210537518952817
55,"('escala', 'ehealth')",2,2,6559,2,0.5003048315805517,0.8237085656111178,0.41210537518952817
56,"('hora', 'de', 'aplicar')",2,2,6559,2,0.5003048315805517,0.8237085656111178,0.41210537518952817
57,"('cribado', 'de', 'población')",2,2,6559,2,0.5003048315805517,0.8237085656111178,0.41210537518952817
58,"('individual', 'y', 'social')",2,2,6559,2,0.5003048315805517,0.8237085656111178,0.41210537518952817
59,"('educación', 'prenatal')",2,2,6559,2,0.5003048315805517,0.8237085656111178,0.41210537518952817
60,"('publicidad', 'y', 'educación')",2,2,6559,2,0.5003048315805517,0.8237085656111178,0.41210537518952817
61,"('campaña', 'informativa')",2,2,6559,2,0.5003048315805517,0.8237085656111178,0.41210537518952817
62,"('programa', 'de', 'crecimiento')",2,2,6559,2,0.5003048315805517,0.8237085656111178,0.41210537518952817
63,"('analisis', 'genetico')",2,2,6559,2,0.5003048315805517,0.8237085656111178,0.41210537518952817
64,"('tabaquismo', 'en', 'alumno')",2,2,6559,2,0.5003048315805517,0.8237085656111178,0.41210537518952817
65,"('programa', 'de', 'psiquiatría')",2,2,6559,2,0.5003048315805517,0.8237085656111178,0.41210537518952817
66,"('area', 'hospitalaria', 'central')",2,2,6559,2,0.5003048315805517,0.8237085656111178,0.41210537518952817
67,"('la', 'escuela', 'promotora')",2,2,6559,2,0.5003048315805517,0.8237085656111178,0.41210537518952817
68,"('contenido', 'sanitario')",2,2,6559,2,0.5003048315805517,0.8237085656111178,0.41210537518952817
69,"('escolar', 'de', 'promoción')",2,2,6559,2,0.5003048315805517,0.8237085656111178,0.41210537518952817
70,"('a', 'nivel', 'escolar')",2,2,6559,2,0.5003048315805517,0.8237085656111178,0.41210537518952817
71,"('educación', 'sanitaria', 'materno-infantil')",2,2,6559,2,0.5003048315805517,0.8237085656111178,0.41210537518952817
72,"('intervención', 'de', 'promoción')",2,2,6559,2,0.5003048315805517,0.8237085656111178,0.41210537518952817
73,"('escuela', 'de', 'higiene')",2,2,6559,2,0.5003048315805517,0.8237085656111178,0.41210537518952817
74,"('población', 'para', 'enfermedad')",2,2,6559,2,0.5003048315805517,0.8237085656111178,0.41210537518952817
75,"('educativa', 'en', 'alimentación')",2,2,6559,2,0.5003048315805517,0.8237085656111178,0.41210537518952817
76,"('literacy', '(', 'eheal')",2,2,6559,2,0.5003048315805517,0.8237085656111178,0.41210537518952817
77,"('genética', 'y', 'banco')",2,2,6559,2,0.5003048315805517,0.8237085656111178,0.41210537518952817
78,"('la', 'enfermedad', 'buco-dentaria')",2,2,6559,2,0.5003048315805517,0.8237085656111178,0.41210537518952817
79,"('aspecto', 'educativo')",2,2,6559,2,0.5003048315805517,0.8237085656111178,0.41210537518952817
80,"('para', 'enfermedad', 'rara')",2,2,6559,2,0.5003048315805517,0.8237085656111178,0.41210537518952817
81,"('consultorio', 'odontológico')",2,2,6559,2,0.5003048315805517,0.8237085656111178,0.41210537518952817
82,"('escala', 'ehealth', 'literacy')",2,2,6559,2,0.5003048315805517,0.8237085656111178,0.41210537518952817
83,"('propaganda', 'sanitaria')",2,2,6559,2,0.5003048315805517,0.8237085656111178,0.41210537518952817
84,"('responsabilidad', 'del', 'odontologo')",2,2,6559,2,0.5003048315805517,0.8237085656111178,0.41210537518952817
85,"('educativo', 'oral')",2,2,6559,2,0.5003048315805517,0.8237085656111178,0.41210537518952817
86,"('higienista', 'dental')",2,2,6559,2,0.5003048315805517,0.8237085656111178,0.41210537518952817
87,"('actividad', 'educativa')",2,2,6559,2,0.5003048315805517,0.8237085656111178,0.41210537518952817
88,"('salud', 'ocupacional', 'positiva')",2,2,6559,2,0.5003048315805517,0.8237085656111178,0.41210537518952817
89,"('nivel', 'escolar')",2,2,6559,2,0.5003048315805517,0.8237085656111178,0.41210537518952817
90,"('genetico', 'del', 'concepto')",2,2,6559,2,0.5003048315805517,0.8237085656111178,0.41210537518952817
