,Term,Ndeᵗᵢ,Ndeᶜᵗ,Ndᶜᵗeᵗᵢ,Eᵗ,LPM,TGM,LRM
0,jasper,6,0,2913,1,1.0020554984583758,1.0,1.0020554984583758
1,"('va', 'la', 'psiquiatría')",6,0,2913,1,1.0020554984583758,1.0,1.0020554984583758
2,"('karl', 'jasper')",4,0,2915,1,1.001370332305584,1.0,1.001370332305584
3,"('la', 'psiquiatría', 'contemporánea')",4,0,2915,1,1.001370332305584,1.0,1.001370332305584
4,"('psiquiatría', 'contemporánea')",4,0,2915,1,1.001370332305584,1.0,1.001370332305584
5,evolucionista,4,0,2915,1,1.001370332305584,1.0,1.001370332305584
6,"('la', 'investigación', 'psiquiátrica')",4,0,2915,1,1.001370332305584,1.0,1.001370332305584
7,"('hacia', 'una', 'psiquiatría')",3,0,2916,1,1.001027749229188,1.0,1.001027749229188
8,kraepelin,3,0,2916,1,1.001027749229188,1.0,1.001027749229188
9,"('histórico', 'y', 'cultural')",3,0,2916,1,1.001027749229188,1.0,1.001027749229188
10,fundacional,3,0,2916,1,1.001027749229188,1.0,1.001027749229188
11,siquiatría,3,0,2916,1,1.001027749229188,1.0,1.001027749229188
12,"('mundial', 'de', 'psiquiatría')",3,0,2916,1,1.001027749229188,1.0,1.001027749229188
13,psicoterapeuta,3,0,2916,1,1.001027749229188,1.0,1.001027749229188
14,kretschmer,3,0,2916,1,1.001027749229188,1.0,1.001027749229188
15,"('residente', 'de', 'psiquiatría')",3,0,2916,1,1.001027749229188,1.0,1.001027749229188
16,"('psiquiatría', 'transcultural')",3,0,2916,1,1.001027749229188,1.0,1.001027749229188
17,"('psiquiatría', 'moderna')",3,0,2916,1,1.001027749229188,1.0,1.001027749229188
18,"('la', 'psiquiatría', 'clínica')",3,0,2916,1,1.001027749229188,1.0,1.001027749229188
19,"('la', 'psiquiatría', 'infantil')",3,0,2916,1,1.001027749229188,1.0,1.001027749229188
20,"('psiquiatra', 'y', 'psicoterapeuta')",3,0,2916,1,1.001027749229188,1.0,1.001027749229188
21,"('formación', 'del', 'psiquiatra')",3,0,2916,1,1.001027749229188,1.0,1.001027749229188
22,"('la', 'psiquiatría', 'moderna')",3,0,2916,1,1.001027749229188,1.0,1.001027749229188
23,"('juan', 'josé', 'lópez')",2,0,2917,1,1.000685166152792,1.0,1.000685166152792
24,"('la', 'psiquiatría', 'folklórica')",2,0,2917,1,1.000685166152792,1.0,1.000685166152792
25,"('teoría', 'evolucionista')",2,0,2917,1,1.000685166152792,1.0,1.000685166152792
26,"('josé', 'lópez', 'ibor')",2,0,2917,1,1.000685166152792,1.0,1.000685166152792
27,"('emil', 'kraepelin')",2,0,2917,1,1.000685166152792,1.0,1.000685166152792
28,"('trauma', 'infantil')",2,0,2917,1,1.000685166152792,1.0,1.000685166152792
29,meleril,2,0,2917,1,1.000685166152792,1.0,1.000685166152792
30,"('del', 'diagnóstico', 'psiquiátrico')",2,0,2917,1,1.000685166152792,1.0,1.000685166152792
31,"('síntoma', 'esquizofrénico')",2,0,2917,1,1.000685166152792,1.0,1.000685166152792
32,"('paciente', 'bipolar', 'tipo')",2,0,2917,1,1.000685166152792,1.0,1.000685166152792
33,"('josé', 'lópez')",2,0,2917,1,1.000685166152792,1.0,1.000685166152792
34,"('objetivo', 'actual')",2,0,2917,1,1.000685166152792,1.0,1.000685166152792
35,sanchí,2,0,2917,1,1.000685166152792,1.0,1.000685166152792
36,"('psiquiatría', 'psiconeuroinmunoendocrinológica')",2,0,2917,1,1.000685166152792,1.0,1.000685166152792
37,psiconeuroinmunoendocrinológica,2,0,2917,1,1.000685166152792,1.0,1.000685166152792
38,psicofisiología,2,0,2917,1,1.000685166152792,1.0,1.000685166152792
39,"('ernst', 'kretschmer')",2,0,2917,1,1.000685166152792,1.0,1.000685166152792
40,"('psiquiatría', 'de', 'precisión')",2,0,2917,1,1.000685166152792,1.0,1.000685166152792
41,"('el', 'debate', 'diagnóstico')",2,0,2917,1,1.000685166152792,1.0,1.000685166152792
42,"('casa', 'de', 'orate')",2,0,2917,1,1.000685166152792,1.0,1.000685166152792
43,"('debate', 'diagnóstico')",2,0,2917,1,1.000685166152792,1.0,1.000685166152792
44,"('emilio', 'mira')",2,0,2917,1,1.000685166152792,1.0,1.000685166152792
45,"('asociación', 'mundial')",2,0,2917,1,1.000685166152792,1.0,1.000685166152792
46,"('la', 'psicosis', 'endógena')",2,0,2917,1,1.000685166152792,1.0,1.000685166152792
47,"('terapéutica', 'en', 'psiquiatría')",2,0,2917,1,1.000685166152792,1.0,1.000685166152792
48,alienismo,2,0,2917,1,1.000685166152792,1.0,1.000685166152792
49,eugen,2,0,2917,1,1.000685166152792,1.0,1.000685166152792
50,heidegger,2,0,2917,1,1.000685166152792,1.0,1.000685166152792
51,"('matte', 'blanco')",2,0,2917,1,1.000685166152792,1.0,1.000685166152792
52,"('componente', 'cultural')",2,0,2917,1,1.000685166152792,1.0,1.000685166152792
53,"('ciencia', 'humana')",2,0,2917,1,1.000685166152792,1.0,1.000685166152792
54,cie-11,2,0,2917,1,1.000685166152792,1.0,1.000685166152792
55,epistemologia,2,0,2917,1,1.000685166152792,1.0,1.000685166152792
56,"('psiquiátrica', 'en', 'américa')",2,0,2917,1,1.000685166152792,1.0,1.000685166152792
57,"('especialización', 'en', 'psiquiatría')",2,0,2917,1,1.000685166152792,1.0,1.000685166152792
58,"('de', 'colaboración', 'internacional')",2,0,2917,1,1.000685166152792,1.0,1.000685166152792
59,psicoanalisis,2,0,2917,1,1.000685166152792,1.0,1.000685166152792
60,"('humano', 'en', 'psiquiatría')",2,0,2917,1,1.000685166152792,1.0,1.000685166152792
61,"('en', 'karl', 'jasper')",2,0,2917,1,1.000685166152792,1.0,1.000685166152792
