,Term,Ndeᵗᵢ,Ndeᶜᵗ,Ndᶜᵗeᵗᵢ,Eᵗ,LPM,TGM,LRM
0,"('pureza', 'radioquímica')",3,0,2088,1,1.0014347202295553,1.0,1.0014347202295553
1,radioquímica,3,0,2088,1,1.0014347202295553,1.0,1.0014347202295553
2,"('utilizando', 'radionúclido')",2,0,2089,1,1.0009564801530368,1.0,1.0009564801530368
3,radio-yodo,2,0,2089,1,1.0009564801530368,1.0,1.0009564801530368
4,"('del', 'ciclo', 'evolutivo')",2,0,2089,1,1.0009564801530368,1.0,1.0009564801530368
5,"('neuroimagen', 'y', 'síntoma')",2,0,2089,1,1.0009564801530368,1.0,1.0009564801530368
6,"('incorporación', 'de', 'manganeso')",2,0,2089,1,1.0009564801530368,1.0,1.0009564801530368
7,semnim,2,0,2089,1,1.0009564801530368,1.0,1.0009564801530368
8,"('conferencia', 'resumen')",2,0,2089,1,1.0009564801530368,1.0,1.0009564801530368
9,"('síntoma', 'fundamental')",2,0,2089,1,1.0009564801530368,1.0,1.0009564801530368
10,"('trazador', 'radioactivo')",2,0,2089,1,1.0009564801530368,1.0,1.0009564801530368
11,"('la', 'pureza', 'radioquímica')",2,0,2089,1,1.0009564801530368,1.0,1.0009564801530368
12,"('bioquímica', 'del', 'ciclo')",2,0,2089,1,1.0009564801530368,1.0,1.0009564801530368
13,"('infestan', '(', 'vinchuca')",2,0,2089,1,1.0009564801530368,1.0,1.0009564801530368
14,"('fundamental', 'en', 'esquizofrenia')",2,0,2089,1,1.0009564801530368,1.0,1.0009564801530368
15,"('y', 'síntoma', 'fundamental')",2,0,2089,1,1.0009564801530368,1.0,1.0009564801530368
16,"('radio-yodo', 'en', 'medicina')",2,0,2089,1,1.0009564801530368,1.0,1.0009564801530368
17,"('de', 'hernia', 'vesical')",2,0,2089,1,1.0009564801530368,1.0,1.0009564801530368
18,"('cromosoma', 'humano', 'mediante')",2,0,2089,1,1.0009564801530368,1.0,1.0009564801530368
19,"('uso', 'de', 'radioisótopo')",2,0,2089,1,1.0009564801530368,1.0,1.0009564801530368
20,"('gammagrafía', 'con', 'hematí')",2,0,2089,1,1.0009564801530368,1.0,1.0009564801530368
21,"('con', 'isotopo', 'radiactivo')",2,0,2089,1,1.0009564801530368,1.0,1.0009564801530368
22,"('detectado', 'mediante', 'gammagrafía')",2,0,2089,1,1.0009564801530368,1.0,1.0009564801530368
23,"('evolutivo', 'del', 'triatoma')",2,0,2089,1,1.0009564801530368,1.0,1.0009564801530368
24,"('con', 'hematí', 'marcado')",2,0,2089,1,1.0009564801530368,1.0,1.0009564801530368
25,"('incidental', 'de', 'hernia')",2,0,2089,1,1.0009564801530368,1.0,1.0009564801530368
26,"('na+', '--', 'k+')",1,0,2090,1,1.0004782400765184,1.0,1.0004782400765184
27,"('nomenclatura', ',', 'medicina')",1,0,2090,1,1.0004782400765184,1.0,1.0004782400765184
28,"('tardía', 'con', 'spect/tc')",1,0,2090,1,1.0004782400765184,1.0,1.0004782400765184
29,"('convertido', 'a', 'n0')",1,0,2090,1,1.0004782400765184,1.0,1.0004782400765184
30,-fluoro-2-desoxi-d-glucosa,1,0,2090,1,1.0004782400765184,1.0,1.0004782400765184
