,Term,Ndeᵗᵢ,Ndeᶜᵗ,Ndᶜᵗeᵗᵢ,Eᵗ,LPM,TGM,LRM
0,ginatresia,5,0,7727,1,1.0006466632177962,1.0,1.0006466632177962
1,menorragia,4,0,7728,1,1.0005173305742372,1.0,1.0005173305742372
2,"('esterilidad', 'por', 'factor')",3,0,7729,1,1.0003879979306778,1.0,1.0003879979306778
3,"('hidrotubación', 'con', 'hialuronidasa')",3,0,7729,1,1.0003879979306778,1.0,1.0003879979306778
4,"('del', 'factor', 'tubario')",3,0,7729,1,1.0003879979306778,1.0,1.0003879979306778
5,persuflación,3,0,7729,1,1.0003879979306778,1.0,1.0003879979306778
6,frigidez,3,0,7729,1,1.0003879979306778,1.0,1.0003879979306778
7,hidrometrocolpo,3,0,7729,1,1.0003879979306778,1.0,1.0003879979306778
8,"('cirugía', 'tubaria')",3,0,7729,1,1.0003879979306778,1.0,1.0003879979306778
9,"('august', 'mayer')",3,0,7729,1,1.0003879979306778,1.0,1.0003879979306778
10,"('consulta', 'de', 'esterilidad')",3,0,7729,1,1.0003879979306778,1.0,1.0003879979306778
11,"('el', 'seudoembarazo', 'yatrogénico')",3,0,7729,1,1.0003879979306778,1.0,1.0003879979306778
12,"('tratamiento', 'de', 'colpitis')",3,0,7729,1,1.0003879979306778,1.0,1.0003879979306778
13,"('salpingitis', 'tuberculosa')",3,0,7729,1,1.0003879979306778,1.0,1.0003879979306778
14,"('de', 'esterilidad', 'matrimonial')",3,0,7729,1,1.0003879979306778,1.0,1.0003879979306778
15,"('tricomona', 'y', 'candida')",3,0,7729,1,1.0003879979306778,1.0,1.0003879979306778
16,"('colpitis', 'por', 'tricomona')",3,0,7729,1,1.0003879979306778,1.0,1.0003879979306778
17,"('eduardo', 'bunster', 'montero')",2,0,7730,1,1.0002586652871184,1.0,1.0002586652871184
18,"('dolor', 'en', 'ginecologia')",2,0,7730,1,1.0002586652871184,1.0,1.0002586652871184
19,"('matrimonio', 'rato')",2,0,7730,1,1.0002586652871184,1.0,1.0002586652871184
20,"('ginecología', 'en', 'monterrey')",2,0,7730,1,1.0002586652871184,1.0,1.0002586652871184
21,ginecopsicosoma,2,0,7730,1,1.0002586652871184,1.0,1.0002586652871184
22,halban,2,0,7730,1,1.0002586652871184,1.0,1.0002586652871184
23,"('rutina', 'diagnóstica')",2,0,7730,1,1.0002586652871184,1.0,1.0002586652871184
24,"('hialuronidasa', 'y', 'antibiótico')",2,0,7730,1,1.0002586652871184,1.0,1.0002586652871184
25,"('ciclo', 'monofasico')",2,0,7730,1,1.0002586652871184,1.0,1.0002586652871184
26,"('la', 'obstrucción', 'tubárica')",2,0,7730,1,1.0002586652871184,1.0,1.0002586652871184
27,"('fertilidad', 'matrimonial')",2,0,7730,1,1.0002586652871184,1.0,1.0002586652871184
28,"('secreción', 'vaginal')",2,0,7730,1,1.0002586652871184,1.0,1.0002586652871184
29,"('inflamatorio', 'ginecológico')",2,0,7730,1,1.0002586652871184,1.0,1.0002586652871184
30,"('nuestro', 'criterio', 'acerca')",2,0,7730,1,1.0002586652871184,1.0,1.0002586652871184
31,"('cirugia', 'tubaria')",2,0,7730,1,1.0002586652871184,1.0,1.0002586652871184
32,"('quirurgico', 'del', 'prolapso')",2,0,7730,1,1.0002586652871184,1.0,1.0002586652871184
33,botella-casar,2,0,7730,1,1.0002586652871184,1.0,1.0002586652871184
34,"('causa', 'de', 'matrimonio')",2,0,7730,1,1.0002586652871184,1.0,1.0002586652871184
35,"('una', 'consulta', 'ginecológica')",2,0,7730,1,1.0002586652871184,1.0,1.0002586652871184
36,"('tratamiento', 'con', 'clomifeno')",2,0,7730,1,1.0002586652871184,1.0,1.0002586652871184
