,Term,Ndeᵗᵢ,Ndeᶜᵗ,Ndᶜᵗeᵗᵢ,Eᵗ,LPM,TGM,LRM
0,"('residencia', 'en', 'neurocirugía')",5,0,2857,1,1.0017470300489169,1.0,1.0017470300489169
1,"('el', 'actual', 'programa')",3,0,2859,1,1.00104821802935,1.0,1.00104821802935
2,"('desarrollado', 'y', 'propuesta')",3,0,2859,1,1.00104821802935,1.0,1.00104821802935
3,"('complementar', 'el', 'actual')",3,0,2859,1,1.00104821802935,1.0,1.00104821802935
4,"('propuesta', 'para', 'complementar')",3,0,2859,1,1.00104821802935,1.0,1.00104821802935
5,"('actual', 'programa')",3,0,2859,1,1.00104821802935,1.0,1.00104821802935
6,"('quo', 'vadi', 'neurocirugía')",2,0,2860,1,1.0006988120195668,1.0,1.0006988120195668
7,"('vadi', 'neurocirugía')",2,0,2860,1,1.0006988120195668,1.0,1.0006988120195668
8,kernohan-woltman,2,0,2860,1,1.0006988120195668,1.0,1.0006988120195668
9,dott,2,0,2860,1,1.0006988120195668,1.0,1.0006988120195668
10,"('norman', 'm.', 'dott')",2,0,2860,1,1.0006988120195668,1.0,1.0006988120195668
11,"('fenómeno', 'de', 'kernohan-woltman')",2,0,2860,1,1.0006988120195668,1.0,1.0006988120195668
12,"('2caso', 'y', 'revisión')",2,0,2860,1,1.0006988120195668,1.0,1.0006988120195668
13,"('meningioma', 'del', 'foramen')",2,0,2860,1,1.0006988120195668,1.0,1.0006988120195668
14,"('pensamiento', 'del', 'dr')",2,0,2860,1,1.0006988120195668,1.0,1.0006988120195668
15,"('norman', 'm.')",2,0,2860,1,1.0006988120195668,1.0,1.0006988120195668
16,"('m.', 'dott')",2,0,2860,1,1.0006988120195668,1.0,1.0006988120195668
17,"('del', 'nucleo', 'caudado')",1,0,2861,1,1.0003494060097833,1.0,1.0003494060097833
18,neurocircugía,1,0,2861,1,1.0003494060097833,1.0,1.0003494060097833
19,arutiunov,1,0,2861,1,1.0003494060097833,1.0,1.0003494060097833
20,mav,1,0,2861,1,1.0003494060097833,1.0,1.0003494060097833
21,"('quiste', 'intraneural')",1,0,2861,1,1.0003494060097833,1.0,1.0003494060097833
22,"('en', 'neurocirugía', 'basado')",1,0,2861,1,1.0003494060097833,1.0,1.0003494060097833
23,mastoidectomy,1,0,2861,1,1.0003494060097833,1.0,1.0003494060097833
24,"('la', 'moderna', 'neurocirurgia')",1,0,2861,1,1.0003494060097833,1.0,1.0003494060097833
25,"('nivel', 'l5', 's1')",1,0,2861,1,1.0003494060097833,1.0,1.0003494060097833
26,"('4', 'a5no')",1,0,2861,1,1.0003494060097833,1.0,1.0003494060097833
27,"('tra', 'trauma', 'craneal')",1,0,2861,1,1.0003494060097833,1.0,1.0003494060097833
28,"('hipogloso-facial', 'con', 'sección')",1,0,2861,1,1.0003494060097833,1.0,1.0003494060097833
29,"('andaluza', 'de', 'neurocirugía')",1,0,2861,1,1.0003494060097833,1.0,1.0003494060097833
30,"('patológica', 'con', 'implicación')",1,0,2861,1,1.0003494060097833,1.0,1.0003494060097833
31,"('andrade', 'na', 'história')",1,0,2861,1,1.0003494060097833,1.0,1.0003494060097833
32,presidida,1,0,2861,1,1.0003494060097833,1.0,1.0003494060097833
33,"('trastorno', 'neuroagresivo', 'irreductible')",1,0,2861,1,1.0003494060097833,1.0,1.0003494060097833
34,"('nerve', 'reanimation')",1,0,2861,1,1.0003494060097833,1.0,1.0003494060097833
35,"('la', 'contribución', 'latinoamericana')",1,0,2861,1,1.0003494060097833,1.0,1.0003494060097833
36,"('la', 'fijación', 'prolongada')",1,0,2861,1,1.0003494060097833,1.0,1.0003494060097833
37,myelomeningocele,1,0,2861,1,1.0003494060097833,1.0,1.0003494060097833
38,"('arteria', 'meníngea')",1,0,2861,1,1.0003494060097833,1.0,1.0003494060097833
39,"('intradural', 'extramedular', 'mediante')",1,0,2861,1,1.0003494060097833,1.0,1.0003494060097833
40,"('musculatura', 'paraespinal', 'despué')",1,0,2861,1,1.0003494060097833,1.0,1.0003494060097833
41,"('llamada', 'para', 'participar')",1,0,2861,1,1.0003494060097833,1.0,1.0003494060097833
42,"('valoración', 'del', 'neurocirujano')",1,0,2861,1,1.0003494060097833,1.0,1.0003494060097833
43,"('función', 'del', 'su-4885')",1,0,2861,1,1.0003494060097833,1.0,1.0003494060097833
44,"('metástasis', 'meníngea')",1,0,2861,1,1.0003494060097833,1.0,1.0003494060097833
45,foraminotomia,1,0,2861,1,1.0003494060097833,1.0,1.0003494060097833
46,"('de', 'neurocirugía', 'redactada')",1,0,2861,1,1.0003494060097833,1.0,1.0003494060097833
47,"('corino', 'andrade', 'na')",1,0,2861,1,1.0003494060097833,1.0,1.0003494060097833
48,"('la', 'región', 'temporal')",1,0,2861,1,1.0003494060097833,1.0,1.0003494060097833
49,"('ventriculostomía', 'y', 'biopsia')",1,0,2861,1,1.0003494060097833,1.0,1.0003494060097833
50,"('transnasal', 'surgery')",1,0,2861,1,1.0003494060097833,1.0,1.0003494060097833
51,"('cuándo', 'acudir')",1,0,2861,1,1.0003494060097833,1.0,1.0003494060097833
52,"('modelo', 'clásico')",1,0,2861,1,1.0003494060097833,1.0,1.0003494060097833
53,"('motora', 'simplificada')",1,0,2861,1,1.0003494060097833,1.0,1.0003494060097833
54,"('con', 'trastorno', 'ocular')",1,0,2861,1,1.0003494060097833,1.0,1.0003494060097833
55,"('sellar', 'pneumocele')",1,0,2861,1,1.0003494060097833,1.0,1.0003494060097833
56,"('resección', 'mínimamente')",1,0,2861,1,1.0003494060097833,1.0,1.0003494060097833
57,"('antonio', 'ega')",1,0,2861,1,1.0003494060097833,1.0,1.0003494060097833
58,"('metástasis', 'espinal', 'toraco-lumbar')",1,0,2861,1,1.0003494060097833,1.0,1.0003494060097833
59,"('endoscopic', 'transnasal')",1,0,2861,1,1.0003494060097833,1.0,1.0003494060097833
60,"('nerve', 'and')",1,0,2861,1,1.0003494060097833,1.0,1.0003494060097833
61,wiltse,1,0,2861,1,1.0003494060097833,1.0,1.0003494060097833
62,"('neurocirugía', '``', 'sixto')",1,0,2861,1,1.0003494060097833,1.0,1.0003494060097833
63,"('da', 'medicina')",1,0,2861,1,1.0003494060097833,1.0,1.0003494060097833
64,"('m.', 'e.', 'carrea')",1,0,2861,1,1.0003494060097833,1.0,1.0003494060097833
65,"('del', 'lemnisco', 'basada')",1,0,2861,1,1.0003494060097833,1.0,1.0003494060097833
66,"('en', 'espasmo', 'hemifacial')",1,0,2861,1,1.0003494060097833,1.0,1.0003494060097833
67,"('lesión', 'intradural', 'extramedular')",1,0,2861,1,1.0003494060097833,1.0,1.0003494060097833
68,"('pedicular', 'lumbar')",1,0,2861,1,1.0003494060097833,1.0,1.0003494060097833
69,"('la', 'organización', 'neuronal')",1,0,2861,1,1.0003494060097833,1.0,1.0003494060097833
70,"('craneoencefálico', 'debido')",1,0,2861,1,1.0003494060097833,1.0,1.0003494060097833
71,"('ramon', 'y', 'cajal')",1,0,2861,1,1.0003494060097833,1.0,1.0003494060097833
72,"('aneurisma', 'incidental')",1,0,2861,1,1.0003494060097833,1.0,1.0003494060097833
