,Term,Ndeᵗᵢ,Ndeᶜᵗ,Ndᶜᵗeᵗᵢ,Eᵗ,LPM,TGM,LRM
0,"('remedio', 'oftálmico')",4,0,4693,1,1.0008516074089844,1.0,1.0008516074089844
1,dega,4,0,4693,1,1.0008516074089844,1.0,1.0008516074089844
2,"('edgar', 'dega')",4,0,4693,1,1.0008516074089844,1.0,1.0008516074089844
3,"('disostosis', 'mandibulofacial')",4,0,4693,1,1.0008516074089844,1.0,1.0008516074089844
4,"('la', 'materia', 'médica')",4,0,4693,1,1.0008516074089844,1.0,1.0008516074089844
5,mandibulofacial,4,0,4693,1,1.0008516074089844,1.0,1.0008516074089844
6,"('médica', 'de', 'dioscórid')",4,0,4693,1,1.0008516074089844,1.0,1.0008516074089844
7,"('de', 'edgar', 'dega')",4,0,4693,1,1.0008516074089844,1.0,1.0008516074089844
8,dioscórid,4,0,4693,1,1.0008516074089844,1.0,1.0008516074089844
9,"('materia', 'médica')",4,0,4693,1,1.0008516074089844,1.0,1.0008516074089844
10,"('referencia', 'oftalmológica')",3,0,4694,1,1.0006387055567385,1.0,1.0006387055567385
11,"('epitelial', 'limbal')",3,0,4694,1,1.0006387055567385,1.0,1.0006387055567385
12,"('uveítis', 'inducida')",3,0,4694,1,1.0006387055567385,1.0,1.0006387055567385
13,"('gafas', 'y', 'san')",3,0,4694,1,1.0006387055567385,1.0,1.0006387055567385
14,"('y', 'san', 'jerónimo')",3,0,4694,1,1.0006387055567385,1.0,1.0006387055567385
15,"('el', 'sistema', 'visual')",3,0,4694,1,1.0006387055567385,1.0,1.0006387055567385
16,oftalmomiasis,3,0,4694,1,1.0006387055567385,1.0,1.0006387055567385
17,"('ilusión', 'óptica')",3,0,4694,1,1.0006387055567385,1.0,1.0006387055567385
18,"('exoftalmo', 'como', 'problema')",3,0,4694,1,1.0006387055567385,1.0,1.0006387055567385
19,"('médico', 'del', 'glaucoma')",3,0,4694,1,1.0006387055567385,1.0,1.0006387055567385
20,anteojo,3,0,4694,1,1.0006387055567385,1.0,1.0006387055567385
21,jan,3,0,4694,1,1.0006387055567385,1.0,1.0006387055567385
22,swept-source,3,0,4694,1,1.0006387055567385,1.0,1.0006387055567385
23,"('concentración', 'de', 'fosfato')",2,0,4695,1,1.0004258037044922,1.0,1.0004258037044922
24,pranoprofeno,2,0,4695,1,1.0004258037044922,1.0,1.0004258037044922
25,"('astigmatismo', 'corneal')",2,0,4695,1,1.0004258037044922,1.0,1.0004258037044922
26,avastin,2,0,4695,1,1.0004258037044922,1.0,1.0004258037044922
27,"('célula', 'epitelial', 'limbal')",2,0,4695,1,1.0004258037044922,1.0,1.0004258037044922
28,cesión,2,0,4695,1,1.0004258037044922,1.0,1.0004258037044922
29,"('técnica', 'oftalmológica')",2,0,4695,1,1.0004258037044922,1.0,1.0004258037044922
30,"('disóstosis', 'mandíbulo-facial')",2,0,4695,1,1.0004258037044922,1.0,1.0004258037044922
31,"('estudio', 'mediante', 'retinografía')",2,0,4695,1,1.0004258037044922,1.0,1.0004258037044922
32,ángel,2,0,4695,1,1.0004258037044922,1.0,1.0004258037044922
33,"('toxicidad', 'ocular')",2,0,4695,1,1.0004258037044922,1.0,1.0004258037044922
34,"('de', 'pequeño', 'grado')",2,0,4695,1,1.0004258037044922,1.0,1.0004258037044922
35,"('del', 'haba', 'tonka')",2,0,4695,1,1.0004258037044922,1.0,1.0004258037044922
36,"('del', 'glaucoma', 'crónico')",2,0,4695,1,1.0004258037044922,1.0,1.0004258037044922
37,"('contacto', 'en', 'queratocono')",2,0,4695,1,1.0004258037044922,1.0,1.0004258037044922
38,amsler,2,0,4695,1,1.0004258037044922,1.0,1.0004258037044922
39,oftalmotono,2,0,4695,1,1.0004258037044922,1.0,1.0004258037044922
40,"('hispano', 'americana')",2,0,4695,1,1.0004258037044922,1.0,1.0004258037044922
41,berkeley,2,0,4695,1,1.0004258037044922,1.0,1.0004258037044922
42,"('glaucoma', 'maligno')",2,0,4695,1,1.0004258037044922,1.0,1.0004258037044922
43,"('oct-en', 'face')",2,0,4695,1,1.0004258037044922,1.0,1.0004258037044922
44,"('pequeño', 'grado')",2,0,4695,1,1.0004258037044922,1.0,1.0004258037044922
45,fermín,2,0,4695,1,1.0004258037044922,1.0,1.0004258037044922
46,"('epidemia', '»', 'mundial')",2,0,4695,1,1.0004258037044922,1.0,1.0004258037044922
47,"('músculo', 'extraocular')",2,0,4695,1,1.0004258037044922,1.0,1.0004258037044922
48,"('valiosa', 'medicación')",2,0,4695,1,1.0004258037044922,1.0,1.0004258037044922
49,"('explosiva', 'epidemia')",2,0,4695,1,1.0004258037044922,1.0,1.0004258037044922
50,aniseiconia,2,0,4695,1,1.0004258037044922,1.0,1.0004258037044922
51,"('médico', 'oftalmólogo')",2,0,4695,1,1.0004258037044922,1.0,1.0004258037044922
52,"('george', 'berkeley')",2,0,4695,1,1.0004258037044922,1.0,1.0004258037044922
53,oct-en,2,0,4695,1,1.0004258037044922,1.0,1.0004258037044922
54,"('obra', 'del', 'escritor')",2,0,4695,1,1.0004258037044922,1.0,1.0004258037044922
55,"('tratamiento', 'del', 'tracoma')",2,0,4695,1,1.0004258037044922,1.0,1.0004258037044922
56,"('obra', 'de', 'feijoo')",2,0,4695,1,1.0004258037044922,1.0,1.0004258037044922
57,"('umbral', 'de', 'sensibilidad')",2,0,4695,1,1.0004258037044922,1.0,1.0004258037044922
58,goniotomia,2,0,4695,1,1.0004258037044922,1.0,1.0004258037044922
59,genealogia,2,0,4695,1,1.0004258037044922,1.0,1.0004258037044922
60,"('el', 'astigmatismo', 'corneal')",2,0,4695,1,1.0004258037044922,1.0,1.0004258037044922
61,espildora,2,0,4695,1,1.0004258037044922,1.0,1.0004258037044922
62,"('su', '«', 'explosiva')",2,0,4695,1,1.0004258037044922,1.0,1.0004258037044922
63,"('nueva', 'y', 'valiosa')",2,0,4695,1,1.0004258037044922,1.0,1.0004258037044922
64,maggiore,2,0,4695,1,1.0004258037044922,1.0,1.0004258037044922
65,"('octavio', 'paz')",2,0,4695,1,1.0004258037044922,1.0,1.0004258037044922
66,"('cuestión', 'oftalmológica')",2,0,4695,1,1.0004258037044922,1.0,1.0004258037044922
67,albrecht,2,0,4695,1,1.0004258037044922,1.0,1.0004258037044922
68,"('dexametasona', 'intravítrea')",2,0,4695,1,1.0004258037044922,1.0,1.0004258037044922
69,"('sociedad', 'oftalmológica')",2,0,4695,1,1.0004258037044922,1.0,1.0004258037044922
70,"('aplicación', 'en', 'oftalmología')",2,0,4695,1,1.0004258037044922,1.0,1.0004258037044922
71,"('la', 'uveítis', 'inducida')",2,0,4695,1,1.0004258037044922,1.0,1.0004258037044922
72,"('albrecht', 'von')",2,0,4695,1,1.0004258037044922,1.0,1.0004258037044922
73,"('resección', 'escleral', 'combinada')",2,0,4695,1,1.0004258037044922,1.0,1.0004258037044922
74,octavio,2,0,4695,1,1.0004258037044922,1.0,1.0004258037044922
75,"('escleral', 'combinada')",2,0,4695,1,1.0004258037044922,1.0,1.0004258037044922
76,"('inflamación', 'ocular')",2,0,4695,1,1.0004258037044922,1.0,1.0004258037044922
77,"('la', 'inteligencia', 'artificial')",2,0,4695,1,1.0004258037044922,1.0,1.0004258037044922
78,"('óptica', 'swept-source')",2,0,4695,1,1.0004258037044922,1.0,1.0004258037044922
79,"('y', 'terapia', 'actual')",2,0,4695,1,1.0004258037044922,1.0,1.0004258037044922
80,"('haba', 'tonka')",2,0,4695,1,1.0004258037044922,1.0,1.0004258037044922
81,"('coherencia', 'óptica', 'swept-source')",2,0,4695,1,1.0004258037044922,1.0,1.0004258037044922
82,"('hipema', 'total')",2,0,4695,1,1.0004258037044922,1.0,1.0004258037044922
83,"('atrofia', 'geográfica')",2,0,4695,1,1.0004258037044922,1.0,1.0004258037044922
84,"('seguridad', 'del', 'haba')",2,0,4695,1,1.0004258037044922,1.0,1.0004258037044922
85,"('anterior', 'del', 'ojo')",2,0,4695,1,1.0004258037044922,1.0,1.0004258037044922
86,"('endoftalmitis', 'sacular')",2,0,4695,1,1.0004258037044922,1.0,1.0004258037044922
87,antiparra,2,0,4695,1,1.0004258037044922,1.0,1.0004258037044922
88,"('con', 'uveítis', 'anterior')",2,0,4695,1,1.0004258037044922,1.0,1.0004258037044922
89,"('oral', 'para', 'reducir')",2,0,4695,1,1.0004258037044922,1.0,1.0004258037044922
90,"('lo', 'músculo', 'extraocular')",2,0,4695,1,1.0004258037044922,1.0,1.0004258037044922
91,"('cesión', 'controlada')",2,0,4695,1,1.0004258037044922,1.0,1.0004258037044922
92,"('valiosa', 'medicación', 'oral')",2,0,4695,1,1.0004258037044922,1.0,1.0004258037044922
93,"('y', 'valiosa', 'medicación')",2,0,4695,1,1.0004258037044922,1.0,1.0004258037044922
94,ferdinand,2,0,4695,1,1.0004258037044922,1.0,1.0004258037044922
95,mandíbulo-facial,2,0,4695,1,1.0004258037044922,1.0,1.0004258037044922
96,tonka,2,0,4695,1,1.0004258037044922,1.0,1.0004258037044922
97,antitracomatosa,2,0,4695,1,1.0004258037044922,1.0,1.0004258037044922
98,anna,2,0,4695,1,1.0004258037044922,1.0,1.0004258037044922
99,digitali,1,0,4696,1,1.0002129018522459,1.0,1.0002129018522459
100,"('visual', 'necesaria')",1,0,4696,1,1.0002129018522459,1.0,1.0002129018522459
101,"('planta', 'medicinal', 'novohispana')",1,0,4696,1,1.0002129018522459,1.0,1.0002129018522459
102,"('distrofia', 'mandíbulo-ócular-facial')",1,0,4696,1,1.0002129018522459,1.0,1.0002129018522459
103,"('dega', 'a', 'travé')",1,0,4696,1,1.0002129018522459,1.0,1.0002129018522459
104,"('quirúrgico', 'y', 'rayo')",1,0,4696,1,1.0002129018522459,1.0,1.0002129018522459
105,"('tracoma', 'y', 'servicio')",1,0,4696,1,1.0002129018522459,1.0,1.0002129018522459
106,"('sulfatiazol', 'sódico')",1,0,4696,1,1.0002129018522459,1.0,1.0002129018522459
107,paintball,1,0,4696,1,1.0002129018522459,1.0,1.0002129018522459
108,"('el', 'consultorio', 'oftalmológico')",1,0,4696,1,1.0002129018522459,1.0,1.0002129018522459
109,"('de', 'fra', 'angelico')",1,0,4696,1,1.0002129018522459,1.0,1.0002129018522459
110,"('maculopatía', 'miópica')",1,0,4696,1,1.0002129018522459,1.0,1.0002129018522459
111,mako,1,0,4696,1,1.0002129018522459,1.0,1.0002129018522459
112,"('método', 'de', 'hervouet-tessier-paufique')",1,0,4696,1,1.0002129018522459,1.0,1.0002129018522459
113,subluxada,1,0,4696,1,1.0002129018522459,1.0,1.0002129018522459
114,"('no', 'absorbible', 't-flux')",1,0,4696,1,1.0002129018522459,1.0,1.0002129018522459
115,"('iridocorneal', 'mediante', 'oct')",1,0,4696,1,1.0002129018522459,1.0,1.0002129018522459
116,"('posibilidad', 'de', 'citación')",1,0,4696,1,1.0002129018522459,1.0,1.0002129018522459
117,"('má', 'diclofenaco', 'tópico')",1,0,4696,1,1.0002129018522459,1.0,1.0002129018522459
118,haller,1,0,4696,1,1.0002129018522459,1.0,1.0002129018522459
119,borgoña,1,0,4696,1,1.0002129018522459,1.0,1.0002129018522459
120,"('optica', 'de', 'palomino')",1,0,4696,1,1.0002129018522459,1.0,1.0002129018522459
121,"('hermana', 'grea')",1,0,4696,1,1.0002129018522459,1.0,1.0002129018522459
122,"('caso', 'de', 'charlatanismo')",1,0,4696,1,1.0002129018522459,1.0,1.0002129018522459
123,"('la', 'lucha', 'antitracomatosa')",1,0,4696,1,1.0002129018522459,1.0,1.0002129018522459
124,"('andrea', 'eisenbareth')",1,0,4696,1,1.0002129018522459,1.0,1.0002129018522459
125,"('toxicidad', 'retinal')",1,0,4696,1,1.0002129018522459,1.0,1.0002129018522459
126,"('interna', 'tratada')",1,0,4696,1,1.0002129018522459,1.0,1.0002129018522459
127,"('--', 'decepción')",1,0,4696,1,1.0002129018522459,1.0,1.0002129018522459
128,prostaglandinas/prostamida,1,0,4696,1,1.0002129018522459,1.0,1.0002129018522459
129,jequirití,1,0,4696,1,1.0002129018522459,1.0,1.0002129018522459
130,"('retinitis', 'candidiásica')",1,0,4696,1,1.0002129018522459,1.0,1.0002129018522459
131,"('clínico', 'de', 'ciclitis')",1,0,4696,1,1.0002129018522459,1.0,1.0002129018522459
132,"('como', 'alternativa', 'eficaz')",1,0,4696,1,1.0002129018522459,1.0,1.0002129018522459
133,"('diverso', 'proceso', 'oftalmológico')",1,0,4696,1,1.0002129018522459,1.0,1.0002129018522459
134,"('biopsia', 'del', 'músculo')",1,0,4696,1,1.0002129018522459,1.0,1.0002129018522459
135,"('en', 'paciente', 'oftalmológico')",1,0,4696,1,1.0002129018522459,1.0,1.0002129018522459
136,treacher-colin,1,0,4696,1,1.0002129018522459,1.0,1.0002129018522459
137,"('ordenador', 'en', 'oftalmología')",1,0,4696,1,1.0002129018522459,1.0,1.0002129018522459
138,"('biográfico', 'del', 'prof')",1,0,4696,1,1.0002129018522459,1.0,1.0002129018522459
139,"('much', 'ophthalmology')",1,0,4696,1,1.0002129018522459,1.0,1.0002129018522459
140,"('porción', 'central')",1,0,4696,1,1.0002129018522459,1.0,1.0002129018522459
141,"('alguna', 'referencia')",1,0,4696,1,1.0002129018522459,1.0,1.0002129018522459
142,"('de', 'roger', 'van')",1,0,4696,1,1.0002129018522459,1.0,1.0002129018522459
