,Term,Ndeᵗᵢ,Ndeᶜᵗ,Ndᶜᵗeᵗᵢ,Eᵗ,LPM,TGM,LRM
0,ortopedista,3,0,1769,1,1.0016930022573365,1.0,1.0016930022573365
1,"('y', 'ortopedia', 'funcional')",2,0,1770,1,1.0011286681715577,1.0,1.0011286681715577
2,"('biogenesis', 'peroxisomica')",1,0,1771,1,1.0005643340857788,1.0,1.0005643340857788
3,"('el', 'extensor', 'carpi')",1,0,1771,1,1.0005643340857788,1.0,1.0005643340857788
4,"('formación', 'del', 'ortopedista')",1,0,1771,1,1.0005643340857788,1.0,1.0005643340857788
5,"('una', 'resección', 'oncológica')",1,0,1771,1,1.0005643340857788,1.0,1.0005643340857788
6,injertode,1,0,1771,1,1.0005643340857788,1.0,1.0005643340857788
7,"('profesor', 'mario')",1,0,1771,1,1.0005643340857788,1.0,1.0005643340857788
8,"('leonardo', 'zamudio')",1,0,1771,1,1.0005643340857788,1.0,1.0005643340857788
9,"('cuidador', 'en', 'parálisis')",1,0,1771,1,1.0005643340857788,1.0,1.0005643340857788
10,cañadell,1,0,1771,1,1.0005643340857788,1.0,1.0005643340857788
11,"('m.', 'cañadell', 'carafí')",1,0,1771,1,1.0005643340857788,1.0,1.0005643340857788
12,"('doctor', 'francisco', 'navarro')",1,0,1771,1,1.0005643340857788,1.0,1.0005643340857788
13,checoslovaca,1,0,1771,1,1.0005643340857788,1.0,1.0005643340857788
14,clemen,1,0,1771,1,1.0005643340857788,1.0,1.0005643340857788
15,"('dupuytren', 'institucion', 'privada')",1,0,1771,1,1.0005643340857788,1.0,1.0005643340857788
16,"('genética', 'y', 'ortopedia')",1,0,1771,1,1.0005643340857788,1.0,1.0005643340857788
17,"('cañadell', 'carafí')",1,0,1771,1,1.0005643340857788,1.0,1.0005643340857788
18,peroxisomica,1,0,1771,1,1.0005643340857788,1.0,1.0005643340857788
19,"('médico', 'en', 'acta')",1,0,1771,1,1.0005643340857788,1.0,1.0005643340857788
20,"('practico', 'general')",1,0,1771,1,1.0005643340857788,1.0,1.0005643340857788
21,"('lo', 'niño', 'pequeño')",1,0,1771,1,1.0005643340857788,1.0,1.0005643340857788
22,"('profesor', 'doctor', 'joachim')",1,0,1771,1,1.0005643340857788,1.0,1.0005643340857788
23,farill,1,0,1771,1,1.0005643340857788,1.0,1.0005643340857788
24,"('radiali', 'longu')",1,0,1771,1,1.0005643340857788,1.0,1.0005643340857788
25,"('doctor', 'leonardo')",1,0,1771,1,1.0005643340857788,1.0,1.0005643340857788
26,"('nuevo', 'injertode', 'tendón')",1,0,1771,1,1.0005643340857788,1.0,1.0005643340857788
27,"('ortopedica', 'checoslovaca')",1,0,1771,1,1.0005643340857788,1.0,1.0005643340857788
28,"('paterson', 'toledo')",1,0,1771,1,1.0005643340857788,1.0,1.0005643340857788
29,"('la', 'cifra', 'hablan')",1,0,1771,1,1.0005643340857788,1.0,1.0005643340857788
30,"('zamudio', 'villanueva')",1,0,1771,1,1.0005643340857788,1.0,1.0005643340857788
31,"('hans-wilhelm', 'buchholz')",1,0,1771,1,1.0005643340857788,1.0,1.0005643340857788
32,"('la', 'manipulación', 'articular')",1,0,1771,1,1.0005643340857788,1.0,1.0005643340857788
33,"('edward', 'hallaran', 'bennett')",1,0,1771,1,1.0005643340857788,1.0,1.0005643340857788
34,"('con', 'prótesis', 'modular')",1,0,1771,1,1.0005643340857788,1.0,1.0005643340857788
35,"('alternativa', 'al', 'abandono')",1,0,1771,1,1.0005643340857788,1.0,1.0005643340857788
36,"('la', 'biogenesis', 'peroxisomica')",1,0,1771,1,1.0005643340857788,1.0,1.0005643340857788
37,biogenesis,1,0,1771,1,1.0005643340857788,1.0,1.0005643340857788
38,"('doctor', 'joachim', 'löhr')",1,0,1771,1,1.0005643340857788,1.0,1.0005643340857788
39,"('de', 'dedo', 'usando')",1,0,1771,1,1.0005643340857788,1.0,1.0005643340857788
40,"('caso', 'de', 'acta')",1,0,1771,1,1.0005643340857788,1.0,1.0005643340857788
41,"('instituto', 'dupuytren')",1,0,1771,1,1.0005643340857788,1.0,1.0005643340857788
42,"('de', 'etica', 'médica')",1,0,1771,1,1.0005643340857788,1.0,1.0005643340857788
43,"('y', 'filosofia', 'funcional')",1,0,1771,1,1.0005643340857788,1.0,1.0005643340857788
44,"('prótesis', 'modular', 'posterior')",1,0,1771,1,1.0005643340857788,1.0,1.0005643340857788
45,"('instituto', 'dupuytren', 'institucion')",1,0,1771,1,1.0005643340857788,1.0,1.0005643340857788
46,"('profesor', 'hans-wilhelm')",1,0,1771,1,1.0005643340857788,1.0,1.0005643340857788
47,joachim,1,0,1771,1,1.0005643340857788,1.0,1.0005643340857788
48,"('hallaran', 'bennett')",1,0,1771,1,1.0005643340857788,1.0,1.0005643340857788
49,"('carpi', 'radiali')",1,0,1771,1,1.0005643340857788,1.0,1.0005643340857788
50,"('flexor', 'de', 'dedo')",1,0,1771,1,1.0005643340857788,1.0,1.0005643340857788
51,"('dupuytren', 'institucion')",1,0,1771,1,1.0005643340857788,1.0,1.0005643340857788
52,"('institucion', 'privada')",1,0,1771,1,1.0005643340857788,1.0,1.0005643340857788
53,"('georg', 'clemen', 'perthe')",1,0,1771,1,1.0005643340857788,1.0,1.0005643340857788
54,"('científica', 'en', 'ortopedia')",1,0,1771,1,1.0005643340857788,1.0,1.0005643340857788
55,"('el', 'practico', 'general')",1,0,1771,1,1.0005643340857788,1.0,1.0005643340857788
56,"('fracaso', 'y', 'análisis')",1,0,1771,1,1.0005643340857788,1.0,1.0005643340857788
57,"('georg', 'clemen')",1,0,1771,1,1.0005643340857788,1.0,1.0005643340857788
58,"('profesor', 'mario', 'mercuri')",1,0,1771,1,1.0005643340857788,1.0,1.0005643340857788
59,epiteloide,1,0,1771,1,1.0005643340857788,1.0,1.0005643340857788
60,"('edward', 'hallaran')",1,0,1771,1,1.0005643340857788,1.0,1.0005643340857788
61,"('concepto', 'de', 'ortodoncia')",1,0,1771,1,1.0005643340857788,1.0,1.0005643340857788
62,"('publicar', 'en', 'inglé')",1,0,1771,1,1.0005643340857788,1.0,1.0005643340857788
63,"('usando', 'el', 'extensor')",1,0,1771,1,1.0005643340857788,1.0,1.0005643340857788
64,gnatostatico,1,0,1771,1,1.0005643340857788,1.0,1.0005643340857788
65,ortopedica,1,0,1771,1,1.0005643340857788,1.0,1.0005643340857788
66,"('presentación', 'del', 'código')",1,0,1771,1,1.0005643340857788,1.0,1.0005643340857788
