,Term,Ndeᵗᵢ,Ndeᶜᵗ,Ndᶜᵗeᵗᵢ,Eᵗ,LPM,TGM,LRM
0,"('poch', 'viñal')",4,0,4658,1,1.0008580008580008,1.0,1.0008580008580008
1,poch,4,0,4658,1,1.0008580008580008,1.0,1.0008580008580008
2,"('rosendo', 'poch', 'viñal')",4,0,4658,1,1.0008580008580008,1.0,1.0008580008580008
3,"('rosendo', 'poch')",4,0,4658,1,1.0008580008580008,1.0,1.0008580008580008
4,"('symposium', 'sobre', 'roentgenterapia')",3,0,4659,1,1.0006435006435006,1.0,1.0006435006435006
5,"('obtenido', 'del', 'estudio')",3,0,4659,1,1.0006435006435006,1.0,1.0006435006435006
6,"('acta', 'otorrinolaringológica')",3,0,4659,1,1.0006435006435006,1.0,1.0006435006435006
7,"('del', 'estudio', 'analítico')",3,0,4659,1,1.0006435006435006,1.0,1.0006435006435006
8,"('libro', 'y', 'artículo')",3,0,4659,1,1.0006435006435006,1.0,1.0006435006435006
9,"('analítico', 'y', 'sociométrico')",3,0,4659,1,1.0006435006435006,1.0,1.0006435006435006
10,leocilina,3,0,4659,1,1.0006435006435006,1.0,1.0006435006435006
11,"('roentgenterapia', 'en', 'otorrinolaringología')",3,0,4659,1,1.0006435006435006,1.0,1.0006435006435006
12,"('tuberculosis', 'larängea')",3,0,4659,1,1.0006435006435006,1.0,1.0006435006435006
13,"('laringitis', 'estenosante')",2,0,4660,1,1.0004290004290004,1.0,1.0004290004290004
14,"('la', 'laringitis', 'estenosante')",2,0,4660,1,1.0004290004290004,1.0,1.0004290004290004
15,"('artículo', 'sobre', 'otología')",2,0,4660,1,1.0004290004290004,1.0,1.0004290004290004
16,"('recurrente', 'con', 'antiestreptolisina')",2,0,4660,1,1.0004290004290004,1.0,1.0004290004290004
17,"('estenosante', 'con', 'terramicina')",2,0,4660,1,1.0004290004290004,1.0,1.0004290004290004
18,"('inmunológico', 'del', 'moco')",2,0,4660,1,1.0004290004290004,1.0,1.0004290004290004
19,"('la', 'otosclerosis', 'coclear')",2,0,4660,1,1.0004290004290004,1.0,1.0004290004290004
20,"('afecto', 'de', 'rinopatía')",2,0,4660,1,1.0004290004290004,1.0,1.0004290004290004
21,"('y', 'poliposis', 'nasal')",2,0,4660,1,1.0004290004290004,1.0,1.0004290004290004
22,"('cultivo', 'faríngeo')",2,0,4660,1,1.0004290004290004,1.0,1.0004290004290004
23,"('hallazgo', 'electronistagmográfico')",2,0,4660,1,1.0004290004290004,1.0,1.0004290004290004
24,ambroxol,2,0,4660,1,1.0004290004290004,1.0,1.0004290004290004
