,Term,Ndeᵗᵢ,Ndeᶜᵗ,Ndᶜᵗeᵗᵢ,Eᵗ,LPM,TGM,LRM
0,"('cirujano', 'plástico')",2,0,1172,1,1.0017035775127767,1.0,1.0017035775127767
1,"('habilidad', 'no', 'técnica')",2,0,1172,1,1.0017035775127767,1.0,1.0017035775127767
2,"('del', 'arco', 'cigomático')",2,0,1172,1,1.0017035775127767,1.0,1.0017035775127767
3,"('corsé', 'estático')",1,0,1173,1,1.0008517887563884,1.0,1.0008517887563884
4,"('la', 'ala', 'nasal')",1,0,1173,1,1.0008517887563884,1.0,1.0008517887563884
5,"('cutáneo', 'infrecuente')",1,0,1173,1,1.0008517887563884,1.0,1.0008517887563884
6,"('con', 'epiplón', 'mayor')",1,0,1173,1,1.0008517887563884,1.0,1.0008517887563884
7,"('plástico', 'de', 'reparación')",1,0,1173,1,1.0008517887563884,1.0,1.0008517887563884
8,"('chongchet', 'modificada')",1,0,1173,1,1.0008517887563884,1.0,1.0008517887563884
9,"('capsular', 'periprotésica')",1,0,1173,1,1.0008517887563884,1.0,1.0008517887563884
10,"('geniogloso', 'técnica', 'personal')",1,0,1173,1,1.0008517887563884,1.0,1.0008517887563884
11,"('arruga', 'glabelar')",1,0,1173,1,1.0008517887563884,1.0,1.0008517887563884
12,"('labial', 'bilateral')",1,0,1173,1,1.0008517887563884,1.0,1.0008517887563884
13,"('cirugäa', 'plastica', 'facial')",1,0,1173,1,1.0008517887563884,1.0,1.0008517887563884
14,"('unilateral', 'completa')",1,0,1173,1,1.0008517887563884,1.0,1.0008517887563884
15,amputada,1,0,1173,1,1.0008517887563884,1.0,1.0008517887563884
16,"('revisión', 'y', 'avanz')",1,0,1173,1,1.0008517887563884,1.0,1.0008517887563884
17,"('del', 'colgajo', 'muscular')",1,0,1173,1,1.0008517887563884,1.0,1.0008517887563884
18,"('su', 'aspecto', 'estético')",1,0,1173,1,1.0008517887563884,1.0,1.0008517887563884
19,"('uretra', 'corta')",1,0,1173,1,1.0008517887563884,1.0,1.0008517887563884
20,"('anastomosis', 'linfático-venosa', 'mediante')",1,0,1173,1,1.0008517887563884,1.0,1.0008517887563884
21,mioplastia,1,0,1173,1,1.0008517887563884,1.0,1.0008517887563884
22,"('postoperatorio', 'de', 'blefarorridectomía')",1,0,1173,1,1.0008517887563884,1.0,1.0008517887563884
23,"('mediante', 'prótesis', 'auricular')",1,0,1173,1,1.0008517887563884,1.0,1.0008517887563884
24,"('sólo', 'cirujano', 'plástico')",1,0,1173,1,1.0008517887563884,1.0,1.0008517887563884
25,"('del', 'esofago', 'toracico')",1,0,1173,1,1.0008517887563884,1.0,1.0008517887563884
26,"('plástica', 'de', 'aumento')",1,0,1173,1,1.0008517887563884,1.0,1.0008517887563884
27,"('incidencia', 'en', 'navarra')",1,0,1173,1,1.0008517887563884,1.0,1.0008517887563884
28,"('vía', 'subperióstica')",1,0,1173,1,1.0008517887563884,1.0,1.0008517887563884
