,Term,Ndeᵗᵢ,Ndeᶜᵗ,Ndᶜᵗeᵗᵢ,Eᵗ,LPM,TGM,LRM
0,"('de', 'cirujano', 'torácico')",2,0,4861,1,1.000411268764137,1.0,1.000411268764137
1,prácticum,1,0,4862,1,1.0002056343820689,1.0,1.0002056343820689
2,"('carcinoma', 'tiroideo', 'oculto')",1,0,4862,1,1.0002056343820689,1.0,1.0002056343820689
3,"('quirúrgica', 'de', 'lobectomía')",1,0,4862,1,1.0002056343820689,1.0,1.0002056343820689
4,"('hiperhidrosis', 'palmar', 'y/o')",1,0,4862,1,1.0002056343820689,1.0,1.0002056343820689
5,"('subcutáneo', 'tra', 'fibrobroncoscopia')",1,0,4862,1,1.0002056343820689,1.0,1.0002056343820689
6,"('torácica', 'con', 'crecimiento')",1,0,4862,1,1.0002056343820689,1.0,1.0002056343820689
7,"('em', 'cirurgia', 'toráxica')",1,0,4862,1,1.0002056343820689,1.0,1.0002056343820689
8,"('pared', 'tóracoabdominal')",1,0,4862,1,1.0002056343820689,1.0,1.0002056343820689
9,"('tra', 'fibrobroncoscopia')",1,0,4862,1,1.0002056343820689,1.0,1.0002056343820689
10,intercamblo,1,0,4862,1,1.0002056343820689,1.0,1.0002056343820689
11,"('tratamiento', 'del', 'area')",1,0,4862,1,1.0002056343820689,1.0,1.0002056343820689
12,"('opinión', 'contraria')",1,0,4862,1,1.0002056343820689,1.0,1.0002056343820689
13,"('tra', 'acceso')",1,0,4862,1,1.0002056343820689,1.0,1.0002056343820689
14,"('pequeña', 'con', 'metástasis')",1,0,4862,1,1.0002056343820689,1.0,1.0002056343820689
15,"('sei', 'enferma', 'voluntaria')",1,0,4862,1,1.0002056343820689,1.0,1.0002056343820689
16,"('tórax', 'del', 'hospital')",1,0,4862,1,1.0002056343820689,1.0,1.0002056343820689
17,"('hepático', 'ectópico')",1,0,4862,1,1.0002056343820689,1.0,1.0002056343820689
18,"('neumología', 'y', 'cirurgía')",1,0,4862,1,1.0002056343820689,1.0,1.0002056343820689
19,"('venosa', 'en', 'portador')",1,0,4862,1,1.0002056343820689,1.0,1.0002056343820689
20,"('bronquial', 'tra', 'lobectomía')",1,0,4862,1,1.0002056343820689,1.0,1.0002056343820689
21,"('crecimiento', 'intratorácico')",1,0,4862,1,1.0002056343820689,1.0,1.0002056343820689
22,"('bilateral', 'primario', 'espontáneo')",1,0,4862,1,1.0002056343820689,1.0,1.0002056343820689
23,"('bronquial', 'tra')",1,0,4862,1,1.0002056343820689,1.0,1.0002056343820689
24,"('do', 'infrecuente', 'malformación')",1,0,4862,1,1.0002056343820689,1.0,1.0002056343820689
25,"('distribución', 'de', 'cirujano')",1,0,4862,1,1.0002056343820689,1.0,1.0002056343820689
26,"('cirurgia', 'toráxica')",1,0,4862,1,1.0002056343820689,1.0,1.0002056343820689
27,"('espontáneo', 'simultáneo')",1,0,4862,1,1.0002056343820689,1.0,1.0002056343820689
28,"('atresia', 'bronquial')",1,0,4862,1,1.0002056343820689,1.0,1.0002056343820689
29,"('alteración', 'del', 'intercamblo')",1,0,4862,1,1.0002056343820689,1.0,1.0002056343820689
30,"('bronquial', 'diagnosticada', 'incidentalmente')",1,0,4862,1,1.0002056343820689,1.0,1.0002056343820689
31,"('y/o', 'axilar')",1,0,4862,1,1.0002056343820689,1.0,1.0002056343820689
32,"('pulmonar', 'relacionada')",1,0,4862,1,1.0002056343820689,1.0,1.0002056343820689
33,"('palmar', 'y/o')",1,0,4862,1,1.0002056343820689,1.0,1.0002056343820689
34,"('competencia', 'del', 'prácticum')",1,0,4862,1,1.0002056343820689,1.0,1.0002056343820689
35,"('4.000', 'cirugía')",1,0,4862,1,1.0002056343820689,1.0,1.0002056343820689
