,Term,Ndeᵗᵢ,Ndeᶜᵗ,Ndᶜᵗeᵗᵢ,Eᵗ,LPM,TGM,LRM
0,"('loxoscelismo', 'sistémico')",4,0,6016,1,1.0006644518272425,1.0,1.0006644518272425
1,"('la', 'luxación', 'recidivante')",4,0,6016,1,1.0006644518272425,1.0,1.0006644518272425
2,"('fractura', 'del', 'codo')",4,0,6016,1,1.0006644518272425,1.0,1.0006644518272425
3,"('penetrante', 'del', 'tórax')",3,0,6017,1,1.0004983388704318,1.0,1.0004983388704318
4,"('artículo', '``', 'loxoscelismo')",3,0,6017,1,1.0004983388704318,1.0,1.0004983388704318
5,"('la', 'fractura', 'radicular')",3,0,6017,1,1.0004983388704318,1.0,1.0004983388704318
6,"('fractura', 'y', 'luxación')",3,0,6017,1,1.0004983388704318,1.0,1.0004983388704318
7,electrocución,3,0,6017,1,1.0004983388704318,1.0,1.0004983388704318
8,"('lesión', 'traumatica')",2,0,6018,1,1.0003322259136214,1.0,1.0003322259136214
9,"('cepa', 'brucelar')",2,0,6018,1,1.0003322259136214,1.0,1.0003322259136214
10,"('extraño', 'endobronquial')",2,0,6018,1,1.0003322259136214,1.0,1.0003322259136214
11,"('fracturado', 'dentro')",2,0,6018,1,1.0003322259136214,1.0,1.0003322259136214
12,"('intestino', 'sin', 'existencia')",2,0,6018,1,1.0003322259136214,1.0,1.0003322259136214
13,"('trauma', 'térmico')",2,0,6018,1,1.0003322259136214,1.0,1.0003322259136214
14,"('evaluación', 'del', 'mal')",2,0,6018,1,1.0003322259136214,1.0,1.0003322259136214
15,"('determinar', 'la', 'virulencia')",2,0,6018,1,1.0003322259136214,1.0,1.0003322259136214
16,"('de', 'cambio', 'modic')",2,0,6018,1,1.0003322259136214,1.0,1.0003322259136214
17,"('luxación', 'posterior')",2,0,6018,1,1.0003322259136214,1.0,1.0003322259136214
18,"('sin', 'evidencia', 'clara')",2,0,6018,1,1.0003322259136214,1.0,1.0003322259136214
19,"('la', 'región', 'perineal')",2,0,6018,1,1.0003322259136214,1.0,1.0003322259136214
20,"('neumotórax', 'traumático')",2,0,6018,1,1.0003322259136214,1.0,1.0003322259136214
21,"('de', 'instrumento', 'fracturado')",2,0,6018,1,1.0003322259136214,1.0,1.0003322259136214
22,"('instrumento', 'fracturado')",2,0,6018,1,1.0003322259136214,1.0,1.0003322259136214
23,"('instrumento', 'fracturado', 'dentro')",2,0,6018,1,1.0003322259136214,1.0,1.0003322259136214
24,"('medio', 'in', 'vitro')",2,0,6018,1,1.0003322259136214,1.0,1.0003322259136214
25,pterigoideo,2,0,6018,1,1.0003322259136214,1.0,1.0003322259136214
26,"('del', 'fitobezoar', 'gástrico')",2,0,6018,1,1.0003322259136214,1.0,1.0003322259136214
27,"('caso', 'de', 'neumotórax')",2,0,6018,1,1.0003322259136214,1.0,1.0003322259136214
28,"('mal', 'alineamiento', 'patelar')",2,0,6018,1,1.0003322259136214,1.0,1.0003322259136214
29,"('una', 'mujer', 'embarazada')",2,0,6018,1,1.0003322259136214,1.0,1.0003322259136214
30,"('perineal', 'por', 'cuerpo')",2,0,6018,1,1.0003322259136214,1.0,1.0003322259136214
31,"('opacidad', 'del', 'hemitórax')",2,0,6018,1,1.0003322259136214,1.0,1.0003322259136214
32,"('región', 'perineal')",2,0,6018,1,1.0003322259136214,1.0,1.0003322259136214
33,"('de', 'cepa', 'brucelar')",2,0,6018,1,1.0003322259136214,1.0,1.0003322259136214
34,"('la', 'quemadura', 'grave')",2,0,6018,1,1.0003322259136214,1.0,1.0003322259136214
35,"('picadura', 'de', 'hormiga')",2,0,6018,1,1.0003322259136214,1.0,1.0003322259136214
36,"('packer', ':', 'revisión')",2,0,6018,1,1.0003322259136214,1.0,1.0003322259136214
37,"('medio', 'in')",2,0,6018,1,1.0003322259136214,1.0,1.0003322259136214
38,"('la', 'fractura', 'acetabular')",2,0,6018,1,1.0003322259136214,1.0,1.0003322259136214
39,"('cuello', 'del', 'femur')",2,0,6018,1,1.0003322259136214,1.0,1.0003322259136214
40,"('shock', 'por', 'quemadura')",2,0,6018,1,1.0003322259136214,1.0,1.0003322259136214
41,"('la', 'lesión', 'traumatica')",2,0,6018,1,1.0003322259136214,1.0,1.0003322259136214
42,"('traumatismo', 'directo', 'abdominal')",2,0,6018,1,1.0003322259136214,1.0,1.0003322259136214
43,"('guia', 'de', 'tratamiento')",2,0,6018,1,1.0003322259136214,1.0,1.0003322259136214
44,"('directo', 'abdominal')",2,0,6018,1,1.0003322259136214,1.0,1.0003322259136214
45,"('evidencia', 'clara')",2,0,6018,1,1.0003322259136214,1.0,1.0003322259136214
46,"('herida', 'abdominal')",2,0,6018,1,1.0003322259136214,1.0,1.0003322259136214
47,"('intoxicación', 'por', 'mordedura')",2,0,6018,1,1.0003322259136214,1.0,1.0003322259136214
48,"('derecho', 'por', 'contusión')",2,0,6018,1,1.0003322259136214,1.0,1.0003322259136214
49,"('el', 'gran', 'quemado')",2,0,6018,1,1.0003322259136214,1.0,1.0003322259136214
50,"('del', 'mal', 'alineamiento')",2,0,6018,1,1.0003322259136214,1.0,1.0003322259136214
51,"('luxación', 'má')",2,0,6018,1,1.0003322259136214,1.0,1.0003322259136214
52,packer,2,0,6018,1,1.0003322259136214,1.0,1.0003322259136214
53,"('luxación', 'y', 'fractura')",2,0,6018,1,1.0003322259136214,1.0,1.0003322259136214
54,"('neumotórax', 'traumático', 'tratado')",2,0,6018,1,1.0003322259136214,1.0,1.0003322259136214
55,"('de', 'neumotórax', 'traumático')",2,0,6018,1,1.0003322259136214,1.0,1.0003322259136214
56,"('body', 'packer')",2,0,6018,1,1.0003322259136214,1.0,1.0003322259136214
57,"('músculo', 'pterigoideo')",2,0,6018,1,1.0003322259136214,1.0,1.0003322259136214
58,"('torácico', 'mediante')",2,0,6018,1,1.0003322259136214,1.0,1.0003322259136214
59,"('rescate', ',', 'salvamento')",2,0,6018,1,1.0003322259136214,1.0,1.0003322259136214
60,"('cerrado', 'de', 'tórax')",2,0,6018,1,1.0003322259136214,1.0,1.0003322259136214
61,"('fractura', 'de', 'incisivo')",2,0,6018,1,1.0003322259136214,1.0,1.0003322259136214
62,"('cuello', 'del', 'pie')",2,0,6018,1,1.0003322259136214,1.0,1.0003322259136214
63,"('existencia', 'de', 'traumatismo')",2,0,6018,1,1.0003322259136214,1.0,1.0003322259136214
64,"('alineamiento', 'patelar')",2,0,6018,1,1.0003322259136214,1.0,1.0003322259136214
65,tendinitis,2,0,6018,1,1.0003322259136214,1.0,1.0003322259136214
66,obturarlo,2,0,6018,1,1.0003322259136214,1.0,1.0003322259136214
67,"('extraño', 'alojado')",2,0,6018,1,1.0003322259136214,1.0,1.0003322259136214
68,"('limpieza', 'de', 'herida')",2,0,6018,1,1.0003322259136214,1.0,1.0003322259136214
69,"('cuerpo', 'extraño', 'endobronquial')",2,0,6018,1,1.0003322259136214,1.0,1.0003322259136214
70,"('traumatismo', 'torácico', 'mediante')",2,0,6018,1,1.0003322259136214,1.0,1.0003322259136214
71,araneismo,2,0,6018,1,1.0003322259136214,1.0,1.0003322259136214
72,"('contusión', 'torácica')",2,0,6018,1,1.0003322259136214,1.0,1.0003322259136214
73,"('fractura', 'intraarticular')",2,0,6018,1,1.0003322259136214,1.0,1.0003322259136214
74,"('dentro', 'del', 'conducto')",2,0,6018,1,1.0003322259136214,1.0,1.0003322259136214
75,stedman,2,0,6018,1,1.0003322259136214,1.0,1.0003322259136214
76,"('cuerpo', 'extraño', 'alojado')",2,0,6018,1,1.0003322259136214,1.0,1.0003322259136214
77,"('fitobezoar', 'gástrico')",2,0,6018,1,1.0003322259136214,1.0,1.0003322259136214
78,"('cambio', 'modic')",2,0,6018,1,1.0003322259136214,1.0,1.0003322259136214
79,"('bomba', 'de', 'stedman')",2,0,6018,1,1.0003322259136214,1.0,1.0003322259136214
80,"('de', 'traumatismo', 'directo')",2,0,6018,1,1.0003322259136214,1.0,1.0003322259136214
81,"('del', 'músculo', 'pterigoideo')",2,0,6018,1,1.0003322259136214,1.0,1.0003322259136214
82,"('completo', 'del', 'supraespinoso')",1,0,6019,1,1.000166112956811,1.0,1.000166112956811
83,"('instauración', 'y', 'funcionamiento')",1,0,6019,1,1.000166112956811,1.0,1.000166112956811
84,"('nocardia', 'cerradoensis')",1,0,6019,1,1.000166112956811,1.0,1.000166112956811
85,"('con', 'fractura', 'subtrocantérea')",1,0,6019,1,1.000166112956811,1.0,1.000166112956811
86,"('traumática', 'del', 'nervio')",1,0,6019,1,1.000166112956811,1.0,1.000166112956811
87,"('quemado', 'en', 'masa')",1,0,6019,1,1.000166112956811,1.0,1.000166112956811
88,"('21', 'de', 'octubre')",1,0,6019,1,1.000166112956811,1.0,1.000166112956811
89,"('superior', 'del', 'radio')",1,0,6019,1,1.000166112956811,1.0,1.000166112956811
90,"('carilla', 'laminada')",1,0,6019,1,1.000166112956811,1.0,1.000166112956811
91,"('de', 'sobrepresión', 'pulmonar')",1,0,6019,1,1.000166112956811,1.0,1.000166112956811
92,lesivo,1,0,6019,1,1.000166112956811,1.0,1.000166112956811
93,"('la', 'complicacióń', 'septicopiohémica')",1,0,6019,1,1.000166112956811,1.0,1.000166112956811
94,"('mano', 'de', 'urgencia')",1,0,6019,1,1.000166112956811,1.0,1.000166112956811
95,"('y', 'fractura', 'conminuta')",1,0,6019,1,1.000166112956811,1.0,1.000166112956811
96,"('la', 'odontologia', 'andina')",1,0,6019,1,1.000166112956811,1.0,1.000166112956811
97,"('casual', 'en', 'cirugía')",1,0,6019,1,1.000166112956811,1.0,1.000166112956811
98,endodigestivo,1,0,6019,1,1.000166112956811,1.0,1.000166112956811
99,"('sistema', 'penitenciario')",1,0,6019,1,1.000166112956811,1.0,1.000166112956811
100,"('recidivante', 'de', 'a.t.m')",1,0,6019,1,1.000166112956811,1.0,1.000166112956811
101,"('método', 'brooke', 'actualizado')",1,0,6019,1,1.000166112956811,1.0,1.000166112956811
102,"('doloroso', 'disfuncional')",1,0,6019,1,1.000166112956811,1.0,1.000166112956811
103,"('en', 'terapéutica', 'osteoinductora')",1,0,6019,1,1.000166112956811,1.0,1.000166112956811
104,luxación-fractura,1,0,6019,1,1.000166112956811,1.0,1.000166112956811
105,"('relación', 'endodoncia-periodoncia')",1,0,6019,1,1.000166112956811,1.0,1.000166112956811
106,subcondral,1,0,6019,1,1.000166112956811,1.0,1.000166112956811
107,"('que', 'actualmente', 'da')",1,0,6019,1,1.000166112956811,1.0,1.000166112956811
108,"('poroso', 'implantado')",1,0,6019,1,1.000166112956811,1.0,1.000166112956811
109,"('de', 'exudado', 'peritoneal')",1,0,6019,1,1.000166112956811,1.0,1.000166112956811
110,"('del', 'trauma', 'térmico')",1,0,6019,1,1.000166112956811,1.0,1.000166112956811
111,"('versu', 'tratamiento', 'conservador')",1,0,6019,1,1.000166112956811,1.0,1.000166112956811
112,"('tercera', 'barrera')",1,0,6019,1,1.000166112956811,1.0,1.000166112956811
113,substituto,1,0,6019,1,1.000166112956811,1.0,1.000166112956811
114,immunoelectroforético,1,0,6019,1,1.000166112956811,1.0,1.000166112956811
115,"('cerradoensis', 'tra')",1,0,6019,1,1.000166112956811,1.0,1.000166112956811
116,"('tendinitis', 'del', 'manguito')",1,0,6019,1,1.000166112956811,1.0,1.000166112956811
117,"('renealmia', 'alpinia')",1,0,6019,1,1.000166112956811,1.0,1.000166112956811
118,"('artroscópico', 'mediante', 'microfractura')",1,0,6019,1,1.000166112956811,1.0,1.000166112956811
119,"('estudio', 'histerográfico')",1,0,6019,1,1.000166112956811,1.0,1.000166112956811
120,"('centro', 'de', 'traumatología')",1,0,6019,1,1.000166112956811,1.0,1.000166112956811
121,"('la', 'luxación', 'paralätica')",1,0,6019,1,1.000166112956811,1.0,1.000166112956811
122,"('la', 'secuela', 'local')",1,0,6019,1,1.000166112956811,1.0,1.000166112956811
123,complicacióń,1,0,6019,1,1.000166112956811,1.0,1.000166112956811
124,"('deglución', 'accidental')",1,0,6019,1,1.000166112956811,1.0,1.000166112956811
125,"('extraño', 'intratorácico')",1,0,6019,1,1.000166112956811,1.0,1.000166112956811
126,"('andina', 'prehispanica')",1,0,6019,1,1.000166112956811,1.0,1.000166112956811
127,"('respuesta', 'cardiovascular', 'producida')",1,0,6019,1,1.000166112956811,1.0,1.000166112956811
128,"('con', 'distinto', 'material')",1,0,6019,1,1.000166112956811,1.0,1.000166112956811
129,"('t12-l1', ':', 'manejo')",1,0,6019,1,1.000166112956811,1.0,1.000166112956811
130,"('secuela', 'retráctil')",1,0,6019,1,1.000166112956811,1.0,1.000166112956811
131,"('seccion', 'completa', 'paquete')",1,0,6019,1,1.000166112956811,1.0,1.000166112956811
132,"('actuación', 'general')",1,0,6019,1,1.000166112956811,1.0,1.000166112956811
133,cerradoensis,1,0,6019,1,1.000166112956811,1.0,1.000166112956811
134,gallie-femesurier,1,0,6019,1,1.000166112956811,1.0,1.000166112956811
135,"('polímero', 'formulado')",1,0,6019,1,1.000166112956811,1.0,1.000166112956811
136,"('de', 'polímero', 'formulado')",1,0,6019,1,1.000166112956811,1.0,1.000166112956811
137,"('fractura', 'antigua')",1,0,6019,1,1.000166112956811,1.0,1.000166112956811
138,"('medellín', ',', '2003')",1,0,6019,1,1.000166112956811,1.0,1.000166112956811
139,"('consolidada', 'del', 'cuello')",1,0,6019,1,1.000166112956811,1.0,1.000166112956811
140,"('potencia', 'la', 'formación')",1,0,6019,1,1.000166112956811,1.0,1.000166112956811
141,precortesian,1,0,6019,1,1.000166112956811,1.0,1.000166112956811
142,"('enzimática', 'aparecida')",1,0,6019,1,1.000166112956811,1.0,1.000166112956811
143,"('interé', 'odontoestomatológico')",1,0,6019,1,1.000166112956811,1.0,1.000166112956811
144,"('anular', 'a', 'meñique')",1,0,6019,1,1.000166112956811,1.0,1.000166112956811
145,"('b.', 'l.')",1,0,6019,1,1.000166112956811,1.0,1.000166112956811
146,"('coxitis', 'laminar')",1,0,6019,1,1.000166112956811,1.0,1.000166112956811
147,"('gestación', 'y', 'endodoncia')",1,0,6019,1,1.000166112956811,1.0,1.000166112956811
148,"('físico', 'química')",1,0,6019,1,1.000166112956811,1.0,1.000166112956811
149,"('alguna', 'alteración', 'cardiovascular')",1,0,6019,1,1.000166112956811,1.0,1.000166112956811
150,"('artropatía', 'barotraumática')",1,0,6019,1,1.000166112956811,1.0,1.000166112956811
151,"('lo', 'tendón', 'peroneo')",1,0,6019,1,1.000166112956811,1.0,1.000166112956811
152,"('central', 'utilizado')",1,0,6019,1,1.000166112956811,1.0,1.000166112956811
153,"('la', 'dentina', 'humana')",1,0,6019,1,1.000166112956811,1.0,1.000166112956811
154,"('muerte', 'por', 'estrangulación')",1,0,6019,1,1.000166112956811,1.0,1.000166112956811
155,"('acción', 'del', 'frío')",1,0,6019,1,1.000166112956811,1.0,1.000166112956811
156,"('téchnica', 'anestésica', 'moderna')",1,0,6019,1,1.000166112956811,1.0,1.000166112956811
157,"('--', 'análise')",1,0,6019,1,1.000166112956811,1.0,1.000166112956811
158,"('víbora', 'en', 'niño')",1,0,6019,1,1.000166112956811,1.0,1.000166112956811
159,"('metabólico', 'en', 'quemado')",1,0,6019,1,1.000166112956811,1.0,1.000166112956811
160,"('señor', 'don')",1,0,6019,1,1.000166112956811,1.0,1.000166112956811
161,renealmia,1,0,6019,1,1.000166112956811,1.0,1.000166112956811
162,"('investigación', 'secot', '2014')",1,0,6019,1,1.000166112956811,1.0,1.000166112956811
163,"('dentaria', 'posterior')",1,0,6019,1,1.000166112956811,1.0,1.000166112956811
164,"('acido', 'xanturenico')",1,0,6019,1,1.000166112956811,1.0,1.000166112956811
165,"('extracción', 'de', 'resto')",1,0,6019,1,1.000166112956811,1.0,1.000166112956811
166,"('tórax', '--', 'análise')",1,0,6019,1,1.000166112956811,1.0,1.000166112956811
167,montāna,1,0,6019,1,1.000166112956811,1.0,1.000166112956811
168,"('de', 'ruptura', 'esofágica')",1,0,6019,1,1.000166112956811,1.0,1.000166112956811
169,"('osteosíntesis', 'y', 'calidad')",1,0,6019,1,1.000166112956811,1.0,1.000166112956811
170,"('herida', 'de', 'vientre')",1,0,6019,1,1.000166112956811,1.0,1.000166112956811
171,"('inhibitorio', 'de', 'extracto')",1,0,6019,1,1.000166112956811,1.0,1.000166112956811
172,"('fractura', 'acetabular', 'mediante')",1,0,6019,1,1.000166112956811,1.0,1.000166112956811
173,"('diferencial', '(', 'tercera')",1,0,6019,1,1.000166112956811,1.0,1.000166112956811
174,"('prevención', 'ante', 'alerta')",1,0,6019,1,1.000166112956811,1.0,1.000166112956811
175,"('eficacia', 'en', 'campo')",1,0,6019,1,1.000166112956811,1.0,1.000166112956811
176,"('analgésico', 'central', 'utilizado')",1,0,6019,1,1.000166112956811,1.0,1.000166112956811
177,"('alguno', 'concepto', 'práctico')",1,0,6019,1,1.000166112956811,1.0,1.000166112956811
178,"('tratamiento', 'de', 'perforación')",1,0,6019,1,1.000166112956811,1.0,1.000166112956811
179,"('óseo', '(', 'polimetilmetacrilato')",1,0,6019,1,1.000166112956811,1.0,1.000166112956811
180,"('adenoma', 'de', 'prostata')",1,0,6019,1,1.000166112956811,1.0,1.000166112956811
181,"('grifo', 'versu')",1,0,6019,1,1.000166112956811,1.0,1.000166112956811
182,"('exudado', 'de', 'tre')",1,0,6019,1,1.000166112956811,1.0,1.000166112956811
183,"('de', 'diente', 'avulsionado')",1,0,6019,1,1.000166112956811,1.0,1.000166112956811
184,"('modic', 'tipo')",1,0,6019,1,1.000166112956811,1.0,1.000166112956811
185,"('obtención', 'del', 'plasma')",1,0,6019,1,1.000166112956811,1.0,1.000166112956811
186,"('hombro', 'por', 'substitución')",1,0,6019,1,1.000166112956811,1.0,1.000166112956811
187,"('traumatismo', 'fechado')",1,0,6019,1,1.000166112956811,1.0,1.000166112956811
188,"('nutricional', 'y', 'fractura')",1,0,6019,1,1.000166112956811,1.0,1.000166112956811
189,"('no', 'gravido', 'bajo')",1,0,6019,1,1.000166112956811,1.0,1.000166112956811
190,"('uso', 'de', 'oxígeno')",1,0,6019,1,1.000166112956811,1.0,1.000166112956811
191,"('onda', 'de', 'propagación')",1,0,6019,1,1.000166112956811,1.0,1.000166112956811
192,"('por', 'via', 'femoral')",1,0,6019,1,1.000166112956811,1.0,1.000166112956811
193,"('vascular', 'poplíteo')",1,0,6019,1,1.000166112956811,1.0,1.000166112956811
194,"('método', 'brooke')",1,0,6019,1,1.000166112956811,1.0,1.000166112956811
195,"('inicial', 'al', 'traumatismo')",1,0,6019,1,1.000166112956811,1.0,1.000166112956811
196,"('urinario', ':', 'incidencia')",1,0,6019,1,1.000166112956811,1.0,1.000166112956811
197,prehispanica,1,0,6019,1,1.000166112956811,1.0,1.000166112956811
198,"('ray', 'fluvial')",1,0,6019,1,1.000166112956811,1.0,1.000166112956811
199,"('severamente', 'quemado')",1,0,6019,1,1.000166112956811,1.0,1.000166112956811
200,"('el', 'test', 'sit-and-reach')",1,0,6019,1,1.000166112956811,1.0,1.000166112956811
201,"('extraño', 'enclavado')",1,0,6019,1,1.000166112956811,1.0,1.000166112956811
202,"('migracion', 'y', 'persistencia')",1,0,6019,1,1.000166112956811,1.0,1.000166112956811
203,colubridae,1,0,6019,1,1.000166112956811,1.0,1.000166112956811
