,Term,Ndeᵗᵢ,Ndeᶜᵗ,Ndᶜᵗeᵗᵢ,Eᵗ,LPM,TGM,LRM
0,"('dagger', ')', '11')",1,0,292,1,1.0034129692832765,1.0,1.0034129692832765
1,"('sistema', 'endo-sponge®')",1,0,292,1,1.0034129692832765,1.0,1.0034129692832765
2,"('especializado', 'en', 'cirugía')",1,0,292,1,1.0034129692832765,1.0,1.0034129692832765
3,"('plataforma', 'educativa')",1,0,292,1,1.0034129692832765,1.0,1.0034129692832765
4,"('1931', '-', '2014')",1,0,292,1,1.0034129692832765,1.0,1.0034129692832765
5,"('john', 'arderne')",1,0,292,1,1.0034129692832765,1.0,1.0034129692832765
6,"('impresión', 'de', 'viaje')",1,0,292,1,1.0034129692832765,1.0,1.0034129692832765
7,"('la', 'medicación', 'antiinflamatoria')",1,0,292,1,1.0034129692832765,1.0,1.0034129692832765
8,"('antiinflamatoria', 'en', 'proctología')",1,0,292,1,1.0034129692832765,1.0,1.0034129692832765
9,"('certificación', 'en', 'coloproctología')",1,0,292,1,1.0034129692832765,1.0,1.0034129692832765
10,duodeno-cava,1,0,292,1,1.0034129692832765,1.0,1.0034129692832765
11,endo-sponge®,1,0,292,1,1.0034129692832765,1.0,1.0034129692832765
12,"('de', 'experiencia', 'proctológica')",1,0,292,1,1.0034129692832765,1.0,1.0034129692832765
13,"('evolución', 'y', 'continuidad')",1,0,292,1,1.0034129692832765,1.0,1.0034129692832765
14,"('preoperatoria', 'mediante')",1,0,292,1,1.0034129692832765,1.0,1.0034129692832765
15,"('localización', 'preoperatoria', 'mediante')",1,0,292,1,1.0034129692832765,1.0,1.0034129692832765
16,"('endoluminal', 'con', 'sistema')",1,0,292,1,1.0034129692832765,1.0,1.0034129692832765
17,"('de', 'anastomosis', 'tra')",1,0,292,1,1.0034129692832765,1.0,1.0034129692832765
18,"('reunión', 'del', 'colegio')",1,0,292,1,1.0034129692832765,1.0,1.0034129692832765
19,"('primera', 'cita')",1,0,292,1,1.0034129692832765,1.0,1.0034129692832765
20,"('mira', 'de', 'enseñanza')",1,0,292,1,1.0034129692832765,1.0,1.0034129692832765
21,ortodoncico-quirurgico,1,0,292,1,1.0034129692832765,1.0,1.0034129692832765
22,consigue,1,0,292,1,1.0034129692832765,1.0,1.0034129692832765
23,"('william', 'ernest')",1,0,292,1,1.0034129692832765,1.0,1.0034129692832765
24,tamam,1,0,292,1,1.0034129692832765,1.0,1.0034129692832765
25,"('terapia', 'endoscópica', 'endoluminal')",1,0,292,1,1.0034129692832765,1.0,1.0034129692832765
