,Term,Ndeᵗᵢ,Ndeᶜᵗ,Ndᶜᵗeᵗᵢ,Eᵗ,LPM,TGM,LRM
0,"('composición', 'fibrilar')",1,0,331,1,1.0030120481927711,1.0,1.0030120481927711
1,"('valencia', '(', '1984')",1,0,331,1,1.0030120481927711,1.0,1.0030120481927711
2,"('abecuidad', 'física')",1,0,331,1,1.0030120481927711,1.0,1.0030120481927711
3,"('del', 'deporte', 'aficionado')",1,0,331,1,1.0030120481927711,1.0,1.0030120481927711
4,"('persona', 'físicamente', 'activa')",1,0,331,1,1.0030120481927711,1.0,1.0030120481927711
5,abecuidad,1,0,331,1,1.0030120481927711,1.0,1.0030120481927711
6,"('celebración', 'de', 'carrera')",1,0,331,1,1.0030120481927711,1.0,1.0030120481927711
7,"('aeróbica', 'como', 'índuce')",1,0,331,1,1.0030120481927711,1.0,1.0030120481927711
8,"('maratón', 'popular')",1,0,331,1,1.0030120481927711,1.0,1.0030120481927711
9,"('dieta', 'de', 'deportista')",1,0,331,1,1.0030120481927711,1.0,1.0030120481927711
10,"('ejercicio', 'en', 'rata')",1,0,331,1,1.0030120481927711,1.0,1.0030120481927711
11,"('longisimo', 'lumbar')",1,0,331,1,1.0030120481927711,1.0,1.0030120481927711
12,"('fósforo', 'inorgánico', 'sérico')",1,0,331,1,1.0030120481927711,1.0,1.0030120481927711
13,"('población', 'leucocitaria')",1,0,331,1,1.0030120481927711,1.0,1.0030120481927711
14,"('lumbar', 'a', 'entrenamiento')",1,0,331,1,1.0030120481927711,1.0,1.0030120481927711
15,"('litio', 'sobre', 'calcio')",1,0,331,1,1.0030120481927711,1.0,1.0030120481927711
16,"('popular', 'en', 'valencia')",1,0,331,1,1.0030120481927711,1.0,1.0030120481927711
17,"('el', 'reconocimiento', 'médico')",1,0,331,1,1.0030120481927711,1.0,1.0030120481927711
18,"('selección', 'deportiva')",1,0,331,1,1.0030120481927711,1.0,1.0030120481927711
19,"('deporte', 'aficionado')",1,0,331,1,1.0030120481927711,1.0,1.0030120481927711
20,"('institucionalización', 'en', 'córdoba')",1,0,331,1,1.0030120481927711,1.0,1.0030120481927711
21,"('y', 'fósforo', 'inorgánico')",1,0,331,1,1.0030120481927711,1.0,1.0030120481927711
22,"('músculo', 'longisimo')",1,0,331,1,1.0030120481927711,1.0,1.0030120481927711
23,"('grupo', 'de', 'athleta')",1,0,331,1,1.0030120481927711,1.0,1.0030120481927711
24,"('papel', 'del', 'huevo')",1,0,331,1,1.0030120481927711,1.0,1.0030120481927711
25,"('recomendación', 'técnica', 'relacionada')",1,0,331,1,1.0030120481927711,1.0,1.0030120481927711
26,"('de', 'abecuidad', 'física')",1,0,331,1,1.0030120481927711,1.0,1.0030120481927711
27,"('temprano', 'proceso')",1,0,331,1,1.0030120481927711,1.0,1.0030120481927711
28,"('programación', 'y', 'celebración')",1,0,331,1,1.0030120481927711,1.0,1.0030120481927711
29,"('médico', 'de', 'pretemporada')",1,0,331,1,1.0030120481927711,1.0,1.0030120481927711
30,"('del', 'músculo', 'longisimo')",1,0,331,1,1.0030120481927711,1.0,1.0030120481927711
31,"('deportista', 'y', 'persona')",1,0,331,1,1.0030120481927711,1.0,1.0030120481927711
32,"('la', 'población', 'leucocitaria')",1,0,331,1,1.0030120481927711,1.0,1.0030120481927711
33,"('athleta', 'de', 'selección')",1,0,331,1,1.0030120481927711,1.0,1.0030120481927711
34,"('la', 'tendencia', 'actual')",1,0,331,1,1.0030120481927711,1.0,1.0030120481927711
35,"('y', 'persona', 'físicamente')",1,0,331,1,1.0030120481927711,1.0,1.0030120481927711
36,"('urbana', 'y', 'nativa')",1,0,331,1,1.0030120481927711,1.0,1.0030120481927711
37,"('lo', '``', 'reconocimiento')",1,0,331,1,1.0030120481927711,1.0,1.0030120481927711
38,"('su', 'problema', 'ginecológico')",1,0,331,1,1.0030120481927711,1.0,1.0030120481927711
39,índuce,1,0,331,1,1.0030120481927711,1.0,1.0030120481927711
40,"('sérico', 'tra', 'ejercicio')",1,0,331,1,1.0030120481927711,1.0,1.0030120481927711
41,"('su', 'aspecto', 'psico-físico')",1,0,331,1,1.0030120481927711,1.0,1.0030120481927711
42,"('población', '(', 'urbana')",1,0,331,1,1.0030120481927711,1.0,1.0030120481927711
43,"('pedestre', 'en', 'puerto')",1,0,331,1,1.0030120481927711,1.0,1.0030120481927711
44,"('práctica', 'del', 'fútbol')",1,0,331,1,1.0030120481927711,1.0,1.0030120481927711
45,"('ayuda', 'ergogénica')",1,0,331,1,1.0030120481927711,1.0,1.0030120481927711
46,"('una', 'selección', 'deportiva')",1,0,331,1,1.0030120481927711,1.0,1.0030120481927711
47,antroposcopia,1,0,331,1,1.0030120481927711,1.0,1.0030120481927711
48,doping,1,0,331,1,1.0030120481927711,1.0,1.0030120481927711
49,"('aspecto', 'psico-físico')",1,0,331,1,1.0030120481927711,1.0,1.0030120481927711
50,"('técnica', 'relacionada')",1,0,331,1,1.0030120481927711,1.0,1.0030120481927711
51,psico-físico,1,0,331,1,1.0030120481927711,1.0,1.0030120481927711
52,"('sólo', 'una', 'firma')",1,0,331,1,1.0030120481927711,1.0,1.0030120481927711
53,"('la', 'composición', 'fibrilar')",1,0,331,1,1.0030120481927711,1.0,1.0030120481927711
54,"('influencia', 'del', 'litio')",1,0,331,1,1.0030120481927711,1.0,1.0030120481927711
55,"('inorgánico', 'sérico', 'tra')",1,0,331,1,1.0030120481927711,1.0,1.0030120481927711
