,Term,Ndeᵗᵢ,Ndeᶜᵗ,Ndᶜᵗeᵗᵢ,Eᵗ,LPM,TGM,LRM
0,"('la', 'concentración', 'mínima')",3,0,970,1,1.0030832476875642,1.0,1.0030832476875642
1,"('culex', '(', 'c.')",3,0,970,1,1.0030832476875642,1.0,1.0030832476875642
2,"('c.', ')', 'quinquefasciatu')",3,0,970,1,1.0030832476875642,1.0,1.0030832476875642
3,"('actividad', 'antimalárica')",2,0,971,1,1.0020554984583758,1.0,1.0020554984583758
4,"('esterasa', 'en', 'culex')",2,0,971,1,1.0020554984583758,1.0,1.0020554984583758
5,"('de', 'aislamiento', 'vaginal')",2,0,971,1,1.0020554984583758,1.0,1.0020554984583758
6,"('nistatina', 'de', 'aislamiento')",2,0,971,1,1.0020554984583758,1.0,1.0020554984583758
7,"('respiratorio', 'humano')",2,0,971,1,1.0020554984583758,1.0,1.0020554984583758
8,"('candida', 'frente')",2,0,971,1,1.0020554984583758,1.0,1.0020554984583758
9,"('vaginal', 'de', 'candida')",2,0,971,1,1.0020554984583758,1.0,1.0020554984583758
10,"('en', '2', 'cepa')",2,0,971,1,1.0020554984583758,1.0,1.0020554984583758
11,hidroalcohólico,2,0,971,1,1.0020554984583758,1.0,1.0020554984583758
12,"('extracto', 'hidroalcohólico')",2,0,971,1,1.0020554984583758,1.0,1.0020554984583758
13,"('tratamiento', 'de', 'taenia')",2,0,971,1,1.0020554984583758,1.0,1.0020554984583758
14,anti-cryptococcu,2,0,971,1,1.0020554984583758,1.0,1.0020554984583758
15,"('pedro', 'kourí', 'esmeja')",2,0,971,1,1.0020554984583758,1.0,1.0020554984583758
16,"('de', 'candida', 'frente')",2,0,971,1,1.0020554984583758,1.0,1.0020554984583758
17,"('de', 'taenia', 'saginata')",2,0,971,1,1.0020554984583758,1.0,1.0020554984583758
18,"('anti-cryptococcu', 'neoforman')",2,0,971,1,1.0020554984583758,1.0,1.0020554984583758
19,"('del', 'diagnóstico', 'coproparasitológico')",2,0,971,1,1.0020554984583758,1.0,1.0020554984583758
20,"('1900', '-', '2000')",2,0,971,1,1.0020554984583758,1.0,1.0020554984583758
21,"('aislamiento', 'vaginal')",2,0,971,1,1.0020554984583758,1.0,1.0020554984583758
22,malation,2,0,971,1,1.0020554984583758,1.0,1.0020554984583758
23,"('fundacion', 'del', 'instituto')",2,0,971,1,1.0020554984583758,1.0,1.0020554984583758
24,"('kourí', 'esmeja')",2,0,971,1,1.0020554984583758,1.0,1.0020554984583758
25,esmeja,2,0,971,1,1.0020554984583758,1.0,1.0020554984583758
26,"('procedente', 'de', 'santiago')",2,0,971,1,1.0020554984583758,1.0,1.0020554984583758
27,"('prejuicio', 'sobre', 'lepra')",1,0,972,1,1.001027749229188,1.0,1.001027749229188
28,"('distribución', 'y', 'característica')",1,0,972,1,1.001027749229188,1.0,1.001027749229188
29,"('genero', 'vibrio')",1,0,972,1,1.001027749229188,1.0,1.001027749229188
30,"('profesor', 'gustavo')",1,0,972,1,1.001027749229188,1.0,1.001027749229188
31,"('de', 'atencion', 'medica')",1,0,972,1,1.001027749229188,1.0,1.001027749229188
32,"('habana', ""'"", 'frente')",1,0,972,1,1.001027749229188,1.0,1.001027749229188
33,"('del', 'género', 'laurencia')",1,0,972,1,1.001027749229188,1.0,1.001027749229188
34,"('de', 'sei', 'extracto')",1,0,972,1,1.001027749229188,1.0,1.001027749229188
35,"('observación', 'sobre', 'aspecto')",1,0,972,1,1.001027749229188,1.0,1.001027749229188
36,"('gramnegativo', ',', 'anaerobio')",1,0,972,1,1.001027749229188,1.0,1.001027749229188
37,"('alga', 'del', 'género')",1,0,972,1,1.001027749229188,1.0,1.001027749229188
38,"('ectoparásito', 'en', 'do')",1,0,972,1,1.001027749229188,1.0,1.001027749229188
39,"('physa', 'cubensis')",1,0,972,1,1.001027749229188,1.0,1.001027749229188
40,"('de', 'antígeno', 'común')",1,0,972,1,1.001027749229188,1.0,1.001027749229188
41,"('anaerobio', 'facultativo')",1,0,972,1,1.001027749229188,1.0,1.001027749229188
42,"('metallicu', '(', 'cyprinodontiforme')",1,0,972,1,1.001027749229188,1.0,1.001027749229188
43,"('taxométrico', 'de', 'especi')",1,0,972,1,1.001027749229188,1.0,1.001027749229188
44,tropicai,1,0,972,1,1.001027749229188,1.0,1.001027749229188
45,"('de', 'enterovirus', 'humano')",1,0,972,1,1.001027749229188,1.0,1.001027749229188
46,"('culex', 'quinquefasciatu', 'resistente')",1,0,972,1,1.001027749229188,1.0,1.001027749229188
47,"('de', 'alguna', 'línea')",1,0,972,1,1.001027749229188,1.0,1.001027749229188
48,"('revalidado', 'por', 'cromatografía')",1,0,972,1,1.001027749229188,1.0,1.001027749229188
49,"('inhibidor', 'de', 'crecimiento')",1,0,972,1,1.001027749229188,1.0,1.001027749229188
50,"('ingestion', 'de', 'larva')",1,0,972,1,1.001027749229188,1.0,1.001027749229188
51,morfofisiología,1,0,972,1,1.001027749229188,1.0,1.001027749229188
52,"('malation', 'en', 'culex')",1,0,972,1,1.001027749229188,1.0,1.001027749229188
53,corozo,1,0,972,1,1.001027749229188,1.0,1.001027749229188
54,earl,1,0,972,1,1.001027749229188,1.0,1.001027749229188
55,"('américa', ',', 'instituto')",1,0,972,1,1.001027749229188,1.0,1.001027749229188
56,"('5', 'población')",1,0,972,1,1.001027749229188,1.0,1.001027749229188
57,"('anomalía', 'morfológica')",1,0,972,1,1.001027749229188,1.0,1.001027749229188
58,"('tropical', 'pedro', 'kourí')",1,0,972,1,1.001027749229188,1.0,1.001027749229188
59,"('utilización', 'de', 'exoantígeno')",1,0,972,1,1.001027749229188,1.0,1.001027749229188
60,"('emergencia', 'compleja', 'formulada')",1,0,972,1,1.001027749229188,1.0,1.001027749229188
61,"('de', 'molécula', 'antibacteriana')",1,0,972,1,1.001027749229188,1.0,1.001027749229188
62,"('sistema', 'rt-rcp')",1,0,972,1,1.001027749229188,1.0,1.001027749229188
63,"('tropical', 'a', 'travé')",1,0,972,1,1.001027749229188,1.0,1.001027749229188
64,"('circulación', 'silenciosa')",1,0,972,1,1.001027749229188,1.0,1.001027749229188
65,"('ternera', 'donante')",1,0,972,1,1.001027749229188,1.0,1.001027749229188
66,"('ecológica', 'de', 'molusco')",1,0,972,1,1.001027749229188,1.0,1.001027749229188
67,"('cipermetrina', 'y', 'clorpirifo')",1,0,972,1,1.001027749229188,1.0,1.001027749229188
68,"('sangre', 'y', 'cultivo')",1,0,972,1,1.001027749229188,1.0,1.001027749229188
69,"('clathria', 'echinata')",1,0,972,1,1.001027749229188,1.0,1.001027749229188
70,"('de', 'sei', 'especi')",1,0,972,1,1.001027749229188,1.0,1.001027749229188
71,"('anophel', 'vestitipenni', 'dyar')",1,0,972,1,1.001027749229188,1.0,1.001027749229188
72,"('bioquímica', 'micobacteriana')",1,0,972,1,1.001027749229188,1.0,1.001027749229188
73,beauperthuy,1,0,972,1,1.001027749229188,1.0,1.001027749229188
74,"('pulmonata', ':', 'physidae')",1,0,972,1,1.001027749229188,1.0,1.001027749229188
