,Term,Ndeᵗᵢ,Ndeᶜᵗ,Ndᶜᵗeᵗᵢ,Eᵗ,LPM,TGM,LRM
0,"('reacción', 'transfusional')",5,0,7066,1,1.000707113562438,1.0,1.000707113562438
1,"('anemia', 'hemolätica')",4,0,7067,1,1.0005656908499505,1.0,1.0005656908499505
2,sanguäna,3,0,7068,1,1.0004242681374629,1.0,1.0004242681374629
3,"('neutropenia', 'idiopática', 'crónica')",3,0,7068,1,1.0004242681374629,1.0,1.0004242681374629
4,"('eosinofilia', 'elevada')",3,0,7068,1,1.0004242681374629,1.0,1.0004242681374629
5,"('complemento', 'y', 'coagulación')",3,0,7068,1,1.0004242681374629,1.0,1.0004242681374629
6,"('la', 'anemia', 'sideroblástica')",3,0,7068,1,1.0004242681374629,1.0,1.0004242681374629
7,"('neutropenia', 'idiopática')",3,0,7068,1,1.0004242681374629,1.0,1.0004242681374629
8,"('coagulación', 'sanguäna')",3,0,7068,1,1.0004242681374629,1.0,1.0004242681374629
9,"('la', 'coagulación', 'sanguäna')",3,0,7068,1,1.0004242681374629,1.0,1.0004242681374629
10,"('anemia', 'hipoplásica')",3,0,7068,1,1.0004242681374629,1.0,1.0004242681374629
11,"('hematología', 'y', 'hemoterapia')",3,0,7068,1,1.0004242681374629,1.0,1.0004242681374629
12,"('sobre', 'anemia', 'hemolätica')",2,0,7069,1,1.0002828454249753,1.0,1.0002828454249753
13,"('hemolítica', 'post-transfusional')",2,0,7069,1,1.0002828454249753,1.0,1.0002828454249753
14,"('reacción', 'hemolítica')",2,0,7069,1,1.0002828454249753,1.0,1.0002828454249753
15,"('xxx', 'reunion')",2,0,7069,1,1.0002828454249753,1.0,1.0002828454249753
16,sideroacréstica,2,0,7069,1,1.0002828454249753,1.0,1.0002828454249753
17,"('hemolätica', 'con', 'eritroblastosis')",2,0,7069,1,1.0002828454249753,1.0,1.0002828454249753
18,"('mecanismo', 'fundamentalmente')",2,0,7069,1,1.0002828454249753,1.0,1.0002828454249753
19,"('hipoproteinemia', 'idiopática')",2,0,7069,1,1.0002828454249753,1.0,1.0002828454249753
20,"('leucopenia', 'intradialítica')",2,0,7069,1,1.0002828454249753,1.0,1.0002828454249753
21,"('diferente', 'anemia')",2,0,7069,1,1.0002828454249753,1.0,1.0002828454249753
22,"('tromboelastograma', 'y', 'agregación')",2,0,7069,1,1.0002828454249753,1.0,1.0002828454249753
23,"('estudiada', 'con', 'cromo')",2,0,7069,1,1.0002828454249753,1.0,1.0002828454249753
24,"('de', 'ochenta_y_un', 'caso')",2,0,7069,1,1.0002828454249753,1.0,1.0002828454249753
25,"('con', 'poliglobulia', 'secundaria')",2,0,7069,1,1.0002828454249753,1.0,1.0002828454249753
26,"('análisis', 'de', 'ochenta_y_un')",2,0,7069,1,1.0002828454249753,1.0,1.0002828454249753
27,"('reacción', 'hemolítica', 'post-transfusional')",2,0,7069,1,1.0002828454249753,1.0,1.0002828454249753
28,"('fundamentalmente', 'hipoformativo')",2,0,7069,1,1.0002828454249753,1.0,1.0002828454249753
29,"('experimental', 'sobre', 'anemia')",2,0,7069,1,1.0002828454249753,1.0,1.0002828454249753
30,"('29', 'octubre')",2,0,7069,1,1.0002828454249753,1.0,1.0002828454249753
31,"('crónico', 'con', 'poliglobulia')",2,0,7069,1,1.0002828454249753,1.0,1.0002828454249753
32,fibro-congestiva,2,0,7069,1,1.0002828454249753,1.0,1.0002828454249753
33,"('la', 'leucopenia', 'intradialítica')",2,0,7069,1,1.0002828454249753,1.0,1.0002828454249753
34,"('anemia', 'megaloblástica', 'secundaria')",2,0,7069,1,1.0002828454249753,1.0,1.0002828454249753
35,"('eritrona', 'en', 'diferente')",2,0,7069,1,1.0002828454249753,1.0,1.0002828454249753
36,"('en', 'diferente', 'anemia')",2,0,7069,1,1.0002828454249753,1.0,1.0002828454249753
37,"('diferente', 'anemia', 'refractaria')",2,0,7069,1,1.0002828454249753,1.0,1.0002828454249753
38,"('refractaria', 'de', 'mecanismo')",2,0,7069,1,1.0002828454249753,1.0,1.0002828454249753
39,"('de', 'mecanismo', 'fundamentalmente')",2,0,7069,1,1.0002828454249753,1.0,1.0002828454249753
40,"('estudio', 'fisiopatogénico')",2,0,7069,1,1.0002828454249753,1.0,1.0002828454249753
41,"('mecanismo', 'fundamentalmente', 'hipoformativo')",2,0,7069,1,1.0002828454249753,1.0,1.0002828454249753
42,"('megaloblástica', 'por', 'deficiencia')",2,0,7069,1,1.0002828454249753,1.0,1.0002828454249753
43,"('con', 'neutropenia', 'idiopática')",2,0,7069,1,1.0002828454249753,1.0,1.0002828454249753
44,"('la', 'cid', 'humana')",2,0,7069,1,1.0002828454249753,1.0,1.0002828454249753
45,"('relación', 'entre', 'complemento')",2,0,7069,1,1.0002828454249753,1.0,1.0002828454249753
46,"('esplenomegalia', 'fibro-congestiva')",2,0,7069,1,1.0002828454249753,1.0,1.0002828454249753
47,"('intrauterino', 'y', 'anticonceptivo')",2,0,7069,1,1.0002828454249753,1.0,1.0002828454249753
48,"('megaloblástica', 'secundaria')",2,0,7069,1,1.0002828454249753,1.0,1.0002828454249753
49,"('órgano', 'hematopoyético')",2,0,7069,1,1.0002828454249753,1.0,1.0002828454249753
50,"('de', 'hemoglobinuria', 'paroxística')",2,0,7069,1,1.0002828454249753,1.0,1.0002828454249753
51,"('de', 'eosinofilia', 'elevada')",2,0,7069,1,1.0002828454249753,1.0,1.0002828454249753
52,sindrome_de_zieve,2,0,7069,1,1.0002828454249753,1.0,1.0002828454249753
53,"('noviembre', 'de', '1989')",2,0,7069,1,1.0002828454249753,1.0,1.0002828454249753
54,"('cid', 'humana')",2,0,7069,1,1.0002828454249753,1.0,1.0002828454249753
55,"('hematológico', 'del', 'alcoholismo')",2,0,7069,1,1.0002828454249753,1.0,1.0002828454249753
56,"('anemia', 'aplástica', 'idiopática')",2,0,7069,1,1.0002828454249753,1.0,1.0002828454249753
57,"('aplástica', 'idiopática')",2,0,7069,1,1.0002828454249753,1.0,1.0002828454249753
58,hipergammaglobulínico,2,0,7069,1,1.0002828454249753,1.0,1.0002828454249753
59,"('eosinofilia', 'sanguänea')",2,0,7069,1,1.0002828454249753,1.0,1.0002828454249753
60,eritrón,2,0,7069,1,1.0002828454249753,1.0,1.0002828454249753
61,"('hemolitica', 'post-transfusional')",2,0,7069,1,1.0002828454249753,1.0,1.0002828454249753
62,"('definir', 'anemia')",2,0,7069,1,1.0002828454249753,1.0,1.0002828454249753
63,"('anemia', 'materna')",2,0,7069,1,1.0002828454249753,1.0,1.0002828454249753
64,"('ser', 'corregido')",2,0,7069,1,1.0002828454249753,1.0,1.0002828454249753
65,"('modelo', 'citodinamico')",2,0,7069,1,1.0002828454249753,1.0,1.0002828454249753
66,"('hemoglobina', 'para', 'definir')",2,0,7069,1,1.0002828454249753,1.0,1.0002828454249753
67,"('para', 'definir', 'anemia')",2,0,7069,1,1.0002828454249753,1.0,1.0002828454249753
68,"('definir', 'anemia', 'materna')",2,0,7069,1,1.0002828454249753,1.0,1.0002828454249753
69,"('altura', 'no', 'debe')",2,0,7069,1,1.0002828454249753,1.0,1.0002828454249753
70,"('agranulocitosis', 'y', 'anemia')",2,0,7069,1,1.0002828454249753,1.0,1.0002828454249753
71,"('debe', 'ser', 'corregido')",2,0,7069,1,1.0002828454249753,1.0,1.0002828454249753
72,"('hipogammaglobulinemia', 'idiopática')",2,0,7069,1,1.0002828454249753,1.0,1.0002828454249753
73,"('efecto', 'desfavorable')",2,0,7069,1,1.0002828454249753,1.0,1.0002828454249753
74,"('reacción', 'transfusional', 'hemolítica')",2,0,7069,1,1.0002828454249753,1.0,1.0002828454249753
75,"('endotoxina', 'en', 'conejo')",2,0,7069,1,1.0002828454249753,1.0,1.0002828454249753
76,"('transfusional', 'hemolítica')",2,0,7069,1,1.0002828454249753,1.0,1.0002828454249753
77,sändromos_de_banti,2,0,7069,1,1.0002828454249753,1.0,1.0002828454249753
78,"('hemolítica', 'autoinmune', 'secundaria')",2,0,7069,1,1.0002828454249753,1.0,1.0002828454249753
79,"('autoinmune', 'secundaria')",2,0,7069,1,1.0002828454249753,1.0,1.0002828454249753
80,"('linfocitosis', 'infecciosa')",2,0,7069,1,1.0002828454249753,1.0,1.0002828454249753
81,"('la', 'anemia', 'macrocitaria')",2,0,7069,1,1.0002828454249753,1.0,1.0002828454249753
82,"('formación', 'de', 'hematólogo')",2,0,7069,1,1.0002828454249753,1.0,1.0002828454249753
83,"('citodinamico', 'de', 'eritrona')",2,0,7069,1,1.0002828454249753,1.0,1.0002828454249753
84,"('la', 'medula', 'osea')",2,0,7069,1,1.0002828454249753,1.0,1.0002828454249753
85,"('la', 'eosinofilia', 'sanguänea')",2,0,7069,1,1.0002828454249753,1.0,1.0002828454249753
86,"('selectiva', 'de', 'inmunoglobulina')",2,0,7069,1,1.0002828454249753,1.0,1.0002828454249753
87,citodinamico,2,0,7069,1,1.0002828454249753,1.0,1.0002828454249753
88,hipoformativo,2,0,7069,1,1.0002828454249753,1.0,1.0002828454249753
89,"('ochenta_y_un', 'caso')",2,0,7069,1,1.0002828454249753,1.0,1.0002828454249753
90,paracoagulación,2,0,7069,1,1.0002828454249753,1.0,1.0002828454249753
91,"('el', 'litoral', 'mediterráneo')",2,0,7069,1,1.0002828454249753,1.0,1.0002828454249753
92,ochenta_y_un,2,0,7069,1,1.0002828454249753,1.0,1.0002828454249753
93,"('sindrome', 'de', 'loeffler')",2,0,7069,1,1.0002828454249753,1.0,1.0002828454249753
94,intradialítica,2,0,7069,1,1.0002828454249753,1.0,1.0002828454249753
95,"('litoral', 'mediterráneo')",2,0,7069,1,1.0002828454249753,1.0,1.0002828454249753
96,"('calidad', 'en', 'hematología')",2,0,7069,1,1.0002828454249753,1.0,1.0002828454249753
97,"('anemia', 'macrocitaria')",2,0,7069,1,1.0002828454249753,1.0,1.0002828454249753
98,"('fisiopatológica', 'y', 'nosográfica')",1,0,7070,1,1.0001414227124876,1.0,1.0001414227124876
99,"('ferropénica', 'del', 'periodo')",1,0,7070,1,1.0001414227124876,1.0,1.0001414227124876
100,"('epsilon', 'amino', 'carpioco')",1,0,7070,1,1.0001414227124876,1.0,1.0001414227124876
101,"('anemia', 'sideroacréstica')",1,0,7070,1,1.0001414227124876,1.0,1.0001414227124876
102,"('refractaria', 'al', 'interferón')",1,0,7070,1,1.0001414227124876,1.0,1.0001414227124876
