,Term,Ndeᵗᵢ,Ndeᶜᵗ,Ndᶜᵗeᵗᵢ,Eᵗ,LPM,TGM,LRM
0,sociedad_española_de_microbiología,7,0,5276,1,1.0013250047321598,1.0,1.0013250047321598
1,"('microbiología', 'y', 'parasitología')",5,0,5278,1,1.0009464319515426,1.0,1.0009464319515426
2,"('año', 'de', 'microbiología')",3,0,5280,1,1.0005678591709255,1.0,1.0005678591709255
3,hemolĭtico,2,0,5281,1,1.0003785727806171,1.0,1.0003785727806171
4,"('cultivo', 'de', 'trypanosoma')",2,0,5281,1,1.0003785727806171,1.0,1.0003785727806171
5,scie,2,0,5281,1,1.0003785727806171,1.0,1.0003785727806171
6,"('microbiología', 'sem')",2,0,5281,1,1.0003785727806171,1.0,1.0003785727806171
7,congreso_nacional_de_microbiología,2,0,5281,1,1.0003785727806171,1.0,1.0003785727806171
8,"('de', 'microbiología', 'sem')",2,0,5281,1,1.0003785727806171,1.0,1.0003785727806171
9,"('cultivo', 'de', 'epimastigote')",2,0,5281,1,1.0003785727806171,1.0,1.0003785727806171
10,"('microbiologia', 'oral')",2,0,5281,1,1.0003785727806171,1.0,1.0003785727806171
11,"('cruzi', 'en', 'medio')",2,0,5281,1,1.0003785727806171,1.0,1.0003785727806171
12,"('nacional', 'de', 'microbiología')",2,0,5281,1,1.0003785727806171,1.0,1.0003785727806171
13,b-1459,2,0,5281,1,1.0003785727806171,1.0,1.0003785727806171
14,"('campestri', 'b-1459')",2,0,5281,1,1.0003785727806171,1.0,1.0003785727806171
15,asociación_mexicana_de_microbiología,2,0,5281,1,1.0003785727806171,1.0,1.0003785727806171
16,"('de', 'nueva', 'cepa')",2,0,5281,1,1.0003785727806171,1.0,1.0003785727806171
17,"('xantano', 'a', 'partir')",2,0,5281,1,1.0003785727806171,1.0,1.0003785727806171
18,"('la', 'microbiología_clínica', 'moderna')",2,0,5281,1,1.0003785727806171,1.0,1.0003785727806171
19,"('reconocimiento', 'a', 'beatriz_gilabert_fierro')",2,0,5281,1,1.0003785727806171,1.0,1.0003785727806171
20,"('microbiología_clínica', 'moderna')",2,0,5281,1,1.0003785727806171,1.0,1.0003785727806171
21,beatriz_gilabert_fierro,2,0,5281,1,1.0003785727806171,1.0,1.0003785727806171
22,"('partir', 'de', 'xanthomona')",2,0,5281,1,1.0003785727806171,1.0,1.0003785727806171
23,xantano,2,0,5281,1,1.0003785727806171,1.0,1.0003785727806171
24,"('xanthomona', 'campestri', 'b-1459')",2,0,5281,1,1.0003785727806171,1.0,1.0003785727806171
25,"('científica', 'en', 'microbiología')",2,0,5281,1,1.0003785727806171,1.0,1.0003785727806171
26,"('historia', 'protozoológica')",2,0,5281,1,1.0003785727806171,1.0,1.0003785727806171
27,luis_pasteur,2,0,5281,1,1.0003785727806171,1.0,1.0003785727806171
28,"('descubrimiento', 'del', 'bacilo')",2,0,5281,1,1.0003785727806171,1.0,1.0003785727806171
29,revista_española_de_quimioterapia,2,0,5281,1,1.0003785727806171,1.0,1.0003785727806171
30,"('de', 'historia', 'protozoológica')",2,0,5281,1,1.0003785727806171,1.0,1.0003785727806171
31,"('nota', 'de', 'historia')",2,0,5281,1,1.0003785727806171,1.0,1.0003785727806171
32,"('laboratorio', 'de', 'sanidad')",2,0,5281,1,1.0003785727806171,1.0,1.0003785727806171
33,protozoológica,2,0,5281,1,1.0003785727806171,1.0,1.0003785727806171
34,gerardo_varela,2,0,5281,1,1.0003785727806171,1.0,1.0003785727806171
35,revista_iberoamericana_de_micología,2,0,5281,1,1.0003785727806171,1.0,1.0003785727806171
36,laboratorios_de_microbiologia_sanitaria,1,0,5282,1,1.0001892863903086,1.0,1.0001892863903086
37,"('e.', 'coli', 'k12')",1,0,5282,1,1.0001892863903086,1.0,1.0001892863903086
38,"('lo', 'sistema', 'microbiológico')",1,0,5282,1,1.0001892863903086,1.0,1.0001892863903086
39,"('cao', 'e', 'inestabilidad')",1,0,5282,1,1.0001892863903086,1.0,1.0001892863903086
40,"('sistema', 'microbiológico')",1,0,5282,1,1.0001892863903086,1.0,1.0001892863903086
41,"('inestabilidad', 'dinámica')",1,0,5282,1,1.0001892863903086,1.0,1.0001892863903086
42,k12,1,0,5282,1,1.0001892863903086,1.0,1.0001892863903086
43,agarizado,1,0,5282,1,1.0001892863903086,1.0,1.0001892863903086
44,"('coli', 'k12')",1,0,5282,1,1.0001892863903086,1.0,1.0001892863903086
45,"('mutación', 'afectando')",1,0,5282,1,1.0001892863903086,1.0,1.0001892863903086
