,Term,Ndeᵗᵢ,Ndeᶜᵗ,Ndᶜᵗeᵗᵢ,Eᵗ,LPM,TGM,LRM
0,congreso_international_de_medicina_interna_del_hospital_de_clínica,3,0,5450,1,1.0005501558774983,1.0,1.0005501558774983
1,"('crítica', 'en', 'investigación')",3,0,5450,1,1.0005501558774983,1.0,1.0005501558774983
2,congreso_chileno_de_medicina_interna,3,0,5450,1,1.0005501558774983,1.0,1.0005501558774983
3,"('ecocardiografía', 'clínica')",3,0,5450,1,1.0005501558774983,1.0,1.0005501558774983
4,"('la', 'hiperuricemia', 'asintomática')",3,0,5450,1,1.0005501558774983,1.0,1.0005501558774983
5,"('venosa', 'idiopática')",3,0,5450,1,1.0005501558774983,1.0,1.0005501558774983
6,"('tromboembólica', 'venosa', 'idiopática')",3,0,5450,1,1.0005501558774983,1.0,1.0005501558774983
7,"('ampliación', 'de', 'estudio')",2,0,5451,1,1.000366770584999,1.0,1.000366770584999
8,dr_rodolfo_armas_cruz,2,0,5451,1,1.000366770584999,1.0,1.000366770584999
9,"('ser', 'médico', '…')",2,0,5451,1,1.000366770584999,1.0,1.000366770584999
10,"('tutor', 'de', 'docencia')",2,0,5451,1,1.000366770584999,1.0,1.000366770584999
11,"('concepto', 'multidisciplinar')",2,0,5451,1,1.000366770584999,1.0,1.000366770584999
12,"('médico', '…')",2,0,5451,1,1.000366770584999,1.0,1.000366770584999
13,"('al', 'profesor', 'dr_rodolfo_armas_cruz')",2,0,5451,1,1.000366770584999,1.0,1.000366770584999
14,"('síndrom', 'de', 'sensibilización')",2,0,5451,1,1.000366770584999,1.0,1.000366770584999
15,"('medicina_interna', 'en', 'andalucía')",2,0,5451,1,1.000366770584999,1.0,1.000366770584999
16,"('hacia', 'la', 'estructuración')",2,0,5451,1,1.000366770584999,1.0,1.000366770584999
17,consenso_de_asma_bronquial,2,0,5451,1,1.000366770584999,1.0,1.000366770584999
18,"('difusión', 'e', 'indicador')",2,0,5451,1,1.000366770584999,1.0,1.000366770584999
19,"('un', 'concepto', 'multidisciplinar')",2,0,5451,1,1.000366770584999,1.0,1.000366770584999
20,"('profesor', 'dr_rodolfo_armas_cruz')",2,0,5451,1,1.000366770584999,1.0,1.000366770584999
21,"('recertificación', 'de', 'especialista')",2,0,5451,1,1.000366770584999,1.0,1.000366770584999
22,"('artículo', 'de', 'lissen')",2,0,5451,1,1.000366770584999,1.0,1.000366770584999
23,"('composición', 'y', 'constitución')",2,0,5451,1,1.000366770584999,1.0,1.000366770584999
24,"('ayuda', 'para', 'predecir')",2,0,5451,1,1.000366770584999,1.0,1.000366770584999
