,Term,Ndeᵗᵢ,Ndeᶜᵗ,Ndᶜᵗeᵗᵢ,Eᵗ,LPM,TGM,LRM
0,servicio_de_sanidad,3,0,211,1,1.014018691588785,1.0,1.014018691588785
1,"('batalla', 'de', 'carabobo')",2,0,212,1,1.0093457943925233,1.0,1.0093457943925233
2,médicomilitar,2,0,212,1,1.0093457943925233,1.0,1.0093457943925233
3,"('relativo', 'al', 'periodismo')",2,0,212,1,1.0093457943925233,1.0,1.0093457943925233
4,"('alguno', 'informe', 'relativo')",2,0,212,1,1.0093457943925233,1.0,1.0093457943925233
5,"('periodismo', 'médicomilitar')",2,0,212,1,1.0093457943925233,1.0,1.0093457943925233
6,"('informe', 'relativo')",2,0,212,1,1.0093457943925233,1.0,1.0093457943925233
7,"('alguno', 'informe')",2,0,212,1,1.0093457943925233,1.0,1.0093457943925233
8,escuela_de_aplicación_de_sanidad_militar,2,0,212,1,1.0093457943925233,1.0,1.0093457943925233
9,"('sitio', 'de', 'querétaro')",2,0,212,1,1.0093457943925233,1.0,1.0093457943925233
10,"('al', 'periodismo', 'médicomilitar')",2,0,212,1,1.0093457943925233,1.0,1.0093457943925233
11,"('vida', 'del', 'dr._argumosa')",1,0,213,1,1.0046728971962615,1.0,1.0046728971962615
12,grl,1,0,213,1,1.0046728971962615,1.0,1.0046728971962615
13,"('la', 'atormentada', 'vida')",1,0,213,1,1.0046728971962615,1.0,1.0046728971962615
14,"('atormentada', 'vida')",1,0,213,1,1.0046728971962615,1.0,1.0046728971962615
15,dr._argumosa,1,0,213,1,1.0046728971962615,1.0,1.0046728971962615
16,atormentada,1,0,213,1,1.0046728971962615,1.0,1.0046728971962615
17,"('88', 'aniversario')",1,0,213,1,1.0046728971962615,1.0,1.0046728971962615
18,"('instituto', 'médico_militar')",1,0,213,1,1.0046728971962615,1.0,1.0046728971962615
19,"('militar', 'central')",1,0,213,1,1.0046728971962615,1.0,1.0046728971962615
20,"('h.', 'grl')",1,0,213,1,1.0046728971962615,1.0,1.0046728971962615
21,"('conmemorativo', 'del', '88')",1,0,213,1,1.0046728971962615,1.0,1.0046728971962615
22,"('del', '88', 'aniversario')",1,0,213,1,1.0046728971962615,1.0,1.0046728971962615
23,"('creación', 'del', 'hospital')",1,0,213,1,1.0046728971962615,1.0,1.0046728971962615
