,Term,Ndeᵗᵢ,Ndeᶜᵗ,Ndᶜᵗeᵗᵢ,Eᵗ,LPM,TGM,LRM
0,"('clínica', 'independiente')",4,0,7597,1,1.000526246546507,1.0,1.000526246546507
1,"('investigación', 'clínica', 'independiente')",4,0,7597,1,1.000526246546507,1.0,1.000526246546507
2,"('de', 'lesión', 'subclínica')",2,0,7599,1,1.0002631232732535,1.0,1.0002631232732535
3,"('estructura', 'y', 'regulación')",2,0,7599,1,1.0002631232732535,1.0,1.0002631232732535
4,"('anticuerpo', 'anti-pla2r')",2,0,7599,1,1.0002631232732535,1.0,1.0002631232732535
5,anti-pla2r,2,0,7599,1,1.0002631232732535,1.0,1.0002631232732535
6,"('renal', 'agudo', 'secundario')",2,0,7599,1,1.0002631232732535,1.0,1.0002631232732535
7,"('función', 'renal', 'retrasada')",2,0,7599,1,1.0002631232732535,1.0,1.0002631232732535
8,"('renal', 'retrasada')",2,0,7599,1,1.0002631232732535,1.0,1.0002631232732535
9,"('hemodiafiltración', 'online')",2,0,7599,1,1.0002631232732535,1.0,1.0002631232732535
10,"('el', 'transporte', 'peritoneal')",2,0,7599,1,1.0002631232732535,1.0,1.0002631232732535
11,"('calidad', 'en', 'nefrología')",2,0,7599,1,1.0002631232732535,1.0,1.0002631232732535
12,sobrehidratación,2,0,7599,1,1.0002631232732535,1.0,1.0002631232732535
13,"('consulta', 'erca')",2,0,7599,1,1.0002631232732535,1.0,1.0002631232732535
14,cut-off,2,0,7599,1,1.0002631232732535,1.0,1.0002631232732535
15,"('la', 'ciclofosfamida', 'intravenosa')",2,0,7599,1,1.0002631232732535,1.0,1.0002631232732535
16,"('de', 'hipertensión', 'refractaria')",2,0,7599,1,1.0002631232732535,1.0,1.0002631232732535
17,"('parámetro', 'de', 'lesión')",2,0,7599,1,1.0002631232732535,1.0,1.0002631232732535
18,"('la', 'plasmaféresis', 'má')",1,0,7600,1,1.0001315616366269,1.0,1.0001315616366269
