,Term,Ndeᵗᵢ,Ndeᶜᵗ,Ndᶜᵗeᵗᵢ,Eᵗ,LPM,TGM,LRM
0,"('complementar', 'el', 'actual')",3,0,2859,1,1.00104821802935,1.0,1.00104821802935
1,"('desarrollado', 'y', 'propuesta')",3,0,2859,1,1.00104821802935,1.0,1.00104821802935
2,programas_de_residencia,3,0,2859,1,1.00104821802935,1.0,1.00104821802935
3,"('programas_de_residencia', 'en', 'neurocirugía')",3,0,2859,1,1.00104821802935,1.0,1.00104821802935
4,"('actual', 'programa')",3,0,2859,1,1.00104821802935,1.0,1.00104821802935
5,"('el', 'actual', 'programa')",3,0,2859,1,1.00104821802935,1.0,1.00104821802935
6,"('propuesta', 'para', 'complementar')",3,0,2859,1,1.00104821802935,1.0,1.00104821802935
7,"('norman', 'm.', 'dott')",2,0,2860,1,1.0006988120195668,1.0,1.0006988120195668
8,norman,2,0,2860,1,1.0006988120195668,1.0,1.0006988120195668
9,dott,2,0,2860,1,1.0006988120195668,1.0,1.0006988120195668
10,"('m.', 'dott')",2,0,2860,1,1.0006988120195668,1.0,1.0006988120195668
11,"('vadi', 'neurocirugía')",2,0,2860,1,1.0006988120195668,1.0,1.0006988120195668
12,"('residencia', 'en', 'neurocirugía')",2,0,2860,1,1.0006988120195668,1.0,1.0006988120195668
13,"('quo', 'vadi', 'neurocirugía')",2,0,2860,1,1.0006988120195668,1.0,1.0006988120195668
14,"('norman', 'm.')",2,0,2860,1,1.0006988120195668,1.0,1.0006988120195668
15,extra-intramedular,1,0,2861,1,1.0003494060097833,1.0,1.0003494060097833
16,"('pensamiento', 'del', 'dr._carlo')",1,0,2861,1,1.0003494060097833,1.0,1.0003494060097833
17,"('del', 'dr._carlo', 'f.')",1,0,2861,1,1.0003494060097833,1.0,1.0003494060097833
18,"('espinal', 'toraco-lumbar')",1,0,2861,1,1.0003494060097833,1.0,1.0003494060097833
19,toraco-lumbar,1,0,2861,1,1.0003494060097833,1.0,1.0003494060097833
20,"('cirugía', 'espinal')",1,0,2861,1,1.0003494060097833,1.0,1.0003494060097833
21,"('espinal', 'mínimamente')",1,0,2861,1,1.0003494060097833,1.0,1.0003494060097833
22,"('metástasis', 'espinal')",1,0,2861,1,1.0003494060097833,1.0,1.0003494060097833
23,"('su-4885', 'en', 'entidad')",1,0,2861,1,1.0003494060097833,1.0,1.0003494060097833
24,"('la', 'cirugía', 'espinal')",1,0,2861,1,1.0003494060097833,1.0,1.0003494060097833
25,"('cirugía', 'espinal', 'mínimamente')",1,0,2861,1,1.0003494060097833,1.0,1.0003494060097833
26,"('espinal', 'mínimamente', 'invasiva')",1,0,2861,1,1.0003494060097833,1.0,1.0003494060097833
27,"('la', 'metástasis', 'espinal')",1,0,2861,1,1.0003494060097833,1.0,1.0003494060097833
28,"('en', 'entidad', 'neuroquirúrgica')",1,0,2861,1,1.0003494060097833,1.0,1.0003494060097833
29,"('entidad', 'neuroquirúrgica')",1,0,2861,1,1.0003494060097833,1.0,1.0003494060097833
30,"('función', 'del', 'su-4885')",1,0,2861,1,1.0003494060097833,1.0,1.0003494060097833
31,"('de', 'localización', 'dorsal')",1,0,2861,1,1.0003494060097833,1.0,1.0003494060097833
32,"('diagnóstico', 'final', 'inesperado')",1,0,2861,1,1.0003494060097833,1.0,1.0003494060097833
33,"('neuroquirúrgica', 'para', 'enfermera')",1,0,2861,1,1.0003494060097833,1.0,1.0003494060097833
34,"('para', 'enfermera', 'nacional')",1,0,2861,1,1.0003494060097833,1.0,1.0003494060097833
