,Term,Ndeᵗᵢ,Ndeᶜᵗ,Ndᶜᵗeᵗᵢ,Eᵗ,LPM,TGM,LRM
0,"('pureza', 'radioquímica')",3,0,2088,1,1.0014347202295553,1.0,1.0014347202295553
1,radioquímica,3,0,2088,1,1.0014347202295553,1.0,1.0014347202295553
2,"('uso', 'de', 'radioisótopo')",2,0,2089,1,1.0009564801530368,1.0,1.0009564801530368
3,"('síntoma', 'fundamental')",2,0,2089,1,1.0009564801530368,1.0,1.0009564801530368
4,"('neuroimagen', 'y', 'síntoma')",2,0,2089,1,1.0009564801530368,1.0,1.0009564801530368
5,"('fundamental', 'en', 'esquizofrenia')",2,0,2089,1,1.0009564801530368,1.0,1.0009564801530368
6,"('gammagrafía', 'con', 'hematí')",2,0,2089,1,1.0009564801530368,1.0,1.0009564801530368
7,"('de', 'hernia', 'vesical')",2,0,2089,1,1.0009564801530368,1.0,1.0009564801530368
8,"('incorporación', 'de', 'manganeso')",2,0,2089,1,1.0009564801530368,1.0,1.0009564801530368
9,"('incidental', 'de', 'hernia')",2,0,2089,1,1.0009564801530368,1.0,1.0009564801530368
10,"('detectado', 'mediante', 'gammagrafía')",2,0,2089,1,1.0009564801530368,1.0,1.0009564801530368
11,"('con', 'hematí', 'marcado')",2,0,2089,1,1.0009564801530368,1.0,1.0009564801530368
12,semnim,2,0,2089,1,1.0009564801530368,1.0,1.0009564801530368
13,"('con', 'isotopo', 'radiactivo')",2,0,2089,1,1.0009564801530368,1.0,1.0009564801530368
14,"('conferencia', 'resumen')",2,0,2089,1,1.0009564801530368,1.0,1.0009564801530368
15,"('bioquímica', 'del', 'ciclo')",2,0,2089,1,1.0009564801530368,1.0,1.0009564801530368
16,"('del', 'ciclo', 'evolutivo')",2,0,2089,1,1.0009564801530368,1.0,1.0009564801530368
17,"('evolutivo', 'del', 'triatoma')",2,0,2089,1,1.0009564801530368,1.0,1.0009564801530368
18,radio-yodo,2,0,2089,1,1.0009564801530368,1.0,1.0009564801530368
19,"('radio-yodo', 'en', 'medicina')",2,0,2089,1,1.0009564801530368,1.0,1.0009564801530368
20,"('utilizando', 'radionúclido')",2,0,2089,1,1.0009564801530368,1.0,1.0009564801530368
21,congreso_nacional_de_la_sociedad_española_de_medicina_nuclear,2,0,2089,1,1.0009564801530368,1.0,1.0009564801530368
22,"('trazador', 'radioactivo')",2,0,2089,1,1.0009564801530368,1.0,1.0009564801530368
23,"('la', 'pureza', 'radioquímica')",2,0,2089,1,1.0009564801530368,1.0,1.0009564801530368
24,"('cromosoma', 'humano', 'mediante')",2,0,2089,1,1.0009564801530368,1.0,1.0009564801530368
25,"('con', 'ortoyodohipurato', 'i')",1,0,2090,1,1.0004782400765184,1.0,1.0004782400765184
26,"('renal', 'con', 'ortoyodohipurato')",1,0,2090,1,1.0004782400765184,1.0,1.0004782400765184
27,"('ortoyodohipurato', 'i', '131')",1,0,2090,1,1.0004782400765184,1.0,1.0004782400765184
28,"('medio', 'plasmático')",1,0,2090,1,1.0004782400765184,1.0,1.0004782400765184
29,"('cepa', 'resistente')",1,0,2090,1,1.0004782400765184,1.0,1.0004782400765184
