,Term,Ndeᵗᵢ,Ndeᶜᵗ,Ndᶜᵗeᵗᵢ,Eᵗ,LPM,TGM,LRM
0,edgar_dega,4,0,4693,1,1.0008516074089844,1.0,1.0008516074089844
1,"('remedio', 'oftálmico')",4,0,4693,1,1.0008516074089844,1.0,1.0008516074089844
2,"('disostosis', 'mandibulofacial')",4,0,4693,1,1.0008516074089844,1.0,1.0008516074089844
3,mandibulofacial,4,0,4693,1,1.0008516074089844,1.0,1.0008516074089844
4,dioscórid,4,0,4693,1,1.0008516074089844,1.0,1.0008516074089844
5,san_jerónimo,4,0,4693,1,1.0008516074089844,1.0,1.0008516074089844
6,"('médica', 'de', 'dioscórid')",4,0,4693,1,1.0008516074089844,1.0,1.0008516074089844
7,"('materia', 'médica')",4,0,4693,1,1.0008516074089844,1.0,1.0008516074089844
8,"('la', 'materia', 'médica')",4,0,4693,1,1.0008516074089844,1.0,1.0008516074089844
9,"('uveítis', 'inducida')",3,0,4694,1,1.0006387055567385,1.0,1.0006387055567385
10,swept-source,3,0,4694,1,1.0006387055567385,1.0,1.0006387055567385
11,"('ilusión', 'óptica')",3,0,4694,1,1.0006387055567385,1.0,1.0006387055567385
12,"('referencia', 'oftalmológica')",3,0,4694,1,1.0006387055567385,1.0,1.0006387055567385
13,"('médico', 'del', 'glaucoma')",3,0,4694,1,1.0006387055567385,1.0,1.0006387055567385
14,"('epitelial', 'limbal')",3,0,4694,1,1.0006387055567385,1.0,1.0006387055567385
15,anteojo,3,0,4694,1,1.0006387055567385,1.0,1.0006387055567385
16,"('exoftalmo', 'como', 'problema')",3,0,4694,1,1.0006387055567385,1.0,1.0006387055567385
17,"('el', 'sistema', 'visual')",3,0,4694,1,1.0006387055567385,1.0,1.0006387055567385
18,"('con', 'uveítis', 'anterior')",2,0,4695,1,1.0004258037044922,1.0,1.0004258037044922
19,pranoprofeno,2,0,4695,1,1.0004258037044922,1.0,1.0004258037044922
20,"('la', 'uveítis', 'inducida')",2,0,4695,1,1.0004258037044922,1.0,1.0004258037044922
21,"('de', 'pequeño', 'grado')",2,0,4695,1,1.0004258037044922,1.0,1.0004258037044922
22,"('pequeño', 'grado')",2,0,4695,1,1.0004258037044922,1.0,1.0004258037044922
