,Term,Ndeᵗᵢ,Ndeᶜᵗ,Ndᶜᵗeᵗᵢ,Eᵗ,LPM,TGM,LRM
0,ortopedista,3,0,1769,1,1.0016930022573365,1.0,1.0016930022573365
1,lorenz_böhler,1,0,1771,1,1.0005643340857788,1.0,1.0005643340857788
2,"('alternativa', 'al', 'abandono')",1,0,1771,1,1.0005643340857788,1.0,1.0005643340857788
3,"('revista', 'de', 'publicar')",1,0,1771,1,1.0005643340857788,1.0,1.0005643340857788
4,"('publicar', 'en', 'inglé')",1,0,1771,1,1.0005643340857788,1.0,1.0005643340857788
5,georg_clemens_perthe,1,0,1771,1,1.0005643340857788,1.0,1.0005643340857788
6,cmo,1,0,1771,1,1.0005643340857788,1.0,1.0005643340857788
7,"('profesor', 'doctor', 'joachim_löhr')",1,0,1771,1,1.0005643340857788,1.0,1.0005643340857788
8,"('doctor', 'joachim_löhr')",1,0,1771,1,1.0005643340857788,1.0,1.0005643340857788
9,edward_hallaran_bennett,1,0,1771,1,1.0005643340857788,1.0,1.0005643340857788
10,"('hexacetónido', 'de', 'triamcinolona')",1,0,1771,1,1.0005643340857788,1.0,1.0005643340857788
11,joachim_löhr,1,0,1771,1,1.0005643340857788,1.0,1.0005643340857788
12,"('intradiscal', 'de', 'hexacetónido')",1,0,1771,1,1.0005643340857788,1.0,1.0005643340857788
13,hemiartroplastia,1,0,1771,1,1.0005643340857788,1.0,1.0005643340857788
14,"('evaluación', 'clinicorradiológica')",1,0,1771,1,1.0005643340857788,1.0,1.0005643340857788
15,"('clinicorradiológica', 'en', 'hemiartroplastia')",1,0,1771,1,1.0005643340857788,1.0,1.0005643340857788
16,"('hemiartroplastia', 'de', 'hombro')",1,0,1771,1,1.0005643340857788,1.0,1.0005643340857788
17,"('inyección', 'intradiscal')",1,0,1771,1,1.0005643340857788,1.0,1.0005643340857788
18,"('ley', 'de', 'detección')",1,0,1771,1,1.0005643340857788,1.0,1.0005643340857788
19,"('al', 'doctor', 'juan_farill')",1,0,1771,1,1.0005643340857788,1.0,1.0005643340857788
20,"('doctor', 'juan_farill')",1,0,1771,1,1.0005643340857788,1.0,1.0005643340857788
21,juan_farill,1,0,1771,1,1.0005643340857788,1.0,1.0005643340857788
22,"('una', 'resección', 'oncológica')",1,0,1771,1,1.0005643340857788,1.0,1.0005643340857788
23,radiali,1,0,1771,1,1.0005643340857788,1.0,1.0005643340857788
24,injertode,1,0,1771,1,1.0005643340857788,1.0,1.0005643340857788
25,"('prótesis', 'modular', 'posterior')",1,0,1771,1,1.0005643340857788,1.0,1.0005643340857788
26,"('con', 'prótesis', 'modular')",1,0,1771,1,1.0005643340857788,1.0,1.0005643340857788
27,"('reconstrucción', 'con', 'prótesis')",1,0,1771,1,1.0005643340857788,1.0,1.0005643340857788
28,"('modular', 'posterior')",1,0,1771,1,1.0005643340857788,1.0,1.0005643340857788
29,"('prótesis', 'modular')",1,0,1771,1,1.0005643340857788,1.0,1.0005643340857788
30,profesor_hans-wilhelm_buchholz,1,0,1771,1,1.0005643340857788,1.0,1.0005643340857788
31,"('ortopédica', 'en', 'checoslovaquia')",1,0,1771,1,1.0005643340857788,1.0,1.0005643340857788
32,"('analgésico', 'en', 'ortopedia')",1,0,1771,1,1.0005643340857788,1.0,1.0005643340857788
33,área_de_la_salud,1,0,1771,1,1.0005643340857788,1.0,1.0005643340857788
34,diplomado_de_formación_de_profesor,1,0,1771,1,1.0005643340857788,1.0,1.0005643340857788
35,"('logro', 'del', 'cmo')",1,0,1771,1,1.0005643340857788,1.0,1.0005643340857788
36,"('el', 'doctor', 'francisco_navarro')",1,0,1771,1,1.0005643340857788,1.0,1.0005643340857788
37,hexacetónido,1,0,1771,1,1.0005643340857788,1.0,1.0005643340857788
38,ortopédica_mexicana,1,0,1771,1,1.0005643340857788,1.0,1.0005643340857788
39,"('injertode', 'tendón')",1,0,1771,1,1.0005643340857788,1.0,1.0005643340857788
40,"('pamplona', '2014')",1,0,1771,1,1.0005643340857788,1.0,1.0005643340857788
41,"('caso', 'de', 'acta_ortopédica_mexicana')",1,0,1771,1,1.0005643340857788,1.0,1.0005643340857788
42,"('josé', 'm.')",1,0,1771,1,1.0005643340857788,1.0,1.0005643340857788
43,"('m.', 'cañadell_carafí')",1,0,1771,1,1.0005643340857788,1.0,1.0005643340857788
44,"('barcelona', '1923-')",1,0,1771,1,1.0005643340857788,1.0,1.0005643340857788
45,"('1923-', 'pamplona')",1,0,1771,1,1.0005643340857788,1.0,1.0005643340857788
46,"('la', 'manipulación', 'articular')",1,0,1771,1,1.0005643340857788,1.0,1.0005643340857788
47,"('manipulación', 'articular')",1,0,1771,1,1.0005643340857788,1.0,1.0005643340857788
48,ortopedica,1,0,1771,1,1.0005643340857788,1.0,1.0005643340857788
49,"('profesional', 'del', 'ortopedista')",1,0,1771,1,1.0005643340857788,1.0,1.0005643340857788
50,"('josé', 'm.', 'cañadell_carafí')",1,0,1771,1,1.0005643340857788,1.0,1.0005643340857788
51,checoslovaca,1,0,1771,1,1.0005643340857788,1.0,1.0005643340857788
52,"('barcelona', '1923-', 'pamplona')",1,0,1771,1,1.0005643340857788,1.0,1.0005643340857788
53,"('1923-', 'pamplona', '2014')",1,0,1771,1,1.0005643340857788,1.0,1.0005643340857788
54,"('clínica', 'ortopedica')",1,0,1771,1,1.0005643340857788,1.0,1.0005643340857788
55,"('ortopedica', 'checoslovaca')",1,0,1771,1,1.0005643340857788,1.0,1.0005643340857788
56,"('clínica', 'ortopedica', 'checoslovaca')",1,0,1771,1,1.0005643340857788,1.0,1.0005643340857788
57,cañadell_carafí,1,0,1771,1,1.0005643340857788,1.0,1.0005643340857788
58,"('dr._alejandro_velasco_zimbrón', '1906-1959')",1,0,1771,1,1.0005643340857788,1.0,1.0005643340857788
59,"('paradencio', 'y', 'ortopedia')",1,0,1771,1,1.0005643340857788,1.0,1.0005643340857788
60,"('teoräa', 'y', 'práctica')",1,0,1771,1,1.0005643340857788,1.0,1.0005643340857788
61,"('acta', 'ortopédica_mexicana')",1,0,1771,1,1.0005643340857788,1.0,1.0005643340857788
62,"('enseñanza', 'en', 'ortopedia')",1,0,1771,1,1.0005643340857788,1.0,1.0005643340857788
63,"('médico', 'en', 'acta')",1,0,1771,1,1.0005643340857788,1.0,1.0005643340857788
64,"('en', 'acta', 'ortopédica_mexicana')",1,0,1771,1,1.0005643340857788,1.0,1.0005643340857788
65,andragogía,1,0,1771,1,1.0005643340857788,1.0,1.0005643340857788
66,"('ortopédico', 'y', 'quirúrgico')",1,0,1771,1,1.0005643340857788,1.0,1.0005643340857788
67,jules_tinel,1,0,1771,1,1.0005643340857788,1.0,1.0005643340857788
68,"('el', 'tratamiento', 'ortopédico')",1,0,1771,1,1.0005643340857788,1.0,1.0005643340857788
69,"('la', 'cifra', 'hablan')",1,0,1771,1,1.0005643340857788,1.0,1.0005643340857788
