,Term,Ndeᵗᵢ,Ndeᶜᵗ,Ndᶜᵗeᵗᵢ,Eᵗ,LPM,TGM,LRM
0,rosendo_poch_viñal,3,0,4659,1,1.0006435006435006,1.0,1.0006435006435006
1,"('obtenido', 'del', 'estudio')",3,0,4659,1,1.0006435006435006,1.0,1.0006435006435006
2,"('tuberculosis', 'larängea')",3,0,4659,1,1.0006435006435006,1.0,1.0006435006435006
3,"('del', 'estudio', 'analítico')",3,0,4659,1,1.0006435006435006,1.0,1.0006435006435006
4,"('roentgenterapia', 'en', 'otorrinolaringología')",3,0,4659,1,1.0006435006435006,1.0,1.0006435006435006
5,"('symposium', 'sobre', 'roentgenterapia')",3,0,4659,1,1.0006435006435006,1.0,1.0006435006435006
6,leocilina,3,0,4659,1,1.0006435006435006,1.0,1.0006435006435006
7,"('analítico', 'y', 'sociométrico')",3,0,4659,1,1.0006435006435006,1.0,1.0006435006435006
8,"('libro', 'y', 'artículo')",3,0,4659,1,1.0006435006435006,1.0,1.0006435006435006
9,ambroxol,2,0,4660,1,1.0004290004290004,1.0,1.0004290004290004
10,"('la', 'obstrucción', 'laríngea')",2,0,4660,1,1.0004290004290004,1.0,1.0004290004290004
11,gradenigo,2,0,4660,1,1.0004290004290004,1.0,1.0004290004290004
12,"('d.', 'rosendo_poch_viñal')",2,0,4660,1,1.0004290004290004,1.0,1.0004290004290004
13,"('la', 'laringitis', 'estenosante')",2,0,4660,1,1.0004290004290004,1.0,1.0004290004290004
14,"('síntesis', 'y', 'secreción')",2,0,4660,1,1.0004290004290004,1.0,1.0004290004290004
15,"('secreción', 'del', 'surfactante')",2,0,4660,1,1.0004290004290004,1.0,1.0004290004290004
16,acta_otorrinolaringológica_española,2,0,4660,1,1.0004290004290004,1.0,1.0004290004290004
17,siglos_xvi-xx,2,0,4660,1,1.0004290004290004,1.0,1.0004290004290004
18,"('laringitis', 'estenosante')",2,0,4660,1,1.0004290004290004,1.0,1.0004290004290004
19,ozena,2,0,4660,1,1.0004290004290004,1.0,1.0004290004290004
20,"('consenso_nacional_de_rinitis_alérgica', 'en', 'pediatría')",2,0,4660,1,1.0004290004290004,1.0,1.0004290004290004
21,"('recurrente', 'con', 'antiestreptolisina')",2,0,4660,1,1.0004290004290004,1.0,1.0004290004290004
22,"('el', 'oído', 'medio')",2,0,4660,1,1.0004290004290004,1.0,1.0004290004290004
23,"('cultivo', 'faríngeo')",2,0,4660,1,1.0004290004290004,1.0,1.0004290004290004
24,"('fenómeno', 'de', 'toynbee')",2,0,4660,1,1.0004290004290004,1.0,1.0004290004290004
25,toynbee,2,0,4660,1,1.0004290004290004,1.0,1.0004290004290004
26,rinosinusopatía,2,0,4660,1,1.0004290004290004,1.0,1.0004290004290004
27,"('padecimiento', 'otorrinolaringológico')",2,0,4660,1,1.0004290004290004,1.0,1.0004290004290004
28,proetz,2,0,4660,1,1.0004290004290004,1.0,1.0004290004290004
29,"('de', 'rinopatía', 'alérgica')",2,0,4660,1,1.0004290004290004,1.0,1.0004290004290004
30,consenso_nacional_de_rinitis_alérgica,2,0,4660,1,1.0004290004290004,1.0,1.0004290004290004
31,"('artículo', 'sobre', 'otología')",2,0,4660,1,1.0004290004290004,1.0,1.0004290004290004
32,"('afecto', 'de', 'rinopatía')",2,0,4660,1,1.0004290004290004,1.0,1.0004290004290004
33,otorrinolaringologäa,2,0,4660,1,1.0004290004290004,1.0,1.0004290004290004
34,"('la', 'ige', 'total')",2,0,4660,1,1.0004290004290004,1.0,1.0004290004290004
35,"('hallazgo', 'electronistagmográfico')",2,0,4660,1,1.0004290004290004,1.0,1.0004290004290004
36,"('método', 'de', 'desplazamiento')",2,0,4660,1,1.0004290004290004,1.0,1.0004290004290004
