,Term,Ndeᵗᵢ,Ndeᶜᵗ,Ndᶜᵗeᵗᵢ,Eᵗ,LPM,TGM,LRM
0,"('que', 'reciben', 'cuidado')",2,0,514,1,1.003875968992248,1.0,1.003875968992248
1,"('reciben', 'cuidado')",2,0,514,1,1.003875968992248,1.0,1.003875968992248
2,"('metilfenidato', 'en', 'paciente')",2,0,514,1,1.003875968992248,1.0,1.003875968992248
3,"('investigación', 'no', 'encontramo')",2,0,514,1,1.003875968992248,1.0,1.003875968992248
4,muerte_digna,2,0,514,1,1.003875968992248,1.0,1.003875968992248
5,"('reciben', 'cuidado', 'paliativo')",2,0,514,1,1.003875968992248,1.0,1.003875968992248
6,"('médica', 'y', 'obstinación')",1,0,515,1,1.001937984496124,1.0,1.001937984496124
7,obstinación,1,0,515,1,1.001937984496124,1.0,1.001937984496124
8,"('síndrome', 'terminal')",1,0,515,1,1.001937984496124,1.0,1.001937984496124
9,"('futilidad', 'médica')",1,0,515,1,1.001937984496124,1.0,1.001937984496124
10,"('obstinación', 'familiar')",1,0,515,1,1.001937984496124,1.0,1.001937984496124
11,"('farmacoogía', 'en', 'cuidados_paliativo')",1,0,515,1,1.001937984496124,1.0,1.001937984496124
12,"('familiar', 'en', 'terapia')",1,0,515,1,1.001937984496124,1.0,1.001937984496124
13,"('paciente', 'no', 'oncológico')",1,0,515,1,1.001937984496124,1.0,1.001937984496124
14,"('cuándo', 'seguir')",1,0,515,1,1.001937984496124,1.0,1.001937984496124
15,"('cuándo', 'parar')",1,0,515,1,1.001937984496124,1.0,1.001937984496124
16,"('hasta', 'cuándo', 'seguir')",1,0,515,1,1.001937984496124,1.0,1.001937984496124
17,"('seguir', 'y', 'cuándo')",1,0,515,1,1.001937984496124,1.0,1.001937984496124
18,"('criterio', 'y', 'actitud')",1,0,515,1,1.001937984496124,1.0,1.001937984496124
19,holístico,1,0,515,1,1.001937984496124,1.0,1.001937984496124
20,"('la', 'sociedad', 'primitiva')",1,0,515,1,1.001937984496124,1.0,1.001937984496124
21,"('gestión', 'emocional')",1,0,515,1,1.001937984496124,1.0,1.001937984496124
22,"('del', 'tratamiento', 'analgésico')",1,0,515,1,1.001937984496124,1.0,1.001937984496124
23,"('tratamiento', 'analgésico', 'ambulatorio')",1,0,515,1,1.001937984496124,1.0,1.001937984496124
24,"('ambulatorio', 'del', 'dolor')",1,0,515,1,1.001937984496124,1.0,1.001937984496124
25,"('paliativa', 'frente')",1,0,515,1,1.001937984496124,1.0,1.001937984496124
26,"('medicina', 'paliativa', 'frente')",1,0,515,1,1.001937984496124,1.0,1.001937984496124
27,"('comunicación', 'en', 'medicina')",1,0,515,1,1.001937984496124,1.0,1.001937984496124
28,vida_digna,1,0,515,1,1.001937984496124,1.0,1.001937984496124
29,"('medicalización', 'del', 'final')",1,0,515,1,1.001937984496124,1.0,1.001937984496124
30,"('paliativo', 'en', 'enfermedad')",1,0,515,1,1.001937984496124,1.0,1.001937984496124
31,"('holístico', 'del', 'paciente')",1,0,515,1,1.001937984496124,1.0,1.001937984496124
