,Term,Ndeᵗᵢ,Ndeᶜᵗ,Ndᶜᵗeᵗᵢ,Eᵗ,LPM,TGM,LRM
0,pediaträa,9,0,6494,1,1.0013839766261723,1.0,1.0013839766261723
1,"('revista', 'pediátrica')",7,0,6496,1,1.0010764262648009,1.0,1.0010764262648009
2,"('pediatría', 'en', 'puerto_rico')",5,0,6498,1,1.0007688759034292,1.0,1.0007688759034292
3,"('anuario', 'de', 'anales_de_pediatría')",5,0,6498,1,1.0007688759034292,1.0,1.0007688759034292
4,"('alergia', 'pediatrica')",4,0,6499,1,1.0006151007227433,1.0,1.0006151007227433
5,"('especialidad', 'de', 'pediatría')",3,0,6500,1,1.0004613255420576,1.0,1.0004613255420576
6,"('especialista', 'en', 'pediatría')",3,0,6500,1,1.0004613255420576,1.0,1.0004613255420576
7,"('situación', 'de', 'catástrof')",3,0,6500,1,1.0004613255420576,1.0,1.0004613255420576
8,congreso_español_de_pediatria,3,0,6500,1,1.0004613255420576,1.0,1.0004613255420576
9,sección_de_neumología_pediátrica,3,0,6500,1,1.0004613255420576,1.0,1.0004613255420576
10,"('la', 'revista', 'pediátrica')",3,0,6500,1,1.0004613255420576,1.0,1.0004613255420576
11,psicosomatismo,3,0,6500,1,1.0004613255420576,1.0,1.0004613255420576
12,"('cortisona', 'en', 'clinica')",3,0,6500,1,1.0004613255420576,1.0,1.0004613255420576
13,"('clinica', 'de', 'niño')",3,0,6500,1,1.0004613255420576,1.0,1.0004613255420576
14,"('la', 'alergia', 'pediatrica')",3,0,6500,1,1.0004613255420576,1.0,1.0004613255420576
15,"('huella', 'del', 'hospital_infantil_de_méxico')",2,0,6501,1,1.0003075503613716,1.0,1.0003075503613716
16,"('nanza', 'pediátrica')",2,0,6501,1,1.0003075503613716,1.0,1.0003075503613716
17,"('profesor', 'ramo')",2,0,6501,1,1.0003075503613716,1.0,1.0003075503613716
18,"('séptico', 'en', 'niño')",2,0,6501,1,1.0003075503613716,1.0,1.0003075503613716
19,"('corticoterapia', 'inhalatoria')",2,0,6501,1,1.0003075503613716,1.0,1.0003075503613716
20,"('deformidad', 'craneal')",2,0,6501,1,1.0003075503613716,1.0,1.0003075503613716
21,comenzando,2,0,6501,1,1.0003075503613716,1.0,1.0003075503613716
22,resistividad,2,0,6501,1,1.0003075503613716,1.0,1.0003075503613716
23,"('secundaria', 'a', 'cirrosis')",2,0,6501,1,1.0003075503613716,1.0,1.0003075503613716
24,"('la', 'ascitis', 'secundaria')",2,0,6501,1,1.0003075503613716,1.0,1.0003075503613716
25,"('ense', 'nanza', 'pediátrica')",2,0,6501,1,1.0003075503613716,1.0,1.0003075503613716
26,"('aplicación', 'y', 'meta')",2,0,6501,1,1.0003075503613716,1.0,1.0003075503613716
27,"('en', 'revista', 'pediátrica')",2,0,6501,1,1.0003075503613716,1.0,1.0003075503613716
28,"('ascitis', 'secundaria')",2,0,6501,1,1.0003075503613716,1.0,1.0003075503613716
29,"('lactante', 'sibilante')",2,0,6501,1,1.0003075503613716,1.0,1.0003075503613716
30,"('pediatría', 'clínica')",2,0,6501,1,1.0003075503613716,1.0,1.0003075503613716
31,"('pediátrico', 'del', 'psicosomatismo')",2,0,6501,1,1.0003075503613716,1.0,1.0003075503613716
32,"('profesional', 'del', 'pediatra')",2,0,6501,1,1.0003075503613716,1.0,1.0003075503613716
33,"('sección_de_inmunología', 'y', 'alergia')",2,0,6501,1,1.0003075503613716,1.0,1.0003075503613716
34,"('ético', 'en', 'pediatría')",2,0,6501,1,1.0003075503613716,1.0,1.0003075503613716
35,"('aplicación', 'en', 'pediatría')",2,0,6501,1,1.0003075503613716,1.0,1.0003075503613716
36,"('terapéutica', 'pediátrica')",2,0,6501,1,1.0003075503613716,1.0,1.0003075503613716
37,"('el', 'lactante', 'sibilante')",2,0,6501,1,1.0003075503613716,1.0,1.0003075503613716
38,sección_de_inmunología,2,0,6501,1,1.0003075503613716,1.0,1.0003075503613716
39,"('enseñanza', 'en', 'pediatría')",2,0,6501,1,1.0003075503613716,1.0,1.0003075503613716
40,"('sociedad', 'de', 'pediatría')",2,0,6501,1,1.0003075503613716,1.0,1.0003075503613716
41,"('científica', 'de', 'anales_españoles_de_pediatría')",2,0,6501,1,1.0003075503613716,1.0,1.0003075503613716
42,"('longitudinal', 'aragonesa')",2,0,6501,1,1.0003075503613716,1.0,1.0003075503613716
43,"('del', 'metabolismo', 'glúcido')",2,0,6501,1,1.0003075503613716,1.0,1.0003075503613716
44,"('glúcido', 'en', 'niño')",2,0,6501,1,1.0003075503613716,1.0,1.0003075503613716
45,"('publicación', 'pediátrica')",2,0,6501,1,1.0003075503613716,1.0,1.0003075503613716
46,aplicación_del_examen_clínico_objetivo_estructurado,2,0,6501,1,1.0003075503613716,1.0,1.0003075503613716
47,federico_gómez_santo,2,0,6501,1,1.0003075503613716,1.0,1.0003075503613716
48,"('glucagón', 'en', 'pediatría')",2,0,6501,1,1.0003075503613716,1.0,1.0003075503613716
