,Term,Ndeᵗᵢ,Ndeᶜᵗ,Ndᶜᵗeᵗᵢ,Eᵗ,LPM,TGM,LRM
0,amortiguamiento,2,0,280,1,1.0070921985815602,1.0,1.0070921985815602
1,"('báscula', 'de', 'pelvi')",2,0,280,1,1.0070921985815602,1.0,1.0070921985815602
2,"('retención', 'y', 'biomecánica')",2,0,280,1,1.0070921985815602,1.0,1.0070921985815602
3,"('osmometria', 'de', 'solución')",2,0,280,1,1.0070921985815602,1.0,1.0070921985815602
4,"('complejo', 'retentivo')",2,0,280,1,1.0070921985815602,1.0,1.0070921985815602
5,osmometria,2,0,280,1,1.0070921985815602,1.0,1.0070921985815602
6,retentivo,2,0,280,1,1.0070921985815602,1.0,1.0070921985815602
7,"('deshidratación', 'osmótica')",2,0,280,1,1.0070921985815602,1.0,1.0070921985815602
8,ney,1,0,281,1,1.00354609929078,1.0,1.00354609929078
9,"('biomecãnico', 'del', 'raqui')",1,0,281,1,1.00354609929078,1.0,1.00354609929078
10,roach,1,0,281,1,1.00354609929078,1.0,1.00354609929078
11,aker,1,0,281,1,1.00354609929078,1.0,1.00354609929078
12,"('homeostasis', 'renal')",1,0,281,1,1.00354609929078,1.0,1.00354609929078
13,"('porfirina', 'en', 'hematí')",1,0,281,1,1.00354609929078,1.0,1.00354609929078
14,"('equilibrio', 'en', 'sujeto')",1,0,281,1,1.00354609929078,1.0,1.00354609929078
15,"('mantenimiento', 'del', 'equilibrio')",1,0,281,1,1.00354609929078,1.0,1.00354609929078
16,"('acuoso', 'del', 'limbo')",1,0,281,1,1.00354609929078,1.0,1.00354609929078
17,tendogenetica,1,0,281,1,1.00354609929078,1.0,1.00354609929078
18,"('drenaje', 'acuoso')",1,0,281,1,1.00354609929078,1.0,1.00354609929078
19,"('medio', 'de', 'feedback')",1,0,281,1,1.00354609929078,1.0,1.00354609929078
20,"('biomecánica', 'del', 'pie')",1,0,281,1,1.00354609929078,1.0,1.00354609929078
21,"('en', 'prótesis', 'parcial')",1,0,281,1,1.00354609929078,1.0,1.00354609929078
22,"('enfermedad', 'tendogenetica')",1,0,281,1,1.00354609929078,1.0,1.00354609929078
23,"('biomecanico', 'en', 'prótesis')",1,0,281,1,1.00354609929078,1.0,1.00354609929078
24,"('la', 'enfermedad', 'tendogenetica')",1,0,281,1,1.00354609929078,1.0,1.00354609929078
25,"('tendogenetica', 'del', 'hombro')",1,0,281,1,1.00354609929078,1.0,1.00354609929078
26,fea,1,0,281,1,1.00354609929078,1.0,1.00354609929078
27,"('retentivo', 'de', 'aker')",1,0,281,1,1.00354609929078,1.0,1.00354609929078
28,"('caracterización', 'mecánica')",1,0,281,1,1.00354609929078,1.0,1.00354609929078
29,"('lo', 'factor', 'biomecanico')",1,0,281,1,1.00354609929078,1.0,1.00354609929078
30,"('de', 'feedback', 'visual')",1,0,281,1,1.00354609929078,1.0,1.00354609929078
31,"('resistencia', 'osmótica')",1,0,281,1,1.00354609929078,1.0,1.00354609929078
32,"('dinamométrica', 'por', 'medio')",1,0,281,1,1.00354609929078,1.0,1.00354609929078
33,"('bloqueo', 'farmacológico')",1,0,281,1,1.00354609929078,1.0,1.00354609929078
34,"('retención', 'para', 'prótesis')",1,0,281,1,1.00354609929078,1.0,1.00354609929078
35,"('biomecánico', 'de', 'retención')",1,0,281,1,1.00354609929078,1.0,1.00354609929078
36,"('pie', 'hueco')",1,0,281,1,1.00354609929078,1.0,1.00354609929078
37,"('cavo', 'esencial')",1,0,281,1,1.00354609929078,1.0,1.00354609929078
38,"('el', 'pie', 'hueco')",1,0,281,1,1.00354609929078,1.0,1.00354609929078
39,"('hueco', 'o', 'cavo')",1,0,281,1,1.00354609929078,1.0,1.00354609929078
40,"('sistema', 'biomecánico')",1,0,281,1,1.00354609929078,1.0,1.00354609929078
41,"('estímulo', 'de', 'alarma')",1,0,281,1,1.00354609929078,1.0,1.00354609929078
42,"('farmacológico', 'del', 'estímulo')",1,0,281,1,1.00354609929078,1.0,1.00354609929078
43,"('estré', 'y', 'bloqueo')",1,0,281,1,1.00354609929078,1.0,1.00354609929078
44,"('mecanismo', 'del', 'estré')",1,0,281,1,1.00354609929078,1.0,1.00354609929078
45,"('diferente', 'solución', 'osmótica')",1,0,281,1,1.00354609929078,1.0,1.00354609929078
46,"('hematí', 'según')",1,0,281,1,1.00354609929078,1.0,1.00354609929078
47,"('con', 'diferente', 'solución')",1,0,281,1,1.00354609929078,1.0,1.00354609929078
48,"('osmótica', 'de', 'manzana')",1,0,281,1,1.00354609929078,1.0,1.00354609929078
49,"('solución', 'osmótica')",1,0,281,1,1.00354609929078,1.0,1.00354609929078
50,"('feedback', 'visual')",1,0,281,1,1.00354609929078,1.0,1.00354609929078
51,grany_smith,1,0,281,1,1.00354609929078,1.0,1.00354609929078
52,"('entrenamiento', 'en', 'plataforma')",1,0,281,1,1.00354609929078,1.0,1.00354609929078
53,"('en', 'plataforma', 'dinamométrica')",1,0,281,1,1.00354609929078,1.0,1.00354609929078
54,"('su', 'resistencia', 'osmótica')",1,0,281,1,1.00354609929078,1.0,1.00354609929078
55,"('según', 'su', 'resistencia')",1,0,281,1,1.00354609929078,1.0,1.00354609929078
56,"('lo', 'hematí', 'según')",1,0,281,1,1.00354609929078,1.0,1.00354609929078
57,"('roach', 'y', 'ney')",1,0,281,1,1.00354609929078,1.0,1.00354609929078
58,"('técnica', 'fea')",1,0,281,1,1.00354609929078,1.0,1.00354609929078
59,"('de', 'trauma', 'vascular')",1,0,281,1,1.00354609929078,1.0,1.00354609929078
60,"('modelo', 'de', 'trauma')",1,0,281,1,1.00354609929078,1.0,1.00354609929078
61,"('hueso', 'humano')",1,0,281,1,1.00354609929078,1.0,1.00354609929078
62,"('tratamiento', 'antienzimático')",1,0,281,1,1.00354609929078,1.0,1.00354609929078
63,"('fundamento', 'clínco')",1,0,281,1,1.00354609929078,1.0,1.00354609929078
64,antienzimático,1,0,281,1,1.00354609929078,1.0,1.00354609929078
65,"('reparación', 'biomecánica')",1,0,281,1,1.00354609929078,1.0,1.00354609929078
66,"('diente', 'in')",1,0,281,1,1.00354609929078,1.0,1.00354609929078
67,"('biomecánica', 'como', 'fundamental')",1,0,281,1,1.00354609929078,1.0,1.00354609929078
68,"('del', 'agua', 'libre')",1,0,281,1,1.00354609929078,1.0,1.00354609929078
69,"('exploración', 'funcional', 'renal')",1,0,281,1,1.00354609929078,1.0,1.00354609929078
70,"('depuración', 'osmótica')",1,0,281,1,1.00354609929078,1.0,1.00354609929078
71,"('del', 'hueso', 'humano')",1,0,281,1,1.00354609929078,1.0,1.00354609929078
72,"('elástica', 'del', 'hueso')",1,0,281,1,1.00354609929078,1.0,1.00354609929078
73,"('propiedad', 'elástica')",1,0,281,1,1.00354609929078,1.0,1.00354609929078
74,"('completa', 'y', 'parcial')",1,0,281,1,1.00354609929078,1.0,1.00354609929078
75,"('fundamental', 'en', 'endodoncia')",1,0,281,1,1.00354609929078,1.0,1.00354609929078
76,"('grupo', 'de', 'diente')",1,0,281,1,1.00354609929078,1.0,1.00354609929078
77,"('ferula', 'al', 'periodonto')",1,0,281,1,1.00354609929078,1.0,1.00354609929078
78,"('benefician', 'la', 'ferula')",1,0,281,1,1.00354609929078,1.0,1.00354609929078
79,"('perjudican', 'o', 'benefician')",1,0,281,1,1.00354609929078,1.0,1.00354609929078
80,perjudican,1,0,281,1,1.00354609929078,1.0,1.00354609929078
81,"('de', 'diente', 'in')",1,0,281,1,1.00354609929078,1.0,1.00354609929078
82,"('diente', 'in', 'vitro')",1,0,281,1,1.00354609929078,1.0,1.00354609929078
83,"('mecánica', 'funcional')",1,0,281,1,1.00354609929078,1.0,1.00354609929078
84,"('macizo', 'maxilofacial')",1,0,281,1,1.00354609929078,1.0,1.00354609929078
85,"('hueso', 'del', 'macizo')",1,0,281,1,1.00354609929078,1.0,1.00354609929078
86,"('clínco', 'y', 'experimental')",1,0,281,1,1.00354609929078,1.0,1.00354609929078
87,"('del', 'tratamiento', 'antienzimático')",1,0,281,1,1.00354609929078,1.0,1.00354609929078
88,"('principio', 'de', 'medicina')",1,0,281,1,1.00354609929078,1.0,1.00354609929078
89,"('periartritis', 'del', 'hombro')",1,0,281,1,1.00354609929078,1.0,1.00354609929078
90,"('trauma', 'vascular', 'mediante')",1,0,281,1,1.00354609929078,1.0,1.00354609929078
91,"('movilización', 'y', 'transporte')",1,0,281,1,1.00354609929078,1.0,1.00354609929078
92,"('la', 'caracterización', 'mecánica')",1,0,281,1,1.00354609929078,1.0,1.00354609929078
93,"('factor', 'biomecanico')",1,0,281,1,1.00354609929078,1.0,1.00354609929078
94,"('mecánica', 'de', 'prótesis')",1,0,281,1,1.00354609929078,1.0,1.00354609929078
95,"('aspecto', 'biomecãnico')",1,0,281,1,1.00354609929078,1.0,1.00354609929078
96,"('la', 'ciruela', 'criolla')",1,0,281,1,1.00354609929078,1.0,1.00354609929078
97,"('del', 'análisis', 'estructural')",1,0,281,1,1.00354609929078,1.0,1.00354609929078
98,"('prunu', 'domestica')",1,0,281,1,1.00354609929078,1.0,1.00354609929078
99,"('ciruela', 'criolla')",1,0,281,1,1.00354609929078,1.0,1.00354609929078
100,ciruela,1,0,281,1,1.00354609929078,1.0,1.00354609929078
101,"('estructural', 'con', 'técnica')",1,0,281,1,1.00354609929078,1.0,1.00354609929078
102,"('tratmiento', 'de', 'maloclusión')",1,0,281,1,1.00354609929078,1.0,1.00354609929078
103,"('con', 'técnica', 'fea')",1,0,281,1,1.00354609929078,1.0,1.00354609929078
104,"('fuerza', 'biológica', 'funcional')",1,0,281,1,1.00354609929078,1.0,1.00354609929078
105,"('nueva', 'fuerza', 'biológica')",1,0,281,1,1.00354609929078,1.0,1.00354609929078
106,"('la', 'nueva', 'fuerza')",1,0,281,1,1.00354609929078,1.0,1.00354609929078
107,"('biológica', 'funcional')",1,0,281,1,1.00354609929078,1.0,1.00354609929078
108,"('fuerza', 'biológica')",1,0,281,1,1.00354609929078,1.0,1.00354609929078
109,"('nueva', 'fuerza')",1,0,281,1,1.00354609929078,1.0,1.00354609929078
110,"('de', 'medicina', 'fisica')",1,0,281,1,1.00354609929078,1.0,1.00354609929078
