,Term,Ndeᵗᵢ,Ndeᶜᵗ,Ndᶜᵗeᵗᵢ,Eᵗ,LPM,TGM,LRM
0,"('va', 'la', 'psiquiatría')",6,0,2913,1,1.002055498458376,1.0,1.002055498458376
1,honorio_delgado,4,0,2915,1,1.001370332305584,1.0,1.001370332305584
2,"('la', 'psiquiatría', 'contemporánea')",4,0,2915,1,1.001370332305584,1.0,1.001370332305584
3,evolucionista,4,0,2915,1,1.001370332305584,1.0,1.001370332305584
4,"('psiquiatría', 'contemporánea')",4,0,2915,1,1.001370332305584,1.0,1.001370332305584
5,"('la', 'investigación', 'psiquiátrica')",4,0,2915,1,1.001370332305584,1.0,1.001370332305584
6,karl_jasper,4,0,2915,1,1.001370332305584,1.0,1.001370332305584
7,"('residente', 'de', 'psiquiatría')",3,0,2916,1,1.001027749229188,1.0,1.001027749229188
8,siquiatría,3,0,2916,1,1.001027749229188,1.0,1.001027749229188
9,"('psiquiatría', 'transcultural')",3,0,2916,1,1.001027749229188,1.0,1.001027749229188
10,hermilio_valdizán,3,0,2916,1,1.001027749229188,1.0,1.001027749229188
11,fundacional,3,0,2916,1,1.001027749229188,1.0,1.001027749229188
12,"('histórico', 'y', 'cultural')",3,0,2916,1,1.001027749229188,1.0,1.001027749229188
13,"('formación', 'del', 'psiquiatra')",3,0,2916,1,1.001027749229188,1.0,1.001027749229188
14,"('psiquiatra', 'y', 'psicoterapeuta')",3,0,2916,1,1.001027749229188,1.0,1.001027749229188
15,psicoterapeuta,3,0,2916,1,1.001027749229188,1.0,1.001027749229188
16,"('la', 'psiquiatría', 'clínica')",3,0,2916,1,1.001027749229188,1.0,1.001027749229188
17,"('hacia', 'una', 'psiquiatría')",3,0,2916,1,1.001027749229188,1.0,1.001027749229188
18,"('la', 'psiquiatría', 'infantil')",2,0,2917,1,1.000685166152792,1.0,1.000685166152792
19,"('la', 'psiquiatría', 'folklórica')",2,0,2917,1,1.000685166152792,1.0,1.000685166152792
20,"('objetivo', 'actual')",2,0,2917,1,1.000685166152792,1.0,1.000685166152792
21,"('en', 'obesidad', 'mórbida')",2,0,2917,1,1.000685166152792,1.0,1.000685166152792
22,revista_colombiana_de_psiquiatría,2,0,2917,1,1.000685166152792,1.0,1.000685166152792
23,"('entrevista', 'psiquiátrica')",2,0,2917,1,1.000685166152792,1.0,1.000685166152792
24,psiquiatría_infantil,2,0,2917,1,1.000685166152792,1.0,1.000685166152792
25,"('alcanz', 'y', 'objetivo')",2,0,2917,1,1.000685166152792,1.0,1.000685166152792
26,"('de', 'colaboración', 'internacional')",2,0,2917,1,1.000685166152792,1.0,1.000685166152792
27,"('siglo', 'de', 'colaboración')",2,0,2917,1,1.000685166152792,1.0,1.000685166152792
28,emilio_mira,2,0,2917,1,1.000685166152792,1.0,1.000685166152792
29,cie-11,2,0,2917,1,1.000685166152792,1.0,1.000685166152792
30,"('el', 'debate', 'diagnóstico')",2,0,2917,1,1.000685166152792,1.0,1.000685166152792
31,"('especialización', 'en', 'psiquiatría')",2,0,2917,1,1.000685166152792,1.0,1.000685166152792
32,"('psiquiatría', 'de', 'precisión')",2,0,2917,1,1.000685166152792,1.0,1.000685166152792
33,"('psiquiatría', 'psiconeuroinmunoendocrinológica')",2,0,2917,1,1.000685166152792,1.0,1.000685166152792
34,pinel,2,0,2917,1,1.000685166152792,1.0,1.000685166152792
35,"('teoría', 'evolucionista')",2,0,2917,1,1.000685166152792,1.0,1.000685166152792
36,psiconeuroinmunoendocrinológica,2,0,2917,1,1.000685166152792,1.0,1.000685166152792
37,"('paciente', 'bipolar', 'tipo')",2,0,2917,1,1.000685166152792,1.0,1.000685166152792
38,"('histórica', 'y', 'conceptual')",2,0,2917,1,1.000685166152792,1.0,1.000685166152792
39,"('psiquiatría', 'moderna')",2,0,2917,1,1.000685166152792,1.0,1.000685166152792
40,"('psiquiátrica', 'latinoamericana')",2,0,2917,1,1.000685166152792,1.0,1.000685166152792
41,platón,2,0,2917,1,1.000685166152792,1.0,1.000685166152792
42,emil_kraepelin,2,0,2917,1,1.000685166152792,1.0,1.000685166152792
43,"('terapéutica', 'en', 'psiquiatría')",2,0,2917,1,1.000685166152792,1.0,1.000685166152792
44,"('psicofarmacológico', 'del', 'trastorno')",2,0,2917,1,1.000685166152792,1.0,1.000685166152792
45,"('xxv', 'siglo')",2,0,2917,1,1.000685166152792,1.0,1.000685166152792
46,"('la', 'asistencia', 'psiquiatrica')",2,0,2917,1,1.000685166152792,1.0,1.000685166152792
47,jasper,2,0,2917,1,1.000685166152792,1.0,1.000685166152792
48,"('psi', 'quiatría')",2,0,2917,1,1.000685166152792,1.0,1.000685166152792
49,alienismo,2,0,2917,1,1.000685166152792,1.0,1.000685166152792
50,"('del', 'diagnóstico', 'psiquiátrico')",2,0,2917,1,1.000685166152792,1.0,1.000685166152792
51,"('meleril', 'en', 'psiquiatría')",2,0,2917,1,1.000685166152792,1.0,1.000685166152792
52,archivos_de_neurobiología,2,0,2917,1,1.000685166152792,1.0,1.000685166152792
53,meleril,2,0,2917,1,1.000685166152792,1.0,1.000685166152792
54,psicoterápica,2,0,2917,1,1.000685166152792,1.0,1.000685166152792
55,"('noticia', 'sobre', 'suicidio')",2,0,2917,1,1.000685166152792,1.0,1.000685166152792
56,"('noción', 'de', 'epistemología')",2,0,2917,1,1.000685166152792,1.0,1.000685166152792
57,kretschmer,2,0,2917,1,1.000685166152792,1.0,1.000685166152792
58,"('psiquiátrica', 'en', 'américa')",2,0,2917,1,1.000685166152792,1.0,1.000685166152792
59,"('uso', 'de', 'clozapina')",2,0,2917,1,1.000685166152792,1.0,1.000685166152792
60,epistemologia,2,0,2917,1,1.000685166152792,1.0,1.000685166152792
61,"('componente', 'cultural')",2,0,2917,1,1.000685166152792,1.0,1.000685166152792
62,quiatría,2,0,2917,1,1.000685166152792,1.0,1.000685166152792
63,"('síntoma', 'esquizofrénico')",2,0,2917,1,1.000685166152792,1.0,1.000685166152792
64,psicoanalisis,2,0,2917,1,1.000685166152792,1.0,1.000685166152792
65,ht2a,2,0,2917,1,1.000685166152792,1.0,1.000685166152792
66,"('debate', 'diagnóstico')",2,0,2917,1,1.000685166152792,1.0,1.000685166152792
67,"('la', 'psiquiatría', 'moderna')",2,0,2917,1,1.000685166152792,1.0,1.000685166152792
68,"('trauma', 'infantil')",2,0,2917,1,1.000685166152792,1.0,1.000685166152792
69,psicofisiología,2,0,2917,1,1.000685166152792,1.0,1.000685166152792
70,ludwig_binswanger,2,0,2917,1,1.000685166152792,1.0,1.000685166152792
71,"('estudio', 'comparativo', 'somero')",1,0,2918,1,1.000342583076396,1.0,1.000342583076396
72,"('actual', 'crisis')",1,0,2918,1,1.000342583076396,1.0,1.000342583076396
73,"('locura', 'mixedematosa')",1,0,2918,1,1.000342583076396,1.0,1.000342583076396
74,"('politerapia', 'antipsicótica')",1,0,2918,1,1.000342583076396,1.0,1.000342583076396
75,"('psíquica', 'del', 'futuro')",1,0,2918,1,1.000342583076396,1.0,1.000342583076396
76,"('actual', 'crisis', 'mundial')",1,0,2918,1,1.000342583076396,1.0,1.000342583076396
77,"('papel', 'que', 'aportará')",1,0,2918,1,1.000342583076396,1.0,1.000342583076396
78,"('beneficioso', 'papel')",1,0,2918,1,1.000342583076396,1.0,1.000342583076396
79,"('estudio', 'psiquiátrico')",1,0,2918,1,1.000342583076396,1.0,1.000342583076396
80,"('medicina', 'psíquica')",1,0,2918,1,1.000342583076396,1.0,1.000342583076396
81,aportará,1,0,2918,1,1.000342583076396,1.0,1.000342583076396
82,"('comparativo', 'somero')",1,0,2918,1,1.000342583076396,1.0,1.000342583076396
83,"('la', 'actual', 'crisis')",1,0,2918,1,1.000342583076396,1.0,1.000342583076396
