,Term,Ndeᵗᵢ,Ndeᶜᵗ,Ndᶜᵗeᵗᵢ,Eᵗ,LPM,TGM,LRM
0,"('de', 'sistema', 'respiratorio')",2,0,2084,1,1.000958772770853,1.0,1.000958772770853
1,traqueobroncopatía,2,0,2084,1,1.000958772770853,1.0,1.000958772770853
2,"('delenda', 'est')",2,0,2084,1,1.000958772770853,1.0,1.000958772770853
3,"('la', 'unidad', 'especializada')",2,0,2084,1,1.000958772770853,1.0,1.000958772770853
4,physiologia,2,0,2084,1,1.000958772770853,1.0,1.000958772770853
5,delenda,2,0,2084,1,1.000958772770853,1.0,1.000958772770853
6,"('est', 'physiologia')",2,0,2084,1,1.000958772770853,1.0,1.000958772770853
7,"('oxigenoterapia', 'por', 'catéter')",2,0,2084,1,1.000958772770853,1.0,1.000958772770853
8,"('delenda', 'est', 'physiologia')",2,0,2084,1,1.000958772770853,1.0,1.000958772770853
9,obesidad-hipoventilación,2,0,2084,1,1.000958772770853,1.0,1.000958772770853
10,"('posgraduada', 'en', 'neumología')",2,0,2084,1,1.000958772770853,1.0,1.000958772770853
11,"('del', 'sistema', 'respiratorio')",2,0,2084,1,1.000958772770853,1.0,1.000958772770853
12,"('biomarcador', 'y', 'perfil')",1,0,2085,1,1.0004793863854269,1.0,1.0004793863854269
13,"('perfil', 'clínico', 'personalizado')",1,0,2085,1,1.0004793863854269,1.0,1.0004793863854269
14,"('proyecto', 'de', 'biomarcador')",1,0,2085,1,1.0004793863854269,1.0,1.0004793863854269
15,"('proyecto', 'biomepoc')",1,0,2085,1,1.0004793863854269,1.0,1.0004793863854269
16,"('clínico', 'personalizado')",1,0,2085,1,1.0004793863854269,1.0,1.0004793863854269
17,"('inflamación', 'respiratoria')",1,0,2085,1,1.0004793863854269,1.0,1.0004793863854269
18,biomepoc,1,0,2085,1,1.0004793863854269,1.0,1.0004793863854269
19,"('varón', 'de', '49')",1,0,2085,1,1.0004793863854269,1.0,1.0004793863854269
20,"('urinotórax', 'e', 'insuficiencia')",1,0,2085,1,1.0004793863854269,1.0,1.0004793863854269
21,"('experimental', 'de', 'epoc')",1,0,2085,1,1.0004793863854269,1.0,1.0004793863854269
22,"('de', 'receptor', 'soluble')",1,0,2085,1,1.0004793863854269,1.0,1.0004793863854269
23,"('la', 'inflamación', 'respiratoria')",1,0,2085,1,1.0004793863854269,1.0,1.0004793863854269
24,"('comité', 'de', 'cáncer')",1,0,2085,1,1.0004793863854269,1.0,1.0004793863854269
25,"('parte', 'vii')",1,0,2085,1,1.0004793863854269,1.0,1.0004793863854269
26,"('1987', 'a', '1998')",1,0,2085,1,1.0004793863854269,1.0,1.0004793863854269
27,"('fiebre', 'por', 'humo')",1,0,2085,1,1.0004793863854269,1.0,1.0004793863854269
28,"('qué', 'debemo', 'distinguir')",1,0,2085,1,1.0004793863854269,1.0,1.0004793863854269
29,"('terapia', 'anticolinérgica')",1,0,2085,1,1.0004793863854269,1.0,1.0004793863854269
30,"('la', 'terapia', 'anticolinérgica')",1,0,2085,1,1.0004793863854269,1.0,1.0004793863854269
31,"('asma', 'inicialmente')",1,0,2085,1,1.0004793863854269,1.0,1.0004793863854269
32,"('el', 'alcornoque', 'divino')",1,0,2085,1,1.0004793863854269,1.0,1.0004793863854269
33,"('alcornoque', 'divino')",1,0,2085,1,1.0004793863854269,1.0,1.0004793863854269
34,"('fibrosis', 'quística', 'diagnosticado')",1,0,2085,1,1.0004793863854269,1.0,1.0004793863854269
35,"('el', 'asma', 'inicialmente')",1,0,2085,1,1.0004793863854269,1.0,1.0004793863854269
36,"('inicialmente', 'no', 'controlada')",1,0,2085,1,1.0004793863854269,1.0,1.0004793863854269
37,alcornoque,1,0,2085,1,1.0004793863854269,1.0,1.0004793863854269
38,"('quística', 'diagnosticado')",1,0,2085,1,1.0004793863854269,1.0,1.0004793863854269
39,estudio_abanico,1,0,2085,1,1.0004793863854269,1.0,1.0004793863854269
40,urinotórax,1,0,2085,1,1.0004793863854269,1.0,1.0004793863854269
41,"('general', 'y', 'nódulo')",1,0,2085,1,1.0004793863854269,1.0,1.0004793863854269
42,"('soluble', 'de', 'interleucina')",1,0,2085,1,1.0004793863854269,1.0,1.0004793863854269
43,"('internacional', 'de', 'sistema')",1,0,2085,1,1.0004793863854269,1.0,1.0004793863854269
44,"('respiratorio', 'de', '1987')",1,0,2085,1,1.0004793863854269,1.0,1.0004793863854269
45,"('de', 'vaciamiento', 'pulmonar')",1,0,2085,1,1.0004793863854269,1.0,1.0004793863854269
46,"('vaciamiento', 'pulmonar')",1,0,2085,1,1.0004793863854269,1.0,1.0004793863854269
47,arch_bronconeumol,1,0,2085,1,1.0004793863854269,1.0,1.0004793863854269
48,"('validación', 'pronóstica')",1,0,2085,1,1.0004793863854269,1.0,1.0004793863854269
49,"('validación', 'pronóstica', 'según')",1,0,2085,1,1.0004793863854269,1.0,1.0004793863854269
50,"('la', 'gesepoc', '2017')",1,0,2085,1,1.0004793863854269,1.0,1.0004793863854269
51,"('tabaquismo', 'de', 'tercera')",1,0,2085,1,1.0004793863854269,1.0,1.0004793863854269
52,"('transporte', 'y', 'tabaquismo')",1,0,2085,1,1.0004793863854269,1.0,1.0004793863854269
53,"('impacto', 'del', 'tabaco')",1,0,2085,1,1.0004793863854269,1.0,1.0004793863854269
54,"('cuarta', 'mano')",1,0,2085,1,1.0004793863854269,1.0,1.0004793863854269
55,"('schwannoma', 'pleural')",1,0,2085,1,1.0004793863854269,1.0,1.0004793863854269
56,"('simula', 'metástasis')",1,0,2085,1,1.0004793863854269,1.0,1.0004793863854269
57,"('pleural', 'que', 'simula')",1,0,2085,1,1.0004793863854269,1.0,1.0004793863854269
58,"('que', 'simula', 'metástasis')",1,0,2085,1,1.0004793863854269,1.0,1.0004793863854269
59,"('simula', 'metástasis', 'pleural')",1,0,2085,1,1.0004793863854269,1.0,1.0004793863854269
60,posicionamiento_de_la_organización_mundial_de_la_salud,1,0,2085,1,1.0004793863854269,1.0,1.0004793863854269
61,"('ventilación', 'de', 'vaciamiento')",1,0,2085,1,1.0004793863854269,1.0,1.0004793863854269
62,"('microbioma', 'y', 'asma')",1,0,2085,1,1.0004793863854269,1.0,1.0004793863854269
63,"('aerosol', 'en', 'nebulizador')",1,0,2085,1,1.0004793863854269,1.0,1.0004793863854269
64,procedemo,1,0,2085,1,1.0004793863854269,1.0,1.0004793863854269
65,"('comorbilidad', 'infecciosa')",1,0,2085,1,1.0004793863854269,1.0,1.0004793863854269
66,"('adenosín-desaminasa', 'en', 'líquido')",1,0,2085,1,1.0004793863854269,1.0,1.0004793863854269
67,"('líquido', 'pleural', 'tuberculoso')",1,0,2085,1,1.0004793863854269,1.0,1.0004793863854269
68,"('computarizada', 'y', 'reacción')",1,0,2085,1,1.0004793863854269,1.0,1.0004793863854269
69,"('altura', 'tra')",1,0,2085,1,1.0004793863854269,1.0,1.0004793863854269
70,"('tra', '48')",1,0,2085,1,1.0004793863854269,1.0,1.0004793863854269
71,"('pulmón', 'por', 'altura')",1,0,2085,1,1.0004793863854269,1.0,1.0004793863854269
72,"('clínica', 'y', 'función')",1,0,2085,1,1.0004793863854269,1.0,1.0004793863854269
73,"('por', 'altura', 'tra')",1,0,2085,1,1.0004793863854269,1.0,1.0004793863854269
74,"('altura', 'tra', '48')",1,0,2085,1,1.0004793863854269,1.0,1.0004793863854269
75,"('tra', '48', 'hora')",1,0,2085,1,1.0004793863854269,1.0,1.0004793863854269
76,"('hora', 'de', 'estancia')",1,0,2085,1,1.0004793863854269,1.0,1.0004793863854269
77,"('estación', 'de', 'esquí')",1,0,2085,1,1.0004793863854269,1.0,1.0004793863854269
78,"('de', 'dónde', 'procedemo')",1,0,2085,1,1.0004793863854269,1.0,1.0004793863854269
79,"('dónde', 'procedemo')",1,0,2085,1,1.0004793863854269,1.0,1.0004793863854269
80,"('inervación', 'y', 'control')",1,0,2085,1,1.0004793863854269,1.0,1.0004793863854269
81,"('debemo', 'distinguir')",1,0,2085,1,1.0004793863854269,1.0,1.0004793863854269
82,"('exposición', 'a', 'paracetamol')",1,0,2085,1,1.0004793863854269,1.0,1.0004793863854269
83,"('con', 'obstrucción', 'fija')",1,0,2085,1,1.0004793863854269,1.0,1.0004793863854269
84,"('como', 'biomarcador', 'sérico')",1,0,2085,1,1.0004793863854269,1.0,1.0004793863854269
85,"('biomarcador', 'sérico', 'asociado')",1,0,2085,1,1.0004793863854269,1.0,1.0004793863854269
86,"('asociado', 'con', 'neumonía')",1,0,2085,1,1.0004793863854269,1.0,1.0004793863854269
87,"('mejorar', 'la', 'gestión')",1,0,2085,1,1.0004793863854269,1.0,1.0004793863854269
88,"('inhibidor', 'c1')",1,0,2085,1,1.0004793863854269,1.0,1.0004793863854269
89,"('asma', 'con', 'obstrucción')",1,0,2085,1,1.0004793863854269,1.0,1.0004793863854269
90,"('nítrico', 'alveolar')",1,0,2085,1,1.0004793863854269,1.0,1.0004793863854269
91,"('concentración', 'de', 'óxido')",1,0,2085,1,1.0004793863854269,1.0,1.0004793863854269
92,"('sérico', 'asociado')",1,0,2085,1,1.0004793863854269,1.0,1.0004793863854269
93,"('utilización', 'del', 'arsénico')",1,0,2085,1,1.0004793863854269,1.0,1.0004793863854269
94,"('arsénico', 'en', 'alguna')",1,0,2085,1,1.0004793863854269,1.0,1.0004793863854269
