,Term,Ndeᵗᵢ,Ndeᶜᵗ,Ndᶜᵗeᵗᵢ,Eᵗ,LPM,TGM,LRM
0,"('investigación', 'en', 'radiología')",5,0,2057,1,1.0024248302618817,1.0,1.0024248302618817
1,"('el', 'radiólogo', 'invisible')",4,0,2058,1,1.0019398642095054,1.0,1.0019398642095054
2,"('radiólogo', 'invisible')",4,0,2058,1,1.0019398642095054,1.0,1.0019398642095054
3,"('publicación', 'en', 'radiología')",4,0,2058,1,1.0019398642095054,1.0,1.0019398642095054
4,"('técnico', 'y', 'ecografía')",3,0,2059,1,1.001454898157129,1.0,1.001454898157129
5,"('la', 'revista', 'radiología')",3,0,2059,1,1.001454898157129,1.0,1.001454898157129
6,"('revista', 'radiología')",3,0,2059,1,1.001454898157129,1.0,1.001454898157129
7,"('científica', 'y', 'publicación')",3,0,2059,1,1.001454898157129,1.0,1.001454898157129
8,"('clave', 'y', 'consejo')",3,0,2059,1,1.001454898157129,1.0,1.001454898157129
9,editorialismo,3,0,2059,1,1.001454898157129,1.0,1.001454898157129
10,"('impresión', 'de', 'imagen')",2,0,2060,1,1.0009699321047527,1.0,1.0009699321047527
11,"('proliferación', 'en', 'cultivo')",2,0,2060,1,1.0009699321047527,1.0,1.0009699321047527
12,"('celular', 'mcf-7')",2,0,2060,1,1.0009699321047527,1.0,1.0009699321047527
13,"('editorial', 'en', 'radiología')",2,0,2060,1,1.0009699321047527,1.0,1.0009699321047527
14,quisiera,2,0,2060,1,1.0009699321047527,1.0,1.0009699321047527
15,"('empresa', 'de', 'impresión')",2,0,2060,1,1.0009699321047527,1.0,1.0009699321047527
16,"('científico', 'ni', 'moralista')",2,0,2060,1,1.0009699321047527,1.0,1.0009699321047527
17,"('solo', 'radiólogo')",2,0,2060,1,1.0009699321047527,1.0,1.0009699321047527
18,"('cultivo', 'celular', 'mcf-7')",2,0,2060,1,1.0009699321047527,1.0,1.0009699321047527
19,"('vascular', 'y', 'tumor')",2,0,2060,1,1.0009699321047527,1.0,1.0009699321047527
20,"('artículo', 'al', 'inglé')",2,0,2060,1,1.0009699321047527,1.0,1.0009699321047527
21,moralista,2,0,2060,1,1.0009699321047527,1.0,1.0009699321047527
22,"('aún', 'la', 'acción')",2,0,2060,1,1.0009699321047527,1.0,1.0009699321047527
23,"('sección', 'de', 'radiología')",2,0,2060,1,1.0009699321047527,1.0,1.0009699321047527
24,"('vendamo', 'aún')",2,0,2060,1,1.0009699321047527,1.0,1.0009699321047527
25,"('un', 'ga', 'opaco')",2,0,2060,1,1.0009699321047527,1.0,1.0009699321047527
26,"('de', 'nuevo', 'especialista')",2,0,2060,1,1.0009699321047527,1.0,1.0009699321047527
27,"('formación', 'de', 'nuevo')",2,0,2060,1,1.0009699321047527,1.0,1.0009699321047527
28,"('nuevo', 'especialista')",2,0,2060,1,1.0009699321047527,1.0,1.0009699321047527
29,"('asunto', 'fundamental')",2,0,2060,1,1.0009699321047527,1.0,1.0009699321047527
30,"('reto', 'e', 'incertidumbre')",2,0,2060,1,1.0009699321047527,1.0,1.0009699321047527
31,"('ga', 'opaco')",2,0,2060,1,1.0009699321047527,1.0,1.0009699321047527
32,"('prestación', 'radiológica')",2,0,2060,1,1.0009699321047527,1.0,1.0009699321047527
33,"('editorial', 'del', 'dr._luis_donoso')",2,0,2060,1,1.0009699321047527,1.0,1.0009699321047527
34,"('de', 'prestación', 'radiológica')",2,0,2060,1,1.0009699321047527,1.0,1.0009699321047527
35,"('de', 'imagen', 'urgente')",2,0,2060,1,1.0009699321047527,1.0,1.0009699321047527
36,critically_appraised_topic,2,0,2060,1,1.0009699321047527,1.0,1.0009699321047527
37,"('imagen', 'urgente')",2,0,2060,1,1.0009699321047527,1.0,1.0009699321047527
38,"('contraindicación', 'y', 'reacción')",2,0,2060,1,1.0009699321047527,1.0,1.0009699321047527
39,dr._luis_donoso,2,0,2060,1,1.0009699321047527,1.0,1.0009699321047527
40,"('no', 'vendamo', 'aún')",2,0,2060,1,1.0009699321047527,1.0,1.0009699321047527
41,"('traducción', 'de', 'artículo')",2,0,2060,1,1.0009699321047527,1.0,1.0009699321047527
42,vendamo,2,0,2060,1,1.0009699321047527,1.0,1.0009699321047527
43,"('año', 'de', 'radiología')",2,0,2060,1,1.0009699321047527,1.0,1.0009699321047527
44,interpreta,2,0,2060,1,1.0009699321047527,1.0,1.0009699321047527
