,Term,Ndeᵗᵢ,Ndeᶜᵗ,Ndᶜᵗeᵗᵢ,Eᵗ,LPM,TGM,LRM
0,"('rehabilitación', 'del', 'tuberculoso')",3,0,2852,1,1.0010507880910684,1.0,1.0010507880910684
1,reabilitación,2,0,2853,1,1.0007005253940455,1.0,1.0007005253940455
2,"('equipo', 'interdisciplinario')",2,0,2853,1,1.0007005253940455,1.0,1.0007005253940455
3,"('readaptación', 'social')",2,0,2853,1,1.0007005253940455,1.0,1.0007005253940455
4,"('oclusal', 'por', 'desgaste')",2,0,2853,1,1.0007005253940455,1.0,1.0007005253940455
5,orden_ministerial,2,0,2853,1,1.0007005253940455,1.0,1.0007005253940455
6,"('regulan', 'lo', 'tratamiento')",2,0,2853,1,1.0007005253940455,1.0,1.0007005253940455
7,"('legislación', 'sobre', 'enfermo')",2,0,2853,1,1.0007005253940455,1.0,1.0007005253940455
8,"('el', 'equipo', 'interdisciplinario')",2,0,2853,1,1.0007005253940455,1.0,1.0007005253940455
9,"('principio', 'clínico')",2,0,2853,1,1.0007005253940455,1.0,1.0007005253940455
10,"('en', 'rehabilitación', 'oral')",2,0,2853,1,1.0007005253940455,1.0,1.0007005253940455
11,"('clínico', 'en', 'rehabilitación')",2,0,2853,1,1.0007005253940455,1.0,1.0007005253940455
12,"('en', 'rehabilitación', 'oclusal')",2,0,2853,1,1.0007005253940455,1.0,1.0007005253940455
13,"('tratamiento', 'de', 'deshabituación')",2,0,2853,1,1.0007005253940455,1.0,1.0007005253940455
14,"('certificación', 'de', 'discapacidad')",2,0,2853,1,1.0007005253940455,1.0,1.0007005253940455
15,"('del', 'niño', 'lisiado')",2,0,2853,1,1.0007005253940455,1.0,1.0007005253940455
16,"('control', 'ejecutivo')",2,0,2853,1,1.0007005253940455,1.0,1.0007005253940455
17,"('función', 'y', 'control')",2,0,2853,1,1.0007005253940455,1.0,1.0007005253940455
18,"('nińo', 'lisiado')",1,0,2854,1,1.0003502626970229,1.0,1.0003502626970229
19,"('de', 'integrar', 'concepto')",1,0,2854,1,1.0003502626970229,1.0,1.0003502626970229
20,"('m.', 'vera_candioti')",1,0,2854,1,1.0003502626970229,1.0,1.0003502626970229
21,"('rehabilitación_del_nińo_incapacitado_dr._carlo', 'm.')",1,0,2854,1,1.0003502626970229,1.0,1.0003502626970229
22,"('lo', 'programa', 'básico')",1,0,2854,1,1.0003502626970229,1.0,1.0003502626970229
23,vera_candioti,1,0,2854,1,1.0003502626970229,1.0,1.0003502626970229
24,"('rehabilitación', 'del', 'nino')",1,0,2854,1,1.0003502626970229,1.0,1.0003502626970229
25,rehabilitación_del_nińo_incapacitado_dr._carlo,1,0,2854,1,1.0003502626970229,1.0,1.0003502626970229
26,"('del', 'nińo', 'lisiado')",1,0,2854,1,1.0003502626970229,1.0,1.0003502626970229
27,"('detección', 'del', 'nińo')",1,0,2854,1,1.0003502626970229,1.0,1.0003502626970229
28,"('del', 'nino', 'lisiado')",1,0,2854,1,1.0003502626970229,1.0,1.0003502626970229
29,"('escuela', 'de', 'enfermería')",1,0,2854,1,1.0003502626970229,1.0,1.0003502626970229
30,top-down,1,0,2854,1,1.0003502626970229,1.0,1.0003502626970229
31,"('el', 'instituto', 'regional')",1,0,2854,1,1.0003502626970229,1.0,1.0003502626970229
32,"('importancia', 'de', 'integrar')",1,0,2854,1,1.0003502626970229,1.0,1.0003502626970229
33,"('integrar', 'concepto')",1,0,2854,1,1.0003502626970229,1.0,1.0003502626970229
34,"('la', 'rehabilitación', 'frente')",1,0,2854,1,1.0003502626970229,1.0,1.0003502626970229
35,honoraria,1,0,2854,1,1.0003502626970229,1.0,1.0003502626970229
36,antituberculasa,1,0,2854,1,1.0003502626970229,1.0,1.0003502626970229
37,"('enfermedad', 'tuberculosa', 'aparecida')",1,0,2854,1,1.0003502626970229,1.0,1.0003502626970229
38,"('comisión', 'honoraria')",1,0,2854,1,1.0003502626970229,1.0,1.0003502626970229
39,"('lucha', 'antituberculasa')",1,0,2854,1,1.0003502626970229,1.0,1.0003502626970229
40,"('la', 'comisión', 'honoraria')",1,0,2854,1,1.0003502626970229,1.0,1.0003502626970229
41,"('la', 'lucha', 'antituberculasa')",1,0,2854,1,1.0003502626970229,1.0,1.0003502626970229
42,"('recuperación', 'del', 'tuberculoso')",1,0,2854,1,1.0003502626970229,1.0,1.0003502626970229
43,"('ano', 'como', 'consecuencia')",1,0,2854,1,1.0003502626970229,1.0,1.0003502626970229
44,"('sanatorio', 'de', 'linar')",1,0,2854,1,1.0003502626970229,1.0,1.0003502626970229
45,readaptacion,1,0,2854,1,1.0003502626970229,1.0,1.0003502626970229
46,nancy,1,0,2854,1,1.0003502626970229,1.0,1.0003502626970229
47,"('instituto', 'regional')",1,0,2854,1,1.0003502626970229,1.0,1.0003502626970229
48,"('de', 'rehabilitación_del_nińo_incapacitado_dr._carlo', 'm.')",1,0,2854,1,1.0003502626970229,1.0,1.0003502626970229
49,"('regional', 'de', 'readaptacion')",1,0,2854,1,1.0003502626970229,1.0,1.0003502626970229
50,"('readaptacion', 'de', 'nancy')",1,0,2854,1,1.0003502626970229,1.0,1.0003502626970229
51,"('instituto', 'de', 'rehabilitación_del_nińo_incapacitado_dr._carlo')",1,0,2854,1,1.0003502626970229,1.0,1.0003502626970229
52,"('la', 'analgesia', 'local')",1,0,2854,1,1.0003502626970229,1.0,1.0003502626970229
53,"('rehabilitación_del_nińo_incapacitado_dr._carlo', 'm.', 'vera_candioti')",1,0,2854,1,1.0003502626970229,1.0,1.0003502626970229
54,"('alcohólico', 'abstinente')",1,0,2854,1,1.0003502626970229,1.0,1.0003502626970229
55,"('un', 'ancla', 'metáilica')",1,0,2854,1,1.0003502626970229,1.0,1.0003502626970229
56,"('abrasión', 'en', 'tre')",1,0,2854,1,1.0003502626970229,1.0,1.0003502626970229
57,"('ancla', 'metáilica')",1,0,2854,1,1.0003502626970229,1.0,1.0003502626970229
58,metáilica,1,0,2854,1,1.0003502626970229,1.0,1.0003502626970229
59,"('no', 'consumen', 'alcohol')",1,0,2854,1,1.0003502626970229,1.0,1.0003502626970229
60,"('prolongado', 'en', 'comparación')",1,0,2854,1,1.0003502626970229,1.0,1.0003502626970229
61,"('de', 'tiempo', 'prolongado')",1,0,2854,1,1.0003502626970229,1.0,1.0003502626970229
62,"('lo', 'alcohólico', 'abstinente')",1,0,2854,1,1.0003502626970229,1.0,1.0003502626970229
63,"('consumen', 'alcohol')",1,0,2854,1,1.0003502626970229,1.0,1.0003502626970229
64,"('del', 'tratamiento', 'basado')",1,0,2854,1,1.0003502626970229,1.0,1.0003502626970229
65,"('la', 'asistencia', 'social')",1,0,2854,1,1.0003502626970229,1.0,1.0003502626970229
66,"('el', 'riesgo', 'clínico')",1,0,2854,1,1.0003502626970229,1.0,1.0003502626970229
67,"('educativo', 'de', 'rehabilitación')",1,0,2854,1,1.0003502626970229,1.0,1.0003502626970229
68,"('articular', 'y', 'osteoartritis')",1,0,2854,1,1.0003502626970229,1.0,1.0003502626970229
69,"('diferenciación', 'del', 'cartílago')",1,0,2854,1,1.0003502626970229,1.0,1.0003502626970229
70,"('de', 'reconstrucción', 'articular')",1,0,2854,1,1.0003502626970229,1.0,1.0003502626970229
71,cantilever,1,0,2854,1,1.0003502626970229,1.0,1.0003502626970229
72,"('reconstrucción', 'articular')",1,0,2854,1,1.0003502626970229,1.0,1.0003502626970229
73,"('tejido', 'y', 'osteoartritis')",1,0,2854,1,1.0003502626970229,1.0,1.0003502626970229
74,"('fisiológico', 'del', 'cantilever')",1,0,2854,1,1.0003502626970229,1.0,1.0003502626970229
75,"('hombro', 'tra')",1,0,2854,1,1.0003502626970229,1.0,1.0003502626970229
76,"('tra', 'embarazo')",1,0,2854,1,1.0003502626970229,1.0,1.0003502626970229
77,"('osteonecrosis', 'de', 'hombro')",1,0,2854,1,1.0003502626970229,1.0,1.0003502626970229
78,depresión_unipolar,1,0,2854,1,1.0003502626970229,1.0,1.0003502626970229
79,"('readaptación', 'del', 'inválido')",1,0,2854,1,1.0003502626970229,1.0,1.0003502626970229
80,"('enfoque', 'psicosocial')",1,0,2854,1,1.0003502626970229,1.0,1.0003502626970229
81,sanatorio_de_trillo,1,0,2854,1,1.0003502626970229,1.0,1.0003502626970229
82,"('la', 'recuperación', 'social')",1,0,2854,1,1.0003502626970229,1.0,1.0003502626970229
83,"('reeducación', 'profesional')",1,0,2854,1,1.0003502626970229,1.0,1.0003502626970229
84,"('social', 'del', 'lazarino')",1,0,2854,1,1.0003502626970229,1.0,1.0003502626970229
85,"('último', 'adelanto')",1,0,2854,1,1.0003502626970229,1.0,1.0003502626970229
86,"('moderno', 'y', 'último')",1,0,2854,1,1.0003502626970229,1.0,1.0003502626970229
87,"('posible', 'detección', 'molecular')",1,0,2854,1,1.0003502626970229,1.0,1.0003502626970229
88,"('su', 'posible', 'detección')",1,0,2854,1,1.0003502626970229,1.0,1.0003502626970229
89,"('posible', 'detección')",1,0,2854,1,1.0003502626970229,1.0,1.0003502626970229
90,"('dopaje', 'genético')",1,0,2854,1,1.0003502626970229,1.0,1.0003502626970229
91,"('del', 'síndrome', 'post-uci')",1,0,2854,1,1.0003502626970229,1.0,1.0003502626970229
92,"('preventiva', 'del', 'síndrome')",1,0,2854,1,1.0003502626970229,1.0,1.0003502626970229
93,"('síndrome', 'post-uci')",1,0,2854,1,1.0003502626970229,1.0,1.0003502626970229
94,"('acto', 'medico')",1,0,2854,1,1.0003502626970229,1.0,1.0003502626970229
95,"('rol', 'y', 'responsabilidad')",1,0,2854,1,1.0003502626970229,1.0,1.0003502626970229
96,"('el', 'acto', 'medico')",1,0,2854,1,1.0003502626970229,1.0,1.0003502626970229
97,"('hombro', 'tra', 'embarazo')",1,0,2854,1,1.0003502626970229,1.0,1.0003502626970229
98,"('psicosocial', 'del', 'problema')",1,0,2854,1,1.0003502626970229,1.0,1.0003502626970229
99,"('sistematica', 'sobre', 'instrumento')",1,0,2854,1,1.0003502626970229,1.0,1.0003502626970229
100,"('tuberculosa', 'aparecida')",1,0,2854,1,1.0003502626970229,1.0,1.0003502626970229
101,"('en', 'rehabilitacion', 'oral')",1,0,2854,1,1.0003502626970229,1.0,1.0003502626970229
102,"('libertad', 'a', 'travé')",1,0,2854,1,1.0003502626970229,1.0,1.0003502626970229
103,"('travé', 'de', 'actividad')",1,0,2854,1,1.0003502626970229,1.0,1.0003502626970229
104,"('actividad', 'con', 'animal')",1,0,2854,1,1.0003502626970229,1.0,1.0003502626970229
105,"('integral', 'de', 'tratamiento')",1,0,2854,1,1.0003502626970229,1.0,1.0003502626970229
106,"('dentaria', 'muy', 'destruída')",1,0,2854,1,1.0003502626970229,1.0,1.0003502626970229
107,"('del', 'desplazamiento', 'forzado')",1,0,2854,1,1.0003502626970229,1.0,1.0003502626970229
108,"('salud', 'del', 'desplazamiento')",1,0,2854,1,1.0003502626970229,1.0,1.0003502626970229
109,"('la', 'mujer', 'desplazada')",1,0,2854,1,1.0003502626970229,1.0,1.0003502626970229
110,"('mujer', 'desplazada')",1,0,2854,1,1.0003502626970229,1.0,1.0003502626970229
111,"('reposición', 'del', 'diente')",1,0,2854,1,1.0003502626970229,1.0,1.0003502626970229
112,"('diente', 'como', 'apendice')",1,0,2854,1,1.0003502626970229,1.0,1.0003502626970229
113,"('oclusion', 'y', 'a.t.m.')",1,0,2854,1,1.0003502626970229,1.0,1.0003502626970229
114,"('a.t.m.', 'en', 'relacion')",1,0,2854,1,1.0003502626970229,1.0,1.0003502626970229
115,"('relacion', 'con', 'ortodoncia')",1,0,2854,1,1.0003502626970229,1.0,1.0003502626970229
