,Term,Ndeᵗᵢ,Ndeᶜᵗ,Ndᶜᵗeᵗᵢ,Eᵗ,LPM,TGM,LRM
0,tribunal_constitucional,4,0,1616,1,1.002469135802469,1.0,1.002469135802469
1,"('clonación', 'terapéutica')",3,0,1617,1,1.0018518518518518,1.0,1.0018518518518518
2,"('oral', 'de', 'emergencia')",3,0,1617,1,1.0018518518518518,1.0,1.0018518518518518
3,"('regulación', 'jurídica')",3,0,1617,1,1.0018518518518518,1.0,1.0018518518518518
4,"('el', 'gato', 'siamé')",2,0,1618,1,1.0012345679012349,1.0,1.0012345679012349
5,"('transferencia', 'intratubaria')",2,0,1618,1,1.0012345679012349,1.0,1.0012345679012349
6,116/1999,2,0,1618,1,1.0012345679012349,1.0,1.0012345679012349
7,"('intratubaria', 'de', 'gameto')",2,0,1618,1,1.0012345679012349,1.0,1.0012345679012349
8,"('sentencia_del_tribunal_constitucional', '116/1999')",2,0,1618,1,1.0012345679012349,1.0,1.0012345679012349
9,"('sentencia', 'del', 'tribunal_constitucional')",2,0,1618,1,1.0012345679012349,1.0,1.0012345679012349
10,"('contracepción', 'oral')",2,0,1618,1,1.0012345679012349,1.0,1.0012345679012349
11,"('feli', 'catu', 'l.')",2,0,1618,1,1.0012345679012349,1.0,1.0012345679012349
12,"('de', 'osificación', 'postnatal')",2,0,1618,1,1.0012345679012349,1.0,1.0012345679012349
13,"('de', 'manipulación', 'genética')",2,0,1618,1,1.0012345679012349,1.0,1.0012345679012349
14,"('cronología', 'de', 'osificación')",2,0,1618,1,1.0012345679012349,1.0,1.0012345679012349
15,"('catu', 'l.')",2,0,1618,1,1.0012345679012349,1.0,1.0012345679012349
16,"('feli', 'catu')",2,0,1618,1,1.0012345679012349,1.0,1.0012345679012349
17,"('gato', 'siamé')",2,0,1618,1,1.0012345679012349,1.0,1.0012345679012349
18,catu,2,0,1618,1,1.0012345679012349,1.0,1.0012345679012349
19,"('oportunidad', 'y', 'posibilidad')",2,0,1618,1,1.0012345679012349,1.0,1.0012345679012349
20,"('recurso', 'de', 'inconstitucionalidad')",2,0,1618,1,1.0012345679012349,1.0,1.0012345679012349
21,siamé,2,0,1618,1,1.0012345679012349,1.0,1.0012345679012349
22,"('delito', 'de', 'manipulación')",2,0,1618,1,1.0012345679012349,1.0,1.0012345679012349
23,inconstitucionalidad,2,0,1618,1,1.0012345679012349,1.0,1.0012345679012349
24,"('programa', 'de', 'inseminación')",2,0,1618,1,1.0012345679012349,1.0,1.0012345679012349
25,"('genética', 'con', 'fin')",2,0,1618,1,1.0012345679012349,1.0,1.0012345679012349
26,comisión_nacional_de_reproducción_asistida,2,0,1618,1,1.0012345679012349,1.0,1.0012345679012349
27,"('la', 'regulación', 'jurídica')",2,0,1618,1,1.0012345679012349,1.0,1.0012345679012349
28,"('criopreservación', 'de', 'embrión')",2,0,1618,1,1.0012345679012349,1.0,1.0012345679012349
29,"('anticoncepción', 'y', 'lactancia')",2,0,1618,1,1.0012345679012349,1.0,1.0012345679012349
30,"('efecto', 'del', 'levonorgestrel')",2,0,1618,1,1.0012345679012349,1.0,1.0012345679012349
31,"('crecimiento', 'folicular', 'múltiple')",2,0,1618,1,1.0012345679012349,1.0,1.0012345679012349
32,"('inductor', 'de', 'crecimiento')",2,0,1618,1,1.0012345679012349,1.0,1.0012345679012349
33,"('folicular', 'múltiple')",2,0,1618,1,1.0012345679012349,1.0,1.0012345679012349
34,"('en', 'anticoncepción', 'hormonal')",2,0,1618,1,1.0012345679012349,1.0,1.0012345679012349
35,"('planificación', 'familiar', 'natural')",2,0,1618,1,1.0012345679012349,1.0,1.0012345679012349
36,"('del', 'código', 'penal')",2,0,1618,1,1.0012345679012349,1.0,1.0012345679012349
37,"('324', 'del', 'código')",2,0,1618,1,1.0012345679012349,1.0,1.0012345679012349
38,"('nuevo', 'art.', '324')",2,0,1618,1,1.0012345679012349,1.0,1.0012345679012349
39,"('del', 'nuevo', 'art.')",2,0,1618,1,1.0012345679012349,1.0,1.0012345679012349
40,"('art.', '324')",2,0,1618,1,1.0012345679012349,1.0,1.0012345679012349
41,"('nuevo', 'art.')",2,0,1618,1,1.0012345679012349,1.0,1.0012345679012349
42,"('inseminación', 'terapéutica')",2,0,1618,1,1.0012345679012349,1.0,1.0012345679012349
43,art.,2,0,1618,1,1.0012345679012349,1.0,1.0012345679012349
44,"('fin', 'de', 'clonar')",2,0,1618,1,1.0012345679012349,1.0,1.0012345679012349
45,técnicas_de_reproducción_humana_asistida,2,0,1618,1,1.0012345679012349,1.0,1.0012345679012349
46,"('selección', 'de', 'embrión')",2,0,1618,1,1.0012345679012349,1.0,1.0012345679012349
47,dolly,2,0,1618,1,1.0012345679012349,1.0,1.0012345679012349
48,"('35/1988', 'sobre', 'técnicas_de_reproducción_asistida')",2,0,1618,1,1.0012345679012349,1.0,1.0012345679012349
49,"('la', 'clonación', 'terapéutica')",2,0,1618,1,1.0012345679012349,1.0,1.0012345679012349
50,"('la', 'microarquitectura', 'vascular')",1,0,1619,1,1.000617283950617,1.0,1.000617283950617
51,"('medición', 'de', 'pregnandiol')",1,0,1619,1,1.000617283950617,1.0,1.000617283950617
52,"('un', 'paso', 'crítico')",1,0,1619,1,1.000617283950617,1.0,1.000617283950617
53,"('crítico', 'en', 'reproducción')",1,0,1619,1,1.000617283950617,1.0,1.000617283950617
54,"('roentgenestimulacion', 'ovárica')",1,0,1619,1,1.000617283950617,1.0,1.000617283950617
55,"('parametro', 'de', 'ovulacion')",1,0,1619,1,1.000617283950617,1.0,1.000617283950617
56,"('urinario', 'como', 'parametro')",1,0,1619,1,1.000617283950617,1.0,1.000617283950617
57,"('artificial', 'heteróloga')",1,0,1619,1,1.000617283950617,1.0,1.000617283950617
58,"('gestante', 'y', 'control')",1,0,1619,1,1.000617283950617,1.0,1.000617283950617
59,"('inseminación', 'artificial', 'heteróloga')",1,0,1619,1,1.000617283950617,1.0,1.000617283950617
60,"('de', 'revolución', 'biotecnológica')",1,0,1619,1,1.000617283950617,1.0,1.000617283950617
61,"('al', 'real_decreto', '120/2003')",1,0,1619,1,1.000617283950617,1.0,1.000617283950617
62,"('año', 'de', 'revolución')",1,0,1619,1,1.000617283950617,1.0,1.000617283950617
63,"('revolución', 'biotecnológica')",1,0,1619,1,1.000617283950617,1.0,1.000617283950617
64,"('con', 'sustento', 'legal')",1,0,1619,1,1.000617283950617,1.0,1.000617283950617
65,"('caso', 'con', 'sustento')",1,0,1619,1,1.000617283950617,1.0,1.000617283950617
66,"('jurídico', 'del', 'primer')",1,0,1619,1,1.000617283950617,1.0,1.000617283950617
67,"('paso', 'crítico')",1,0,1619,1,1.000617283950617,1.0,1.000617283950617
68,"('embrión', 'congelado')",1,0,1619,1,1.000617283950617,1.0,1.000617283950617
69,"('científica', 'y', 'embrión')",1,0,1619,1,1.000617283950617,1.0,1.000617283950617
70,"('opinion', 'de', 'mujer')",1,0,1619,1,1.000617283950617,1.0,1.000617283950617
71,"('reproducción', 'asistida', 'v')",1,0,1619,1,1.000617283950617,1.0,1.000617283950617
72,cetrorelix,1,0,1619,1,1.000617283950617,1.0,1.000617283950617
73,"('usaron', 'el', 'metodo')",1,0,1619,1,1.000617283950617,1.0,1.000617283950617
74,"('estilo', 'y', 'modelo')",1,0,1619,1,1.000617283950617,1.0,1.000617283950617
75,"('modelo', 'de', 'pareja')",1,0,1619,1,1.000617283950617,1.0,1.000617283950617
76,"('la', 'ip', 'paradigma_ético_de_la_investigación_biomédica')",1,0,1619,1,1.000617283950617,1.0,1.000617283950617
77,"('epitelio', 'vaginal')",1,0,1619,1,1.000617283950617,1.0,1.000617283950617
78,"('peque', 'no', 'roedor')",1,0,1619,1,1.000617283950617,1.0,1.000617283950617
79,"('clonación', 'de', 'ser')",1,0,1619,1,1.000617283950617,1.0,1.000617283950617
80,gen-ética,1,0,1619,1,1.000617283950617,1.0,1.000617283950617
81,"('ip', 'paradigma_ético_de_la_investigación_biomédica')",1,0,1619,1,1.000617283950617,1.0,1.000617283950617
82,paradigma_ético_de_la_investigación_biomédica,1,0,1619,1,1.000617283950617,1.0,1.000617283950617
83,"('test', 'de', 'ovulación')",1,0,1619,1,1.000617283950617,1.0,1.000617283950617
84,roentgenestimulacion,1,0,1619,1,1.000617283950617,1.0,1.000617283950617
85,"('médico', 'y', 'jurídico')",1,0,1619,1,1.000617283950617,1.0,1.000617283950617
86,"('sustento', 'legal')",1,0,1619,1,1.000617283950617,1.0,1.000617283950617
87,sustento,1,0,1619,1,1.000617283950617,1.0,1.000617283950617
88,preovulatorio,1,0,1619,1,1.000617283950617,1.0,1.000617283950617
