,Term,Ndeᵗᵢ,Ndeᶜᵗ,Ndᶜᵗeᵗᵢ,Eᵗ,LPM,TGM,LRM
0,"('lo', 'reumatismo', 'crónico')",6,0,3422,1,1.0017502917152858,1.0,1.0017502917152858
1,"('la', 'fiebre', 'reumatica')",6,0,3422,1,1.0017502917152858,1.0,1.0017502917152858
2,"('de', 'material', 'dental')",5,0,3423,1,1.0014585764294048,1.0,1.0014585764294048
3,"('artritis', 'reumática')",4,0,3424,1,1.0011668611435238,1.0,1.0011668611435238
4,"('de', 'situación', 'clínica')",4,0,3424,1,1.0011668611435238,1.0,1.0011668611435238
5,"('situación', 'clínica', 'difícil')",4,0,3424,1,1.0011668611435238,1.0,1.0011668611435238
6,"('terapéutica', 'antirreumática')",4,0,3424,1,1.0011668611435238,1.0,1.0011668611435238
7,"('artritis', 'y', 'artrosis')",4,0,3424,1,1.0011668611435238,1.0,1.0011668611435238
8,"('la', 'artritis', 'reumática')",4,0,3424,1,1.0011668611435238,1.0,1.0011668611435238
9,"('c.', 'p.')",3,0,3425,1,1.000875145857643,1.0,1.000875145857643
10,"('p.', 'c.', 'p.')",3,0,3425,1,1.000875145857643,1.0,1.000875145857643
11,"('reumatismo', 'psicógeno')",3,0,3425,1,1.000875145857643,1.0,1.000875145857643
12,"('p.', 'c.')",3,0,3425,1,1.000875145857643,1.0,1.000875145857643
13,"('lípido', 'del', 'líquido')",3,0,3425,1,1.000875145857643,1.0,1.000875145857643
14,metacortandracina,3,0,3425,1,1.000875145857643,1.0,1.000875145857643
15,"('la', 'p.', 'c.')",3,0,3425,1,1.000875145857643,1.0,1.000875145857643
16,"('juvenil', 'de', 'comienzo')",3,0,3425,1,1.000875145857643,1.0,1.000875145857643
17,"('lo', 'padecimiento', 'reumático')",3,0,3425,1,1.000875145857643,1.0,1.000875145857643
18,"('lo', 'enfermo', 'reumático')",3,0,3425,1,1.000875145857643,1.0,1.000875145857643
19,"('la', 'terapéutica', 'antirreumática')",3,0,3425,1,1.000875145857643,1.0,1.000875145857643
20,"('práctica', 'reumatológica')",3,0,3425,1,1.000875145857643,1.0,1.000875145857643
21,"('tratamiento', 'de', 'situación')",3,0,3425,1,1.000875145857643,1.0,1.000875145857643
22,"('con', 'tratamiento', 'biológico')",3,0,3425,1,1.000875145857643,1.0,1.000875145857643
23,"('la', 'práctica', 'reumatológica')",3,0,3425,1,1.000875145857643,1.0,1.000875145857643
24,"('manifestación', 'extraarticular')",3,0,3425,1,1.000875145857643,1.0,1.000875145857643
25,"('aplicación', 'reumatológica')",2,0,3426,1,1.000583430571762,1.0,1.000583430571762
26,"('edema', 'subcutáneo')",2,0,3426,1,1.000583430571762,1.0,1.000583430571762
27,"('ester', 'trimetilgálico')",2,0,3426,1,1.000583430571762,1.0,1.000583430571762
28,"('lo', '16', 'alpha')",2,0,3426,1,1.000583430571762,1.0,1.000583430571762
29,"('en', 'dermatomiositis', 'juvenil')",2,0,3426,1,1.000583430571762,1.0,1.000583430571762
30,"('potencia', 'antirreumática')",2,0,3426,1,1.000583430571762,1.0,1.000583430571762
31,"('incrementada', 'la', 'mortalidad')",2,0,3426,1,1.000583430571762,1.0,1.000583430571762
32,"('reumatoidea', 'con', 'prednisona')",2,0,3426,1,1.000583430571762,1.0,1.000583430571762
33,"('aspecto', 'clínico', 'novedoso')",2,0,3426,1,1.000583430571762,1.0,1.000583430571762
34,"('clínico', 'novedoso')",2,0,3426,1,1.000583430571762,1.0,1.000583430571762
35,"('reumática', 'con', 'prednisona')",2,0,3426,1,1.000583430571762,1.0,1.000583430571762
36,trimetilgálico,2,0,3426,1,1.000583430571762,1.0,1.000583430571762
37,"('seri', 'de', 'compuesto')",2,0,3426,1,1.000583430571762,1.0,1.000583430571762
38,"('de', 'compuesto', 'antiinflamatorio')",2,0,3426,1,1.000583430571762,1.0,1.000583430571762
39,"('su', 'potencia', 'antirreumática')",2,0,3426,1,1.000583430571762,1.0,1.000583430571762
40,rumalón,2,0,3426,1,1.000583430571762,1.0,1.000583430571762
41,"('reumatología', 'clínica')",2,0,3426,1,1.000583430571762,1.0,1.000583430571762
42,dehidrocortisona,2,0,3426,1,1.000583430571762,1.0,1.000583430571762
43,"('delta', '1-')",2,0,3426,1,1.000583430571762,1.0,1.000583430571762
44,"('1-', 'dehidrocortisona')",2,0,3426,1,1.000583430571762,1.0,1.000583430571762
45,enfermedades_reumática,2,0,3426,1,1.000583430571762,1.0,1.000583430571762
46,"('de', 'líquido', 'sinovial')",2,0,3426,1,1.000583430571762,1.0,1.000583430571762
47,"('reumatoide', 'con', 'prednisolona')",2,0,3426,1,1.000583430571762,1.0,1.000583430571762
48,"('la', 'delta', '1-')",2,0,3426,1,1.000583430571762,1.0,1.000583430571762
49,reumatología_clínica,2,0,3426,1,1.000583430571762,1.0,1.000583430571762
50,"('compuesto', 'antiinflamatorio')",2,0,3426,1,1.000583430571762,1.0,1.000583430571762
51,"('artropatía', 'microcristalina')",2,0,3426,1,1.000583430571762,1.0,1.000583430571762
52,acr,2,0,3426,1,1.000583430571762,1.0,1.000583430571762
53,"('16', 'alpha')",2,0,3426,1,1.000583430571762,1.0,1.000583430571762
54,"('reumatismo', 'crónico', 'degenerativo')",2,0,3426,1,1.000583430571762,1.0,1.000583430571762
55,"('artritis', 'reumatoädea')",2,0,3426,1,1.000583430571762,1.0,1.000583430571762
56,"('estudio', 'de', 'eritroquinética')",2,0,3426,1,1.000583430571762,1.0,1.000583430571762
57,"('alguno', 'proceso', 'reumático')",2,0,3426,1,1.000583430571762,1.0,1.000583430571762
58,"('eritroquinética', 'en', 'alguna')",2,0,3426,1,1.000583430571762,1.0,1.000583430571762
59,"('reumatismo', 'infantil')",2,0,3426,1,1.000583430571762,1.0,1.000583430571762
60,"('rheumatoid', 'arthritis')",2,0,3426,1,1.000583430571762,1.0,1.000583430571762
61,"('terapéutica', 'reumatológica')",2,0,3426,1,1.000583430571762,1.0,1.000583430571762
62,"('unidad', 'de', 'densitometría')",2,0,3426,1,1.000583430571762,1.0,1.000583430571762
63,"('adquisición', 'en', 'terapéutica')",2,0,3426,1,1.000583430571762,1.0,1.000583430571762
64,auroterapia,2,0,3426,1,1.000583430571762,1.0,1.000583430571762
65,"('inflamación', 'reumatóide')",2,0,3426,1,1.000583430571762,1.0,1.000583430571762
66,"('intraarticular', 'de', 'hidrocortisona')",2,0,3426,1,1.000583430571762,1.0,1.000583430571762
67,"('reumatoide', 'con', 'tratamiento')",2,0,3426,1,1.000583430571762,1.0,1.000583430571762
68,"('biológica', 'en', 'espondiloartritis')",2,0,3426,1,1.000583430571762,1.0,1.000583430571762
69,ana,2,0,3426,1,1.000583430571762,1.0,1.000583430571762
70,eritroquinética,2,0,3426,1,1.000583430571762,1.0,1.000583430571762
71,reumatoädea,2,0,3426,1,1.000583430571762,1.0,1.000583430571762
72,"('investigación', 'en', 'reumatología')",2,0,3426,1,1.000583430571762,1.0,1.000583430571762
73,dactilitis,2,0,3426,1,1.000583430571762,1.0,1.000583430571762
74,reumatólogica,2,0,3426,1,1.000583430571762,1.0,1.000583430571762
75,"('delta', '1-', 'dehidrocortisona')",2,0,3426,1,1.000583430571762,1.0,1.000583430571762
76,"('reumático', 'y', 'articular')",2,0,3426,1,1.000583430571762,1.0,1.000583430571762
77,"('primer', 'documento')",2,0,3426,1,1.000583430571762,1.0,1.000583430571762
78,"('con', 'fármaco', 'modificador')",2,0,3426,1,1.000583430571762,1.0,1.000583430571762
