,Term,Ndeᵗᵢ,Ndeᶜᵗ,Ndᶜᵗeᵗᵢ,Eᵗ,LPM,TGM,LRM
0,"('del', 'complejo', 'conjuntivo')",1,0,292,1,1.0034129692832765,1.0,1.0034129692832765
1,"('el', 'equipo', 'ortodoncico-quirurgico')",1,0,292,1,1.0034129692832765,1.0,1.0034129692832765
2,colegio_americano_de_cirujano,1,0,292,1,1.0034129692832765,1.0,1.0034129692832765
3,"('preoperatoria', 'mediante')",1,0,292,1,1.0034129692832765,1.0,1.0034129692832765
4,"('de', 'experiencia', 'proctológica')",1,0,292,1,1.0034129692832765,1.0,1.0034129692832765
5,"('experiencia', 'proctológica')",1,0,292,1,1.0034129692832765,1.0,1.0034129692832765
6,"('estudio', 'en', 'cirugia')",1,0,292,1,1.0034129692832765,1.0,1.0034129692832765
7,"('texto', 'especializado')",1,0,292,1,1.0034129692832765,1.0,1.0034129692832765
8,ortodoncico-quirurgico,1,0,292,1,1.0034129692832765,1.0,1.0034129692832765
9,"('anastomosis', 'tra', 'cirugía')",1,0,292,1,1.0034129692832765,1.0,1.0034129692832765
10,"('equipo', 'ortodoncico-quirurgico')",1,0,292,1,1.0034129692832765,1.0,1.0034129692832765
11,"('of', 'surgeon')",1,0,292,1,1.0034129692832765,1.0,1.0034129692832765
12,"('distinta', 'escuela')",1,0,292,1,1.0034129692832765,1.0,1.0034129692832765
13,"('de', 'anastomosis', 'tra')",1,0,292,1,1.0034129692832765,1.0,1.0034129692832765
14,"('reunión', 'del', 'colegio_americano_de_cirujano')",1,0,292,1,1.0034129692832765,1.0,1.0034129692832765
15,john_arderne,1,0,292,1,1.0034129692832765,1.0,1.0034129692832765
16,"('manejo', 'de', 'dehiscencia')",1,0,292,1,1.0034129692832765,1.0,1.0034129692832765
17,"('primera', 'cita')",1,0,292,1,1.0034129692832765,1.0,1.0034129692832765
18,"('con', 'sistema', 'endo-sponge')",1,0,292,1,1.0034129692832765,1.0,1.0034129692832765
19,"('antiinflamatoria', 'en', 'proctología')",1,0,292,1,1.0034129692832765,1.0,1.0034129692832765
20,"('endoluminal', 'con', 'sistema')",1,0,292,1,1.0034129692832765,1.0,1.0034129692832765
21,"('local', 'de', 'adenocarcinoma')",1,0,292,1,1.0034129692832765,1.0,1.0034129692832765
22,"('recto', 'tra')",1,0,292,1,1.0034129692832765,1.0,1.0034129692832765
23,"('la', 'distinta', 'escuela')",1,0,292,1,1.0034129692832765,1.0,1.0034129692832765
24,"('plataforma', 'educativa')",1,0,292,1,1.0034129692832765,1.0,1.0034129692832765
25,"('preoperatoria', 'mediante', 'arpón')",1,0,292,1,1.0034129692832765,1.0,1.0034129692832765
26,"('evolución', 'y', 'continuidad')",1,0,292,1,1.0034129692832765,1.0,1.0034129692832765
27,"('la', 'cirugía', 'transanal')",1,0,292,1,1.0034129692832765,1.0,1.0034129692832765
28,"('de', 'recto', 'tra')",1,0,292,1,1.0034129692832765,1.0,1.0034129692832765
29,"('duodeno-cava', 'tra', 'tratamiento')",1,0,292,1,1.0034129692832765,1.0,1.0034129692832765
30,"('fístula', 'duodeno-cava', 'tra')",1,0,292,1,1.0034129692832765,1.0,1.0034129692832765
31,"('recto', 'tra', 'amputación')",1,0,292,1,1.0034129692832765,1.0,1.0034129692832765
32,"('duodeno-cava', 'tra')",1,0,292,1,1.0034129692832765,1.0,1.0034129692832765
33,"('fístula', 'duodeno-cava')",1,0,292,1,1.0034129692832765,1.0,1.0034129692832765
34,duodeno-cava,1,0,292,1,1.0034129692832765,1.0,1.0034129692832765
35,"('localización', 'preoperatoria', 'mediante')",1,0,292,1,1.0034129692832765,1.0,1.0034129692832765
36,"('su', 'primer', 'factor')",1,0,292,1,1.0034129692832765,1.0,1.0034129692832765
37,"('cirujano', '2.0')",1,0,292,1,1.0034129692832765,1.0,1.0034129692832765
38,"('transanal', 'como', 'herramienta')",1,0,292,1,1.0034129692832765,1.0,1.0034129692832765
39,monasterio_de_guadalupe,1,0,292,1,1.0034129692832765,1.0,1.0034129692832765
40,"('especializado', 'en', 'cirugía')",1,0,292,1,1.0034129692832765,1.0,1.0034129692832765
41,consigue,1,0,292,1,1.0034129692832765,1.0,1.0034129692832765
42,"('impresión', 'de', 'viaje')",1,0,292,1,1.0034129692832765,1.0,1.0034129692832765
43,"('primero', 'texto', 'especializado')",1,0,292,1,1.0034129692832765,1.0,1.0034129692832765
44,"('primer', 'factor')",1,0,292,1,1.0034129692832765,1.0,1.0034129692832765
45,"('consigue', 'su', 'primer')",1,0,292,1,1.0034129692832765,1.0,1.0034129692832765
46,"('una', 'plataforma', 'educativa')",1,0,292,1,1.0034129692832765,1.0,1.0034129692832765
47,"('american_college', 'of', 'surgeon')",1,0,292,1,1.0034129692832765,1.0,1.0034129692832765
48,"('terapia', 'endoscópica', 'endoluminal')",1,0,292,1,1.0034129692832765,1.0,1.0034129692832765
49,"('juan', 'volta')",1,0,292,1,1.0034129692832765,1.0,1.0034129692832765
50,"('complejo', 'conjuntivo')",1,0,292,1,1.0034129692832765,1.0,1.0034129692832765
51,william_ernest_mil,1,0,292,1,1.0034129692832765,1.0,1.0034129692832765
52,"('coloproctología', 'en', 'europa')",1,0,292,1,1.0034129692832765,1.0,1.0034129692832765
53,"('certificación', 'en', 'coloproctología')",1,0,292,1,1.0034129692832765,1.0,1.0034129692832765
54,"('ética', 'y', 'cirujano')",1,0,292,1,1.0034129692832765,1.0,1.0034129692832765
55,"('medicación', 'antiinflamatoria')",1,0,292,1,1.0034129692832765,1.0,1.0034129692832765
56,"('investiga', 'en', 'cáncer')",1,0,292,1,1.0034129692832765,1.0,1.0034129692832765
57,santiago_tamames_escobar,1,0,292,1,1.0034129692832765,1.0,1.0034129692832765
58,"('enseñanza', 'para', 'rectosigmoidoscopia')",1,0,292,1,1.0034129692832765,1.0,1.0034129692832765
59,"('mira', 'de', 'enseñanza')",1,0,292,1,1.0034129692832765,1.0,1.0034129692832765
60,baró,1,0,292,1,1.0034129692832765,1.0,1.0034129692832765
61,dagger,1,0,292,1,1.0034129692832765,1.0,1.0034129692832765
62,"('arpón', 'de', 'recidiva')",1,0,292,1,1.0034129692832765,1.0,1.0034129692832765
63,"('anastomosis', 'tra')",1,0,292,1,1.0034129692832765,1.0,1.0034129692832765
64,"('endoscópica', 'endoluminal')",1,0,292,1,1.0034129692832765,1.0,1.0034129692832765
65,"('volta', 'baró')",1,0,292,1,1.0034129692832765,1.0,1.0034129692832765
66,"('la', 'medicación', 'antiinflamatoria')",1,0,292,1,1.0034129692832765,1.0,1.0034129692832765
67,"('juan', 'volta', 'baró')",1,0,292,1,1.0034129692832765,1.0,1.0034129692832765
68,"('presidente', 'de', 'senpe')",1,0,292,1,1.0034129692832765,1.0,1.0034129692832765
69,"('11', 'de', 'enero')",1,0,292,1,1.0034129692832765,1.0,1.0034129692832765
70,"('enero', 'de', '2011')",1,0,292,1,1.0034129692832765,1.0,1.0034129692832765
71,"('sistema', 'endo-sponge')",1,0,292,1,1.0034129692832765,1.0,1.0034129692832765
72,endo-sponge,1,0,292,1,1.0034129692832765,1.0,1.0034129692832765
73,"('linfático', 'y', 'reticular')",2,1,291,2,0.6734926052332195,0.8381123102211991,0.5644624432889077
74,"('nota', 'de', 'proctologia')",3,3,290,2,0.5102389078498294,0.8237085656111178,0.4202881589039663
75,"('rectitis', 'y', 'rectocolitis')",2,2,291,2,0.5068259385665529,0.8237085656111178,0.4174768668711638
76,"('coloproctología', 'se', 'asocian')",1,1,292,2,0.5034129692832765,0.8237085656111178,0.4146655748383614
77,"('dedicación', 'en', 'coloproctología')",1,1,292,2,0.5034129692832765,0.8237085656111178,0.4146655748383614
78,"('acreditación', 'y', 'dedicación')",1,1,292,2,0.5034129692832765,0.8237085656111178,0.4146655748383614
79,"('prioridad', '1')",1,1,292,2,0.5034129692832765,0.8237085656111178,0.4146655748383614
80,"('asocian', 'a', 'bueno')",1,1,292,2,0.5034129692832765,0.8237085656111178,0.4146655748383614
81,"('con', 'doppler', 'esofágico')",1,1,292,2,0.5034129692832765,0.8237085656111178,0.4146655748383614
82,"('frente', 'a', 'metronidazol')",1,1,292,2,0.5034129692832765,0.8237085656111178,0.4146655748383614
83,"('gentamicina', 'en', 'cirugía')",1,1,292,2,0.5034129692832765,0.8237085656111178,0.4146655748383614
84,"('radiológico', 'con', 'contraste')",1,1,292,2,0.5034129692832765,0.8237085656111178,0.4146655748383614
85,"('cirugía', 'colorrectal', 'urgente')",1,1,292,2,0.5034129692832765,0.8237085656111178,0.4146655748383614
86,"('bueno', 'cuidado')",1,1,292,2,0.5034129692832765,0.8237085656111178,0.4146655748383614
87,"('de', 'piperacilina-tazobactam', 'frente')",1,1,292,2,0.5034129692832765,0.8237085656111178,0.4146655748383614
