,Term,Ndeᵗᵢ,Ndeᶜᵗ,Ndᶜᵗeᵗᵢ,Eᵗ,LPM,TGM,LRM
0,"('ejercicio', 'en', 'rata')",1,0,331,1,1.0030120481927711,1.0,1.0030120481927711
1,"('urbana', 'y', 'nativa')",1,0,331,1,1.0030120481927711,1.0,1.0030120481927711
2,"('la', 'composición', 'fibrilar')",1,0,331,1,1.0030120481927711,1.0,1.0030120481927711
3,"('electrocardiográfico', 'en', 'deportista')",1,0,331,1,1.0030120481927711,1.0,1.0030120481927711
4,psico-físico,1,0,331,1,1.0030120481927711,1.0,1.0030120481927711
5,"('aspecto', 'psico-físico')",1,0,331,1,1.0030120481927711,1.0,1.0030120481927711
6,"('su', 'aspecto', 'psico-físico')",1,0,331,1,1.0030120481927711,1.0,1.0030120481927711
7,"('medicina', 'y', 'deporte')",1,0,331,1,1.0030120481927711,1.0,1.0030120481927711
8,índuce,1,0,331,1,1.0030120481927711,1.0,1.0030120481927711
9,"('del', 'músculo', 'longisimo')",1,0,331,1,1.0030120481927711,1.0,1.0030120481927711
10,"('músculo', 'longisimo', 'lumbar')",1,0,331,1,1.0030120481927711,1.0,1.0030120481927711
11,abecuidad,1,0,331,1,1.0030120481927711,1.0,1.0030120481927711
12,"('lumbar', 'a', 'entrenamiento')",1,0,331,1,1.0030120481927711,1.0,1.0030120481927711
13,athleta,1,0,331,1,1.0030120481927711,1.0,1.0030120481927711
14,"('aeróbica', 'como', 'índuce')",1,0,331,1,1.0030120481927711,1.0,1.0030120481927711
15,"('índuce', 'de', 'abecuidad')",1,0,331,1,1.0030120481927711,1.0,1.0030120481927711
16,"('de', 'abecuidad', 'física')",1,0,331,1,1.0030120481927711,1.0,1.0030120481927711
17,"('longisimo', 'lumbar')",1,0,331,1,1.0030120481927711,1.0,1.0030120481927711
18,"('pedestre', 'en', 'puerto_rico')",1,0,331,1,1.0030120481927711,1.0,1.0030120481927711
19,"('músculo', 'longisimo')",1,0,331,1,1.0030120481927711,1.0,1.0030120481927711
20,"('maratón', 'popular')",1,0,331,1,1.0030120481927711,1.0,1.0030120481927711
21,"('institucionalización', 'en', 'córdoba')",1,0,331,1,1.0030120481927711,1.0,1.0030120481927711
22,"('su', 'temprano', 'proceso')",1,0,331,1,1.0030120481927711,1.0,1.0030120481927711
23,"('práctica', 'del', 'fútbol')",1,0,331,1,1.0030120481927711,1.0,1.0030120481927711
24,"('población', 'leucocitaria')",1,0,331,1,1.0030120481927711,1.0,1.0030120481927711
25,"('la', 'población', 'leucocitaria')",1,0,331,1,1.0030120481927711,1.0,1.0030120481927711
26,"('temprano', 'proceso')",1,0,331,1,1.0030120481927711,1.0,1.0030120481927711
27,"('la', 'maratón', 'popular')",1,0,331,1,1.0030120481927711,1.0,1.0030120481927711
28,"('composición', 'fibrilar')",1,0,331,1,1.0030120481927711,1.0,1.0030120481927711
29,"('popular', 'en', 'valencia')",1,0,331,1,1.0030120481927711,1.0,1.0030120481927711
30,"('técnica', 'relacionada')",1,0,331,1,1.0030120481927711,1.0,1.0030120481927711
31,"('recomendación', 'técnica', 'relacionada')",1,0,331,1,1.0030120481927711,1.0,1.0030120481927711
32,"('programación', 'y', 'celebración')",1,0,331,1,1.0030120481927711,1.0,1.0030120481927711
33,"('celebración', 'de', 'carrera')",1,0,331,1,1.0030120481927711,1.0,1.0030120481927711
34,longisimo,1,0,331,1,1.0030120481927711,1.0,1.0030120481927711
35,"('física', 'en', 'muestra')",1,0,331,1,1.0030120481927711,1.0,1.0030120481927711
36,"('abecuidad', 'física')",1,0,331,1,1.0030120481927711,1.0,1.0030120481927711
37,"('grupo', 'de', 'athleta')",1,0,331,1,1.0030120481927711,1.0,1.0030120481927711
38,"('papel', 'del', 'huevo')",1,0,331,1,1.0030120481927711,1.0,1.0030120481927711
39,"('aficionado', 'en', 'niño')",1,0,331,1,1.0030120481927711,1.0,1.0030120481927711
40,"('del', 'deporte', 'aficionado')",1,0,331,1,1.0030120481927711,1.0,1.0030120481927711
41,"('deporte', 'aficionado')",1,0,331,1,1.0030120481927711,1.0,1.0030120481927711
42,"('persona', 'físicamente')",1,0,331,1,1.0030120481927711,1.0,1.0030120481927711
43,"('athleta', 'de', 'selección')",1,0,331,1,1.0030120481927711,1.0,1.0030120481927711
44,"('influencia', 'del', 'litio')",1,0,331,1,1.0030120481927711,1.0,1.0030120481927711
45,"('cuestión', 'sobre', 'medicina')",1,0,331,1,1.0030120481927711,1.0,1.0030120481927711
46,"('tra', 'ejercicio')",1,0,331,1,1.0030120481927711,1.0,1.0030120481927711
47,"('ayuda', 'ergogénica')",1,0,331,1,1.0030120481927711,1.0,1.0030120481927711
48,ergogénica,1,0,331,1,1.0030120481927711,1.0,1.0030120481927711
49,"('litio', 'sobre', 'calcio')",1,0,331,1,1.0030120481927711,1.0,1.0030120481927711
50,"('fósforo', 'inorgánico', 'sérico')",1,0,331,1,1.0030120481927711,1.0,1.0030120481927711
51,"('sobre', 'medicina', 'deportiva')",1,0,331,1,1.0030120481927711,1.0,1.0030120481927711
52,"('persona', 'físicamente', 'activa')",1,0,331,1,1.0030120481927711,1.0,1.0030120481927711
53,pretemporada,1,0,331,1,1.0030120481927711,1.0,1.0030120481927711
54,"('inorgánico', 'sérico', 'tra')",1,0,331,1,1.0030120481927711,1.0,1.0030120481927711
55,"('deportista', 'y', 'persona')",1,0,331,1,1.0030120481927711,1.0,1.0030120481927711
56,"('inorgánico', 'sérico')",1,0,331,1,1.0030120481927711,1.0,1.0030120481927711
57,"('experiencia', 'psicológica')",1,0,331,1,1.0030120481927711,1.0,1.0030120481927711
58,"('selección', 'deportiva')",1,0,331,1,1.0030120481927711,1.0,1.0030120481927711
59,"('una', 'selección', 'deportiva')",1,0,331,1,1.0030120481927711,1.0,1.0030120481927711
60,"('sérico', 'tra', 'ejercicio')",1,0,331,1,1.0030120481927711,1.0,1.0030120481927711
61,"('su', 'problema', 'ginecológico')",1,0,331,1,1.0030120481927711,1.0,1.0030120481927711
62,"('la', 'xix', 'olimpiada')",1,0,331,1,1.0030120481927711,1.0,1.0030120481927711
63,"('xix', 'olimpiada')",1,0,331,1,1.0030120481927711,1.0,1.0030120481927711
64,"('el', 'reconocimiento', 'médico')",1,0,331,1,1.0030120481927711,1.0,1.0030120481927711
65,antroposcopia,1,0,331,1,1.0030120481927711,1.0,1.0030120481927711
66,"('actual', 'del', 'doping')",1,0,331,1,1.0030120481927711,1.0,1.0030120481927711
67,"('la', 'tendencia', 'actual')",1,0,331,1,1.0030120481927711,1.0,1.0030120481927711
68,"('sólo', 'una', 'firma')",1,0,331,1,1.0030120481927711,1.0,1.0030120481927711
69,doping,1,0,331,1,1.0030120481927711,1.0,1.0030120481927711
70,"('médico', 'de', 'pretemporada')",1,0,331,1,1.0030120481927711,1.0,1.0030120481927711
71,"('dieta', 'de', 'deportista')",1,0,331,1,1.0030120481927711,1.0,1.0030120481927711
72,"('de', 'carrera', 'pedestre')",2,1,330,2,0.6726907630522088,0.8381123102211991,0.563790409486148
73,"('carrera', 'pedestre')",2,1,330,2,0.6726907630522088,0.8381123102211991,0.563790409486148
74,"('protector', 'bucal')",3,3,329,2,0.5090361445783133,0.8237085656111178,0.419297432494816
75,"('lo', 'aparato', 'detector')",2,2,330,2,0.5060240963855421,0.8237085656111178,0.4168163825983969
76,"('fundan', 'lo', 'aparato')",2,2,330,2,0.5060240963855421,0.8237085656111178,0.4168163825983969
77,"('detector', 'y', 'medidor')",2,2,330,2,0.5060240963855421,0.8237085656111178,0.4168163825983969
78,"('radiactividad', 'en', 'general')",2,2,330,2,0.5060240963855421,0.8237085656111178,0.4168163825983969
79,"('contador', 'de', 'impulso')",2,2,330,2,0.5060240963855421,0.8237085656111178,0.4168163825983969
80,"('de', 'diferente', 'modelo')",2,2,330,2,0.5060240963855421,0.8237085656111178,0.4168163825983969
81,"('doble', 'guante')",2,2,330,2,0.5060240963855421,0.8237085656111178,0.4168163825983969
82,"('ventilación', 'nasal')",2,2,330,2,0.5060240963855421,0.8237085656111178,0.4168163825983969
83,"('aparato', 'detector')",2,2,330,2,0.5060240963855421,0.8237085656111178,0.4168163825983969
84,"('uso', 'del', 'casco')",2,2,330,2,0.5060240963855421,0.8237085656111178,0.4168163825983969
85,"('del', 'doble', 'guante')",2,2,330,2,0.5060240963855421,0.8237085656111178,0.4168163825983969
86,"('mobiliario', 'infantil')",1,1,331,2,0.5030120481927711,0.8237085656111178,0.414335332701978
87,"('odontologia', 'y', 'deporte')",1,1,331,2,0.5030120481927711,0.8237085656111178,0.414335332701978
88,"('diverso', 'deporte', 'nueva')",1,1,331,2,0.5030120481927711,0.8237085656111178,0.414335332701978
89,"('uso', 'de', 'protección')",1,1,331,2,0.5030120481927711,0.8237085656111178,0.414335332701978
90,"('la', 'silla', 'infantil')",1,1,331,2,0.5030120481927711,0.8237085656111178,0.414335332701978
91,"('protección', 'auditiva')",1,1,331,2,0.5030120481927711,0.8237085656111178,0.414335332701978
92,"('exposición', 'biológica', 'accidental')",1,1,331,2,0.5030120481927711,0.8237085656111178,0.414335332701978
93,"('la', 'exposición', 'biológica')",1,1,331,2,0.5030120481927711,0.8237085656111178,0.414335332701978
94,bonavena,1,1,331,2,0.5030120481927711,0.8237085656111178,0.414335332701978
95,"('de', 'protección', 'auditiva')",1,1,331,2,0.5030120481927711,0.8237085656111178,0.414335332701978
96,sobrun,1,1,331,2,0.5030120481927711,0.8237085656111178,0.414335332701978
97,"('frecuente', 'en', 'diverso')",1,1,331,2,0.5030120481927711,0.8237085656111178,0.414335332701978
98,"('formación', 'para', 'prevenir')",1,1,331,2,0.5030120481927711,0.8237085656111178,0.414335332701978
99,"('bioseguridad', 'y', 'formación')",1,1,331,2,0.5030120481927711,0.8237085656111178,0.414335332701978
100,"('sustancia', 'para', 'incrementar')",1,1,331,2,0.5030120481927711,0.8237085656111178,0.414335332701978
101,"('incrementar', 'el', 'rendimiento')",1,1,331,2,0.5030120481927711,0.8237085656111178,0.414335332701978
102,"('deporte', 'nueva', 'orientación')",1,1,331,2,0.5030120481927711,0.8237085656111178,0.414335332701978
103,"('mordida', 'y', 'ferula')",1,1,331,2,0.5030120481927711,0.8237085656111178,0.414335332701978
