,Term,Ndeᵗᵢ,Ndeᶜᵗ,Ndᶜᵗeᵗᵢ,Eᵗ,LPM,TGM,LRM
0,"('habilidad', 'no', 'técnica')",2,0,1172,1,1.0017035775127767,1.0,1.0017035775127767
1,"('del', 'arco', 'cigomático')",2,0,1172,1,1.0017035775127767,1.0,1.0017035775127767
2,"('cirujano', 'plástico')",2,0,1172,1,1.0017035775127767,1.0,1.0017035775127767
3,"('plástico', 'de', 'reparación')",1,0,1173,1,1.0008517887563884,1.0,1.0008517887563884
4,"('mamario', 'con', 'epiplón')",1,0,1173,1,1.0008517887563884,1.0,1.0008517887563884
5,"('acrälica', 'en', 'cirugäa')",1,0,1173,1,1.0008517887563884,1.0,1.0008517887563884
6,blefarochalasis,1,0,1173,1,1.0008517887563884,1.0,1.0008517887563884
7,"('hipoplasia', 'mamaria')",1,0,1173,1,1.0008517887563884,1.0,1.0008517887563884
8,"('mamaria', 'unilateral')",1,0,1173,1,1.0008517887563884,1.0,1.0008517887563884
9,"('hipoplasia', 'mamaria', 'unilateral')",1,0,1173,1,1.0008517887563884,1.0,1.0008517887563884
10,"('relleno', 'mamario')",1,0,1173,1,1.0008517887563884,1.0,1.0008517887563884
11,"('mayor', 'trasplantado')",1,0,1173,1,1.0008517887563884,1.0,1.0008517887563884
12,"('con', 'epiplón', 'mayor')",1,0,1173,1,1.0008517887563884,1.0,1.0008517887563884
13,"('arruga', 'glabelar')",1,0,1173,1,1.0008517887563884,1.0,1.0008517887563884
14,"('epiplón', 'mayor', 'trasplantado')",1,0,1173,1,1.0008517887563884,1.0,1.0008517887563884
15,"('conducto', 'inguinal')",1,0,1173,1,1.0008517887563884,1.0,1.0008517887563884
16,"('restauración', 'del', 'conducto')",1,0,1173,1,1.0008517887563884,1.0,1.0008517887563884
17,"('del', 'conducto', 'inguinal')",1,0,1173,1,1.0008517887563884,1.0,1.0008517887563884
18,"('en', 'cirugäa', 'plastica')",1,0,1173,1,1.0008517887563884,1.0,1.0008517887563884
19,"('cirugäa', 'plastica', 'facial')",1,0,1173,1,1.0008517887563884,1.0,1.0008517887563884
20,"('geniogloso', 'técnica', 'personal')",1,0,1173,1,1.0008517887563884,1.0,1.0008517887563884
21,"('la', 'resina', 'acrälica')",1,0,1173,1,1.0008517887563884,1.0,1.0008517887563884
22,"('plastica', 'facial')",1,0,1173,1,1.0008517887563884,1.0,1.0008517887563884
23,"('mioplastia', 'de', 'geniogloso')",1,0,1173,1,1.0008517887563884,1.0,1.0008517887563884
24,"('cirugäa', 'plastica')",1,0,1173,1,1.0008517887563884,1.0,1.0008517887563884
25,"('plástica', 'de', 'aumento')",1,0,1173,1,1.0008517887563884,1.0,1.0008517887563884
26,"('de', 'aumento', 'mamario')",1,0,1173,1,1.0008517887563884,1.0,1.0008517887563884
27,"('sociológico', 'y', 'psíquico')",1,0,1173,1,1.0008517887563884,1.0,1.0008517887563884
28,"('su', 'aspecto', 'estético')",1,0,1173,1,1.0008517887563884,1.0,1.0008517887563884
29,"('aspecto', 'estético')",1,0,1173,1,1.0008517887563884,1.0,1.0008517887563884
30,barcat,1,0,1173,1,1.0008517887563884,1.0,1.0008517887563884
31,"('polidactilia', 'preaxial')",1,0,1173,1,1.0008517887563884,1.0,1.0008517887563884
32,"('hipospadia', 'balánico')",1,0,1173,1,1.0008517887563884,1.0,1.0008517887563884
33,"('barcat', 'para', 'tratar')",1,0,1173,1,1.0008517887563884,1.0,1.0008517887563884
34,"('tratar', 'el', 'hipospadia')",1,0,1173,1,1.0008517887563884,1.0,1.0008517887563884
35,"('el', 'hipospadia', 'balánico')",1,0,1173,1,1.0008517887563884,1.0,1.0008517887563884
36,"('en', 'cirugía', 'estética')",1,0,1173,1,1.0008517887563884,1.0,1.0008517887563884
37,"('postoperatorio', 'de', 'blefarorridectomía')",1,0,1173,1,1.0008517887563884,1.0,1.0008517887563884
38,blefarorridectomía,1,0,1173,1,1.0008517887563884,1.0,1.0008517887563884
39,"('hemostasis', 'en', 'cirugia')",1,0,1173,1,1.0008517887563884,1.0,1.0008517887563884
40,acrälica,1,0,1173,1,1.0008517887563884,1.0,1.0008517887563884
41,"('resina', 'acrälica')",1,0,1173,1,1.0008517887563884,1.0,1.0008517887563884
42,"('de', 'geniogloso', 'técnica')",1,0,1173,1,1.0008517887563884,1.0,1.0008517887563884
