,Term,Ndeᵗᵢ,Ndeᶜᵗ,Ndᶜᵗeᵗᵢ,Eᵗ,LPM,TGM,LRM
0,"('de', 'cirujano', 'torácico')",2,0,4861,1,1.000411268764137,1.0,1.000411268764137
1,"('contraria', 'al', 'incremento')",1,0,4862,1,1.0002056343820689,1.0,1.0002056343820689
2,"('bronquial', 'tra', 'lobectomía')",1,0,4862,1,1.0002056343820689,1.0,1.0002056343820689
3,"('ectópico', 'intratorácico')",1,0,4862,1,1.0002056343820689,1.0,1.0002056343820689
4,"('pared', 'tóracoabdominal')",1,0,4862,1,1.0002056343820689,1.0,1.0002056343820689
5,"('venosa', 'en', 'portador')",1,0,4862,1,1.0002056343820689,1.0,1.0002056343820689
6,"('simpática', 'torácica')",1,0,4862,1,1.0002056343820689,1.0,1.0002056343820689
7,"('hepático', 'ectópico')",1,0,4862,1,1.0002056343820689,1.0,1.0002056343820689
8,intercamblo,1,0,4862,1,1.0002056343820689,1.0,1.0002056343820689
9,"('intercamblo', 'gaseoso')",1,0,4862,1,1.0002056343820689,1.0,1.0002056343820689
10,"('alteración', 'del', 'intercamblo')",1,0,4862,1,1.0002056343820689,1.0,1.0002056343820689
11,"('lobectomía', 'superior', 'derecha')",1,0,4862,1,1.0002056343820689,1.0,1.0002056343820689
12,"('del', 'intercamblo', 'gaseoso')",1,0,4862,1,1.0002056343820689,1.0,1.0002056343820689
13,"('del', 'malestar', 'emocional')",1,0,4862,1,1.0002056343820689,1.0,1.0002056343820689
14,"('cribado', 'del', 'malestar')",1,0,4862,1,1.0002056343820689,1.0,1.0002056343820689
15,"('tra', 'lobectomía', 'superior')",1,0,4862,1,1.0002056343820689,1.0,1.0002056343820689
16,"('arteria', 'bronquial', 'tra')",1,0,4862,1,1.0002056343820689,1.0,1.0002056343820689
17,"('do', 'aparelho', 'respiratório')",1,0,4862,1,1.0002056343820689,1.0,1.0002056343820689
18,"('xxvii', 'congreso_nacional')",1,0,4862,1,1.0002056343820689,1.0,1.0002056343820689
19,oveido,1,0,4862,1,1.0002056343820689,1.0,1.0002056343820689
20,"('1-4', 'de', 'junio')",1,0,4862,1,1.0002056343820689,1.0,1.0002056343820689
21,"('junio', 'de', '1994')",1,0,4862,1,1.0002056343820689,1.0,1.0002056343820689
22,"('entrada', 'y', 'salida')",1,0,4862,1,1.0002056343820689,1.0,1.0002056343820689
23,"('ectopia', 'torácica')",1,0,4862,1,1.0002056343820689,1.0,1.0002056343820689
24,"('cardíaca', 'en', 'concepción')",1,0,4862,1,1.0002056343820689,1.0,1.0002056343820689
25,"('bronquial', 'diagnosticada', 'incidentalmente')",1,0,4862,1,1.0002056343820689,1.0,1.0002056343820689
26,"('4.000', 'cirugía', 'cardíaca')",1,0,4862,1,1.0002056343820689,1.0,1.0002056343820689
