,Term,Ndeᵗᵢ,Ndeᶜᵗ,Ndᶜᵗeᵗᵢ,Eᵗ,LPM,TGM,LRM
0,"('la', 'luxación', 'recidivante')",4,0,6016,1,1.0006644518272425,1.0,1.0006644518272425
1,"('fractura', 'del', 'codo')",4,0,6016,1,1.0006644518272425,1.0,1.0006644518272425
2,"('loxoscelismo', 'sistémico')",4,0,6016,1,1.0006644518272425,1.0,1.0006644518272425
3,"('la', 'fractura', 'radicular')",3,0,6017,1,1.0004983388704318,1.0,1.0004983388704318
4,"('fractura', 'y', 'luxación')",3,0,6017,1,1.0004983388704318,1.0,1.0004983388704318
5,electrocución,3,0,6017,1,1.0004983388704318,1.0,1.0004983388704318
6,"('penetrante', 'del', 'tórax')",3,0,6017,1,1.0004983388704318,1.0,1.0004983388704318
7,"('intestino', 'sin', 'existencia')",2,0,6018,1,1.0003322259136214,1.0,1.0003322259136214
8,"('existencia', 'de', 'traumatismo')",2,0,6018,1,1.0003322259136214,1.0,1.0003322259136214
9,"('músculo', 'pterigoideo')",2,0,6018,1,1.0003322259136214,1.0,1.0003322259136214
10,"('evidencia', 'clara')",2,0,6018,1,1.0003322259136214,1.0,1.0003322259136214
11,"('limpieza', 'de', 'herida')",2,0,6018,1,1.0003322259136214,1.0,1.0003322259136214
12,"('intoxicación', 'por', 'mordedura')",2,0,6018,1,1.0003322259136214,1.0,1.0003322259136214
13,"('luxación', 'posterior')",2,0,6018,1,1.0003322259136214,1.0,1.0003322259136214
14,"('directo', 'abdominal')",2,0,6018,1,1.0003322259136214,1.0,1.0003322259136214
15,"('de', 'cambio', 'modic')",2,0,6018,1,1.0003322259136214,1.0,1.0003322259136214
16,"('contusión', 'torácica')",2,0,6018,1,1.0003322259136214,1.0,1.0003322259136214
17,"('luxación', 'y', 'fractura')",2,0,6018,1,1.0003322259136214,1.0,1.0003322259136214
18,"('del', 'fitobezoar', 'gástrico')",2,0,6018,1,1.0003322259136214,1.0,1.0003322259136214
19,"('de', 'cepa', 'brucelar')",2,0,6018,1,1.0003322259136214,1.0,1.0003322259136214
20,"('fitobezoar', 'gástrico')",2,0,6018,1,1.0003322259136214,1.0,1.0003322259136214
21,"('alineamiento', 'patelar')",2,0,6018,1,1.0003322259136214,1.0,1.0003322259136214
22,"('cambio', 'modic')",2,0,6018,1,1.0003322259136214,1.0,1.0003322259136214
23,"('evaluación', 'del', 'mal')",2,0,6018,1,1.0003322259136214,1.0,1.0003322259136214
24,"('extraño', 'alojado')",2,0,6018,1,1.0003322259136214,1.0,1.0003322259136214
25,"('región', 'perineal')",2,0,6018,1,1.0003322259136214,1.0,1.0003322259136214
26,"('dentro', 'del', 'conducto')",2,0,6018,1,1.0003322259136214,1.0,1.0003322259136214
27,"('cuerpo', 'extraño', 'alojado')",2,0,6018,1,1.0003322259136214,1.0,1.0003322259136214
28,pterigoideo,2,0,6018,1,1.0003322259136214,1.0,1.0003322259136214
29,araneismo,2,0,6018,1,1.0003322259136214,1.0,1.0003322259136214
30,"('body', 'packer')",2,0,6018,1,1.0003322259136214,1.0,1.0003322259136214
31,"('determinar', 'la', 'virulencia')",2,0,6018,1,1.0003322259136214,1.0,1.0003322259136214
32,"('cuello', 'del', 'femur')",2,0,6018,1,1.0003322259136214,1.0,1.0003322259136214
33,"('neumotórax', 'traumático', 'tratado')",2,0,6018,1,1.0003322259136214,1.0,1.0003322259136214
34,"('bomba', 'de', 'stedman')",2,0,6018,1,1.0003322259136214,1.0,1.0003322259136214
35,"('caso', 'de', 'neumotórax')",2,0,6018,1,1.0003322259136214,1.0,1.0003322259136214
36,"('cuello', 'del', 'pie')",2,0,6018,1,1.0003322259136214,1.0,1.0003322259136214
37,"('neumotórax', 'traumático')",2,0,6018,1,1.0003322259136214,1.0,1.0003322259136214
38,"('del', 'músculo', 'pterigoideo')",2,0,6018,1,1.0003322259136214,1.0,1.0003322259136214
39,"('fractura', 'intraarticular')",2,0,6018,1,1.0003322259136214,1.0,1.0003322259136214
40,stedman,2,0,6018,1,1.0003322259136214,1.0,1.0003322259136214
41,"('el', 'gran', 'quemado')",2,0,6018,1,1.0003322259136214,1.0,1.0003322259136214
42,"('cerrado', 'de', 'tórax')",2,0,6018,1,1.0003322259136214,1.0,1.0003322259136214
43,packer,2,0,6018,1,1.0003322259136214,1.0,1.0003322259136214
44,"('opacidad', 'del', 'hemitórax')",2,0,6018,1,1.0003322259136214,1.0,1.0003322259136214
45,"('derecho', 'por', 'contusión')",2,0,6018,1,1.0003322259136214,1.0,1.0003322259136214
46,"('una', 'mujer', 'embarazada')",2,0,6018,1,1.0003322259136214,1.0,1.0003322259136214
47,"('de', 'traumatismo', 'directo')",2,0,6018,1,1.0003322259136214,1.0,1.0003322259136214
48,"('traumatismo', 'directo', 'abdominal')",2,0,6018,1,1.0003322259136214,1.0,1.0003322259136214
49,"('sin', 'evidencia', 'clara')",2,0,6018,1,1.0003322259136214,1.0,1.0003322259136214
50,"('picadura', 'de', 'hormiga')",2,0,6018,1,1.0003322259136214,1.0,1.0003322259136214
51,"('cepa', 'brucelar')",2,0,6018,1,1.0003322259136214,1.0,1.0003322259136214
52,"('trauma', 'térmico')",2,0,6018,1,1.0003322259136214,1.0,1.0003322259136214
53,"('del', 'mal', 'alineamiento')",2,0,6018,1,1.0003322259136214,1.0,1.0003322259136214
54,"('la', 'fractura', 'acetabular')",2,0,6018,1,1.0003322259136214,1.0,1.0003322259136214
55,"('mal', 'alineamiento', 'patelar')",2,0,6018,1,1.0003322259136214,1.0,1.0003322259136214
56,"('lesión', 'traumatica')",2,0,6018,1,1.0003322259136214,1.0,1.0003322259136214
57,"('la', 'quemadura', 'grave')",2,0,6018,1,1.0003322259136214,1.0,1.0003322259136214
58,obturarlo,2,0,6018,1,1.0003322259136214,1.0,1.0003322259136214
59,"('herida', 'abdominal')",2,0,6018,1,1.0003322259136214,1.0,1.0003322259136214
60,"('fractura', 'de', 'incisivo')",2,0,6018,1,1.0003322259136214,1.0,1.0003322259136214
61,"('instrumento', 'fracturado', 'dentro')",2,0,6018,1,1.0003322259136214,1.0,1.0003322259136214
62,"('luxación', 'má')",2,0,6018,1,1.0003322259136214,1.0,1.0003322259136214
63,"('traumatismo', 'torácico', 'mediante')",2,0,6018,1,1.0003322259136214,1.0,1.0003322259136214
64,"('shock', 'por', 'quemadura')",2,0,6018,1,1.0003322259136214,1.0,1.0003322259136214
65,tendinitis,2,0,6018,1,1.0003322259136214,1.0,1.0003322259136214
66,"('guia', 'de', 'tratamiento')",2,0,6018,1,1.0003322259136214,1.0,1.0003322259136214
67,"('de', 'instrumento', 'fracturado')",2,0,6018,1,1.0003322259136214,1.0,1.0003322259136214
68,"('fracturado', 'dentro')",2,0,6018,1,1.0003322259136214,1.0,1.0003322259136214
69,"('instrumento', 'fracturado')",2,0,6018,1,1.0003322259136214,1.0,1.0003322259136214
70,"('torácico', 'mediante')",2,0,6018,1,1.0003322259136214,1.0,1.0003322259136214
