,Term,Ndeᵗᵢ,Ndeᶜᵗ,Ndᶜᵗeᵗᵢ,Eᵗ,LPM,TGM,LRM
0,"('la', 'concentración', 'mínima')",3,0,970,1,1.0030832476875642,1.0,1.0030832476875642
1,"('vaginal', 'de', 'candida')",2,0,971,1,1.002055498458376,1.0,1.002055498458376
2,"('fundacion', 'del', 'instituto_de_medicina_tropical')",2,0,971,1,1.002055498458376,1.0,1.002055498458376
3,"('anti-cryptococcu', 'neoforman')",2,0,971,1,1.002055498458376,1.0,1.002055498458376
4,"('procedente', 'de', 'santiago_de_cuba')",2,0,971,1,1.002055498458376,1.0,1.002055498458376
5,malation,2,0,971,1,1.002055498458376,1.0,1.002055498458376
6,hidroalcohólico,2,0,971,1,1.002055498458376,1.0,1.002055498458376
7,"('actividad', 'antimalárica')",2,0,971,1,1.002055498458376,1.0,1.002055498458376
8,"('esterasa', 'en', 'culex')",2,0,971,1,1.002055498458376,1.0,1.002055498458376
9,"('extracto', 'hidroalcohólico')",2,0,971,1,1.002055498458376,1.0,1.002055498458376
10,"('del', 'diagnóstico', 'coproparasitológico')",2,0,971,1,1.002055498458376,1.0,1.002055498458376
11,"('nistatina', 'de', 'aislamiento')",2,0,971,1,1.002055498458376,1.0,1.002055498458376
12,"('de', 'candida', 'frente')",2,0,971,1,1.002055498458376,1.0,1.002055498458376
13,"('en', '2', 'cepa')",2,0,971,1,1.002055498458376,1.0,1.002055498458376
14,"('candida', 'frente')",2,0,971,1,1.002055498458376,1.0,1.002055498458376
15,"('respiratorio', 'humano')",2,0,971,1,1.002055498458376,1.0,1.002055498458376
16,"('aislamiento', 'vaginal')",2,0,971,1,1.002055498458376,1.0,1.002055498458376
17,"('de', 'taenia', 'saginata')",2,0,971,1,1.002055498458376,1.0,1.002055498458376
18,"('tratamiento', 'de', 'taenia')",2,0,971,1,1.002055498458376,1.0,1.002055498458376
19,"('de', 'aislamiento', 'vaginal')",2,0,971,1,1.002055498458376,1.0,1.002055498458376
20,anti-cryptococcu,2,0,971,1,1.002055498458376,1.0,1.002055498458376
21,"('nucleotídica', 'de', 'vp1')",1,0,972,1,1.001027749229188,1.0,1.001027749229188
22,"('de', 'enterovirus', 'humano')",1,0,972,1,1.001027749229188,1.0,1.001027749229188
23,"('plásmido', 'r')",1,0,972,1,1.001027749229188,1.0,1.001027749229188
24,"('mental', 'y', 'mutilación')",1,0,972,1,1.001027749229188,1.0,1.001027749229188
