,Term,Ndeᵗᵢ,Ndeᶜᵗ,Ndᶜᵗeᵗᵢ,Eᵗ,LPM,TGM,LRM
0,enfuvirtida,3,0,4941,1,1.0006067961165048,1.0,1.0006067961165048
1,"('xi', 'conferencia_internacional')",3,0,4941,1,1.0006067961165048,1.0,1.0006067961165048
2,"('terapia', 'antirretroviral', 'altamente')",2,0,4942,1,1.0004045307443366,1.0,1.0004045307443366
3,"('la', 'xi', 'conferencia_internacional')",2,0,4942,1,1.0004045307443366,1.0,1.0004045307443366
4,"('disfunción', 'inmunológica')",2,0,4942,1,1.0004045307443366,1.0,1.0004045307443366
5,vih-sefh,2,0,4942,1,1.0004045307443366,1.0,1.0004045307443366
6,"('conferencia_internacional', 'del', 'sida')",2,0,4942,1,1.0004045307443366,1.0,1.0004045307443366
7,"('grupo', 'vih-sefh')",2,0,4942,1,1.0004045307443366,1.0,1.0004045307443366
8,"('tomando', 'control')",2,0,4942,1,1.0004045307443366,1.0,1.0004045307443366
9,"('con', 'carga', 'viral')",2,0,4942,1,1.0004045307443366,1.0,1.0004045307443366
10,proviral,2,0,4942,1,1.0004045307443366,1.0,1.0004045307443366
11,"('antirretroviral', 'altamente')",2,0,4942,1,1.0004045307443366,1.0,1.0004045307443366
12,"('historia', 'del', 'sida')",2,0,4942,1,1.0004045307443366,1.0,1.0004045307443366
13,"('cuánto', 'dura')",2,0,4942,1,1.0004045307443366,1.0,1.0004045307443366
14,"('hiperlactatemia', 'sintomática')",2,0,4942,1,1.0004045307443366,1.0,1.0004045307443366
15,"('adquirida', 'e', 'insuficiencia')",2,0,4942,1,1.0004045307443366,1.0,1.0004045307443366
16,"('lúpico', 'en', 'paciente')",2,0,4942,1,1.0004045307443366,1.0,1.0004045307443366
17,"('estudio', 'del', 'anticoagulante')",2,0,4942,1,1.0004045307443366,1.0,1.0004045307443366
18,"('del', 'grupo', 'vih-sefh')",2,0,4942,1,1.0004045307443366,1.0,1.0004045307443366
19,efavirenz-emtricitabina-tenofovir,2,0,4942,1,1.0004045307443366,1.0,1.0004045307443366
20,"('proteasa', 'en', 'paciente')",2,0,4942,1,1.0004045307443366,1.0,1.0004045307443366
21,"('característica', 'virológica')",2,0,4942,1,1.0004045307443366,1.0,1.0004045307443366
22,resistencia_de_candida,2,0,4942,1,1.0004045307443366,1.0,1.0004045307443366
